batter_id_hand,batter_index
282332-0,0
405395-1,1
408234-1,2
425772-1,3
425783-0,4
425784-1,5
425794-1,6
425844-1,7
425877-1,8
429664-0,9
429665-1,10
429719-1,11
430935-0,12
430945-1,13
431145-1,14
431148-0,15
433587-1,16
433589-1,17
434158-0,18
434378-1,19
434658-1,20
434670-1,21
434671-1,22
434778-0,23
434778-1,24
435062-1,25
435064-1,26
435079-1,27
435263-0,28
435522-0,29
435522-1,30
435559-1,31
435622-1,32
443558-1,33
444432-1,34
444482-0,35
444489-1,36
444876-1,37
445055-0,38
445926-1,39
445988-1,40
446263-0,41
446308-0,42
446308-1,43
446321-1,44
446334-1,45
446359-1,46
446372-1,47
446481-1,48
446653-0,49
446653-1,50
446868-0,51
446868-1,52
448179-0,53
448281-0,54
448602-1,55
448801-0,56
448855-1,57
450203-1,58
450306-0,59
450314-0,60
450314-1,61
451192-0,62
451594-0,63
451594-1,64
452095-1,65
452254-1,66
452657-0,67
452678-0,68
452678-1,69
453064-1,70
453268-1,71
453281-0,72
453286-1,73
453343-1,74
453527-1,75
453562-1,76
453568-0,77
453943-1,78
454975-0,79
455104-1,80
455117-1,81
455139-1,82
455976-0,83
456030-1,84
456034-0,85
456051-1,86
456078-1,87
456124-1,88
456488-1,89
456501-1,90
456665-1,91
456701-1,92
456715-1,93
456781-1,94
457705-1,95
457708-1,96
457727-1,97
457759-1,98
457763-1,99
457803-0,100
457915-1,101
457918-0,102
458015-0,103
458681-1,104
458708-1,105
458731-0,106
459964-0,107
460026-1,108
460060-0,109
460060-1,110
460075-1,111
460077-1,112
460086-0,113
460576-1,114
461314-1,115
461829-1,116
461865-0,117
461865-1,118
462101-1,119
465041-1,120
465753-0,121
466320-0,122
466320-1,123
466988-0,124
467055-0,125
467055-1,126
467092-1,127
467100-1,128
467793-0,129
467793-1,130
467827-0,131
468504-1,132
471865-0,133
471911-1,134
474319-1,135
474463-0,136
474568-1,137
474832-0,138
475174-0,139
475247-0,140
475253-0,141
475253-1,142
475582-1,143
476451-1,144
476594-0,145
476704-0,146
476704-1,147
477132-0,148
488671-0,149
488721-1,150
488726-0,151
488768-1,152
488771-0,153
488818-1,154
488984-1,155
489119-0,156
489149-0,157
489334-1,158
491676-1,159
491696-1,160
492802-1,161
493316-1,162
