batter,batter_index
493329,0
670541,1
621043,2
488726,3
592696,4
621020,5
518595,6
514888,7
503556,8
649557,9
645277,10
592626,11
594807,12
608324,13
663656,14
663586,15
518692,16
624585,17
455117,18
642350,19
501303,20
608665,21
676801,22
621345,23
425844,24
656353,25
664285,26
606115,27
657140,28
488771,29
666120,30
677651,31
572041,32
641355,33
621035,34
669257,35
607208,36
608369,37
605141,38
519306,39
405395,40
622666,41
542992,42
621111,43
607461,44
593428,45
646240,46
571771,47
656941,48
543877,49
666915,50
543768,51
657077,52
502110,53
542454,54
592669,55
624414,56
608700,57
660813,58
608331,59
457759,60
666158,61
592767,62
628711,63
450203,64
628338,65
605131,66
453286,67
664062,68
527038,69
664774,70
592178,71
543063,72
457763,73
573131,74
456781,75
543105,76
446334,77
596103,78
657277,79
573262,80
600303,81
514917,82
544725,83
657757,84
650391,85
518735,86
547989,87
641553,88
660162,89
641313,90
673357,91
676694,92
592200,93
641856,94
621453,95
592885,96
642715,97
543939,98
500871,99
456715,100
571912,101
649966,102
661388,103
642133,104
541645,105
444489,106
553882,107
641778,108
640457,109
650490,110
596847,111
443558,112
664040,113
677551,114
668227,115
595281,116
572287,117
656669,118
622072,119
607054,120
596129,121
642547,122
683734,123
622534,124
621563,125
592332,126
621438,127
605540,128
642336,129
669203,130
641933,131
502671,132
669242,133
657557,134
664056,135
624641,136
425877,137
666185,138
571448,139
425794,140
670042,141
650402,142
608336,143
519317,144
592450,145
519203,146
596059,147
596142,148
570482,149
458731,150
543309,151
623205,152
596019,153
607043,154
641645,155
664850,156
606299,157
542340,158
642086,159
624413,160
624424,161
592866,162
675911,163
642165,164
668942,165
606466,166
641658,167
606132,168
453568,169
624513,170
602074,171
672695,172
664983,173
592656,174
572233,175
594777,176
662139,177
666213,178
656541,179
641857,180
663898,181
444482,182
543068,183
656976,184
453268,185
650668,186
623485,187
571740,188
606992,189
605612,190
670623,191
668731,192
670097,193
572863,194
650489,195
663662,196
641470,197
592348,198
546318,199
663837,200
595284,201
650331,202
650559,203
665862,204
657193,205
520471,206
592663,207
591720,208
543543,209
608671,210
675649,211
656577,212
642423,213
664761,214
663743,215
571918,216
544369,217
605507,218
457705,219
547180,220
595345,221
506702,222
663559,223
518902,224
501981,225
621450,226
543228,227
664913,228
640461,229
621566,230
592192,231
643393,232
642456,233
664728,234
593160,235
643217,236
680777,237
624503,238
592743,239
656811,240
572191,241
609275,242
641531,243
467793,244
593934,245
596146,246
518626,247
521692,248
593871,249
621439,250
650333,251
665861,252
593643,253
667670,254
670032,255
598265,256
656578,257
594311,258
571970,259
543333,260
593590,261
545350,262
624428,263
571976,264
630105,265
673490,266
595777,267
663757,268
605170,269
592518,270
665487,271
502054,272
663753,273
668804,274
605421,275
665833,276
592325,277
546990,278
553993,279
458015,280
606157,281
592567,282
656308,283
660294,284
621011,285
663697,286
592261,287
621028,288
594694,289
670770,290
676480,291
663886,292
657061,293
665665,294
592206,295
656605,296
572761,297
663457,298
542364,299
665066,300
656364,301
602922,302
623508,303
642727,304
572204,305
668800,306
622110,307
664023,308
643524,309
602080,310
663765,311
621219,312
571745,313
664034,314
641487,315
641584,316
650859,317
