matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,65.979904,103.571495,24.899157,152.17896,-74.89701,118.94174,-35.763596,148.51117,-128.23158,260.97543,8.447873,341.74835,134.62486,257.17606,592206,572955,1
1,69.213455,103.2498,26.865803,151.62206,-74.96623,118.85293,-33.975334,149.21683,-133.09863,271.199,-0.83679247,341.14847,130.16138,251.8718,592663,572955,1
2,65.8407,103.57941,17.068188,153.95413,-75.14112,118.62755,-38.262836,147.45377,-123.397804,268.20343,7.904496,336.76163,139.46262,247.99449,607208,621345,1
3,73.17576,102.48673,38.069004,147.53879,-69.62555,125.131905,-19.271235,153.52484,-124.33355,260.6945,-11.617709,339.42715,132.19582,270.1099,656941,621345,0
4,68.109695,103.389496,34.355965,149.07013,-70.84773,123.78981,-20.670238,153.224,-142.97473,254.18869,-18.687868,332.94473,114.331955,261.67422,669016,621345,0
5,65.52288,103.59565,22.637936,152.76334,-75.83981,117.71297,-36.869366,148.0537,-128.18736,272.47342,21.02281,339.43643,141.14493,255.72078,592663,675911,1
6,74.68336,102.08534,43.716255,144.84387,-70.30038,124.39724,-20.38811,153.28645,-147.6032,259.41483,-11.355499,342.52835,132.37874,261.0559,669016,675911,0
7,63.200565,103.63758,25.172117,152.1044,-73.28986,120.94498,-32.23783,149.86287,-121.45573,282.8585,9.749293,338.81677,136.9118,257.00897,607208,675911,1
8,79.89843,100.18674,52.442112,139.71379,-71.287125,123.29448,-8.172657,155.1478,-142.19943,260.22113,-5.9072084,348.86517,136.34006,262.7414,656941,675911,0
9,71.77713,102.80359,35.398144,148.65878,-68.71568,126.098434,-22.380024,152.82623,-120.691124,260.4587,19.880266,327.95718,136.22418,246.82233,679032,678226,1
10,74.71035,102.077576,33.63433,149.34668,-70.71878,123.93385,-23.6892,152.49902,-141.68016,251.4555,-10.062396,337.98425,130.47029,261.24368,681082,700363,0
11,65.80635,103.5813,22.97895,152.679,-74.18631,119.84131,-31.260754,150.20934,-123.35487,265.01465,19.939507,337.20218,142.48904,255.50827,664761,700363,1
12,75.35499,101.88603,38.58487,147.31134,-67.47511,127.373825,-14.663315,154.36154,-141.06973,270.61017,-4.032906,346.9989,129.03525,269.2294,547180,700363,0
13,77.51081,101.158005,51.203815,140.5198,-78.66406,113.76318,-18.854963,153.6101,-133.12404,270.0303,1.0700313,343.36298,140.71309,268.50754,656941,700363,0
14,73.99721,102.27583,38.89432,147.17313,-68.10577,126.73145,-19.904024,153.3915,-141.6941,260.87454,-19.743195,342.5792,126.20177,265.8177,669016,543859,0
15,63.586624,103.63997,22.403261,152.82062,-73.39496,120.81734,-31.023462,150.29167,-124.41877,268.47708,-3.1221955,341.45074,136.14476,252.61711,664761,693821,1
16,77.47142,101.17253,45.78375,143.7397,-68.36849,126.46021,-10.7642975,154.88818,-133.07573,257.62454,4.1875343,336.6427,132.36446,257.32986,669016,693821,0
17,75.40593,101.87039,35.611687,148.57274,-68.64893,126.16829,-21.369549,153.06534,-131.30798,256.2041,-4.1489806,333.59512,132.48119,262.3062,681082,693821,0
18,80.16574,100.06663,51.073578,140.603,-61.012905,133.31775,-3.67469,155.4289,-130.37993,263.11078,2.1015625,343.30502,135.92499,269.50217,656941,693821,0
19,76.04569,101.6676,41.139816,146.13011,-69.29181,125.48958,-11.131157,154.84563,-131.78781,264.49802,7.2811866,331.36578,139.05031,251.70975,664761,621345,1
20,74.4198,102.160065,33.231674,149.49808,-76.213554,117.21415,-35.77012,148.50851,-135.77254,252.05664,-10.650032,339.9054,132.84482,264.6663,681082,572955,0
21,78.55363,100.75581,39.661644,146.8247,-66.011345,111.95343,-21.97934,152.92245,-133.97206,261.2233,4.874561,343.81607,138.99326,264.8157,656941,641729,0
22,66.993614,103.49916,24.864504,152.18837,-74.66116,119.24275,-34.9821,148.8247,-128.6988,258.95862,6.1895723,338.737,136.23772,255.64053,592206,489446,1
23,69.47948,103.21146,25.530153,152.00525,-74.70077,119.19238,-33.08395,149.55309,-126.67938,255.52579,8.108771,321.3862,131.13242,246.3765,679032,608331,1
24,73.92092,102.2962,40.59329,146.39053,-69.54768,125.21568,-20.164684,153.33527,-137.63219,263.8362,-5.867366,338.60684,120.246704,263.98233,547180,608331,0
25,67.70114,103.43329,24.451124,152.29947,-75.09816,118.683044,-34.055443,149.18613,-131.62083,260.73843,4.433242,339.5668,140.05814,249.16638,664761,608331,1
26,72.38823,102.67163,26.565277,151.71011,-77.96385,114.78296,-34.5948,148.97711,-136.56546,260.95383,4.6642437,332.0716,132.60666,247.31108,607208,608331,1
27,78.92304,100.60524,52.71959,139.52939,-66.88715,127.96191,-4.9626064,155.3703,-135.42152,253.66304,0.03348991,340.57013,131.021,272.84985,656941,608331,0
28,78.441605,100.80063,47.19656,142.94687,-66.44677,128.3957,-12.209474,154.71214,-131.7745,262.30362,-0.0057934686,345.4269,136.63164,262.22723,656941,628452,0
29,71.92167,102.773285,38.210773,147.47665,-72.52063,121.86578,-20.643335,153.23001,-136.95668,258.28976,-14.8641205,340.85962,122.32425,264.32373,669016,628452,0
30,71.28588,102.90245,39.611347,146.8478,-67.30071,127.54934,-17.481611,153.87769,-124.901924,262.48608,14.637129,335.2581,136.78384,247.26672,679032,675911,1
31,67.10358,103.489746,22.836977,152.71428,-75.02455,118.77793,-33.19394,149.51215,-128.531,269.1499,26.880117,335.7809,145.67484,249.81737,592206,675911,1
32,73.91209,102.29855,31.728672,150.04492,-74.17486,119.85563,-22.449146,152.80945,-136.34668,247.37787,-20.84312,331.09323,132.72858,264.55225,681082,675911,0
33,75.17399,101.94101,35.817245,148.48935,-72.83843,121.48822,-23.406298,152.57141,-129.72353,259.97055,6.5498295,331.46588,138.34009,254.88335,660688,543859,0
34,68.16134,103.383644,16.25111,154.0997,-80.28132,111.29282,-44.46612,144.45096,-142.71358,256.39514,-0.8431579,334.22684,129.95122,250.28853,545121,543272,1
35,68.052795,103.39584,27.192017,151.52524,-72.524536,121.86116,-25.954432,151.88582,-126.66719,263.85834,7.549269,332.4354,139.32895,249.88104,657041,445926,1
36,77.040146,101.328674,49.98749,141.28522,-61.632854,132.7938,-4.8214736,155.37756,-129.1809,260.9663,-3.8850052,337.7097,128.29776,265.1777,682928,689266,0
37,67.25622,103.4762,24.169329,152.37407,-74.80986,119.05327,-33.753925,149.3013,-135.59645,264.82852,-0.52157724,340.96283,129.41122,254.1146,696285,689266,1
38,66.62308,103.52861,22.342976,152.8352,-76.69522,116.561066,-34.726044,148.92569,-133.04124,272.52078,12.264525,343.73907,131.99738,254.51816,686452,689266,1
39,64.20137,103.63606,30.999527,150.29994,-76.11136,117.35123,-29.005136,150.96382,-137.53596,269.94104,5.6033406,331.82852,132.71408,247.2677,666198,689266,1
40,69.09507,103.26628,29.82489,150.69687,-76.50391,116.82187,-36.083755,148.38039,-139.37492,265.0342,0.3113035,332.99728,131.9004,254.42468,660688,689266,1
41,60.128063,103.485535,14.49628,154.38748,-77.162865,115.91564,-40.3898,146.48642,-132.02039,267.31946,5.6213217,344.13544,136.7468,256.13016,608841,689266,1
42,60.82241,103.540634,13.699815,154.50699,-80.24178,111.355255,-44.410534,144.48038,-133.77176,269.95773,-0.538117,335.4095,133.00871,252.44772,657041,689266,1
43,66.96271,103.501755,15.742487,154.18658,-79.93586,111.83478,-39.841923,146.74164,-152.35324,253.65004,-11.612431,331.8085,119.59403,257.2286,545121,689266,1
44,75.455795,101.85501,49.330173,141.68826,-63.17013,131.45447,-4.359155,155.39993,-128.15877,263.831,2.979978,336.302,130.38551,256.13855,682928,628452,0
45,77.144646,101.29136,44.677914,144.33844,-66.378204,128.46274,-12.26163,154.70538,-133.31247,252.43346,-9.755125,339.90033,123.366646,266.696,642086,621345,0
46,69.75361,103.17003,26.660837,151.68224,-74.72359,119.16332,-31.061356,150.27856,-139.48735,260.95044,-14.483986,333.9258,125.85058,261.13806,671277,621345,0
47,67.79062,103.424065,18.726332,153.63605,-77.09076,116.01589,-38.900944,147.17017,-130.10597,261.84763,10.020406,336.95187,134.88239,249.82108,608841,489446,1
48,78.93239,100.601364,48.512287,142.1796,-66.11052,128.72316,-14.504316,154.38623,-118.55305,254.05333,7.9860034,326.4816,144.23888,254.90701,660688,489446,0
49,61.96543,103.604935,14.056406,154.45435,-78.76411,113.61511,-42.06306,145.68039,-134.13138,256.27307,2.831569,335.3706,136.48328,251.31169,657041,489446,1
50,77.84113,101.03422,50.23926,141.12888,-63.125637,131.49405,-4.528773,155.392,-133.35954,253.94556,-6.4725122,325.86243,145.25642,255.9716,660688,675911,0
51,76.785515,101.41824,38.734173,147.24481,-67.27243,127.57772,-14.275677,154.42126,-136.48338,259.28638,-8.930518,328.87125,123.58572,261.7399,666906,675911,0
52,70.761604,103.00093,37.081196,147.96419,-67.753624,127.09164,-16.90955,153.98297,-121.53955,268.219,3.0506597,337.92963,135.80197,251.34341,696285,675911,1
53,75.26351,101.913925,41.61023,145.90251,-67.87988,126.96294,-13.826839,154.4884,-133.8775,257.02542,-16.552353,335.94986,125.3631,278.41672,682928,675911,0
54,72.46578,102.654175,32.806465,149.65569,-72.31717,122.10542,-23.74299,152.48517,-135.96892,264.66476,-4.966856,336.72,131.2143,265.00427,671277,623451,0
55,76.34514,101.5686,41.537464,145.93793,-66.142006,128.69263,-13.390687,154.55151,-128.5093,257.00537,-3.2086527,326.17935,142.9721,253.58098,660688,623451,0
56,68.55848,103.33646,28.840857,151.01633,-72.41669,121.98841,-29.260786,150.88144,-128.256,260.23288,8.452732,335.64468,133.03969,254.91864,608841,623451,1
57,76.72455,101.43939,45.89032,143.681,-70.6527,124.00745,-15.58268,154.21329,-141.5799,250.62102,-10.939137,334.6235,123.3742,265.21216,682928,623451,0
58,68.14686,103.385284,21.73855,152.97937,-71.85227,122.64702,-30.985458,150.3048,-126.098885,261.2366,-0.12557414,332.9717,136.71602,252.02505,608841,445926,1
59,68.06394,103.39461,26.99313,151.58441,-76.52643,116.79126,-31.551779,150.10739,-134.11339,260.1916,2.571385,327.80515,127.95173,250.42346,696285,543272,1
60,78.23616,100.881805,50.296925,141.09293,-66.51514,128.32874,-8.676749,155.10294,-131.80763,256.40594,2.5881467,333.94467,135.86691,260.33588,671277,642216,0
61,62.581177,103.625984,16.949978,153.97565,-72.38108,122.03032,-34.855057,148.87491,-131.99136,255.62836,-0.58979243,332.99585,122.80301,259.49078,608841,642216,1
62,60.191273,103.49104,22.53164,152.78935,-76.45809,116.88405,-38.309814,147.43307,-135.97404,260.90253,0.8815759,333.915,131.45354,257.63013,657041,642216,1
63,77.12212,101.29942,41.94667,145.73776,-70.832,123.80741,-23.681734,152.50095,-136.01085,259.9751,-1.8293706,333.64288,126.59177,261.60385,682928,642216,0
64,80.1347,100.08071,53.95595,138.69052,-62.098732,132.39401,-5.1658316,155.35944,-119.65934,252.75717,8.253147,337.269,141.10309,254.89064,642086,642216,0
65,79.62668,100.30641,51.970673,140.0239,-72.59349,121.77957,-12.863986,154.625,-120.24583,253.57819,10.227731,325.4833,150.06938,246.09268,660688,642216,0
66,74.46677,102.14689,41.707108,145.85524,-64.75161,130.01425,-10.377776,154.93146,-131.3136,253.18396,-3.3773453,337.3641,127.55253,264.41434,670156,628452,0
67,63.290195,103.63847,15.476682,154.23085,-75.78655,117.78349,-39.81548,146.75385,-129.84695,264.95053,4.463724,335.29285,131.66486,252.45401,543228,628452,1
68,70.83961,102.98673,35.671997,148.54834,-72.504036,121.88539,-20.85176,153.18335,-130.5548,260.84454,7.6003337,332.88568,143.70403,248.03442,663538,621345,1
69,63.31811,103.638695,24.456127,152.29814,-74.89655,118.94234,-34.82997,148.8848,-137.8464,262.5179,-2.160043,339.41354,133.49472,255.94539,543228,641729,1
70,67.64723,103.43876,30.18712,150.5763,-73.03027,121.25836,-27.695314,151.37338,-135.35155,259.4725,-0.79749817,328.181,128.78185,250.9679,663538,657140,1
71,72.027336,102.75076,32.198845,149.87692,-70.18614,124.5227,-25.495468,152.01492,-128.03722,269.3194,2.5583196,332.8413,132.7313,254.53462,673548,657140,1
72,81.37732,99.4923,47.320076,142.87604,-66.93207,127.91734,-10.060733,154.96577,-135.42415,256.30804,6.0056996,334.0299,149.97559,252.5562,641355,700363,0
73,65.8217,103.58046,22.222494,152.86429,-72.67069,121.688,-33.023327,149.57559,-139.27415,253.13953,8.792579,332.66504,136.69662,249.92308,663538,700363,1
74,77.52478,101.15283,44.25576,144.56204,-70.21012,124.4964,-11.877996,154.75452,-134.45183,250.99329,-8.126508,331.33218,145.26126,257.55054,670156,700363,0
75,64.3717,103.6333,20.08746,153.35199,-77.34643,115.659134,-42.046585,145.68852,-129.14635,262.0739,0.34980646,342.127,132.30936,252.94841,543228,700363,1
76,77.63233,101.112854,44.928772,144.20428,-65.8296,128.99426,-13.30437,154.56378,-127.35332,260.4267,7.132041,339.62976,135.51173,257.78928,600869,700363,0
77,63.826508,103.63956,12.41644,154.68509,-75.962746,117.549644,-36.07543,148.3838,-138.26756,267.67273,-0.10646622,340.53082,129.86884,256.75656,621020,700363,1
78,76.23283,101.60605,46.27873,143.46553,-66.41477,128.427,-11.494919,154.802,-127.00907,259.18405,-2.731038,336.45633,142.80556,263.66306,641355,445926,0
79,70.11895,103.11179,26.796965,151.64232,-74.189705,119.83707,-33.684547,149.32765,-129.85617,266.5027,16.813467,337.6522,140.20758,251.66078,673548,489446,1
80,77.83901,101.03503,41.214123,146.09438,-70.51348,124.161995,-17.830606,153.81168,-130.52185,264.6925,-8.8237,334.44235,134.5315,264.8549,664023,543859,0
81,73.70798,102.35222,38.74413,147.24039,-70.846695,123.79096,-20.986067,153.15305,-123.1053,266.40924,3.751,324.74045,132.5923,246.89604,663538,543859,1
82,66.208954,103.55742,26.858496,151.6242,-75.44683,118.2302,-34.00771,149.20444,-129.43825,264.93234,1.3612884,334.80988,133.50766,249.95764,543228,543859,1
83,63.36066,103.63902,17.735584,153.82979,-73.97729,120.101685,-32.130486,149.90152,-134.50604,263.6174,10.447423,337.75427,135.06679,242.52531,673548,670241,1
84,77.65999,101.10251,47.632927,142.69553,-70.76748,122.10191,-19.59163,153.45789,-126.224915,258.30933,11.191587,334.864,140.43814,253.74597,641355,670241,0
85,77.799614,101.04996,46.629803,143.26872,-68.63533,126.18251,-13.637093,154.51611,-129.51868,259.44568,3.0598457,337.13617,138.60841,267.19016,664023,670241,0
86,63.57126,103.63994,26.760082,151.65317,-70.965034,123.65825,-24.18947,152.36876,-132.22968,262.72983,12.349177,325.56616,130.8133,244.67734,663538,670241,1
87,66.934456,103.504105,17.943455,153.79004,-76.92392,116.24685,-41.219517,146.09177,-137.91643,265.2723,-2.7999978,336.14377,124.49052,258.57355,621020,670241,1
88,77.87129,101.02275,49.917206,141.32867,-69.9467,124.78421,-15.089478,154.29396,-115.40927,247.12517,11.339885,325.4443,138.37137,256.2175,670156,670241,0
89,79.34593,100.42755,43.06201,145.17978,-68.2393,126.59386,-14.036596,154.4573,-135.91615,268.27994,-10.60876,335.96194,132.10988,266.1124,641355,628452,0
90,70.3216,103.078,28.994242,150.96732,-70.58806,124.0793,-23.851255,152.45715,-140.43912,253.29799,-20.31072,333.68454,132.4383,260.2207,664023,628452,0
91,68.5011,103.343506,32.866344,149.63364,-73.25256,120.99019,-27.218155,151.51743,-126.518394,264.19003,7.1854634,334.4731,132.3597,252.02405,543228,572955,1
92,68.23858,103.37479,27.49237,151.43497,-72.15446,122.29591,-27.950382,151.29524,-135.23653,270.9498,-1.2919545,342.18973,135.7488,251.55011,621020,572955,1
93,74.76876,102.060715,37.719147,147.69098,-72.81902,121.5114,-27.042025,151.56992,-135.98477,249.6714,-9.088048,322.80087,135.10452,258.36816,670156,623451,0
94,61.75657,103.59563,24.140858,152.38155,-75.924095,117.60107,-35.90948,148.45175,-133.46834,265.1119,7.1380286,342.15198,135.80003,255.0197,666624,623451,1
95,61.019913,103.55409,16.773254,154.00754,-76.075195,117.3996,-39.5065,146.89581,-126.64238,271.10788,8.725871,337.26193,137.83618,251.61002,621020,623451,1
96,66.148926,103.561226,31.089794,150.26874,-69.99679,124.72967,-24.93364,152.16959,-131.75673,261.79575,18.525406,335.301,135.39879,246.79318,673548,623451,1
97,78.887146,100.620056,49.726425,141.44617,-69.5004,125.266464,-8.445211,155.12387,-124.603134,253.27151,-4.8094473,328.98044,136.0313,254.83887,670156,693821,0
98,78.6441,100.71933,39.54084,146.8801,-76.016075,117.47856,-24.640232,152.2489,-120.69341,260.42264,3.0466657,334.29657,144.68237,256.40106,641355,693821,0
99,76.42961,101.54021,41.883377,145.76889,-66.51752,128.3264,-18.250439,153.73047,-134.5541,262.7103,-7.313164,336.16452,138.16125,264.63498,664023,693821,0
100,65.62352,103.59079,22.013739,152.91426,-74.79659,119.070206,-34.262856,149.1062,-130.82661,257.9282,1.4366133,325.86374,128.43245,249.96767,663538,693821,1
101,76.861755,101.39162,43.36497,145.02502,-65.61917,129.19589,-14.083848,154.45023,-135.78523,254.28209,-0.9265632,332.7342,126.59171,268.93576,643565,693821,0
102,76.509796,101.51306,48.30535,142.30215,-66.14076,128.69385,-11.743258,154.7714,-125.773285,258.2356,0.9235009,330.05496,138.14146,250.26837,660688,628452,0
