matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,66.43829,103.54199,23.932543,152.43604,-76.42626,116.927185,-36.83038,148.0701,-131.46513,268.21497,-6.504888,328.46872,119.751175,255.54944,592206,572955,1,CU
1,63.225586,103.63785,17.755085,153.82608,-75.539505,118.10889,-38.17575,147.49202,-134.59697,265.602,-3.8415751,334.0081,131.37045,252.45369,592663,572955,1,CU
2,69.30855,103.2363,24.161163,152.37622,-76.36171,117.01451,-33.94544,149.22827,-130.11636,256.8388,1.5253377,335.26993,131.89995,255.18922,607208,621345,1,FC
3,77.375114,101.2079,44.79042,144.27838,-69.99782,124.728546,-19.031796,153.57411,-134.86919,260.75137,-8.160649,334.33176,130.46625,267.89468,656941,621345,0,FF
4,70.287094,103.08383,34.933308,148.84401,-70.4354,124.24837,-20.78752,153.19778,-135.04231,263.4035,2.5202117,329.39108,124.31565,259.2782,669016,621345,0,FC
5,69.107124,103.26462,30.822811,150.36075,-70.846436,123.79126,-26.78915,151.64462,-129.63959,271.56653,7.7091,340.94855,146.38991,256.479,592663,675911,1,FF
6,69.41062,103.22155,28.304993,151.18532,-72.58352,121.79138,-29.15182,150.91666,-147.71141,252.14763,-19.4163,333.64975,123.73474,265.89368,669016,675911,0,FF
7,68.39281,103.35663,25.819885,151.92392,-69.807106,124.935776,-25.434107,152.032,-122.95423,268.0191,15.656417,341.82776,143.06537,255.95761,607208,675911,1,FF
8,78.83727,100.64058,44.84987,144.24658,-72.63906,118.328354,-19.466806,153.4841,-138.37672,263.0019,-2.235746,343.51706,133.58203,266.765,656941,675911,0,FF
9,64.23898,103.63551,22.186848,152.87286,-74.17313,119.85779,-32.38176,149.81082,-119.062645,266.49045,0.86809665,326.62772,125.47038,250.42058,607208,675911,1,SL
10,68.72466,103.315506,29.38258,150.84192,-71.2918,123.28917,-27.391306,151.46545,-121.727234,256.36523,3.8770509,325.79242,125.84043,247.94315,679032,678226,1,SL
11,71.17582,102.92372,29.015985,150.96033,-75.059586,118.7328,-28.132084,151.2391,-141.09477,258.42798,-21.930616,342.63858,122.243614,270.32996,681082,700363,0,FF
12,69.93841,103.14101,35.98149,148.4223,-68.14041,126.69581,-16.585165,154.04108,-126.09855,271.5581,19.227558,334.1648,140.91089,260.44556,664761,700363,1,FF
13,75.991486,101.68524,35.132736,148.7649,-72.53583,121.84781,-26.607481,151.69781,-145.41005,271.8114,-10.116421,347.55563,126.26609,270.04694,547180,700363,0,FF
14,78.567116,100.75039,42.40161,145.51236,-67.5488,119.013084,-23.762106,152.48022,-135.33482,268.3831,-1.8807236,345.2253,133.51811,269.4963,656941,700363,0,FF
15,67.624954,103.44101,23.02259,152.66812,-73.00269,121.29151,-30.275507,150.54663,-141.19545,262.59225,-5.3485246,342.31158,121.491745,260.57065,669016,543859,0,SI
16,69.985085,103.13354,29.871988,150.68127,-75.437416,118.2425,-28.42245,151.14857,-125.871544,261.56067,6.6027822,329.7167,133.54568,261.1357,664761,693821,1,SI
17,79.233955,100.47514,43.253395,145.08218,-75.2503,118.48614,-21.483292,153.039,-127.76172,263.54608,3.6278505,336.0648,143.15315,257.2403,669016,693821,0,SL
18,74.69085,102.08319,44.317013,144.52977,-66.59339,128.25189,-15.457962,154.23395,-123.36633,257.45584,-3.514813,327.63245,129.1479,261.80066,681082,693821,0,CH
19,82.87787,98.70999,59.247528,134.76123,-67.04334,121.8232,-8.980248,155.0746,-131.59215,259.72714,3.3246346,339.09897,143.94725,259.35065,656941,693821,0,SL
20,74.819046,102.04611,43.44992,144.98138,-65.088745,129.69867,-12.335425,154.69574,-127.74665,260.86945,15.531627,331.8948,147.84059,248.3145,664761,621345,1,FF
21,68.59413,103.332016,27.240934,151.51062,-73.40592,120.80399,-31.149118,150.24817,-131.33083,261.0008,-4.7227163,331.4611,126.14854,255.40112,607208,621345,1,CH
22,75.85983,101.72774,38.313328,147.43152,-68.21364,126.620346,-18.01278,153.77667,-134.23387,260.9877,-0.49840152,330.64868,133.33249,263.76083,681082,572955,0,CU
23,75.79903,101.74719,32.54343,149.75203,-65.97201,99.60968,-29.53633,150.79178,-130.25156,259.5235,-6.782646,341.5137,138.77322,268.34534,656941,641729,0,FF
24,65.26036,103.607155,24.26417,152.34906,-71.99147,122.48572,-29.827377,150.69604,-127.37535,266.50555,14.254578,337.57938,142.49182,253.85506,592206,489446,1,FF
25,69.23222,103.24716,29.246675,150.88602,-72.895996,121.4194,-31.407166,150.15817,-126.18382,258.43112,2.0768342,325.67145,124.689,249.60619,679032,608331,1,FF
26,73.888565,102.304794,40.21201,146.5697,-71.618546,122.91623,-17.818747,153.81395,-121.81021,257.59735,2.0705974,327.54898,124.730354,262.54544,547180,608331,0,ST
27,67.632324,103.44026,22.697817,152.74863,-78.65961,113.769745,-44.693535,144.33011,-134.0638,260.2646,-10.245452,329.774,127.6459,258.93668,664761,608331,1,CU
28,70.85587,102.98375,26.387415,151.76173,-75.791405,117.77708,-31.78342,150.0255,-131.64531,261.67932,1.2635322,330.38797,134.38246,255.98708,607208,608331,1,FF
29,74.513,102.133865,44.97092,144.18164,-67.230446,127.619804,-8.530407,155.11624,-127.75014,264.67014,1.3256707,331.73917,122.6667,269.39993,656941,608331,0,FC
30,75.84977,101.73096,43.400715,145.00668,-66.25921,128.57877,-10.859517,154.87729,-135.0137,259.84833,-11.80702,338.85635,129.45325,265.14148,656941,628452,0,SI
