matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,74.9756,102.00018,30.961288,150.31314,-70.7165,123.93641,-28.522104,151.11728,-137.81563,262.64832,-10.879717,351.1629,123.469475,266.45227,608369,623149,0
1,62.419083,103.62135,24.27084,152.34729,-69.54249,125.221275,-26.729984,151.66199,-139.57741,259.48245,-3.5201085,336.35608,136.75056,255.23059,673962,623149,1
2,75.4903,101.844315,43.371586,145.02164,-66.01673,128.81392,-9.803308,154.99283,-140.82172,243.06467,-20.846056,336.39807,130.37143,257.1559,665750,656464,0
3,77.82641,101.03981,51.49929,140.32997,-64.86208,129.91116,-7.264472,155.22185,-135.57852,255.44095,-6.265379,344.29083,138.15668,260.55664,608369,668678,0
4,77.03505,101.330475,45.665497,143.80463,-69.09619,125.697525,-14.597193,154.37184,-128.14563,249.63417,-2.2424743,325.73608,128.54755,258.87024,608671,668678,0
5,77.058525,101.32213,46.25056,143.48123,-68.785065,126.02569,-12.067464,154.73044,-133.28963,248.1595,-15.847061,328.1379,133.02852,256.846,665750,668678,0
6,63.99865,103.6384,25.66659,151.96707,-74.67224,119.22867,-31.144497,150.24977,-130.13242,271.68097,3.355789,341.10345,134.67967,265.88702,673962,668678,1
7,59.51844,103.427086,19.301579,153.51854,-78.259315,114.3561,-39.594727,146.85541,-145.3928,266.79388,-11.4440975,340.03784,129.45901,259.92206,641598,668678,1
8,62.25265,103.61594,14.098284,154.44806,-77.896065,114.88017,-40.85399,146.26685,-141.49033,264.55444,-5.2659326,337.53836,132.25676,259.07056,543760,668678,1
9,79.53087,100.34804,48.039337,142.45866,-67.6161,127.23128,-8.49025,155.11984,-133.47614,256.2575,0.9267468,332.95724,131.73378,262.26886,641680,668678,0
10,74.99749,101.993706,40.589348,146.3924,-67.79853,127.04593,-17.084145,153.95123,-137.69354,252.67766,-13.146945,338.92682,129.56976,261.8,663993,668678,0
11,79.996735,100.14284,46.020008,143.60931,-68.115295,126.72164,-13.606763,154.52051,-133.61845,268.42865,-7.3076234,348.99628,136.50316,262.8575,608369,669194,0
12,75.31056,101.89961,35.97925,148.42322,-70.52182,124.152756,-24.846249,152.19331,-131.49757,235.83087,-11.552692,320.35257,142.74727,251.44798,608671,669194,0
13,75.74317,101.76497,41.699986,145.85872,-68.58685,126.23313,-20.017326,153.36714,-140.9131,254.68478,0.7827433,339.96744,131.65665,256.38718,665750,669194,0
14,60.46318,103.51365,16.658289,154.02808,-78.3043,114.29068,-43.83998,144.77963,-140.28325,274.4333,-2.3628953,345.3724,132.78139,261.63486,673962,669194,1
15,76.56716,101.49351,46.063828,143.58504,-67.64557,127.20141,-15.149139,154.28435,-120.163025,253.48322,-0.5158189,328.87012,137.87856,261.1554,694497,669194,0
16,63.61985,103.64,16.618927,154.03508,-78.1046,114.58023,-42.10657,145.65889,-143.12407,265.1371,-2.4645705,334.5562,123.16369,251.61128,543760,669194,1
17,75.872894,101.72354,39.31437,146.98341,-69.67176,125.08209,-20.445845,153.27374,-138.94072,258.88812,-9.944314,341.7429,129.69601,267.00974,663993,669194,0
18,66.92674,103.504745,19.993786,153.37222,-78.9289,113.36992,-40.461643,146.45264,-146.59534,264.77582,-4.1469336,336.2694,133.18105,248.61386,673962,669459,1
19,76.80078,101.41292,43.058834,145.18138,-71.495186,123.05748,-16.007496,154.14166,-125.35421,257.29602,-1.5709331,333.8832,127.47206,265.0827,694497,669459,0
20,56.946583,103.076,9.153955,155.05795,-80.95696,110.20886,-49.364914,141.66714,-153.38765,250.46733,-14.699292,334.58154,122.65777,250.75185,641598,669459,1
21,65.664894,103.588715,22.703972,152.74712,-76.00438,117.49416,-36.71393,148.11899,-137.05563,273.40918,8.681167,334.98737,132.75983,258.05725,673962,573009,1
22,76.64848,101.46564,51.493282,140.33383,-63.124035,131.49547,-3.9802053,155.4166,-136.29128,249.14171,-0.60641927,324.51193,131.16483,262.11932,608369,573009,0
23,63.067852,103.63591,16.009352,154.14134,-77.87337,114.912674,-40.497696,146.43565,-141.40216,259.89648,-19.425152,337.6175,125.807976,256.20993,543760,573009,1
24,68.21299,103.37773,22.26603,152.85379,-75.6243,117.99753,-34.88634,148.86256,-127.633965,271.96588,10.964243,348.79672,142.618,259.26205,666969,666818,1
25,61.99158,103.60601,16.691284,154.02219,-76.63757,116.639854,-36.330795,148.27855,-139.22043,272.4527,1.3007572,330.47842,131.20724,249.39383,543760,666818,1
26,71.37443,102.88512,34.051327,149.1877,-76.44627,116.90007,-30.060715,150.61856,-138.78676,263.03693,4.1331663,335.6087,133.52853,253.80025,665750,669459,1
27,72.42117,102.66423,40.75438,146.31422,-69.237,125.547966,-17.53139,153.86835,-141.37416,250.57059,-13.959618,338.6973,119.896225,264.58524,663993,669459,0
28,76.198654,101.617355,41.446903,145.9819,-62.88025,131.71149,-7.708918,155.1867,-133.70052,267.3654,-3.0521162,339.41895,130.50563,263.10196,608369,694297,0
29,79.672386,100.286446,49.825718,141.3851,-65.74266,129.07771,-8.937206,155.07867,-129.77692,260.91238,12.92256,332.19098,143.47617,262.10352,641680,694297,0
30,75.76999,101.75644,38.715565,147.25313,-66.319954,128.51959,-15.630934,154.20525,-131.24081,246.08917,3.4471772,333.34418,137.46574,254.32336,694497,694297,0
31,75.67073,101.78789,42.208427,145.60846,-67.817154,127.02695,-16.315952,154.08841,-142.88388,260.02298,-13.052978,336.6702,129.1012,266.27783,663993,694297,0
32,67.075615,103.49219,25.891586,151.90364,-72.71691,121.63306,-31.645761,150.07425,-129.90872,268.02097,2.8362656,339.58127,134.16,257.6038,666969,694297,1
33,62.5641,103.62553,14.418293,154.39948,-74.5778,119.34856,-37.671383,147.71162,-137.22336,264.4742,-1.8110782,331.1316,126.70271,257.92596,543760,694297,1
34,65.55983,103.5939,18.603592,153.66064,-78.1281,114.54628,-41.07976,146.15894,-136.63307,257.03827,1.4714397,336.83066,128.7566,257.9548,543760,685314,1
35,69.625046,103.1897,25.098682,152.12454,-74.39319,119.58176,-33.467815,149.40955,-122.26886,262.07608,6.383085,327.75583,135.32509,255.63887,665750,685314,1
36,67.024376,103.49657,18.020035,153.77528,-77.7772,115.05005,-41.372253,146.01805,-125.84041,265.36652,4.9952326,336.5184,132.40587,251.6487,673962,685314,1
