matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,78.54844,100.75789,44.674545,144.34024,-68.28559,126.546036,-15.333517,154.25438,-131.28235,256.0851,-4.3320484,334.94598,132.7601,262.62143,608369,623149,0,ST
1,73.85709,102.31312,33.456482,149.41379,-71.60193,122.93527,-24.926497,152.17154,-130.75607,267.5761,9.808096,340.07318,136.36539,261.70343,673962,623149,1,FF
2,73.63505,102.37111,25.251356,152.08258,-73.69161,120.454544,-30.193419,150.57419,-142.41902,248.76204,-15.72988,334.45596,124.97495,262.12494,665750,656464,0,FF
3,78.48334,100.78398,49.90051,141.33897,-66.63059,128.21532,-10.19144,154.95175,-123.18462,262.63193,1.9462738,331.55945,137.97057,262.112,608369,668678,0,KC
4,72.22022,102.70889,32.322403,149.8323,-70.13315,124.58075,-21.169136,153.11139,-130.8895,244.65445,-9.393683,322.7547,120.901855,258.97476,608671,668678,0,FF
5,70.058525,103.12167,31.00086,150.29947,-70.47132,124.208664,-28.090109,151.2521,-135.42168,252.34517,-8.769431,332.8343,126.913826,259.77237,665750,668678,0,FF
6,59.470295,103.42207,7.352124,155.21509,-78.66827,113.756966,-46.194683,143.51236,-143.11421,261.83328,-6.516455,331.85007,120.17157,259.48425,673962,668678,1,CH
7,55.721275,102.848335,3.7888901,155.42441,-80.34934,111.18515,-50.934887,140.69125,-145.37155,255.5342,-13.955011,330.32193,123.403366,259.33862,641598,668678,1,KC
8,80.50818,99.90933,52.12999,139.91956,-64.71895,130.04465,-5.6854973,155.32971,-126.72509,255.11702,-2.5109787,335.01245,128.29567,259.02927,608369,668678,0,CH
9,63.329475,103.638794,6.2825317,155.29204,-79.851295,111.9662,-52.40053,139.7413,-135.47285,254.48645,-13.916905,324.10913,119.8444,256.3498,543760,668678,1,KC
10,79.622826,100.30809,45.57362,143.85493,-70.68452,123.97204,-19.82967,153.4074,-127.26883,256.18344,0.64777416,332.60645,141.34532,254.86377,665750,668678,0,KC
11,73.251366,102.468094,35.010857,148.81331,-72.57391,121.80275,-25.557613,151.99759,-125.04228,261.7398,2.8064318,333.09256,132.77032,260.53522,641680,668678,0,FF
12,71.96539,102.76399,29.65023,150.75444,-72.90814,121.40488,-27.132324,151.54306,-144.55077,255.0663,-20.566557,334.87756,122.17999,260.22354,663993,668678,0,FF
13,69.59864,103.193695,27.27468,151.5005,-74.36185,119.6212,-30.663393,150.41528,-133.54582,263.63565,-6.400913,328.58304,124.96013,250.99216,673962,668678,1,SL
