matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,66.37931,103.54608,31.733015,150.04337,-70.41915,124.26633,-23.218113,152.61905,-120.58617,260.42722,6.8372116,331.8331,138.6115,250.4212,673962,666974,1
1,65.82779,103.580124,25.79029,151.93228,-73.108376,121.16437,-30.231533,150.5614,-134.17955,260.0809,4.9139047,338.15375,135.51901,256.13705,641680,669084,1
2,65.71188,103.5863,28.293776,151.18881,-75.94881,117.5682,-32.511383,149.7637,-143.83617,261.82806,-7.390307,339.73785,127.78565,266.13382,641598,669084,1
3,70.33877,103.07507,23.208574,152.62146,-72.33236,122.087585,-31.77939,150.02692,-131.00543,262.869,-13.817896,336.14374,126.76155,261.9972,608369,669084,0
4,59.859673,103.46096,20.144896,153.33957,-75.807,117.75644,-35.023853,148.80817,-139.17662,266.64172,6.349094,328.56036,128.22868,253.22797,543760,502043,1
5,76.02455,101.67449,36.372272,148.26137,-72.498344,121.892105,-21.181595,153.10852,-129.32184,246.93674,-3.6959715,329.21866,130.4497,260.29468,665750,502043,0
6,64.91035,103.61982,29.091219,150.93616,-73.61195,120.55232,-30.8634,150.34682,-134.7462,268.57336,2.408211,337.28754,130.63513,251.31563,673962,502043,1
7,80.57367,99.8788,53.605724,138.93103,-62.31583,132.2059,-2.4388192,155.46869,-128.92766,253.21735,0.3549266,329.7495,139.9,251.97186,641680,502043,0
8,76.28778,101.58777,41.433186,145.98854,-69.697075,125.05477,-18.31904,153.71701,-125.701485,249.91528,-4.6007524,326.16595,146.8716,248.45494,694497,502043,0
9,76.31565,101.578476,41.13484,146.1325,-68.896996,125.90799,-14.270404,154.42206,-125.79287,255.03894,11.699152,335.16098,139.26822,253.95369,641680,669330,0
10,76.17239,101.62604,44.697556,144.32797,-68.382774,126.445404,-13.732997,154.50215,-118.10418,250.15477,8.873131,327.9257,138.33356,255.01546,694497,669330,0
11,65.73873,103.5849,21.234945,153.09631,-75.0908,118.69255,-37.03722,147.98282,-129.76039,268.4248,18.888294,336.95862,135.10448,253.79778,673962,665152,1
12,72.61827,102.619354,34.691216,148.93936,-69.43779,125.33358,-23.252808,152.61029,-143.55751,256.61642,-13.398997,340.1168,130.50435,263.32687,663993,665152,0
13,61.72652,103.59421,14.953466,154.31573,-77.52168,115.41255,-41.28671,146.05939,-134.10751,279.28012,8.114368,347.59686,131.58752,257.0202,666969,665152,1
14,58.83773,103.35068,16.854525,153.99292,-74.77962,119.09189,-39.412636,146.93867,-140.90182,264.34885,-10.196166,335.71866,129.07805,254.0836,641598,665152,1
15,68.057045,103.39537,25.492622,152.01572,-74.813225,119.048965,-34.055676,149.18604,-138.58417,253.3197,0.44423756,331.2803,126.78905,252.56882,543760,665152,1
16,69.02464,103.2759,23.927792,152.43726,-76.18429,117.25346,-34.558346,148.99136,-127.04543,268.4999,9.95012,346.59125,138.39346,267.05777,666969,672335,1
17,63.467163,103.639626,14.69096,154.35721,-77.40954,115.570526,-44.547215,144.40796,-147.4143,268.98312,-8.435934,340.4531,132.2647,255.37167,641598,669330,1
18,74.6033,102.108246,36.265995,148.30534,-68.31441,126.51622,-18.680271,153.6453,-134.90866,265.16394,1.4207577,331.4876,141.17534,256.01373,608369,669330,0
19,58.36975,103.29128,20.655907,153.2272,-77.21797,115.83882,-37.628548,147.7301,-137.61816,271.93896,-2.7195623,333.20255,125.72781,252.94305,543760,669330,1
20,77.32444,101.22638,46.488705,143.34805,-69.590126,125.17005,-14.3831215,154.40488,-133.43011,254.46327,-3.872874,328.96536,134.72404,257.83575,694497,656427,0
21,74.42089,102.15976,37.66086,147.71616,-71.522865,123.02583,-19.420477,153.49379,-147.15816,255.56973,-8.110934,341.2339,124.055984,263.10165,663993,657097,0
22,78.518074,100.77008,40.301636,146.52777,-68.07128,126.76689,-20.603552,153.23885,-129.81734,258.15714,2.507326,338.07224,143.142,261.8521,641680,657097,0
23,77.366295,101.21112,48.495342,142.18967,-65.46629,129.34158,-8.859391,155.086,-128.08173,252.48586,10.940337,327.80972,138.93555,251.20271,694497,657097,0
24,66.41219,103.54382,27.356075,151.47607,-76.13389,117.32105,-32.142292,149.89728,-132.24225,270.52222,2.5849118,347.0592,135.07062,262.094,666969,657097,1
25,70.98992,102.95894,35.141212,148.76152,-69.29777,125.48324,-19.622007,153.45148,-124.933334,272.16666,15.870157,334.17563,140.98138,257.824,673962,641329,1
26,63.546318,103.63989,15.553129,154.2182,-78.446175,114.08356,-45.404507,143.94717,-142.8883,263.22852,-6.8831925,333.58292,130.52354,258.01385,543760,680570,1
27,71.06517,102.944786,27.153854,151.53662,-74.35447,119.63048,-31.326632,150.18636,-125.4712,281.30106,11.474935,339.08258,139.48085,251.67921,673962,669330,1
28,76.4278,101.54082,43.211845,145.10341,-70.53694,124.136,-17.47735,153.8785,-127.24485,254.90675,2.691733,324.5465,130.69073,261.96286,694497,669084,0
29,70.645805,103.0217,30.540161,150.45721,-73.25713,120.98465,-24.835867,152.19614,-138.43483,256.34573,-14.346095,334.7741,114.61953,256.10388,663993,543056,0
30,75.8097,101.74379,44.786587,144.28044,-68.29275,126.53863,-14.216597,154.43024,-144.71698,257.62274,-9.120957,343.28488,127.94014,267.43973,608369,680694,0
31,63.812927,103.63962,24.366192,152.32205,-71.14945,123.450424,-32.014736,149.94304,-136.55017,263.88074,4.2282724,341.2157,134.0292,257.61832,666969,680694,1
32,64.0994,103.63736,15.870848,154.16492,-78.07974,114.61612,-40.812027,146.28682,-132.49062,258.9527,-0.18937542,330.07352,127.161705,247.2689,543760,680694,1
33,75.300255,101.90275,37.22944,147.9012,-72.74705,121.5972,-25.008265,152.14926,-124.84379,251.60344,-3.0720527,334.50064,121.1118,261.3707,665750,680694,0
34,75.2017,101.93265,38.646633,147.28386,-67.45167,127.39748,-18.536768,153.67398,-129.54657,245.42212,-7.8107896,327.81454,126.097046,258.67563,543257,680694,0
35,75.448456,101.857285,44.825466,144.25964,-73.24298,121.00179,-16.964964,153.97293,-123.24879,249.92012,-0.7136287,320.80844,128.58669,250.16154,624512,608344,0
36,64.47065,103.63138,16.115118,154.1232,-78.26249,114.351494,-42.90932,145.25723,-137.45201,264.567,2.6664543,333.59647,132.28912,247.5427,622569,608344,1
37,63.60102,103.63998,22.083435,152.89763,-75.51652,118.139015,-36.437935,148.23413,-131.96318,272.46625,4.5981054,336.943,133.40553,261.127,608701,608344,1
38,67.14185,103.48642,22.806004,152.72194,-76.81985,116.390175,-38.77856,147.22499,-138.24585,268.3431,9.258239,339.93872,125.323265,257.604,657136,608344,1
39,77.698555,101.08804,48.115124,142.41418,-63.544735,131.11917,-10.741408,154.8908,-126.67901,255.20117,-0.058906823,328.33044,132.87773,256.5084,665839,608344,0
40,68.89089,103.29385,36.293312,148.29405,-69.39679,125.377464,-17.867346,153.80466,-127.26645,255.3768,-2.9079907,333.93134,126.27712,267.13513,807799,669084,0
41,75.80457,101.74542,34.72432,148.92636,-74.01468,120.05525,-25.803879,151.92844,-135.69456,248.76973,-10.743022,336.31595,121.02867,267.30576,657077,660261,0
42,69.979065,103.13451,37.875053,147.62335,-71.762535,122.75061,-21.337013,153.07285,-121.97529,255.56941,4.659123,332.5392,136.41821,247.77098,657136,660261,1
43,75.57265,101.81869,45.485844,143.90286,-66.93624,127.91321,-10.277331,154.94244,-131.08276,250.75288,-13.816557,326.06274,128.93445,264.58496,665839,543056,0
44,75.33251,101.89291,41.197918,146.10217,-67.42894,127.42039,-16.745462,154.01251,-141.46347,253.65428,-11.751047,331.90805,124.41954,257.57062,657077,680694,0
45,64.01553,103.63823,15.158918,154.28278,-76.18723,117.2495,-37.078835,147.9652,-126.21349,271.51025,0.0957537,341.31424,133.8177,256.8312,622569,657097,1
46,75.729004,101.76946,41.03801,146.17896,-69.5785,125.182556,-18.71012,153.63931,-141.21638,245.0162,-12.153326,325.2158,120.04649,263.0712,624512,657097,0
47,62.01503,103.60698,8.895408,155.08261,-79.00148,113.26141,-47.423615,142.81647,-143.09639,262.05637,-5.9285383,338.54642,129.42834,247.811,622569,669145,1
48,74.887405,102.02614,42.400936,145.51271,-66.83549,128.01309,-13.945236,154.4709,-127.56602,246.00922,1.589805,334.57495,122.76037,256.34283,624512,669145,0
49,69.14447,103.25944,21.202637,153.10371,-77.84628,114.951416,-38.77693,147.22571,-134.46371,261.8908,1.2066098,336.51593,130.56876,249.64252,678882,669145,1
50,77.543274,101.14598,43.893284,144.75189,-66.09927,128.73407,-12.411156,154.68579,-126.31678,251.01999,-10.928705,333.05972,125.28357,265.7811,807799,669145,0
51,78.635895,100.72265,51.172756,140.53967,-69.77977,124.96537,-8.445115,155.12389,-127.049644,252.80103,5.9999313,331.01,140.40761,248.92561,665839,502043,0
52,78.53369,100.76381,48.307407,142.30095,-67.49375,127.35503,-12.849741,154.62695,-130.99768,255.33072,-0.0048143566,326.55984,135.68597,255.47823,807799,502043,0
53,75.99428,101.68434,42.18553,145.61981,-70.86107,123.77487,-17.923664,153.79385,-135.96404,261.80307,3.5481007,338.4105,148.85165,247.46294,646240,502043,0
54,78.07562,100.94432,45.65394,143.81097,-67.78806,127.05659,-10.571479,154.90997,-127.812294,246.52068,-0.88787174,323.88434,137.87784,241.36472,624512,502043,0
55,59.306423,103.40455,17.535717,153.86755,-77.92999,114.83154,-38.187614,147.48682,-134.01308,258.4349,-8.834391,330.34183,132.24124,254.4946,594807,502043,1
56,68.36916,103.35945,28.288902,151.19034,-76.71046,116.54022,-37.934147,147.59766,-146.8572,259.95276,-4.8759637,332.73468,126.679344,258.05338,457759,607644,1
57,67.597145,103.44378,28.777786,151.03639,-71.357666,123.2143,-25.922129,151.89499,-138.63467,256.6235,-22.83586,342.50098,130.88556,273.56808,646240,607644,0
58,72.44377,102.65914,35.521423,148.60919,-75.05352,118.740616,-30.045443,150.62366,-137.29546,270.47104,-4.092247,336.70166,131.7339,256.7338,678882,607644,1
59,61.32687,103.57305,14.563925,154.37701,-78.18566,114.46297,-45.329273,143.98807,-137.77466,271.63403,-5.6243944,335.74973,126.05621,257.65076,657136,607644,1
60,63.246323,103.63806,16.258545,154.09839,-76.906075,116.27146,-38.470264,147.36218,-144.51091,261.14792,-0.40130112,343.5974,141.50409,253.26224,666915,607644,1
61,61.089523,103.55859,14.849366,154.33228,-78.22264,114.409355,-40.79678,146.29407,-138.10878,253.05005,-3.8309815,337.57227,131.25038,252.17754,622569,607644,1
62,65.89917,103.57614,21.116648,153.12335,-77.74501,115.0959,-38.572605,147.31679,-137.55556,264.63162,-0.6844431,328.0659,129.03146,245.58275,608701,607644,1
63,53.118523,85.94368,23.953373,152.4306,-82.757,107.150604,-42.049206,145.68723,-153.0826,263.19717,-6.2605534,339.5476,127.977325,258.61908,594807,607644,1
64,64.15262,103.63672,24.733416,152.22382,-74.74584,119.13498,-37.808464,147.65228,-137.44363,257.91946,-5.6717963,342.7908,134.71548,256.29507,596115,607644,1
