matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,66.04438,103.56767,32.720554,149.68726,-62.55878,131.99405,-13.742907,154.5007,-123.84817,257.3568,10.324462,329.15768,134.36333,258.12973,673962,666974,1,SI
1,65.629715,103.590485,24.835468,152.19623,-73.268776,120.97055,-31.975634,149.95703,-127.10521,268.73575,-0.8291548,335.32556,137.45581,257.75278,641680,669084,1,FF
2,60.62032,103.52585,15.219357,154.27298,-79.08546,113.135445,-41.835953,145.79216,-142.56656,262.35037,-6.0687256,331.79892,121.69045,251.62263,641598,669084,1,CH
3,75.56006,101.82262,42.7352,145.34517,-65.09208,126.33334,-11.837777,154.75958,-126.393776,255.9285,-5.0690866,330.01526,125.92209,260.6059,608369,669084,0,SL
4,65.59885,103.59201,23.442394,152.56223,-75.675224,117.93048,-33.983303,149.21378,-131.60423,262.1283,-5.036929,334.95554,127.00205,253.28049,543760,502043,1,SI
5,77.151115,101.28903,46.49101,143.34677,-67.66771,127.17894,-11.390018,154.81473,-122.39773,247.39932,3.4661372,322.72992,131.17355,256.3236,665750,502043,0,CH
6,63.062153,103.63582,18.894415,153.60211,-75.47632,118.19164,-35.750942,148.5163,-132.5344,257.38156,-7.2124796,330.48422,125.98857,250.76503,673962,502043,1,ST
7,73.56444,102.38927,29.527164,150.79477,-74.134926,116.432655,-29.225235,150.89294,-133.04903,257.12598,-1.814177,331.1694,137.9731,255.73184,641680,502043,0,FF
8,76.06738,101.660515,37.6883,147.70432,-70.10139,124.61549,-20.368736,153.29071,-127.00765,246.54706,-2.1558867,332.03784,135.92511,256.61298,694497,502043,0,FF
9,70.7989,102.994156,31.229301,150.22029,-73.68456,119.755295,-27.075884,151.55984,-131.70084,250.0725,-3.0246563,331.9191,141.27034,260.02768,641680,669330,0,FF
10,72.49455,102.647644,32.766056,149.67053,-74.8559,118.994385,-27.816956,151.33621,-133.97237,249.72417,-2.8795,333.49966,128.15074,262.33478,694497,669330,0,FF
11,68.88596,103.2945,27.672104,151.38045,-72.71587,121.63429,-28.165169,151.22885,-125.95662,265.69415,1.8945148,339.7702,129.95863,255.10464,673962,665152,1,SI
12,71.288795,102.90188,37.61258,147.737,-70.54327,124.129,-18.339867,153.71292,-149.95972,256.32306,-19.887558,343.45523,123.01805,264.52805,663993,665152,0,SI
13,63.46088,103.6396,17.00652,153.9654,-79.31761,112.78496,-45.087452,144.1189,-141.13094,265.87814,-7.1247716,335.70477,121.275734,255.58295,666969,665152,1,CU
14,52.808865,102.14567,1.808414,155.48279,-80.24045,111.357346,-49.44145,141.62054,-144.30103,254.0491,-9.053923,326.15518,115.58723,255.71828,641598,665152,1,CH
15,64.53963,103.629875,22.496498,152.79793,-73.877266,120.225624,-29.703918,150.73679,-134.30568,265.10388,-4.253021,337.08487,130.7729,261.49667,543760,665152,1,FF
16,70.53977,103.04042,30.723257,150.39484,-72.21882,122.22069,-27.344416,151.47958,-120.31895,260.4691,4.380479,341.24506,143.941,257.328,666969,672335,1,SI
17,59.561646,103.43154,19.594149,153.45735,-75.1548,118.60988,-33.546875,149.37973,-144.25034,269.05505,-2.5935175,344.07544,130.72325,261.83768,641598,669330,1,FF
18,74.5475,102.1241,39.330215,146.97621,-74.09794,119.95163,-22.242355,152.8595,-143.18102,260.03293,-7.520693,342.05176,123.1955,269.3701,608369,669330,0,FF
19,65.69492,103.58718,23.463303,152.5569,-78.111015,114.57097,-42.616272,145.40497,-140.56653,257.29132,-14.681576,325.95578,122.2213,259.73035,543760,669330,1,CH
20,76.58728,101.486626,44.45761,144.45547,-69.53688,125.227295,-17.666882,153.84282,-132.33136,256.2089,-7.624655,333.63406,123.83628,266.62808,694497,656427,0,FF
21,76.61763,101.47624,38.58809,147.3099,-71.31466,123.26321,-21.62803,153.00528,-139.80261,256.44592,-16.397709,341.23615,130.83694,261.99435,663993,657097,0,ST
22,78.41201,100.81241,45.961906,143.64146,-71.196266,123.39748,-16.30936,154.08955,-125.9976,251.72836,7.3493514,323.41873,138.873,253.77672,641680,657097,0,CH
23,74.78188,102.0569,37.329536,147.85849,-67.23293,127.61731,-20.864164,153.18057,-127.93451,251.2589,-5.836498,333.19476,128.79356,264.48126,694497,657097,0,FF
