matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,77.064766,101.31991,41.215168,146.09387,-69.948,124.7828,-17.700209,153.8365,-132.9899,258.00513,0.36045697,338.0334,134.01021,263.7669,677008,687798,0
1,73.25763,102.46655,30.493458,150.47305,-72.322266,122.099434,-27.77804,151.34811,-122.5307,266.33395,17.6326,343.92624,141.91455,257.8325,663624,687798,1
2,62.90227,103.633194,20.267366,153.3129,-74.119446,119.92481,-32.82223,149.64987,-133.9956,257.47028,-10.694353,330.7663,124.52787,253.14243,676059,670167,1
3,61.568977,103.58635,17.512354,153.87193,-77.44589,115.51941,-38.532963,147.33438,-132.72864,257.03888,-1.3522336,332.23825,124.17883,251.85406,622761,657514,1
4,76.67779,101.45555,48.123108,142.40952,-65.962776,128.86603,-13.094023,154.59329,-118.412415,251.69525,4.372503,327.51962,124.06267,252.46323,677008,657514,0
5,67.87598,103.41507,36.014946,148.40862,-68.147026,126.688995,-16.534132,154.05011,-134.04741,262.18787,2.080208,330.23468,134.32959,256.53488,543510,656557,1
6,79.95222,100.16275,46.936638,143.09511,-64.84857,129.9238,-11.080817,154.85156,-135.0007,258.89575,-2.6170404,335.36157,141.50156,254.24557,677008,656557,0
7,75.73519,101.767494,41.372585,146.01788,-72.24041,122.195404,-19.164677,153.54684,-129.44139,257.28864,10.022043,337.68698,140.47418,256.58817,623993,656557,0
8,77.82572,101.04007,40.8624,146.26285,-71.242,123.34567,-20.560347,153.24843,-128.0138,254.30728,-2.747073,328.1859,139.604,256.0299,668939,656557,0
9,75.43127,101.86258,36.31055,148.28693,-69.01184,125.7868,-23.079586,152.65385,-146.62958,257.6505,-0.3172665,342.1888,134.0652,257.3211,683002,656557,0
10,78.07537,100.94443,41.048485,146.17392,-70.08677,124.63147,-19.636433,153.44843,-127.892586,255.11554,4.7642903,331.95737,145.81763,248.99948,656775,656557,0
11,68.556,103.33676,30.947779,150.31778,-69.04917,125.747314,-24.006393,152.41678,-130.38576,258.8652,9.54184,333.36057,140.75974,250.03355,676059,661440,1
12,69.640274,103.18739,32.08192,149.91896,-69.31165,125.46842,-25.063225,152.13425,-134.49843,259.41986,3.9033496,333.6005,129.34135,251.62662,602104,661440,1
13,79.17012,100.502106,50.817024,140.76599,-65.407906,129.39706,-14.983729,154.31091,-128.45375,253.43675,1.5287111,335.996,142.63924,263.73865,668939,670174,0
14,76.64755,101.46596,39.22573,147.02365,-70.33923,124.35446,-22.906864,152.69693,-143.1396,268.03638,-10.63646,341.23453,127.94296,267.0557,683002,676710,0
15,74.3825,102.17049,39.90976,146.71027,-74.2464,119.76611,-23.080158,152.65372,-126.45985,240.71207,-2.3139424,324.11673,139.82741,248.28905,624428,676710,0
16,65.65862,103.589035,24.114157,152.38857,-74.31783,119.67651,-32.544186,149.75175,-128.22665,264.95157,10.905105,333.73163,133.49251,256.3326,602104,676710,1
17,78.47368,100.787834,40.29394,146.53137,-71.04885,123.56395,-20.877728,153.17752,-116.72021,261.09415,10.44184,328.18887,139.75923,255.52591,656775,676710,0
18,67.189224,103.482216,27.07648,151.55968,-73.689186,120.45752,-31.520546,150.11838,-125.8392,271.02844,8.64877,340.12158,140.54192,257.45944,663624,676710,1
19,75.92553,101.70659,37.831173,147.64243,-72.52699,121.85826,-24.498528,152.28683,-134.76428,260.50354,-8.039854,338.66885,130.76254,265.25507,656811,676710,0
20,79.61346,100.31218,47.191566,142.94972,-75.85228,117.696434,-18.781384,153.62497,-124.39095,256.56305,6.1947794,327.43793,139.72469,253.96983,543305,676710,0
21,70.9911,102.9587,36.03256,148.4014,-71.10667,123.49875,-20.307001,153.30423,-125.34301,272.653,12.289462,336.10684,140.96603,257.05286,663624,676477,1
22,77.9714,100.98449,42.17848,145.62329,-69.6449,125.11106,-18.701187,153.64111,-132.46378,257.21234,-1.8906561,333.5404,139.45659,256.68243,656775,676477,0
23,65.67608,103.58815,21.172499,153.11061,-74.12993,119.91173,-35.812496,148.49127,-131.78082,266.36993,2.8221424,337.05496,134.81848,256.65845,622761,676477,1
24,64.822716,103.62251,25.80872,151.92706,-74.663734,119.23949,-32.70601,149.69258,-130.977,265.76544,-2.2794626,330.12723,133.68877,254.00693,676059,676477,1
25,66.863014,103.50994,20.772226,153.2012,-72.28664,122.141235,-34.12477,149.15945,-131.72253,271.03253,-0.76565117,341.76053,133.04185,254.98784,669720,601713,1
26,70.668106,103.01773,32.86222,149.63515,-72.27797,122.1514,-27.282587,151.49814,-126.88714,273.38382,22.26559,336.61752,140.70035,249.89763,663624,601713,1
27,77.10169,101.30673,42.81699,145.30392,-64.86676,129.9068,-15.6102085,154.20871,-130.72147,247.9158,-7.3563094,329.56567,135.33328,260.95105,656775,601713,0
28,68.12218,103.38808,26.279495,151.79288,-76.05966,117.42037,-32.049835,149.93047,-137.99153,271.96735,-1.4832548,343.514,128.28416,257.63635,676059,601713,1
29,76.25021,101.60028,39.260845,147.00772,-67.85811,126.98517,-16.188784,154.11049,-132.44951,259.79453,-7.5416765,337.19675,136.58368,265.70407,677008,601713,0
30,77.42643,101.189095,40.377983,146.49197,-67.55139,127.29678,-15.892587,154.16122,-137.91025,268.67828,-1.1647408,344.36166,135.58492,263.9038,656811,601713,0
31,74.59785,102.1098,39.33837,146.9725,-68.80099,126.008965,-16.757957,154.01028,-129.22333,242.37814,3.6727595,320.94092,135.91858,256.40518,624428,601713,0
32,79.5388,100.344604,45.429962,143.93332,-68.98692,125.813126,-21.653925,152.99924,-127.789,256.6602,-7.463998,335.29022,149.72748,253.8087,623993,670174,0
33,68.95242,103.28566,28.063772,151.26025,-71.56026,122.98304,-28.039795,151.26767,-122.515274,261.40378,-7.1896224,331.58408,134.55272,250.88965,622761,670174,1
34,65.27488,103.60657,17.83988,153.8099,-76.070564,117.40579,-34.342693,149.07527,-135.1898,262.5989,7.899948,338.3467,135.84378,250.74818,543510,519242,1
35,73.325806,102.4496,28.853975,151.01215,-77.64275,115.24124,-38.1241,147.51468,-140.09785,263.5999,10.348846,334.6199,134.22148,250.71666,676059,519242,1
36,65.95367,103.57303,18.485552,153.68414,-76.85507,116.34173,-39.552807,146.87463,-139.2784,263.31464,3.5945468,337.3178,127.30386,249.92505,668939,519242,1
37,68.56607,103.33551,28.346857,151.17224,-74.51869,119.42337,-32.24534,149.86017,-133.35863,263.5797,2.7951312,334.75433,130.0989,247.98969,622761,519242,1
38,76.95421,101.359116,40.12119,146.61208,-72.057274,122.40921,-18.920504,153.5968,-128.93567,254.39409,-8.483475,330.54105,128.86862,256.67285,683002,519242,0
39,68.282646,103.36965,26.232414,151.80641,-76.47685,116.8586,-34.46826,149.02649,-130.86153,272.74667,20.171974,341.2393,140.37358,254.62682,543305,519242,1
40,69.78677,103.1649,39.21511,147.02846,-72.03453,122.43567,-16.176317,154.11264,-129.77147,264.03143,13.405707,335.69357,138.18542,254.94756,663624,519242,1
41,69.5778,103.19682,25.92432,151.89436,-76.80904,116.40503,-38.282944,147.44492,-139.02177,259.27634,3.4737134,339.94772,134.64594,249.75954,669720,519242,1
42,66.41812,103.54341,27.888166,151.31438,-73.511345,120.67544,-30.12395,150.59744,-130.49039,261.15305,7.4307756,343.08475,132.402,252.94719,691406,661440,1
43,80.09431,100.09897,52.216118,139.86295,-65.57517,129.23788,-7.1499844,155.23056,-135.73354,257.15182,-6.891162,332.55246,141.49614,248.83914,666018,661440,0
44,66.83586,103.51213,30.774994,150.37714,-71.63889,122.89286,-25.582724,151.99057,-128.86946,268.63782,6.500863,333.97632,137.29225,251.03233,542194,661440,1
45,74.79789,102.05226,37.768272,147.66971,-69.59737,125.162254,-18.158304,153.74847,-122.61926,254.68628,3.0482872,333.8484,136.80615,262.38187,666018,669684,0
