matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,76.38822,101.554146,44.255814,144.56201,-65.42159,129.38406,-8.809596,155.09065,-128.2417,257.26733,3.2758272,334.73886,130.43472,262.55438,677008,687798,0,CH
1,72.97917,102.53447,38.803837,147.21368,-62.945232,131.65405,-13.691652,154.50818,-129.84576,262.84857,21.52521,343.0364,146.43596,255.75993,663624,687798,1,FF
2,67.11732,103.488556,20.55932,153.24866,-73.4072,120.80243,-34.247658,149.11206,-128.30914,262.09073,4.7670913,329.23785,132.87773,257.32352,676059,670167,1,SI
3,61.31485,103.57236,12.086642,154.72798,-76.69391,116.56286,-41.602818,145.90613,-131.78976,264.14383,0.40299544,331.8693,129.17117,254.76338,622761,657514,1,SI
4,76.3302,101.57361,44.31573,144.53046,-47.238903,86.82809,-20.477215,149.69041,-119.31761,252.33287,12.724378,324.6495,133.14175,255.45349,677008,657514,0,CU
5,64.99765,103.61694,26.148375,151.8305,-74.760445,119.11635,-31.418602,150.15417,-131.07013,260.48447,-2.1758113,326.5099,124.806076,253.84991,543510,656557,1,SL
6,77.40851,101.19566,40.82653,146.27992,-70.98933,123.63094,-20.518724,153.25766,-125.471954,257.97525,6.696836,328.0119,134.48209,259.50677,677008,656557,0,SL
7,76.95053,101.36041,41.44742,145.98164,-66.358864,128.48163,-12.599901,154.66072,-131.85286,259.69492,10.048722,327.71408,143.71313,251.45769,623993,656557,0,FS
8,72.054596,102.74492,34.288742,149.09618,-70.00121,124.724846,-19.546871,153.46732,-129.57396,252.39772,-1.9696892,331.28653,122.34842,257.9643,668939,656557,0,SI
9,73.16412,102.48958,41.347046,146.03024,-64.98622,129.79495,-9.315953,155.04211,-133.84271,262.3176,-4.0498977,333.17798,123.639046,261.96045,683002,656557,0,SI
10,75.3835,101.87729,37.527626,147.77357,-73.988045,120.08833,-23.036291,152.66469,-127.15871,252.2566,0.92472535,326.45337,137.80396,252.22498,656775,656557,0,FC
11,74.759964,102.063255,34.60632,148.97261,-71.57986,122.96059,-25.32938,152.06104,-139.5493,264.94342,-14.117639,336.71323,125.48768,261.06265,683002,656557,0,FF
12,61.79506,103.59743,17.544329,153.86594,-76.02964,117.460464,-38.362144,147.40999,-133.53036,260.2104,-4.9932275,328.281,122.55978,255.95282,676059,661440,1,SL
13,63.17091,103.63725,14.377191,154.40579,-77.268745,115.7679,-42.768417,145.32843,-133.35052,259.3661,0.55734503,326.93237,125.82247,250.89969,602104,661440,1,SL
14,76.551994,101.49869,46.08707,143.57214,-66.20323,128.6332,-16.23901,154.10178,-135.91095,255.73856,2.65318,334.03665,132.3585,256.56613,668939,670174,0,SI
15,70.692444,103.01338,32.986355,149.5893,-72.47637,121.918045,-25.414848,152.03735,-143.15027,268.87674,-3.8643892,345.21222,129.8133,268.1571,683002,676710,0,FF
16,65.456894,103.59871,29.252094,150.88426,-73.190254,121.06557,-30.99661,150.30095,-130.89833,246.77228,-3.1360302,325.56354,132.25333,260.66785,624428,676710,0,FF
17,66.08587,103.565155,23.544878,152.53607,-73.04278,121.24333,-32.488995,149.77187,-127.57811,270.7744,13.448363,338.20752,141.81139,257.56784,602104,676710,1,FF
18,72.15643,102.72286,28.643154,151.07909,-75.59264,118.03914,-34.903656,148.85573,-126.034676,255.08975,1.351648,336.58154,137.33368,260.9888,656775,676710,0,FF
19,65.277016,103.60649,29.325365,150.86052,-67.13508,127.71519,-23.869759,152.45235,-120.694084,276.29364,11.84993,331.70966,135.9639,248.13026,663624,676710,1,FC
20,77.91155,101.00739,38.0863,147.53122,-74.32077,119.67284,-22.99065,152.67609,-130.14438,252.65596,-2.82951,326.91705,134.87846,250.7117,656811,676710,0,FC
21,77.8014,101.049286,37.762066,147.6724,-59.938232,91.673035,-34.359818,149.06863,-121.06062,252.67001,2.8860655,310.4492,137.22836,239.26912,624428,676710,0,FC
22,79.36637,100.41882,49.207363,141.76276,-64.42061,107.25725,-12.763545,154.63869,-124.07393,248.06094,6.9561353,323.413,144.42375,239.23996,543305,676710,0,FC
23,65.94637,103.573456,30.169544,150.58218,-68.75704,126.055084,-22.869604,152.70619,-120.96855,274.58783,16.763432,340.8063,143.59879,258.8217,663624,676710,1,FF
24,78.70928,100.69289,41.830284,145.79495,-71.17505,109.02803,-26.288,151.79042,-123.50181,257.80557,15.903753,338.2338,142.80573,248.97116,683002,676710,0,ST
25,63.01239,103.63507,20.570818,153.24611,-72.410835,121.9953,-31.78565,150.0247,-128.4696,266.11176,-3.5485113,322.9162,122.739685,257.38962,663624,676477,1,ST
26,75.01672,101.98801,36.590244,148.17072,-72.28207,114.223465,-22.955929,152.68474,-128.5245,255.16405,-2.401316,330.22256,137.51369,260.57498,656775,676477,0,SI
27,56.15773,102.93396,17.395071,153.89386,-74.49288,119.45601,-37.387043,147.8339,-128.64911,258.9984,-3.512883,322.69025,116.905,248.44678,622761,676477,1,ST
28,62.32588,103.61841,8.2570715,155.14047,-78.78405,113.585526,-45.116756,144.10309,-138.09018,266.97757,-6.9013047,330.57895,122.17265,258.00757,676059,676477,1,CH
29,58.773636,103.34287,3.2490132,155.44443,-78.38573,114.17195,-50.162563,141.17662,-129.75478,266.59647,-3.863681,331.21472,120.49881,256.22757,669720,601713,1,CU
30,64.277504,103.63492,19.99612,153.3717,-75.12304,118.650925,-36.429214,148.23775,-131.94406,265.20535,-10.141771,333.45566,124.92655,259.54672,663624,601713,1,CU
31,72.65977,102.60978,31.026678,150.29056,-75.24581,118.491974,-26.3657,151.768,-130.33292,250.37523,-1.5383822,332.2592,138.66519,256.7076,656775,601713,0,FF
32,58.558525,103.31592,17.857227,153.80658,-73.82227,120.29358,-35.91198,148.45071,-125.88292,265.60025,-1.4921564,325.07892,124.120674,252.37543,676059,601713,1,ST
33,74.92359,102.01551,38.341007,147.41931,-69.32196,125.45742,-20.977919,153.15488,-133.29518,259.74457,-3.084451,336.9193,130.03471,263.5571,677008,601713,0,FF
34,64.20844,103.63595,27.909252,151.30789,-72.91662,121.39473,-25.810396,151.9266,-130.15027,262.97522,0.6904735,326.44135,126.72484,254.08694,669720,601713,1,ST
