matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,77.12016,101.30013,39.066673,147.09558,-72.87822,121.440674,-27.536386,151.42166,-130.1289,260.5223,-2.1312203,329.97504,134.10136,258.5593,669003,572888,0
1,67.392105,103.46362,20.98669,153.1529,-76.949745,116.2112,-37.59633,147.744,-129.40225,266.94864,4.7947183,339.07367,124.42642,257.7977,518626,572888,1
2,78.29656,100.85808,44.585255,144.38776,-70.671165,123.9869,-15.919651,154.15663,-130.96608,252.09486,-3.3872569,334.61002,139.01993,255.91605,605170,572888,0
3,78.16516,100.90956,40.026302,146.65622,-68.60786,126.21121,-16.735847,154.01422,-135.18285,262.4868,-10.83858,337.3202,129.6175,264.57916,669003,608648,0
4,73.742134,102.34332,28.593338,151.09482,-75.588974,118.04396,-30.866165,150.34587,-136.1377,261.6584,-1.9117469,336.0784,133.99121,264.52005,518626,608648,1
5,61.44836,103.57991,12.682977,154.64957,-77.29865,115.72607,-42.29189,145.56702,-133.1686,258.76364,-4.6061816,332.00366,127.08616,249.35683,592192,608648,1
6,75.59738,101.81094,37.673256,147.71082,-70.838585,123.80005,-21.718859,152.98401,-156.70625,257.81607,-27.340162,329.99026,119.227066,261.9936,592885,694037,0
7,73.90956,102.299225,36.26923,148.30402,-69.73066,125.01849,-22.411821,152.81853,-140.33098,244.37108,-22.459307,329.1121,119.22269,267.6941,668930,694037,0
8,60.003914,103.474396,10.376485,154.93161,-76.66977,116.59587,-38.691242,147.26398,-125.781425,261.36862,8.9492855,337.67154,131.47827,248.59283,621438,694037,1
9,65.8058,103.581314,21.24422,153.09418,-74.96354,118.8564,-35.239307,148.7224,-125.21125,268.26614,11.721204,334.30002,142.09084,252.54863,642715,694037,1
10,67.33423,103.46904,22.79097,152.72566,-75.17387,118.5852,-34.26644,149.1048,-135.74652,264.19775,-7.128994,336.88962,121.8003,264.64944,621438,592791,1
11,64.68016,103.626465,21.306873,153.07979,-73.181076,121.076645,-31.759623,150.03394,-120.81568,272.1231,8.128704,340.82123,141.03984,251.61475,661388,592791,1
12,68.69049,103.319855,22.479362,152.8021,-77.52733,115.40457,-39.990124,146.67303,-133.67372,273.8096,0.1848436,330.0485,133.6053,249.4848,592192,592791,1
13,76.192474,101.61941,41.702503,145.85748,-71.74732,122.76815,-20.68875,153.21988,-132.52124,250.24762,1.3754115,333.13373,135.5142,257.2697,663368,592791,0
14,78.21654,100.889496,38.909203,147.16646,-70.92932,123.69835,-21.166111,153.11206,-130.89934,255.83871,-3.6150303,326.53497,132.73027,253.36517,605170,592791,0
15,68.12988,103.38721,24.550987,152.27281,-73.68098,120.46761,-33.108925,149.5438,-133.89656,269.1561,5.300096,342.03833,131.43645,261.75226,518626,592791,1
16,73.73733,102.34457,33.93967,149.23048,-71.20834,123.383804,-27.060812,151.56433,-137.3825,252.99315,-4.710347,332.39862,135.51117,256.99176,605170,665871,0
17,61.481808,103.581726,19.398544,153.49837,-78.33548,114.245255,-41.291237,146.05719,-136.67528,264.86755,-4.8907995,337.9825,132.40698,255.361,621438,665871,1
18,74.09495,102.24951,42.1298,145.6474,-70.27778,124.422104,-15.732036,154.18832,-130.16196,253.91652,-5.267167,325.11182,134.79718,261.57867,605170,669713,0
19,68.568375,103.33523,16.566263,154.04443,-74.64333,119.2654,-34.73139,148.92358,-136.6178,264.55746,2.5387135,336.57755,132.72435,257.21503,642715,669713,1
20,68.503006,103.34329,29.44171,150.82268,-73.27008,120.96896,-25.782825,151.93439,-124.221344,263.34122,8.254202,340.58484,136.67375,255.93044,661388,696136,1
21,62.989925,103.63472,18.30147,153.72046,-76.15934,117.28694,-38.422585,147.38329,-133.07417,257.9543,-0.20101129,334.5961,128.25299,258.6808,592192,696136,1
22,60.951344,103.54953,19.553747,153.46585,-75.75693,117.82267,-38.41438,147.3869,-125.24371,267.55344,7.5497756,332.65472,130.67114,247.09622,655316,696136,1
23,74.971664,102.00136,39.694057,146.8098,-70.292755,124.405624,-14.752283,154.3476,-128.18005,253.86174,-10.719882,327.60184,135.99374,258.83884,605170,643410,0
24,65.28998,103.60596,17.300339,153.91144,-72.68676,121.668915,-34.904373,148.85544,-130.48032,254.02104,-4.8240037,337.65027,132.53716,251.42558,642715,640470,1
25,74.7672,102.06115,29.956264,150.65332,-74.1357,119.904526,-31.491194,150.12871,-136.83289,256.65912,-9.753185,330.49237,131.21547,261.35425,605170,657240,0
26,75.911385,101.71115,38.804897,147.2132,-72.18016,122.2659,-19.81612,153.41028,-142.22385,250.12396,-20.454191,337.9772,121.56586,256.69904,669003,657240,0
27,63.30768,103.63862,12.383224,154.68947,-77.102905,115.99902,-44.18333,144.60014,-129.50116,280.91058,5.9539137,349.26987,135.27057,258.84616,518626,657240,1
28,78.6493,100.717224,47.044056,143.03397,-63.055435,131.5564,-10.3225155,154.93753,-129.16994,252.56595,-1.23606,329.9231,136.3652,255.02774,605170,543294,0
29,54.243954,102.52076,8.266373,155.13968,-78.17259,114.48191,-44.75795,144.29575,-142.0838,259.47928,-6.3086543,334.1669,119.315346,254.69423,642715,543294,1
30,75.20548,101.93149,40.547447,146.41219,-65.48183,129.32681,-13.249692,154.57149,-118.8489,247.11246,6.544147,329.61523,131.65247,255.86778,686217,543294,0
31,78.59361,100.739716,46.080368,143.57587,-65.62129,129.19386,-8.186094,155.14664,-120.27249,268.41107,8.545421,331.0033,143.6681,259.29434,467793,543294,0
32,74.66388,102.09092,36.63875,148.15045,-67.204185,127.64609,-19.831852,153.40692,-125.05403,259.6027,0.04724659,339.95053,129.0487,257.78918,592885,543294,0
33,76.7557,101.428604,44.951378,144.19214,-63.87361,130.82184,-9.051791,155.06778,-127.1811,249.63486,-0.21760578,326.86752,125.10057,264.0984,668930,543294,0
34,64.048805,103.63791,16.860058,153.99191,-77.26005,115.78006,-37.925056,147.60161,-133.21437,265.4542,-0.27843568,337.06158,134.79895,251.00237,661388,543294,1
35,75.407036,101.87005,37.42729,147.81665,-68.83663,125.971504,-17.67147,153.84195,-132.41533,268.37698,-10.279919,345.991,121.753624,264.7161,671739,669713,0
