matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,74.08041,102.25343,28.542112,151.11096,-73.24684,120.99711,-31.677612,150.06299,-133.13155,256.0658,3.2847054,330.91232,132.08295,258.1,669003,572888,0,FC
1,65.24294,103.607864,22.566673,152.78079,-78.46924,114.04978,-38.644066,147.285,-138.84996,258.79086,-5.9408684,333.17773,123.04414,248.83719,518626,572888,1,ST
2,73.29554,102.45714,30.168652,150.58247,-71.7126,122.80813,-24.631844,152.25114,-135.13235,251.62215,-10.018251,333.51993,121.48315,259.37186,605170,572888,0,FF
3,69.47213,103.212524,29.523167,150.79608,-71.92027,122.568306,-27.030827,151.57324,-134.98756,262.54364,0.63707095,338.01086,125.43865,267.4792,669003,608648,0,FF
4,61.560028,103.58588,16.172688,154.11327,-73.65352,120.50133,-34.95673,148.83475,-131.27312,269.56723,7.833193,338.2354,140.77168,258.51053,518626,608648,1,FF
5,65.6868,103.5876,26.550694,151.71437,-76.26037,117.151184,-36.55748,148.18439,-136.81769,259.4354,-2.8719425,323.69907,120.32323,246.82755,592192,608648,1,SL
6,80.49894,99.913635,55.022903,137.94339,-61.646152,132.78244,-2.6665936,155.46255,-131.39636,258.16876,1.5458874,334.52332,133.33629,255.0021,592885,694037,0,SL
7,66.31052,103.55075,24.242016,152.35492,-74.26719,119.74007,-30.249853,150.55524,-140.118,256.5147,-21.942245,331.16132,119.94149,264.3212,668930,694037,0,FF
8,63.83432,103.63953,20.458216,153.27101,-74.57553,119.351425,-35.944473,148.43745,-120.703445,263.3567,10.418715,335.95435,138.94264,253.08073,621438,694037,1,FF
9,62.70822,103.629135,15.6808,154.19693,-75.67248,117.93411,-40.70862,146.33594,-133.1917,269.70447,5.0199976,326.8116,126.51956,251.09007,642715,694037,1,SL
10,58.6749,103.33064,11.764006,154.7688,-77.75257,115.085144,-44.169117,144.6076,-144.67064,259.19232,-11.368373,324.7174,121.02606,255.90274,621438,592791,1,ST
11,66.42983,103.54259,15.202529,154.2757,-79.21458,112.94092,-42.595947,145.41516,-129.47427,260.85605,6.888987,329.29993,128.08298,251.88136,661388,592791,1,ST
12,62.139675,103.61185,16.54148,154.0488,-78.034355,114.68153,-43.118546,145.151,-133.89575,257.0006,-3.7990649,321.95874,127.878265,251.71976,592192,592791,1,ST
13,73.4918,102.40779,34.48881,149.0185,-74.09896,119.95035,-25.58556,151.98978,-127.618416,248.3304,-1.9275829,329.42154,129.22043,263.31796,663368,592791,0,FF
14,69.83806,103.156876,29.684069,150.74332,-70.89539,123.73642,-24.42913,152.30533,-128.83876,254.35838,-5.662177,328.00775,129.50714,260.34213,605170,592791,0,FF
15,71.2569,102.90809,34.029366,149.19612,-66.96919,127.88047,-15.106934,154.29115,-131.96346,274.19727,7.2368073,344.1721,144.40189,266.1563,518626,592791,1,FF
16,68.6337,103.32706,28.445757,151.14127,-71.58393,122.95592,-28.437578,151.14383,-124.37135,263.37808,2.739204,329.37463,128.04326,251.2544,661388,592791,1,FC
17,79.25879,100.46463,45.12928,144.09634,-72.30885,122.11517,-16.004261,154.14221,-129.29303,253.46999,-1.1810216,324.34457,132.40318,254.0711,605170,665871,0,FC
18,58.89753,103.35786,17.110775,153.94635,-76.13538,117.319046,-39.939148,146.69666,-138.50098,262.8792,-15.4851055,329.28305,118.7318,246.34425,621438,665871,1,SL
19,76.81949,101.4064,37.73112,147.68579,-71.18825,123.40654,-22.632532,152.76466,-125.58553,251.19968,-2.846784,322.56134,138.07654,252.89081,605170,669713,0,FC
20,66.72287,103.52103,18.511766,153.67894,-77.25612,115.78556,-40.979527,146.20694,-138.89243,259.12067,-8.17904,326.14624,122.33121,250.57866,642715,669713,1,ST
21,69.15668,103.25775,30.614697,150.43187,-67.07564,127.774506,-20.882627,153.1764,-120.46194,261.49542,6.7724876,331.04843,134.28828,252.63562,661388,696136,1,SI
22,70.105286,103.11404,28.435627,151.14444,-75.36282,118.33983,-24.807512,152.2038,-131.36728,268.89462,2.4829814,337.0081,138.31314,249.62962,592192,696136,1,FF
23,65.95005,103.57324,28.476698,151.13156,-73.5249,120.65886,-30.321724,150.53107,-127.12145,270.88193,9.757919,335.60013,132.3212,248.00838,655316,696136,1,FF
24,63.593685,103.63997,13.184894,154.5806,-76.88921,116.2947,-40.3974,146.48285,-141.18925,259.4654,-8.915332,325.0519,125.71851,251.17418,592192,696136,1,CH
25,76.61951,101.4756,43.127434,145.14647,-68.078316,126.759674,-16.526386,154.05148,-133.59494,254.47777,-0.687449,335.07806,131.58685,257.9311,605170,643410,0,FC
26,62.069603,103.60915,15.6487665,154.20227,-78.162155,114.49702,-39.785103,146.76787,-134.10742,263.79745,-5.0433245,330.52148,124.17283,252.23631,642715,640470,1,SL
27,70.34728,103.07365,30.184963,150.57701,-74.44266,119.51942,-28.224274,151.21048,-134.13786,250.01215,-10.303929,335.64975,123.14089,257.41574,605170,657240,0,FF
28,65.98749,103.57106,17.388912,153.89499,-72.83777,121.48901,-33.1805,149.51715,-137.06734,257.78336,-7.6218185,336.10223,121.132866,262.7243,669003,657240,0,FF
