matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,69.710815,103.176636,33.790913,149.28725,-71.16563,123.43213,-21.639923,153.0025,-138.54745,261.99475,-9.601271,342.5463,123.5778,267.0668,676761,641427,0,FF
1,80.52701,99.90057,51.10389,140.58366,-71.626366,122.90724,-18.488026,153.68365,-125.822914,252.48798,-2.552486,321.20142,134.68959,251.63686,680700,641427,0,FC
2,66.16736,103.560074,16.669846,154.02603,-76.16101,117.28468,-40.578293,146.39763,-129.10545,262.72882,-5.5085607,330.77182,131.56494,258.76877,663609,641427,1,CU
3,64.37411,103.633255,24.513474,152.28284,-71.37822,123.19091,-29.436626,150.82434,-122.911896,266.83856,7.638618,330.44467,138.50266,249.87009,691023,641427,1,SI
4,67.33557,103.46891,21.803446,152.9641,-73.87233,120.231735,-35.581005,148.58514,-132.68095,265.8386,2.1530914,335.70932,124.26701,255.49236,669242,622065,1,SI
5,67.84146,103.41873,31.503717,150.1243,-73.051735,121.23256,-25.330215,152.0608,-122.047905,265.6332,8.178483,336.8497,136.38799,247.89293,691026,622065,1,SI
6,63.25806,103.63817,19.394741,153.49916,-73.48526,120.70729,-33.60904,149.35625,-131.28488,260.6634,-2.5281675,332.60843,125.78677,250.86383,691023,668881,1,SL
7,67.20109,103.48116,21.188068,153.10706,-75.23128,118.51082,-38.760742,147.23294,-132.14206,246.63866,-14.390385,324.67197,125.87465,257.14944,669242,668881,0,FF
8,65.57802,103.59302,28.052542,151.26373,-69.336136,125.44229,-27.288626,151.49632,-125.86893,262.25955,2.4231653,331.66428,128.87422,252.34,691026,668881,1,SL
9,76.72632,101.43878,39.684998,146.81396,-63.204533,131.42381,-19.419823,153.49393,-122.19686,254.80003,5.4456263,328.579,135.38823,250.32686,669242,668881,0,SL
10,71.59046,102.84192,32.24992,149.85852,-72.48494,121.90793,-26.908728,151.60939,-130.84273,255.69868,-2.66992,330.69574,122.46488,260.04214,680700,668881,0,FF
11,71.748764,102.80948,38.546635,147.32832,-67.26929,127.58087,-14.423373,154.3987,-122.0904,258.98425,14.553452,333.6832,142.9623,253.26643,691023,668881,1,FF
12,77.362564,101.21248,43.086338,145.16739,-72.521614,121.86461,-21.214964,153.10089,-140.55498,262.48026,-21.612629,341.52512,123.548004,264.4646,663457,668881,0,FF
13,76.80835,101.410286,45.0333,144.14809,-69.51346,125.25245,-10.14777,154.95645,-121.68694,256.18237,4.826416,328.85532,130.74881,256.21527,663457,664139,0,CH
14,70.76118,103.00101,26.056519,151.85677,-77.9848,114.75284,-36.516975,148.20126,-131.96794,266.23874,2.381651,336.45023,132.28157,248.10443,660766,664139,1,FF
15,78.8886,100.61945,45.102226,144.11093,-68.6185,113.214005,-12.170937,154.71713,-119.82614,250.90721,3.721981,318.97824,134.84904,241.7446,669242,608371,0,SL
16,71.895065,102.7789,43.208107,145.10532,-59.894398,134.24051,-7.3927565,155.21191,-125.97232,261.74768,13.926821,334.21112,140.03687,251.94443,691026,608371,1,FF
17,74.07905,102.253815,37.157764,147.93169,-72.75435,121.5885,-23.11414,152.6452,-128.73235,262.1613,5.645563,337.11545,132.11848,266.24692,691023,594580,1,FF
18,73.58339,102.3844,40.637253,146.36975,-69.59016,125.17001,-18.157856,153.74855,-123.321144,254.15588,-1.9588104,329.1061,135.61847,252.86525,669242,594902,0,CH
19,63.526024,103.63984,25.576239,151.99239,-67.89104,126.95154,-24.455166,152.2984,-130.23961,267.29886,-2.2514,323.8123,113.68177,252.4772,691026,594902,1,ST
20,77.098495,101.30788,45.44254,143.92647,-72.04297,122.42585,-15.255636,154.26709,-127.258575,249.80751,4.1828027,325.29727,143.43909,250.26706,680700,594902,0,ST
21,60.4866,103.5155,18.344248,153.71207,-74.601524,119.318474,-37.884323,147.61932,-129.23671,262.99286,0.1420134,332.59512,123.49247,251.69574,691023,571656,1,SL
22,77.408554,101.19565,43.160114,145.12982,-70.48859,124.18955,-17.73548,153.8298,-117.627205,250.88286,7.081228,324.71338,141.99477,247.77893,669242,518585,0,FC
23,64.50181,103.63071,22.156363,152.88017,-79.271996,112.85409,-39.45437,146.91963,-146.36172,260.5116,-8.169191,324.86618,122.803314,245.30159,660766,686730,1,ST
24,77.43267,101.1868,39.35782,146.96365,-73.544716,120.63464,-26.72202,151.66432,-133.5496,250.52887,4.057546,331.4056,133.46156,256.42053,578570,686730,0,FC
25,76.874985,101.38699,38.840878,147.1971,-71.65777,122.871185,-19.744349,153.42557,-130.17288,250.55081,1.3547225,330.34872,133.34238,258.49612,676761,686730,0,FF
26,71.721115,102.81518,34.718166,148.92877,-65.870094,128.95532,-17.701654,153.83623,-123.679565,258.75455,7.9823728,320.0015,130.62885,249.79631,691026,686730,1,SI
27,77.27292,101.2451,38.978878,147.13513,-70.83931,123.799225,-20.666811,153.22476,-131.50974,251.5141,1.3101597,329.74417,135.53215,253.49419,680700,686730,0,FF
28,60.64859,103.527985,19.156559,153.54852,-77.15599,115.9252,-37.979992,147.57767,-136.99324,258.40897,-14.107322,323.9042,124.64207,252.44098,665877,686730,1,ST
29,67.38582,103.46422,23.382456,152.57747,-78.2564,114.36034,-41.072334,146.1625,-142.83817,256.8978,-9.120075,326.28198,124.061676,251.75032,668800,682227,1,CU
30,74.80654,102.04974,41.99449,145.71422,-66.039894,128.79152,-13.201982,154.5782,-133.10027,254.11018,-10.271253,328.19733,122.80445,263.6137,672279,682227,0,FF
31,69.81562,103.1604,22.144176,152.88309,-77.73188,115.1146,-39.855644,146.7353,-127.70266,256.44067,-1.3427904,322.0237,124.71122,251.70206,425794,682227,1,FC
32,70.20478,103.09761,32.964436,149.5974,-71.52944,123.01832,-29.320726,150.86203,-127.39337,272.02118,10.131073,337.53967,137.65654,250.63855,691026,682227,1,FF
33,73.33588,102.44708,42.66616,145.37991,-69.91328,124.820564,-18.807442,153.6197,-119.52081,254.33157,3.3365755,330.61826,124.806526,258.0773,680700,682227,0,FC
34,66.96925,103.501205,28.389116,151.15903,-75.027214,118.774506,-28.368721,151.1654,-131.43813,262.75775,11.878564,332.01965,138.99094,253.67984,691023,682227,1,FC
35,68.0694,103.394,25.942467,151.88922,-74.439224,119.52374,-30.821249,150.3613,-127.750145,257.23752,0.6554732,324.88278,129.18999,244.44167,691026,682227,1,FC
36,61.672695,103.59158,16.06396,154.13199,-79.372604,112.70145,-47.27467,142.9021,-138.1014,255.25172,-9.595556,327.6168,120.87129,255.59877,665877,682227,1,CH
37,65.75641,103.58397,16.730185,154.01524,-77.16347,115.914795,-41.229824,146.0868,-137.74269,268.47168,0.17192137,327.03284,129.49544,251.71317,663609,682227,1,FC
38,63.790577,103.63971,21.913458,152.93808,-76.49428,116.834946,-38.219288,147.4729,-134.37692,260.87543,1.7989906,330.10477,131.76593,249.84593,691023,682227,1,CH
39,67.737526,103.42958,27.233433,151.51286,-73.69958,120.44475,-34.977303,148.8266,-129.4627,266.5411,0.88833046,343.00052,136.99861,258.87686,502671,682227,1,FF
40,72.611145,102.620995,32.16216,149.89014,-76.90975,116.26639,-31.869698,149.99481,-130.65195,264.6528,-1.3726385,325.5219,134.02847,250.17305,669242,682227,1,FC
41,76.979774,101.35008,43.144978,145.13753,-65.49789,105.29821,-22.40643,152.81984,-122.37273,245.15898,3.2623436,315.13235,150.23727,241.71579,608070,664139,0,ST
42,63.976173,103.63858,13.36309,154.55545,-75.370834,118.329384,-38.303623,147.43579,-132.3689,233.59068,-18.44545,325.57336,124.618546,262.89813,680757,664139,0,FF
43,64.88087,103.62074,21.596342,153.0127,-77.34771,115.65733,-37.76061,147.67302,-129.48059,262.41373,-4.820209,326.04837,125.362686,251.95537,595956,594902,1,SI
44,75.80643,101.74483,42.327736,145.54918,-71.91254,122.57727,-20.257671,153.315,-127.978676,255.06288,-5.210651,331.21725,125.41591,256.05975,677587,571656,0,CH
45,73.248726,102.46875,38.355484,147.41293,-65.10774,129.68079,-14.053858,154.45471,-118.594055,263.8736,13.708198,338.6575,136.20715,252.06818,671289,571656,1,FF
46,74.74417,102.06781,43.48743,144.96208,-70.15351,124.55846,-15.160856,154.28244,-122.472595,255.86362,1.9241165,325.09457,130.13094,255.41713,647304,622065,0,CU
47,70.559456,103.036964,28.719097,151.05502,-68.91539,125.88861,-23.031837,152.6658,-125.36769,258.3291,7.6687465,328.2554,126.40772,251.94597,671289,650960,1,SI
48,72.61724,102.6196,32.200832,149.8762,-72.37224,122.04072,-24.905361,152.17728,-131.6275,244.83498,-1.6311531,327.17902,129.12709,259.29047,680757,671096,0,FF
49,73.355774,102.4421,35.04595,148.79938,-68.05068,126.78805,-18.595306,153.6623,-122.354706,270.28577,17.153927,328.1265,135.25153,244.41939,664702,671096,1,FF
50,71.02535,102.952286,28.460268,151.13672,-75.34091,118.36836,-30.338129,150.52554,-128.11469,266.6536,2.412981,341.3582,139.31976,250.76076,657656,671096,1,FF
51,60.97343,103.55101,15.203367,154.27557,-78.02941,114.688675,-39.253834,147.0109,-141.94464,253.38098,-18.559046,324.01138,125.08449,252.01674,608070,671096,1,ST
52,70.65709,103.0197,22.813719,152.72003,-68.52504,109.34579,-38.139343,147.508,-132.42024,252.51062,-3.6650295,337.26898,131.86287,261.5446,666310,608371,0,FF
53,67.58616,103.44487,25.039589,152.14072,-75.02987,118.77109,-31.174137,150.23947,-132.97769,249.85652,-8.804293,325.72653,121.92411,263.58365,686823,608371,0,FF
54,78.95129,100.59354,48.02546,142.4668,-66.01459,128.816,-12.921127,154.61719,-124.84513,259.6811,6.9424577,328.12152,141.23813,249.07158,647304,518585,0,FC
55,79.96286,100.158005,46.356243,143.42224,-67.923645,109.4362,-21.18395,153.108,-123.34073,251.34662,3.7937188,328.20282,144.38733,248.13095,608070,518585,0,FS
56,67.50508,103.45282,21.536139,153.02673,-74.42642,119.53989,-30.777618,150.37624,-128.60014,240.16441,-13.132809,329.08936,126.70771,258.96927,680757,518585,0,FF
57,73.198364,102.481186,40.605167,146.38492,-63.609253,131.06107,-11.294316,154.82623,-124.35593,263.35596,19.336283,331.06998,134.29951,244.50423,664702,518585,1,FF
58,63.700855,103.63995,21.97498,152.9235,-73.43644,120.76682,-30.383003,150.5104,-138.94772,248.07785,-10.083071,326.059,124.04281,260.95227,666310,594580,0,FF
59,67.68668,103.43477,25.35822,152.05305,-71.52227,123.02651,-29.113855,150.9289,-127.15215,245.78148,-6.7096753,326.50146,124.71264,255.05576,686823,594580,0,SI
60,70.62581,103.02525,28.413012,151.15154,-72.59072,121.782845,-26.043701,151.86041,-128.01334,255.37979,7.6518946,325.94412,133.93716,249.40793,671289,594580,1,FF
61,76.1269,101.64102,38.986526,147.1317,-71.894966,122.597626,-22.661413,152.75757,-134.38747,253.9145,-2.7347794,325.71362,126.59307,258.15466,686823,668881,0,CH
