matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,75.75478,101.76128,34.984634,148.8237,-72.99219,121.30412,-25.214998,152.09259,-132.34299,261.3427,-1.980253,332.55368,136.89954,256.7646,663837,660853,1
1,67.77043,103.42618,21.471758,153.04169,-75.84796,117.702156,-34.959675,148.83359,-144.38272,264.64243,-8.4348135,334.705,127.33632,252.01532,679529,680704,1
2,77.00167,101.34233,42.329556,145.54828,-69.43179,125.34001,-17.772673,153.82272,-129.53555,264.9552,9.964627,331.31882,141.70563,252.04749,678009,680704,0
3,63.60963,103.639984,14.150463,154.44022,-76.97274,116.17941,-38.238773,147.46434,-133.8579,270.77878,1.0705831,344.28403,138.18883,258.2518,595879,608337,1
4,77.386795,101.20361,43.339043,145.03833,-72.49153,121.900154,-16.40339,154.07312,-132.75362,249.66725,-5.8483505,333.07852,142.47272,258.48303,668731,608337,0
5,60.49594,103.516235,16.493748,154.05724,-74.859764,118.989456,-35.10761,148.77489,-133.87889,263.22104,-0.06467518,334.50854,128.96338,252.04208,628451,608337,1
6,70.75279,103.00252,35.430374,148.64584,-72.534805,121.849014,-22.53032,152.78967,-141.97278,267.28656,-0.33631527,334.12103,135.98952,251.14714,663837,608337,1
7,79.39472,100.40668,50.046604,141.24861,-61.567368,132.84956,-4.9868207,155.36902,-136.83513,258.2046,-0.30069128,327.77594,133.58289,260.6068,681481,675540,0
8,69.517166,103.20587,34.92317,148.84802,-68.59502,126.22461,-16.65574,154.02853,-129.17195,274.98703,11.385443,340.28336,135.77191,258.21027,408234,675540,1
9,61.868385,103.60074,13.564959,154.52655,-77.98929,114.7464,-41.532116,145.94052,-135.41856,284.7431,3.1947243,342.811,135.8206,260.13232,679529,675540,1
10,78.384636,100.82327,46.13834,143.54369,-69.38184,125.393456,-14.917197,154.32152,-125.893776,253.91429,-6.7710214,332.14218,126.62315,264.9635,678009,675916,0
