matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,65.85467,103.57864,21.200865,153.10413,-76.04613,117.438446,-38.4446,147.37355,-134.6597,264.6166,-5.748601,331.3798,119.93973,252.38608,663837,660853,1,SL
1,60.88061,103.54471,22.230019,152.86247,-78.20264,114.43837,-40.469723,146.44882,-153.93422,255.6993,-10.377293,324.66608,121.033325,246.83752,679529,680704,1,SL
2,73.53761,102.39612,32.261444,149.85434,-72.98903,121.30792,-25.805048,151.9281,-132.17851,258.992,-4.5987625,330.81296,130.84682,258.7279,678009,680704,0,FF
3,61.64662,103.5903,16.504236,154.05539,-76.32577,117.06304,-39.243343,147.01566,-124.89586,265.61655,1.9844117,328.77277,128.4924,253.96301,595879,608337,1,SL
4,76.89383,101.38037,44.321487,144.5274,-69.09787,125.69574,-16.102982,154.12527,-122.65585,249.17201,1.0442247,324.4084,138.29068,255.96765,668731,608337,0,CU
5,55.128216,102.72388,11.332562,154.82166,-78.66095,113.76776,-45.377068,143.9621,-136.6211,254.05087,-18.108038,332.4628,122.02214,253.6458,628451,608337,1,CH
6,59.541313,103.42946,9.205703,155.05292,-79.000015,113.26361,-47.415565,142.8211,-149.54434,267.2729,-6.226314,336.92142,126.19255,259.44397,595879,608337,1,CH
7,69.365074,103.22818,25.815939,151.92503,-69.94934,124.78133,-24.98316,152.1561,-127.61,265.57968,16.271389,334.29114,143.92844,255.32236,663837,608337,1,FF
8,77.743256,101.07124,36.17571,148.34258,-72.944984,121.36074,-26.419716,151.7524,-132.23817,252.37515,-8.072697,332.0733,126.37481,273.17065,668731,608337,0,FF
9,74.85443,102.03578,36.42662,148.23883,-71.21932,123.37137,-26.097012,151.84521,-134.21234,260.43326,-3.2457306,338.475,127.169624,263.39587,681481,675540,0,FF
10,64.28876,103.634735,20.917984,153.16843,-66.12939,128.70486,-21.805845,152.96353,-126.53095,268.12045,9.842701,342.85168,141.14287,255.95743,408234,675540,1,FF
11,67.53531,103.449875,12.072942,154.72974,-75.05581,118.73767,-40.078217,146.63208,-131.5745,268.6635,5.9577026,345.48376,135.10498,257.2831,679529,675540,1,FF
12,74.70427,102.079315,38.584946,147.31131,-74.25649,119.75347,-28.722063,151.0541,-134.3597,250.4691,-1.5697116,328.07047,129.99895,261.50415,678009,675916,0,FF
