matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,68.88402,103.294754,34.368107,149.06541,-66.79913,128.04907,-22.599915,152.77266,-118.54538,270.4091,13.186693,335.21616,142.5241,243.78584,456781,641755,1
1,75.071686,101.971664,38.60156,147.30392,-74.2043,119.81882,-24.35757,152.32434,-135.64388,243.53362,-7.771003,331.68518,124.4807,261.26,664057,641755,0
2,65.15012,103.61147,20.9198,153.16803,-73.7067,120.43599,-33.513706,149.39224,-137.477,260.90448,-9.264591,332.58243,119.391685,256.71375,680777,664875,1
3,69.775116,103.1667,32.156044,149.89233,-67.920555,126.92138,-23.080622,152.6536,-126.017,257.2643,8.911246,334.0821,125.42783,250.11119,456781,656234,1
4,71.681175,102.82341,32.22354,149.86801,-70.01746,124.70714,-23.914768,152.44066,-136.16101,252.10213,-14.506775,331.882,130.2018,262.02194,664057,656234,0
5,70.16465,103.10426,32.26521,149.853,-73.10144,121.17273,-27.879066,151.31717,-133.98866,260.94275,4.1374483,335.39798,125.46965,259.00772,571657,657756,1
6,68.6267,103.32794,31.447067,150.1442,-71.54906,122.995865,-24.172829,152.37314,-124.75986,268.51263,16.891521,338.60034,131.73114,254.67767,456781,657756,1
7,73.325386,102.4497,35.7913,148.49991,-72.857994,121.46486,-26.058504,151.8562,-128.80765,252.18678,-13.939247,328.78925,129.74951,262.34622,650489,657756,0
8,74.33684,102.18318,43.216274,145.10115,-66.19436,128.64182,-14.16073,154.43867,-134.58095,258.46698,-6.358755,339.94595,127.84511,263.92224,666397,657756,0
9,80.72727,99.806625,46.209812,143.50394,-70.16487,124.54601,-19.895744,153.39326,-132.18927,257.88443,3.8367968,335.48083,135.31847,258.82108,596146,657756,0
10,61.848095,103.59983,15.919509,154.15665,-76.39309,116.97209,-36.427315,148.23853,-139.60895,260.37485,-3.6653724,335.8615,124.28663,254.29922,656669,657756,1
11,62.34105,103.6189,14.930883,154.31934,-79.05146,113.18649,-43.706005,144.84918,-142.23929,257.33786,-13.094298,333.2485,115.95629,252.02351,571657,608718,1
12,70.687775,103.014206,29.141615,150.91995,-73.729996,120.407326,-31.944324,149.9682,-138.85655,257.95264,-0.5119272,332.4532,130.74959,244.5865,456781,608718,1
13,74.577446,102.1156,41.66715,145.87476,-68.23709,126.596146,-17.265165,153.91795,-140.90825,258.73624,-7.8490515,342.24374,125.45076,264.4693,663616,680767,0
14,67.946976,103.407455,25.09999,152.12418,-73.718994,120.42087,-30.24753,150.55603,-148.76945,246.57343,-17.663977,334.4039,118.477715,268.3368,664057,680767,0
15,68.388466,103.35715,26.694078,151.67252,-71.40205,123.16377,-29.477432,150.81102,-131.9671,268.17233,12.298567,330.00812,136.44044,250.00555,656669,680767,1
16,75.23128,101.923706,39.525234,146.88724,-69.79971,124.94378,-21.891304,152.94333,-135.95131,261.48184,-9.645167,335.74377,125.30376,268.13974,663616,656382,0
17,65.399826,103.601265,28.248055,151.20306,-70.06172,124.65883,-26.230595,151.80693,-121.925,263.64615,7.5525813,341.92072,135.88286,251.00821,456781,656382,1
18,66.02083,103.56908,14.699321,154.3559,-77.6765,115.193344,-38.551815,147.32602,-129.3607,257.6773,7.575212,337.38876,131.54474,251.08633,543877,666154,1
19,78.77542,100.665924,49.187553,141.77475,-62.319996,132.2023,-2.172769,155.47516,-119.79156,265.51978,5.7161536,332.77972,135.4855,260.29913,663616,666154,0
20,74.74742,102.06688,45.89468,143.67859,-59.164352,134.82751,-5.7362666,155.32666,-132.15227,261.22784,0.7499112,330.99106,136.11125,258.42407,670242,666154,0
21,67.34355,103.46817,31.490309,150.12901,-71.83333,122.668915,-25.522219,152.00748,-134.38135,269.96475,-1.1488724,329.26956,132.88496,253.71886,456781,666154,1
22,77.55751,101.1407,47.672066,142.67282,-66.24052,128.59695,-11.389861,154.81474,-125.0153,252.69217,-2.4159477,326.65042,131.81465,264.4811,596146,666154,0
23,75.70303,101.77768,42.20083,145.61221,-68.49808,126.32564,-19.606089,153.45483,-123.96495,244.72939,2.5919054,328.95328,130.01147,259.56195,650489,666154,0
24,63.8148,103.63962,19.533535,153.47011,-75.04376,118.7532,-37.990128,147.57324,-131.407,267.56345,1.9155918,330.71127,123.50694,255.63953,572191,666154,1
