matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,70.27196,103.08638,35.157944,148.75485,-65.309654,129.4902,-17.531296,153.86838,-123.90325,260.9157,12.159313,334.75598,143.53134,248.96396,456781,641755,1,FF
1,73.169044,102.48839,34.47796,149.0227,-72.07549,122.388,-26.115389,151.83995,-132.7902,248.59914,-11.060751,328.48425,122.91137,261.9517,664057,641755,0,FF
2,70.44689,103.05658,33.040134,149.56935,-72.13827,122.31482,-22.047596,152.90619,-124.70256,263.68033,4.025133,328.8683,131.82364,252.54243,680777,664875,1,SI
3,70.497444,103.0478,27.965023,151.29074,-71.59771,122.940125,-28.042295,151.2669,-123.6612,260.5288,2.9637508,326.71097,129.5522,249.9003,456781,656234,1,SI
4,74.78403,102.056274,34.244286,149.11337,-70.62953,124.03322,-24.55735,152.27112,-131.32439,258.52435,-3.9479797,325.19147,122.24842,258.6983,664057,656234,0,SI
5,49.677826,101.1241,6.3589873,155.28693,-78.84803,113.490456,-47.691505,142.66156,-140.4079,254.13591,-5.0305004,328.9807,121.06069,258.98352,571657,657756,1,CH
6,67.98863,103.40291,32.463943,149.78098,-67.65238,127.194496,-18.535204,153.67429,-124.13851,259.23615,10.178278,332.16003,136.17247,257.5395,456781,657756,1,FF
7,76.28093,101.59006,44.590324,144.38506,-67.03765,127.81236,-13.990471,154.46417,-124.7882,255.29117,1.2001889,322.28168,138.56175,246.82558,650489,657756,0,CU
8,72.66474,102.60863,28.678244,151.06798,-69.13882,125.65232,-22.8752,152.7048,-136.3228,255.99464,-12.269563,337.4312,122.0512,266.5573,666397,657756,0,FF
9,75.75666,101.76068,34.613388,148.96985,-75.89319,115.62812,-26.474277,151.73657,-124.75939,245.32689,-0.7542739,329.3039,139.98819,257.85025,596146,657756,0,CH
10,62.10603,103.61057,19.69356,153.43634,-76.086266,117.384796,-38.803085,147.21402,-139.11339,265.70987,-6.8052154,329.97797,122.80385,257.6924,571657,657756,1,SL
11,51.91441,101.88278,4.0767903,155.41248,-80.12569,111.537964,-49.103355,141.82565,-144.75853,250.84607,-11.284552,331.76178,120.284065,254.75089,656669,657756,1,CU
12,72.402504,102.668434,32.368996,149.81544,-71.71812,122.80178,-28.555756,151.10667,-134.02353,262.82388,-6.640117,341.33118,130.46718,267.86334,596146,657756,0,FF
13,63.67326,103.639984,26.960539,151.59407,-75.23635,118.504234,-31.154423,150.24632,-138.52977,260.7669,-12.643151,334.12268,124.60631,249.9069,571657,608718,1,FF
14,67.1064,103.48952,31.707829,150.05229,-75.19227,118.56137,-30.727648,150.39334,-128.2076,267.98932,9.061686,328.15067,130.113,253.32416,456781,608718,1,SI
