matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,76.6084,101.4794,47.671627,142.6731,-63.49332,131.1654,-9.243741,155.04921,-130.99869,258.55267,5.9248652,333.89844,130.12389,246.48314,663757,686539,0
1,76.22924,101.60723,39.355762,146.96458,-70.255035,124.4471,-17.547121,153.86542,-125.0227,248.40382,6.8415165,318.45258,137.44574,246.036,595777,543766,0
2,68.160416,103.38374,23.605412,152.52057,-75.49583,118.16611,-33.78344,149.29008,-133.51746,259.738,-2.1093671,336.02368,129.27753,243.22408,673490,676979,1
3,70.76015,103.00119,34.45821,149.0304,-69.32132,125.45811,-20.642977,153.23007,-126.61235,254.12314,2.751654,329.90186,130.55095,252.35597,643265,670990,1
4,70.42063,103.06108,31.483208,150.13152,-72.842155,121.48377,-24.920446,152.17317,-129.17665,258.01593,10.655989,325.81393,136.22966,247.93356,676946,570632,1
5,68.93549,103.28792,35.76275,148.5115,-72.00896,122.46539,-24.947365,152.16586,-125.99046,268.67532,6.0006566,329.58423,128.29558,259.1594,643265,570632,1
6,70.66552,103.01819,37.276413,147.88116,-68.68233,126.13336,-16.755304,154.01074,-126.177055,257.75195,12.591452,328.36688,138.15953,250.40433,640492,570632,1
7,76.16858,101.627304,43.40752,145.00317,-65.87488,128.95071,-8.588936,155.11093,-133.3097,258.709,-11.236567,336.15506,131.00018,263.17456,596847,570632,0
8,62.61772,103.62694,18.926483,153.59558,-77.82158,114.98672,-40.11435,146.61526,-133.83029,262.96725,7.726205,324.75635,124.6342,241.13919,673490,570632,1
9,76.876755,101.38637,43.985046,144.70401,-66.21596,128.62083,-7.775445,155.18127,-126.30664,258.305,-3.260572,333.45987,129.00171,265.87344,664954,570632,0
10,77.11443,101.30217,45.35147,143.97601,-66.71925,128.12796,-10.431761,154.9255,-134.03888,253.61684,-5.8245263,334.62857,128.83707,252.77087,663757,570632,0
11,74.06733,102.25697,33.923573,149.23663,-69.951515,124.77898,-23.993378,152.42017,-132.10031,257.48788,0.44396415,328.74197,135.58376,245.6375,595777,570632,0
12,66.622284,103.52866,26.57253,151.70801,-73.598335,120.569,-32.09099,149.91571,-127.09484,271.52243,2.211527,331.98105,128.4465,256.04816,593428,570632,1
13,69.64412,103.18681,37.788315,147.66101,-67.928696,126.91305,-12.118288,154.72392,-123.81267,262.23483,15.936486,330.06857,140.09326,248.21094,640492,543766,1
14,68.03398,103.39793,26.776846,151.64822,-74.66332,119.24001,-29.575216,150.77905,-127.741684,262.77164,8.881446,332.023,134.75633,253.38957,676882,543766,1
15,63.59835,103.63997,21.459549,153.04453,-75.4246,118.25925,-34.710503,148.9318,-145.1242,257.33813,-1.0950006,329.70792,139.48523,244.12714,673490,672715,1
16,63.586613,103.63997,17.679522,153.84042,-75.603584,118.024765,-36.222332,148.32336,-132.39551,266.13428,17.450777,331.4757,142.81815,244.6182,593428,672715,1
17,76.28064,101.59015,44.546116,144.40854,-68.62225,126.196175,-14.041212,154.4566,-125.06769,247.93036,-9.356726,329.92776,138.24854,259.32217,664954,672715,0
18,74.90446,102.02115,38.263866,147.45331,-72.295006,122.131424,-16.252897,154.09938,-137.76576,261.24817,-7.473974,336.55988,131.71559,259.26984,596847,672715,0
19,78.032875,100.960846,39.867752,146.7297,-69.53154,125.23303,-24.59633,152.26068,-127.217705,250.62077,2.4397743,323.75327,138.7626,256.0947,595777,672715,0
