matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,77.09177,101.31028,44.215034,144.58347,-67.837395,127.0063,-13.780546,154.4952,-130.88478,261.6416,-2.579074,329.87027,135.23218,259.34235,663757,686539,0,SL
1,78.45913,100.79364,44.083748,144.65237,-76.7902,116.4309,-22.661592,152.75754,-121.29583,248.25266,5.3410625,324.05347,143.67795,245.7299,595777,543766,0,SL
2,68.50392,103.34316,27.453506,151.44672,-76.49569,116.83302,-31.709835,150.05159,-129.13414,263.08945,3.0341246,328.78268,132.95332,246.03775,673490,676979,1,FF
3,69.889946,103.14871,36.675102,148.13525,-70.33927,124.354416,-19.049559,153.57048,-124.59385,254.65836,4.4360375,325.38028,128.75487,256.41504,643265,670990,1,SI
4,73.61552,102.37614,33.819305,149.27643,-71.574005,122.967285,-22.165283,152.87802,-126.814026,255.91933,7.8670526,325.43518,133.21613,252.46962,676946,570632,1,SI
5,69.890015,103.14869,26.239687,151.80432,-74.22536,119.792465,-33.01811,149.57751,-126.75941,258.92325,5.7168007,330.22754,126.33804,255.10121,643265,570632,1,SI
6,69.47523,103.21208,34.12739,149.15845,-70.620186,124.04361,-24.41216,152.30984,-130.66876,262.13358,1.3867143,325.91876,123.22314,253.99458,640492,570632,1,SL
7,76.265495,101.5952,45.900257,143.6755,-68.005196,126.83471,-12.371482,154.69101,-126.88282,261.73352,-2.1504042,332.32016,122.83241,270.12726,596847,570632,0,CH
8,61.36513,103.57526,19.160442,153.54771,-76.02132,117.47157,-39.870758,146.72832,-137.37637,260.9432,-2.1340673,330.23846,121.658066,250.62036,673490,570632,1,SL
9,75.079956,101.9692,34.32932,149.08046,-69.77943,124.965744,-20.644531,153.22974,-134.44258,254.0015,-2.4629183,332.44675,122.509476,263.67264,664954,570632,0,SI
10,72.77906,102.58197,39.273064,147.00217,-68.861694,125.945145,-17.28625,153.91406,-137.93056,257.07095,-8.62647,333.32812,128.65526,257.3877,663757,570632,0,SI
