matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,75.42811,101.863556,43.317467,145.04938,-67.97792,126.86266,-17.603659,153.85477,-139.69553,257.86774,-15.020065,335.11783,121.87211,262.14426,686823,656638,0
1,63.54934,103.639885,18.413185,153.69847,-78.23565,114.39047,-38.79617,147.2171,-133.33727,256.98688,0.32090005,329.97894,124.5961,252.43297,657656,656638,1
2,77.36388,101.212006,41.59698,145.90897,-69.2925,125.48884,-19.547056,153.46727,-130.6748,264.50632,-3.5813441,342.42136,126.7639,264.0648,647304,676684,0
3,75.58578,101.81456,38.374516,147.40453,-71.50273,123.04886,-22.50512,152.79584,-132.29904,239.64172,-13.5842705,322.9483,132.09225,257.17804,680757,676684,0
4,73.49744,102.40636,36.12646,148.36285,-67.605995,127.241516,-21.896618,152.94208,-137.50731,253.73375,-8.0109825,335.74875,124.627144,262.78445,677588,593958,0
5,68.12087,103.38823,30.25209,150.55449,-74.4859,119.46483,-33.009308,149.58078,-129.86504,262.21265,2.7690113,335.17883,135.95663,243.65273,671289,593958,1
6,73.96316,102.28496,40.079243,146.6316,-69.176704,125.61209,-13.250738,154.57135,-133.24727,255.81519,-8.854827,332.42142,124.24242,266.6954,666310,593958,0
7,76.31375,101.5791,41.789825,145.81477,-67.11549,127.73475,-15.285309,154.26224,-140.11308,253.8771,-2.0166934,328.8951,130.5412,262.03717,647304,593958,0
8,65.39063,103.60167,18.137228,153.75256,-77.9656,114.78043,-40.06668,146.63745,-137.86472,268.34515,-11.248642,344.18588,123.79388,264.12283,608070,593958,1
9,69.32416,103.23407,28.478285,151.13104,-70.88226,123.75112,-29.12971,150.92378,-132.38533,244.32707,-16.413456,318.3661,122.14007,259.45627,680757,593958,0
10,66.38895,103.545425,27.696167,151.37311,-75.362854,118.33978,-33.283684,149.47864,-130.4579,264.29922,11.715621,330.13568,133.31332,252.66972,657656,593958,1
11,66.390976,103.54529,26.39264,151.76022,-75.61209,118.01358,-27.072819,151.56076,-130.1437,261.23825,0.784518,337.49554,129.10452,242.97867,677587,593958,1
12,63.256634,103.63815,23.029146,152.66647,-73.18544,121.07138,-30.826365,150.35953,-135.36638,267.20264,-13.882078,338.7006,133.78458,256.6747,660757,669724,1
13,71.144264,102.92976,33.67227,149.3323,-74.48423,119.46694,-24.11118,152.38934,-138.13487,258.09442,2.274742,339.1546,143.04451,254.70013,660757,663947,1
14,59.969746,103.47126,12.19224,154.71439,-79.03065,113.21771,-44.706074,144.32343,-126.39756,251.14441,4.44278,321.6331,132.51012,243.60866,595956,689225,1
15,64.472466,103.63133,25.473827,152.02095,-72.115166,122.34177,-29.764112,150.71695,-127.09796,267.69754,5.112787,325.61072,133.20903,248.62932,664702,689225,1
16,71.682755,102.82309,31.524967,150.11682,-72.718575,121.63108,-24.330408,152.33154,-132.14003,263.50314,-3.1034632,328.71503,127.106514,262.7577,677587,689225,0
17,77.02786,101.33303,42.72393,145.35085,-71.03453,123.58008,-21.380125,153.0629,-129.78758,253.70256,4.3135095,333.65015,138.91025,251.87839,665926,689225,0
18,78.41543,100.81105,52.9645,139.36548,-60.44917,133.7864,-3.2262013,155.4452,-134.8703,256.17386,3.7204902,338.03403,142.07318,260.99426,647304,622766,0
19,81.25337,99.55336,50.72133,140.8265,-63.139362,123.43351,-6.9558,155.24501,-122.21644,252.35527,2.8063006,327.39352,149.64537,247.91107,608070,622766,0
20,74.39652,102.16657,34.569515,148.987,-72.93877,121.368195,-26.070574,151.85275,-129.09706,245.60974,-18.005606,323.50638,130.01176,259.19614,680757,622766,0
21,76.40042,101.55005,43.541164,144.93439,-67.345276,127.504585,-11.907046,154.75085,-132.68567,257.81137,-12.977875,331.8512,123.60895,261.32977,686823,622766,0
22,75.13906,101.9515,46.27817,143.46585,-66.774376,128.07355,-7.6367188,155.19257,-134.09477,260.9717,12.245366,333.74658,135.06268,257.23123,677587,622766,0
23,77.814865,101.04419,42.29946,145.56323,-72.48587,121.90683,-19.37767,153.50272,-125.93014,255.78435,-3.528211,333.7932,134.03249,259.7675,608070,676684,0
24,73.377754,102.436584,31.783686,150.02539,-72.45499,121.943275,-27.435705,151.45209,-127.75259,259.461,4.4847155,329.04193,135.05025,247.88144,657656,542585,1
25,68.03463,103.39786,30.920715,150.32712,-69.379555,125.395905,-23.7824,152.47498,-118.75524,257.02847,10.528567,322.4036,127.93663,239.58138,664702,542585,1
26,68.19337,103.38,17.35154,153.90195,-78.32313,114.26326,-42.61284,145.4067,-133.24826,255.7619,-2.4267552,324.65192,136.54881,244.39769,671289,663947,1
27,75.27744,101.9097,45.777557,143.7431,-70.20647,124.50042,-11.050795,154.85507,-121.0356,247.50679,2.856,325.54874,129.84982,258.42462,665926,663947,0
28,73.040634,102.51967,39.262074,147.00717,-69.28312,125.49885,-19.167835,153.54619,-123.61894,247.64342,-4.6526446,320.03964,123.03508,259.9689,680757,663947,0
29,76.93578,101.3656,42.595745,145.41527,-70.86808,123.76701,-19.981688,153.37482,-138.37587,252.38364,-9.678681,328.94482,128.11786,253.0131,677587,622259,0
30,76.804985,101.41145,49.540977,141.55981,-65.498604,123.30528,-7.980189,155.16423,-117.84705,251.65239,7.5207844,326.38892,134.60571,253.57301,665926,607755,0
31,75.20363,101.93206,37.30568,147.86868,-64.877556,129.8967,-12.951651,154.61299,-125.81316,253.82181,-0.53570044,335.33615,125.99321,267.2459,666310,666214,0
32,70.443474,103.05716,30.700989,150.40244,-74.87958,118.96409,-27.738531,151.3602,-121.58243,267.24655,1.3009062,322.57947,137.57295,244.36595,664702,666214,1
33,72.73853,102.59146,39.196983,147.03668,-68.42049,126.40628,-19.301027,153.51865,-132.90631,257.77026,1.2627257,333.84827,132.5224,257.7468,647304,666214,0
34,69.58005,103.19649,27.668972,151.3814,-72.08097,122.38161,-23.865559,152.45345,-125.29815,239.76498,-3.6631355,320.9862,130.23096,255.13458,680757,666214,0
35,78.94855,100.59468,50.673103,140.85693,-64.76819,129.9988,-4.741077,155.38162,-137.17874,255.80107,-4.9647474,330.64322,130.98526,260.50443,664728,656638,0
36,66.65779,103.526,27.722874,151.36496,-73.530426,120.65211,-34.21205,149.12582,-132.72021,256.10547,-8.084122,327.18265,124.148056,250.90791,679845,656638,1
37,77.87919,101.019745,46.772884,143.18796,-65.16338,129.62839,-11.534065,154.79721,-124.91225,249.20627,-6.6067142,331.4476,130.3711,248.9315,671221,656638,0
38,75.904236,101.71345,39.438095,146.92706,-69.22269,125.5632,-19.728907,153.42883,-132.37445,254.94551,-12.1618185,341.74356,137.44734,257.3284,686681,671345,0
39,68.39757,103.35606,24.914074,152.1749,-75.4707,118.19899,-33.52079,149.38957,-138.11815,258.50638,4.501433,336.8627,131.27405,258.28165,521692,671345,1
40,71.77522,102.803986,37.317852,147.8635,-63.58905,131.07927,-13.354538,154.55667,-120.96762,260.9278,9.595613,329.0558,142.3314,252.56139,677951,671345,1
41,76.34681,101.56805,39.47783,146.9089,-68.12651,126.71011,-20.888483,153.17508,-137.21857,263.25476,-2.3550959,351.0965,139.3016,264.1319,669004,542585,0
42,69.89942,103.1472,27.103762,151.55156,-75.00949,118.79732,-31.271229,150.20569,-128.8868,266.20816,2.685933,325.62137,134.00372,246.32767,679845,542585,1
43,76.1665,101.62798,41.29089,146.05737,-69.45356,125.31669,-17.625753,153.85059,-121.327354,248.29085,-1.4252926,326.7779,134.57668,263.93878,671221,676684,0
44,77.16359,101.284546,43.9959,144.69833,-69.87524,124.86188,-18.911846,153.59857,-129.17699,262.16623,6.5033712,337.8209,143.68141,253.24707,664728,687830,0
45,65.122246,103.61252,15.623341,154.20651,-75.95759,117.5565,-37.839607,147.63876,-142.41042,265.17972,-10.650232,328.91153,123.21649,255.8935,658668,687830,1
46,78.030426,100.96179,42.92093,145.25137,-74.577934,119.34838,-21.918447,152.9369,-127.12938,249.92831,-3.187351,326.8546,140.05026,256.54587,671221,687830,0
47,65.8201,103.580536,26.94696,151.59808,-75.559715,118.082375,-31.093971,150.26727,-127.62883,261.90112,-10.987985,341.96628,132.82852,252.89322,676369,622259,1
48,68.2888,103.368935,23.984314,152.42255,-76.27083,117.1371,-34.993977,148.81999,-138.94376,255.6822,14.944696,346.13507,139.50784,258.23285,521692,622259,1
49,67.96664,103.40532,29.014462,150.96082,-74.19124,119.83515,-27.301266,151.49252,-131.2461,271.65027,4.6303973,329.11267,136.65106,251.88538,677951,622259,1
50,61.12756,103.56102,22.167753,152.87744,-75.31165,118.40644,-34.728092,148.92488,-134.85081,264.2671,-4.6284966,323.93262,127.3512,253.53912,680118,669724,1
51,61.72021,103.593895,13.597276,154.52188,-76.21219,117.21598,-38.99875,147.12619,-129.87843,261.51425,2.851908,322.83838,130.87395,246.56583,682515,669724,1
52,76.95244,101.35974,43.056965,145.18234,-66.192276,128.64383,-11.662522,154.78142,-119.53619,251.0142,-1.6813408,329.43387,132.60538,254.63982,671221,669724,0
53,63.902203,103.639145,22.331738,152.83794,-74.874146,118.97104,-32.323486,149.83192,-137.7075,264.56198,3.9467084,338.19336,129.53108,252.22632,676369,669724,1
54,61.41574,103.57811,10.570265,154.91013,-77.56036,115.35791,-44.427143,144.47159,-143.37015,267.6521,8.179361,338.03738,126.613754,255.94298,521692,669724,1
55,69.77326,103.16699,35.67205,148.54831,-71.17071,123.42639,-18.607193,153.65993,-137.39807,262.08533,5.72705,338.72583,142.6315,250.95189,677951,622766,1
