matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,76.72178,101.44035,44.406666,144.48242,-68.551834,126.269646,-15.112526,154.29025,-125.88431,257.8935,1.6963747,326.2533,122.06315,257.3677,686823,656638,0,CH
1,63.498318,103.63974,27.043602,151.56944,-74.51955,119.4223,-30.104519,150.60393,-122.01956,258.40656,1.7584887,327.3413,122.78125,252.46095,657656,656638,1,SI
2,75.516975,101.83603,43.714733,144.84467,-68.831474,125.97693,-11.218742,154.83525,-125.24784,252.73923,-0.5140749,326.2539,125.0638,259.97168,647304,676684,0,CH
3,75.59977,101.810196,42.527096,145.44968,-70.08748,124.6307,-19.695074,153.43602,-129.14726,241.30826,-4.2682223,323.84256,132.597,257.15515,680757,676684,0,SL
4,72.867355,102.56114,39.816963,146.75317,-66.387856,106.12272,-22.81623,152.71942,-126.5445,251.28447,-8.972457,328.42975,128.47014,258.8413,677588,593958,0,SL
5,68.07014,103.39392,20.49246,153.26346,-73.52667,120.65669,-34.34073,149.07605,-124.71626,256.89282,3.968111,322.64297,124.4514,247.41502,671289,593958,1,CH
6,71.90713,102.77635,34.40269,149.052,-57.62287,107.11115,-24.004349,152.4173,-122.49063,253.41034,-1.5933322,319.6692,124.13333,261.041,666310,593958,0,SL
7,69.75696,103.16952,32.936447,149.60776,-67.9049,126.93738,-21.022076,153.14487,-134.08728,254.82872,-11.888477,333.41837,123.52975,263.92172,647304,593958,0,FF
8,63.63272,103.63999,19.778215,153.41837,-76.26461,117.14548,-37.790546,147.66005,-127.19464,265.5004,4.8642697,325.26755,123.66634,251.23021,608070,593958,1,CH
9,60.333084,103.50307,14.5756,154.3752,-75.67407,117.932014,-35.35659,148.67546,-129.99467,244.32399,-10.23914,325.21292,120.99969,260.06787,680757,593958,0,FF
10,60.78721,103.53813,16.662376,154.02734,-75.73239,117.85509,-32.7677,149.66994,-119.487144,263.2744,-5.1858706,332.2947,128.47147,247.96591,657656,593958,1,CH
11,71.552666,102.84956,35.78887,148.50089,-72.01638,122.45677,-21.989578,152.92001,-125.20967,267.76065,9.360289,326.91257,134.90672,244.43643,671289,593958,1,FF
12,70.87504,102.98024,35.260937,148.71376,-72.7497,121.59404,-20.234776,153.32,-132.5122,269.33505,8.8420105,334.3294,131.78848,255.27542,677587,593958,1,FF
13,65.29068,103.60593,15.197832,154.27646,-78.31588,114.27382,-40.621056,146.37741,-137.18736,269.83914,3.2777438,344.7196,135.52603,255.49474,608070,593958,1,FF
14,70.49872,103.04758,33.57501,149.36911,-61.52177,106.39459,-22.40272,152.82074,-119.17365,245.42697,-3.878474,325.79724,121.907555,258.50287,680757,593958,0,SL
15,69.949646,103.13922,27.638277,151.39073,-73.50662,120.6812,-26.709093,151.66812,-124.19806,259.4722,4.8859386,325.08923,133.43541,253.92625,660757,669724,1,SI
16,69.11644,103.263336,25.802958,151.92871,-77.09265,116.013275,-31.42364,150.1524,-135.5029,258.18442,5.4909286,338.95023,132.6164,255.80354,660757,663947,1,FC
