matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,66.59792,103.53049,26.237148,151.80505,-76.51029,116.81319,-34.559383,148.99097,-133.72739,266.74545,13.036973,335.30676,135.15898,249.91698,543760,592773,1
1,73.792534,102.330124,31.41296,150.15616,-72.16108,122.28818,-28.875732,151.0052,-144.24387,255.36926,-15.546413,338.06653,120.94238,258.33737,665750,592773,0
2,67.18619,103.48249,28.592884,151.09497,-74.46303,119.49371,-24.536688,152.27664,-124.33043,266.6702,19.656158,331.9406,148.77449,249.56888,673962,592773,1
3,72.49505,102.64752,36.45731,148.22607,-74.030655,120.035385,-21.973267,152.92389,-120.224724,246.13683,-6.408116,317.30713,128.21138,260.6422,608671,664353,0
4,80.44576,99.93829,53.303772,139.13657,-63.765804,130.91962,-5.2427173,155.35522,-125.6848,263.21402,6.907365,329.26416,141.95618,257.45444,694497,664353,0
5,79.13817,100.515564,47.602783,142.71298,-75.2226,118.522064,-21.174393,153.11017,-138.05608,256.46417,-13.225367,340.82986,133.00407,263.418,608369,664353,0
6,55.83073,102.870285,16.296593,154.09178,-76.42355,116.93085,-36.38434,148.25638,-142.46771,261.359,0.99367774,333.0048,131.53046,247.29366,543760,664353,1
7,73.378235,102.43648,37.11317,147.95062,-69.49756,125.26951,-23.689814,152.49887,-137.54326,255.36424,-20.402662,332.41345,136.26773,267.47314,665750,664353,0
8,69.124504,103.26221,34.24748,149.11212,-69.039825,125.75721,-21.228483,153.0978,-120.97248,273.95276,13.884273,340.8022,138.01152,253.63597,673962,650556,1
9,69.15346,103.258194,32.28595,149.84549,-70.08125,124.63749,-22.61556,152.76883,-133.36395,273.2108,4.2524443,340.65536,142.85837,255.60709,666969,650556,1
10,60.668583,103.52948,15.828515,154.17209,-77.77811,115.04875,-40.67258,146.35303,-140.50485,262.223,-2.1167247,333.70715,129.98474,250.88112,543760,593576,1
11,66.935616,103.504,25.991087,151.8754,-71.47086,123.085266,-28.008478,151.27734,-130.5621,273.9042,-1.6060251,342.18042,142.94019,256.10904,673962,641585,1
12,78.071,100.94611,43.689125,144.85793,-71.666954,122.86063,-19.66165,153.4431,-134.6426,252.30307,-7.4167385,331.12186,138.42917,254.2567,641680,686613,0
