matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,64.07236,103.637665,31.503107,150.12451,-67.27533,127.574814,-20.916077,153.16885,-127.73901,265.8256,6.5437207,336.03406,133.13452,250.92361,543760,592773,1,FF
1,67.32494,103.46991,25.247766,152.08357,-72.62844,121.738144,-30.436855,150.49222,-143.17899,251.46068,-15.705066,337.9762,126.000854,265.14,665750,592773,0,FF
2,72.59482,102.624756,36.332382,148.2779,-67.59552,127.25212,-19.427063,153.49242,-122.10712,266.64255,20.491035,339.52768,148.6145,254.33365,673962,592773,1,FF
3,74.860405,102.03403,32.56691,149.74347,-72.09516,122.365074,-26.224543,151.80867,-129.74342,249.21544,-3.6791863,324.80185,122.86719,265.09024,608671,664353,0,FF
4,75.236,101.922264,40.331886,146.5136,-69.05438,125.7418,-20.718822,153.21317,-131.12962,257.41855,-3.0619001,333.22958,134.89069,263.87106,694497,664353,0,FF
5,76.22609,101.60828,43.468044,144.97206,-69.64681,117.61296,-21.787561,152.96785,-135.53014,264.50928,-4.693868,347.39554,128.27446,268.77423,608369,664353,0,FF
6,55.656097,102.83511,11.091116,154.85034,-78.47068,114.04767,-43.400013,145.00703,-137.72154,257.14172,-8.654782,320.4207,119.18755,246.31714,543760,664353,1,ST
7,77.47996,101.169395,39.600136,146.85294,-66.4297,120.76456,-17.309711,153.9097,-123.963974,253.8117,1.8665843,319.08466,131.30258,250.16634,665750,664353,0,CH
8,65.069176,103.61445,23.442297,152.56226,-72.73493,121.611626,-34.69044,148.93967,-126.721306,262.20602,4.029923,333.00046,126.17994,251.3574,673962,650556,1,SL
9,65.40935,103.600845,23.255966,152.6095,-74.53734,119.399796,-36.050915,148.39386,-129.92535,264.94754,-0.4089649,330.84647,130.00407,253.6257,666969,650556,1,SL
10,56.92022,103.07152,15.719468,154.19044,-76.619026,116.66516,-37.99481,147.5712,-130.9395,259.69183,-6.4171243,324.79327,122.02025,250.97337,543760,593576,1,SL
11,69.49443,103.20926,32.06647,149.9245,-65.60697,129.20753,-15.825662,154.17256,-125.90024,267.58942,5.865799,343.47144,135.86632,260.69696,673962,641585,1,FF
12,69.03101,103.275055,29.313965,150.86423,-71.00257,123.61604,-26.877417,151.61862,-133.2436,258.73822,1.6628877,331.2268,131.31367,265.9399,641680,686613,0,FF
13,78.43457,100.80344,50.035194,141.25568,-61.679386,132.75409,-5.651735,155.33173,-137.61537,260.6444,-2.9636667,341.31064,131.04662,259.40567,608369,686613,0,FC
14,60.223038,103.49379,20.114412,153.34616,-75.00346,118.80507,-37.826935,147.64426,-134.54214,270.30154,3.274722,337.37585,130.19218,251.95293,543760,686613,1,FF
15,72.89137,102.55545,31.875828,149.99265,-71.9564,122.52643,-26.303167,151.78606,-139.19463,253.74861,-13.2192135,334.57465,124.39872,266.5562,665750,686613,0,FF
16,61.50772,103.58313,23.760864,152.48055,-76.62602,116.65561,-34.058357,149.185,-134.49832,263.05157,-0.2886489,331.05377,130.01524,259.55243,543760,664299,1,FF
17,74.19893,102.22121,30.933514,150.3227,-75.36294,118.339676,-31.700768,150.05481,-137.81203,257.30405,-11.34284,334.89484,131.3417,262.15695,641680,592773,0,FF
18,67.71825,103.43155,24.520924,152.28085,-72.961685,121.34072,-27.164078,151.53357,-132.95892,244.24889,-9.927581,319.7704,118.708405,266.20554,608671,592773,0,FF
19,77.00407,101.34148,42.70512,145.36032,-73.89018,120.20964,-23.891329,152.44675,-128.57433,254.50197,3.8145092,323.93277,134.85442,257.34787,694497,650556,0,SL
20,77.611916,101.12047,38.0492,147.54745,-69.96801,124.76102,-20.15388,153.3376,-134.26042,259.80154,-5.619611,333.2442,116.72943,263.31155,663993,593576,0,FS
21,78.21512,100.890045,47.053795,143.02841,-74.13754,116.83846,-23.920164,152.43925,-123.77657,257.4325,6.9546084,326.1533,144.90013,242.43889,641680,664208,0,CU
22,54.946686,102.6839,15.845045,154.16928,-78.49337,114.0144,-38.993484,147.12857,-139.37158,257.19888,-10.644331,331.18277,114.019554,255.05518,641598,664208,1,ST
23,65.395004,103.60147,21.705769,152.98708,-77.42038,115.5553,-39.02595,147.11395,-127.28083,253.52007,-0.29954177,328.50757,124.65646,260.21948,665750,664285,1,CU
24,69.67,103.18288,31.94976,149.96626,-69.66117,125.09351,-22.061697,152.90282,-133.91806,255.24434,-9.140402,325.59515,121.48967,259.00644,663993,664285,0,SI
25,65.1652,103.6109,9.956742,154.97678,-80.03746,111.67621,-45.032852,144.14833,-148.86551,253.14523,-6.8849497,328.85266,127.48171,251.46237,641598,664285,1,CU
26,66.68847,103.52367,23.58937,152.52469,-77.25295,115.78998,-39.071476,147.09341,-124.18101,261.48282,5.789586,327.8543,129.91693,252.13461,543257,664285,1,CH
27,61.489132,103.58212,9.871768,154.9857,-79.24616,112.89318,-45.89527,143.67827,-131.31636,250.48517,-3.2887833,328.13705,122.02366,250.35555,543760,664285,1,CU
28,72.35621,102.6788,32.808155,149.65506,-68.55859,126.2626,-19.8474,153.40361,-120.30312,257.29916,11.231206,329.57184,138.91272,252.0558,665750,664285,1,SI
29,75.23021,101.92403,40.323517,146.51752,-71.58869,122.08244,-18.704374,153.64047,-128.46391,254.80167,1.7223511,327.5555,127.96532,260.90344,663993,664285,0,CU
30,60.918045,103.54728,13.270176,154.5686,-79.10597,113.104614,-41.502346,145.95499,-131.8659,250.24576,-4.2757525,324.13177,127.66777,258.85742,641680,664285,1,CU
31,62.276382,103.616745,14.281285,154.42041,-77.07999,116.03085,-41.58029,145.91708,-129.9144,266.3338,-2.3023267,334.54474,124.49631,254.42712,641598,519151,1,SL
