matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,66.28566,103.552414,19.74792,153.4248,-75.88171,117.65738,-36.73643,148.10956,-127.64891,254.56802,2.9794986,331.15002,128.44406,249.28955,672724,663704,1
1,79.81579,100.22337,49.360283,141.66995,-67.15917,127.69111,-12.139441,154.72119,-123.61775,256.48227,9.158205,327.0224,140.71165,257.47894,669224,663704,0
2,65.701645,103.58683,18.569714,153.6674,-76.08174,117.390854,-37.391884,147.83182,-132.80397,265.20584,3.4248877,329.85434,130.71758,257.74368,672724,672578,1
3,77.491135,101.16527,44.31686,144.52985,-66.4284,128.41368,-9.732482,155.00015,-126.72207,254.85312,3.6907785,328.05914,128.91917,264.17673,664314,425844,0
4,60.629486,103.52655,8.6163,155.10846,-80.478836,110.97927,-47.661865,142.67874,-135.19434,259.1719,-3.5792477,329.12134,119.25763,250.32222,672724,425844,1
5,60.42243,103.510376,15.354008,154.25102,-77.26232,115.776886,-43.370792,145.02203,-140.41963,258.75385,-5.7672744,326.543,120.755974,261.1162,543309,425844,1
6,74.986015,101.99711,38.190132,147.48572,-65.30171,129.49773,-18.306944,153.71939,-125.62513,261.0283,-0.13993713,333.2574,137.51564,262.20383,669224,425844,0
7,64.05087,103.637886,19.269184,153.52527,-77.8033,115.01281,-38.314907,147.43082,-134.04326,262.27603,-1.2765831,328.67117,127.30747,260.401,677592,425844,1
8,77.539856,101.14724,36.583908,148.17336,-65.3135,129.48657,-18.199455,153.74045,-123.2399,250.26694,7.454957,326.6158,137.62617,255.27274,665828,425844,0
9,66.71196,103.521866,27.24,151.5109,-74.643555,119.26514,-27.718584,151.36627,-129.68404,265.99347,1.0827129,333.14084,136.3629,257.4749,518934,425844,1
10,68.029175,103.39846,22.69367,152.74963,-75.38879,118.305984,-34.209717,149.12671,-135.54996,270.58206,-2.7675574,341.90213,131.21297,258.46237,650402,672582,1
11,70.268654,103.08694,25.60976,151.983,-76.71502,116.53397,-34.91371,148.85175,-136.258,276.84528,5.435726,344.6966,141.44568,259.42813,592450,672582,1
12,67.17835,103.483185,17.242268,153.92218,-78.52779,113.9639,-41.396935,146.0061,-139.06464,259.56268,-7.0288887,338.01956,131.29617,252.7232,543309,672582,1
13,62.354362,103.61933,16.818033,153.99948,-76.71218,116.537865,-39.86622,146.73041,-130.64781,265.52203,-0.026708797,337.2501,127.565636,256.1027,543309,679525,1
14,66.27597,103.553055,26.68336,151.67564,-72.83656,121.49046,-30.406975,150.50232,-130.77592,261.97552,8.094181,342.92502,137.43155,256.21066,592450,679525,1
15,74.31966,102.18796,40.55887,146.4068,-63.09147,131.52441,-8.481508,155.12064,-121.47209,260.16003,2.2462537,332.20114,134.71027,258.06473,518934,679525,1
16,74.33596,102.183426,35.874554,148.466,-70.53867,124.13408,-23.137613,152.6393,-133.12111,254.64742,-3.3271213,333.5927,134.39355,256.73734,664314,679525,0
17,75.81358,101.742546,43.515682,144.94754,-63.976524,130.72823,-10.707064,154.8947,-129.54817,253.98593,-5.6870155,330.43893,120.785934,262.69095,665828,679525,0
18,61.880955,103.6013,15.047884,154.30064,-77.1059,115.99487,-38.726025,147.24846,-127.88888,254.3656,-14.442449,333.50732,133.38177,258.07358,672724,679525,1
19,74.677025,102.08716,43.999493,144.69647,-65.73561,129.08447,-6.824582,155.25455,-122.85541,260.24097,14.485315,328.1137,138.73863,239.39836,518934,674444,1
20,59.940872,103.46858,17.961508,153.78656,-77.30696,115.71445,-39.449413,146.9219,-133.62372,276.99,2.2438476,337.0629,137.67244,249.88647,683011,680742,1
21,67.74246,103.42906,26.286102,151.79097,-75.9447,117.573654,-30.81209,150.36443,-128.05379,261.0028,-2.5373998,331.80246,137.59285,256.6184,650402,663704,1
22,69.494576,103.20923,24.860752,152.18939,-73.733864,120.40257,-33.131676,149.53534,-130.98395,258.57544,0.62339014,337.14432,138.61703,256.76398,592450,663704,1
23,77.56304,101.13866,49.22902,141.74963,-63.1122,131.50598,-4.1566706,155.40903,-129.56653,255.87592,-4.68692,330.67038,131.36203,257.06564,641343,656353,0
24,57.6306,103.186005,14.318352,154.41478,-78.21384,114.42213,-46.469154,143.35902,-140.13701,265.13217,-2.7138355,335.85593,128.34781,253.47063,683011,543475,1
25,59.993687,103.47345,13.530044,154.53159,-77.82225,114.98575,-43.958603,144.71782,-138.4193,263.40662,-7.6502137,340.4711,131.13893,263.42804,592450,543475,1
26,75.15148,101.94777,31.259363,150.20982,-74.486015,119.46468,-29.124355,150.9255,-134.06775,253.82407,-2.355371,329.5587,132.46834,256.51523,664314,543475,0
27,60.12607,103.48535,8.927394,155.0796,-78.60301,113.853226,-43.640617,144.88303,-147.82693,257.1696,-3.81222,326.60022,119.911995,252.13744,672724,543475,1
28,77.530716,101.15063,40.520645,146.42484,-67.98858,126.85174,-16.543602,154.04843,-131.11519,252.34564,-6.53135,340.94058,131.42345,266.05676,641343,543475,0
29,78.07299,100.94534,48.03332,142.46219,-66.16344,128.67184,-11.01867,154.85883,-133.47896,252.10747,0.08129538,332.54376,135.94295,266.93018,669224,543475,0
30,64.57397,103.62909,17.27673,153.9158,-76.96004,116.196976,-39.955353,146.68915,-131.96259,269.9599,-4.7284827,337.13132,130.16765,260.32257,650402,543475,1
31,73.3136,102.452644,37.999043,147.56937,-72.5333,121.8508,-18.322096,153.71643,-132.48524,259.91718,8.42138,339.989,137.58481,249.87094,663837,685107,1
32,63.384113,103.63918,24.595604,152.26086,-76.46214,116.878555,-34.600395,148.97491,-134.72198,259.47833,2.6131215,332.15036,131.05553,245.592,608348,685107,1
33,70.13879,103.10853,31.815016,150.01428,-69.77586,124.9696,-24.866919,152.18771,-126.81643,264.88712,7.8376017,331.93106,134.865,249.44319,663527,672578,1
34,77.92908,101.0007,49.713,141.4544,-66.10904,128.7246,-13.8430605,154.48601,-134.29057,262.82413,0.22469081,338.00745,142.14102,255.14282,681481,672578,0
35,65.83147,103.579926,23.437405,152.5635,-76.45841,116.883606,-38.2953,147.43945,-127.411964,267.0881,4.867791,329.47028,127.68344,247.22305,686531,666142,1
36,70.28873,103.08356,28.801928,151.02872,-73.98729,120.089264,-33.42569,149.42538,-127.94598,261.64258,-2.0064397,335.71146,130.78429,255.6239,663527,666142,1
37,62.384205,103.620285,24.69922,152.23303,-79.10572,113.104996,-37.29597,147.87283,-136.83287,259.96155,2.05221,336.98083,141.23735,254.03644,679529,666142,1
38,67.73292,103.430046,30.700369,150.40265,-75.0924,118.690475,-30.21862,150.56573,-132.1669,266.9668,4.6994257,334.4324,132.1348,247.09668,628451,666142,1
39,78.28398,100.86302,44.39411,144.48907,-66.68295,128.16376,-9.13119,155.06015,-133.85504,259.87195,-3.5854518,330.23438,127.54644,258.92178,681481,666142,0
40,73.15996,102.490616,36.748837,148.10435,-71.58529,122.95435,-23.698887,152.49654,-134.17717,250.8715,-3.3491683,324.73056,126.13337,264.91333,678009,666142,0
41,76.195,101.618576,42.06711,145.67839,-69.616646,125.1415,-18.26631,153.72736,-132.52884,257.31918,-8.453969,330.78387,127.59087,254.2459,678009,663804,0
42,63.444145,103.63951,17.3453,153.9031,-77.66064,115.215866,-40.878506,146.25516,-125.01142,262.00983,8.174831,330.5572,140.35675,247.79526,628451,663804,1
43,63.16682,103.63719,16.684483,154.0234,-76.27192,117.13562,-41.151176,146.12465,-134.16475,260.03357,-0.051913954,338.04468,131.45848,257.1929,679529,663804,1
44,69.84916,103.155136,31.863052,149.9972,-71.09225,123.51503,-21.936224,152.93268,-132.23335,268.44742,5.08402,338.60846,131.79466,260.7994,663837,663804,1
45,75.20353,101.9321,43.77785,144.81192,-66.336075,128.50388,-10.59908,154.90689,-125.77508,265.4923,9.92098,337.46756,146.25317,252.43002,595879,674444,1
46,77.674416,101.09711,35.42492,148.64804,-70.12055,124.59453,-21.360325,153.06747,-137.1937,255.49199,-7.9592433,329.21365,128.20015,256.7391,678009,674444,0
47,66.25956,103.55412,23.468641,152.55554,-75.83708,117.71658,-37.10681,147.95334,-145.08208,263.14023,-7.792196,333.979,131.42427,246.2755,668670,672582,1
48,69.16477,103.25662,28.14243,151.2359,-76.866295,116.32626,-36.18143,148.34021,-128.08784,265.4096,9.362277,346.01498,134.16306,253.68999,595879,672582,1
49,66.034035,103.56828,25.952763,151.88629,-74.48867,119.461334,-32.17236,149.88646,-128.63498,267.6269,10.327721,337.107,135.3729,256.20004,408234,672582,1
50,73.46372,102.41492,40.0582,146.6414,-69.91225,124.82168,-19.598679,153.45639,-133.50478,249.55717,0.0799949,324.26025,126.66697,256.1875,678009,672582,0
51,65.07026,103.61442,20.676624,153.22258,-73.46255,120.73499,-31.172277,150.24011,-125.64761,274.39423,16.372814,348.08,142.656,259.52872,595879,680742,1
52,77.25384,101.252014,31.982937,149.9544,-73.95263,120.132286,-26.533384,151.7194,-140.59888,246.25954,-20.024067,330.71872,129.45462,261.6785,668731,680742,0
53,64.88647,103.620575,24.470348,152.29434,-73.90442,120.19202,-28.875008,151.00543,-126.31272,267.34692,13.809421,334.8594,139.94199,254.26869,628451,680742,1
54,66.12362,103.56282,19.516941,153.4736,-77.95261,114.79909,-39.417316,146.93654,-142.02058,263.29163,-4.4617643,344.61108,135.11113,260.14697,679529,680742,1
55,71.11663,102.93503,34.58747,148.97998,-70.51557,124.15968,-24.887037,152.18225,-133.0799,265.0322,19.692326,342.3634,142.01477,252.77274,663837,680742,1
56,77.30001,101.23527,42.87472,145.27475,-72.49975,121.89044,-21.887526,152.94424,-126.59847,259.5526,-5.7500033,335.66705,138.53893,255.49638,681481,664199,0
57,69.4592,103.21444,32.745216,149.67819,-68.7332,126.08009,-21.385742,153.0616,-122.96685,278.71405,19.371302,327.51245,139.52513,248.75331,663837,664199,1
58,63.619743,103.63999,25.196205,152.09778,-72.07763,122.385506,-28.939682,150.98477,-129.27553,256.8152,-1.9615974,331.43018,122.75294,252.24164,408234,676092,1
59,67.97943,103.403915,21.529976,153.02817,-76.99526,116.14827,-33.236702,149.49619,-131.87164,266.9332,0.6395811,340.13074,134.84355,262.09882,595879,685107,1
60,76.36295,101.56264,42.28647,145.5697,-72.11478,122.34221,-13.888223,154.47934,-133.31291,255.55577,5.8991957,321.88232,142.72974,249.58986,656716,425844,0
61,66.09121,103.56482,22.159342,152.87946,-76.11263,117.34952,-33.658646,149.33746,-134.18019,256.57385,-2.770799,331.99673,136.4482,258.02335,408234,425844,1
