matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,65.62633,103.59065,25.240366,152.0856,-73.0546,121.22911,-28.95038,150.98135,-120.481155,262.67523,7.4938016,329.35376,129.39128,251.69325,672724,663704,1,SI
1,81.754105,99.303406,51.740757,140.17368,-64.55752,130.19452,-8.404959,155.12747,-132.05414,256.70575,0.79313993,327.31924,141.35608,248.78867,669224,663704,0,CU
2,65.882484,103.57709,29.277155,150.87614,-72.482025,121.91136,-27.924408,151.30324,-129.22078,268.57147,6.8934474,332.33304,136.71388,253.01192,672724,672578,1,FF
3,75.6674,101.78894,46.346127,143.4279,-63.407894,131.24207,-10.202147,154.95059,-122.4851,250.97623,-0.017643398,324.98096,126.96839,253.97133,664314,425844,0,CH
4,58.8671,103.35422,4.815216,155.3779,-80.515175,110.92129,-51.951405,140.03648,-130.47198,243.99028,-5.027637,323.94748,121.470535,253.2444,672724,425844,1,CH
5,61.57686,103.58675,10.810127,154.88295,-79.31582,112.787674,-45.35391,143.97469,-139.19548,258.85873,-3.8596754,329.0455,129.18887,254.96188,543309,425844,1,SI
6,75.74553,101.76422,40.395817,146.48358,-66.92929,127.9201,-14.069355,154.4524,-124.64467,253.2867,-3.0331273,324.59558,126.00155,256.89838,669224,425844,0,CH
7,67.023315,103.49666,18.94655,153.59149,-75.13182,118.63957,-37.382538,147.83582,-128.13715,260.66437,8.12715,336.09976,133.46893,255.69908,677592,425844,1,FF
8,66.1459,103.56143,16.78966,154.00458,-78.2272,114.40273,-43.79035,144.80542,-132.34247,253.49924,-4.5682726,328.9183,123.176544,257.7945,672724,425844,1,SI
9,70.09672,103.11545,28.72639,151.05272,-70.51925,124.1556,-25.382408,152.04636,-121.64798,260.2701,1.1010079,331.4453,131.25171,263.1063,665828,425844,0,FF
10,65.74155,103.58475,25.22114,152.09091,-70.70471,123.94954,-26.192644,151.81783,-123.21497,260.6806,-2.0796745,331.51434,125.13904,251.66977,518934,425844,1,FC
11,66.75024,103.5189,25.825924,151.92221,-72.39693,122.011665,-31.153149,150.24677,-122.73818,267.09677,6.18795,335.4827,136.11613,252.22151,650402,672582,1,SI
12,71.70931,102.81763,36.35967,148.2666,-73.05048,121.23407,-26.793568,151.64333,-131.1583,275.95282,17.313297,340.21872,142.0131,257.0283,592450,672582,1,FF
13,64.52607,103.63019,24.733847,152.2237,-77.57725,115.33403,-35.67645,148.54652,-142.06465,256.29492,-7.5151696,331.43207,127.26588,252.32867,543309,672582,1,CH
14,67.27145,103.47481,22.389156,152.82404,-79.49554,112.51403,-40.251663,146.55118,-139.14828,267.26486,-5.23753,331.2184,122.947815,249.0853,543309,679525,1,CU
15,64.59058,103.62871,30.813763,150.36386,-70.47005,124.210075,-30.89042,150.33752,-127.65147,266.09134,10.716452,348.73727,141.20892,261.8161,592450,679525,1,FF
16,66.70982,103.52202,32.652374,149.71223,-67.4331,127.41619,-22.536535,152.78816,-124.63865,260.58496,7.381692,328.24634,126.39594,248.4786,518934,679525,1,ST
17,77.906815,101.00922,42.689754,145.36804,-74.07525,119.97989,-20.766603,153.20247,-126.62688,256.01096,-0.3188635,327.2767,138.00632,254.14767,664314,679525,0,CU
18,76.15479,101.631836,49.688793,141.46928,-65.101944,129.68625,-10.081149,154.9636,-122.56066,255.19258,-0.5382305,327.01883,135.82043,263.29776,665828,679525,0,CH
19,58.2723,103.27821,20.236475,152.28397,-75.98546,117.51939,-36.69098,148.1286,-132.85948,256.1248,-3.8107815,331.92642,119.541374,250.41896,672724,679525,1,ST
20,75.26664,101.912964,47.273926,142.90253,-58.768032,135.14127,-0.2526037,155.49966,-121.784584,257.5835,10.591175,328.78217,149.37689,252.7406,518934,674444,1,FF
21,68.183014,103.38118,32.120377,149.90515,-71.99297,122.48396,-21.853392,152.9523,-126.0304,270.42465,12.814103,342.88174,136.18584,261.34384,683011,680742,1,FF
22,63.709377,103.63994,20.204247,153.32666,-74.610466,119.30713,-38.489494,147.35367,-128.05365,271.40482,1.8759255,329.13446,128.85315,255.0528,650402,663704,1,SL
23,64.93451,103.61905,26.558973,151.71196,-70.32608,124.36895,-27.294436,151.49458,-130.4395,261.36578,6.2032003,342.54904,134.45757,262.38495,592450,663704,1,SI
24,77.29608,101.236694,47.967888,142.5005,-70.97899,123.64256,-13.955543,154.46938,-124.789444,256.51184,5.301069,326.9334,130.75035,256.59387,641343,656353,0,SL
25,59.075653,103.37872,24.194088,152.36755,-75.89396,117.64112,-39.117733,147.07254,-141.01,255.8681,-0.96584165,325.85794,128.03273,255.19737,683011,543475,1,SI
26,62.269085,103.6165,19.30988,153.51682,-77.29262,115.73451,-39.058502,147.09927,-137.86082,255.76268,-0.80946475,332.3147,130.78658,259.46585,592450,543475,1,CU
27,73.18718,102.48393,34.96834,148.83014,-69.967766,124.761284,-23.061764,152.65833,-130.99727,248.9195,-5.3526244,333.97052,135.37794,263.72885,664314,543475,0,FF
28,58.8336,103.35018,21.759537,152.97444,-74.860565,118.98843,-35.54596,148.59929,-135.97664,263.81317,-2.491575,332.70755,128.41484,254.45924,672724,543475,1,FF
29,78.61317,100.731834,43.380566,145.01703,-67.389015,104.93082,-22.920893,152.69345,-121.58046,253.74402,-2.9020853,326.99716,143.43555,250.85466,641343,543475,0,FC
30,64.91199,103.61977,22.594893,152.7739,-74.98469,118.82921,-34.274303,149.10176,-130.02377,275.95157,5.0432353,337.86426,136.8946,257.13528,683011,543475,1,FF
31,73.74212,102.34331,39.1957,147.03726,-72.158264,122.29146,-21.844006,152.95453,-131.85829,247.57141,-8.706218,333.57034,129.51585,268.02905,641343,543475,0,FF
32,76.7188,101.44139,47.21369,142.93704,-68.059265,126.77923,-13.524984,154.5323,-128.15454,252.854,-4.4980645,322.71677,127.55559,258.38153,669224,543475,0,CH
33,59.322945,103.40635,12.802287,154.63342,-78.78676,113.58152,-45.689438,143.7915,-144.72116,267.34677,-0.99801666,331.5435,130.69867,256.10898,650402,543475,1,SI
34,67.0802,103.49179,24.683369,152.2373,-72.69416,121.66011,-28.224464,151.21042,-129.35295,271.8382,10.595987,345.12564,142.62085,266.94562,592450,543475,1,FF
35,72.22458,102.70795,40.087555,146.62775,-70.911415,123.718445,-17.702267,153.83612,-128.34235,263.50732,7.599944,334.4938,136.71695,252.76315,663837,685107,1,FF
36,72.7145,102.59706,30.571722,150.44647,-76.55733,116.74923,-35.56625,148.5911,-127.56236,268.19907,3.670394,327.06494,134.20126,246.13448,608348,685107,1,FF
37,73.702774,102.35358,39.77444,146.77278,-64.506065,130.24216,-11.150965,154.84329,-125.48011,269.41687,17.075205,327.7351,141.63145,247.62439,663527,672578,1,FF
38,82.09452,99.12846,51.794384,140.13882,-72.8077,119.838554,-8.044719,155.15877,-126.979385,255.0522,5.3239713,336.0929,139.37617,258.15067,681481,672578,0,SL
39,70.48256,103.0504,21.76881,152.97226,-79.470474,112.55232,-44.676937,144.33896,-135.51288,253.63869,1.457434,323.88757,129.79399,249.12224,686531,666142,1,FC
40,69.89982,103.14715,25.125504,152.11719,-76.12483,117.33319,-33.749138,149.30313,-130.79028,253.29355,1.2313823,326.91943,134.8928,251.09933,663527,666142,1,FC
41,64.97906,103.61757,16.341955,154.08386,-76.83023,116.375885,-44.760357,144.29446,-134.48508,252.47453,-9.18274,328.6441,122.226524,261.0152,679529,666142,1,CH
42,68.40247,103.35545,17.642859,153.84735,-76.93098,116.237114,-40.665222,146.3565,-126.03104,259.359,8.672328,333.75055,130.2873,254.52615,628451,666142,1,KC
43,66.516685,103.53642,27.228947,151.51419,-71.74316,122.77295,-27.920187,151.30453,-129.26268,261.5955,7.2098975,333.5006,135.25066,248.19577,686531,666142,1,FF
44,77.648026,101.10699,46.40418,143.39543,-69.14161,125.64935,-11.399798,154.81354,-126.284195,257.28876,-0.84753317,325.53293,124.44074,256.90323,681481,666142,0,SL
45,70.2546,103.089294,30.890696,150.33743,-71.581604,122.95859,-26.492485,151.7313,-131.27744,256.6303,-3.4014916,329.7669,126.80796,259.78027,678009,666142,0,FF
46,70.78756,102.99622,31.988987,149.95224,-69.642876,125.11324,-21.318695,153.07706,-129.77097,267.675,8.425615,333.02856,143.43207,250.67157,663527,666142,1,FF
47,75.39527,101.873665,37.80165,147.65524,-70.24512,124.45798,-21.558475,153.02151,-126.10972,253.21454,5.242267,324.7267,130.01846,257.46994,678009,663804,0,CH
48,59.77308,103.45265,19.047682,153.57086,-75.16446,118.597374,-38.583332,147.31201,-131.71172,264.65002,-4.3165593,330.95877,123.54598,254.00742,628451,663804,1,SL
49,61.453194,103.58017,16.47993,154.05966,-75.29005,118.434525,-38.143814,147.50604,-133.52835,262.1101,-2.9405572,327.63986,123.25652,254.93143,679529,663804,1,SL
50,68.08266,103.3925,31.977377,149.9564,-72.11677,122.33989,-28.065432,151.25975,-125.595345,260.22,1.4513607,334.6047,128.6585,254.83028,663837,663804,1,SL
51,66.74426,103.519356,23.115835,152.64478,-74.40685,119.564545,-35.991123,148.41837,-130.90697,269.37628,3.4966488,333.45917,127.48921,258.3805,595879,674444,1,SL
52,78.85191,100.63457,47.35441,142.8563,-65.656166,129.16052,-14.532969,154.3818,-126.62079,251.60646,-4.6801567,323.92435,129.51224,260.97745,678009,674444,0,FC
53,74.62112,102.103165,39.38487,146.95132,-73.09573,121.1796,-24.723175,152.22658,-121.79002,266.2907,4.8807654,336.58832,131.90468,257.4424,668670,672582,1,SI
54,69.82262,103.1593,24.891546,152.18103,-75.55136,118.09334,-33.178894,149.51776,-135.70177,261.88678,2.9335256,332.57675,132.57953,255.01303,595879,672582,1,CH
55,66.39222,103.5452,25.603989,151.98462,-73.56363,120.61151,-30.648365,150.4204,-131.54678,262.07407,2.3573995,334.69666,132.40062,256.4179,408234,672582,1,CH
56,69.83673,103.15709,30.037298,150.62636,-70.72286,123.929306,-22.89543,152.69978,-138.74788,254.8047,-7.5911913,322.25647,120.59931,263.69415,678009,672582,0,FF
57,67.64143,103.43935,11.038037,154.85657,-82.091064,108.31273,-54.010376,138.65292,-152.42525,267.79578,-18.612423,346.13632,125.93619,260.66306,595879,680742,1,CU
58,63.11465,103.63655,17.95338,153.78815,-74.24702,119.76535,-33.298824,149.47296,-139.70541,249.82724,-19.480402,333.91348,123.30674,273.3887,668731,680742,0,FF
59,59.716278,103.44708,21.380152,153.0629,-76.90818,116.268555,-39.4612,146.9165,-133.32216,258.73376,-1.8751827,317.00525,119.820915,240.30255,628451,680742,1,SI
60,54.70938,102.63031,7.2996936,155.21915,-77.53287,115.39676,-47.953262,142.50905,-136.11383,266.48328,-8.051069,334.31613,127.8557,256.67087,679529,680742,1,SL
61,74.845825,102.038284,42.113056,145.65569,-56.326397,137.00056,-6.3681526,155.28632,-122.54181,263.17853,19.113087,344.32428,145.91481,254.72432,663837,680742,1,FF
62,78.27011,100.868484,46.13838,143.54367,-69.067764,125.727646,-13.692937,154.508,-123.04686,258.35953,-1.9397353,326.24002,133.33594,256.14426,681481,664199,0,CH
63,74.778984,102.05774,43.95027,144.72217,-65.78581,129.03632,-6.743062,155.26039,-125.27283,260.66846,12.533193,342.4935,145.17458,256.20505,663837,664199,1,FF
64,69.143005,103.25965,35.85374,148.47449,-71.29975,123.28014,-21.435686,153.05005,-125.11413,263.74686,3.2862244,326.14615,126.27228,253.7095,408234,676092,1,SI
