matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,69.25004,103.244644,35.83405,148.48251,-73.16027,121.101776,-21.581293,153.0162,-134.93854,257.76636,-4.9451413,320.3142,120.16424,238.68314,669397,623474,1
1,73.465065,102.41458,34.18867,149.13484,-73.774666,120.35231,-26.805473,151.63982,-132.66193,258.86,-3.1089208,336.2123,138.9774,263.2158,691016,623474,0
2,67.346924,103.46786,28.362446,151.16736,-73.5231,120.661064,-25.557806,151.99753,-140.91235,265.93668,-1.6003745,332.77032,118.521935,253.82886,672478,623474,1
3,74.43377,102.15615,40.69057,146.3445,-68.497185,126.32656,-16.19259,154.10983,-121.48253,266.9097,5.980806,325.50714,130.4526,262.81766,671732,660761,0
4,79.01153,100.56853,53.592396,138.94014,-68.1784,126.65668,-6.76762,155.25864,-120.17974,257.5601,2.5366836,328.74417,129.17586,255.8561,676116,660761,0
5,66.725395,103.52083,15.672606,154.19829,-77.68285,115.184326,-38.500557,147.34875,-136.82173,258.57382,-3.7654681,321.07233,126.16626,237.40749,665923,660761,1
6,65.176544,103.61047,18.422031,153.69672,-75.767105,117.80922,-37.16484,147.92868,-138.21184,274.2828,3.8756611,333.226,132.30243,255.71083,667670,608334,1
7,79.00007,100.57329,50.194576,141.15671,-66.62371,128.22209,-9.269482,155.04669,-128.41472,265.63928,-0.9034269,337.58243,138.29433,259.86313,676116,608334,0
8,69.00311,103.278824,27.846289,151.32722,-71.316956,123.2606,-29.092222,150.93585,-124.80843,262.65878,0.78422636,321.349,138.02484,247.75652,669397,608334,1
9,55.635067,102.830826,9.909521,154.98175,-75.92218,117.60362,-41.0864,146.15576,-125.034195,270.41943,-3.1817572,334.27753,134.15477,249.29631,680869,608334,1
10,68.85271,103.29888,26.248665,151.80174,-74.67972,119.21916,-30.989912,150.30325,-139.02232,247.66975,-6.8498416,327.60025,124.290596,252.21413,691016,680983,0
11,58.087917,103.25281,15.280197,154.26309,-75.5462,118.10011,-35.184624,148.74422,-129.61005,260.03638,1.7747798,328.84732,131.13881,247.4015,649557,667755,1
12,73.20823,102.47876,39.948116,146.6925,-66.96921,127.880455,-14.417434,154.39961,-118.820145,259.01825,7.069624,320.9222,127.209305,247.01108,669397,690829,1
13,59.040066,103.37462,12.68569,154.6492,-82.17053,108.17603,-52.015842,139.99435,-149.74327,268.9067,-4.9834127,334.2784,126.33656,255.6865,669127,670046,1
14,77.74642,101.070045,47.57009,142.7319,-61.99399,115.05491,-11.053322,154.85477,-121.29093,253.3496,3.2668285,316.1552,144.1564,256.9492,668709,670046,0
15,76.992546,101.345566,45.586544,143.84787,-68.47027,126.35456,-9.54092,155.01968,-121.85033,250.9672,9.494148,326.23358,139.56969,256.37042,676116,670046,0
16,58.852165,103.35242,9.780103,154.99524,-80.13977,111.515854,-46.668518,143.2469,-139.1362,274.281,0.5145708,338.2534,129.70912,249.44585,672478,670046,1
17,61.438442,103.57936,3.9657724,155.41719,-80.42194,111.06987,-48.597687,142.12881,-149.28023,263.44485,-11.080596,334.97552,125.11373,258.2443,667670,670046,1
18,63.754406,103.63983,19.102083,153.55972,-77.982605,114.756,-38.75036,147.2376,-142.69383,252.7485,-1.342868,313.93216,123.198685,246.70108,665923,670046,1
19,66.64155,103.52722,26.763441,151.65218,-72.97284,121.32735,-31.02605,150.29077,-124.87314,261.79095,7.133703,323.61963,133.06828,245.68225,669397,681806,1
20,64.25801,103.635216,22.639862,152.76286,-75.54162,118.10611,-36.12817,148.36214,-134.08118,277.21185,-3.2650168,340.07803,130.52756,256.11264,667670,681806,1
21,76.406075,101.54814,44.46988,144.44897,-69.42021,125.3524,-15.146447,154.28479,-121.95563,259.95975,2.1455204,335.9965,138.1118,263.14218,676116,681806,0
22,57.265106,103.12874,14.86454,154.32986,-76.29077,117.11023,-39.52891,146.88556,-144.77068,265.94644,-6.529974,330.8563,128.1762,254.02171,649557,669721,1
23,79.535385,100.346085,49.78313,141.41132,-60.385826,107.66615,-14.694664,154.35663,-126.4699,252.0856,9.455761,336.11258,147.46774,254.81236,668709,669721,0
24,62.71324,103.62926,21.608467,153.00986,-74.49379,119.45486,-32.94602,149.60422,-135.25537,266.42667,4.41666,335.93732,135.87645,254.45383,680869,669721,1
25,78.85772,100.63217,42.774162,145.32553,-67.48064,108.56114,-25.12955,152.11609,-126.4409,244.64513,14.102307,331.55634,143.16333,254.1924,676116,669721,0
26,76.83575,101.40073,45.185707,144.06586,-67.26548,127.584694,-11.517662,154.79922,-127.482285,259.56885,-3.1769795,335.05734,138.94278,256.55957,691016,669721,0
27,68.77198,103.30942,34.302956,149.09067,-68.606705,126.21241,-17.328493,153.90622,-121.10726,258.62735,8.931237,324.90387,130.39932,243.57889,669397,669721,1
28,78.22803,100.884995,47.304256,142.88512,-68.030075,126.80919,-12.634013,154.65616,-134.75642,253.6771,-4.7315974,337.80533,138.29509,258.7411,671732,669721,0
29,63.48207,103.63968,25.45422,152.0264,-77.290146,115.73797,-36.5832,148.17365,-135.85828,261.97293,1.5935876,338.42844,136.30508,255.56346,667670,669721,1
30,67.38446,103.464355,24.256716,152.35103,-75.46543,118.20589,-35.720284,148.52875,-135.1364,268.05356,-2.1796165,333.39413,127.52491,252.06706,649557,681217,1
31,75.729576,101.76928,42.476162,145.47516,-67.42607,127.42329,-15.585074,154.21289,-134.8478,255.76361,-7.610295,329.28427,138.56989,259.19574,676116,681217,0
32,75.95978,101.69552,40.035873,146.65178,-68.23015,126.6033,-19.431522,153.49149,-133.40282,261.91815,-0.5906188,333.28824,130.31418,252.47813,691016,681217,0
33,68.41365,103.354126,27.446861,151.44873,-75.81989,117.73935,-34.96906,148.82986,-125.37771,259.32367,4.248971,326.4472,123.67992,248.0633,665923,681217,1
34,76.196724,101.618004,43.15076,145.13458,-68.99539,125.804184,-17.745607,153.82788,-145.27425,261.51016,-23.429232,341.81625,122.04367,266.2425,608369,608032,0
35,74.125084,102.24132,40.153492,146.59702,-67.45387,127.39526,-15.900343,154.15991,-133.91855,257.59607,-8.940063,334.2596,132.73503,258.22742,641680,608032,0
