matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,62.828022,103.63176,24.421507,152.30734,-73.3721,120.84513,-33.244076,149.49344,-126.97832,261.53845,-0.8883534,323.96295,118.41443,248.55243,669397,623474,1,SL
1,74.94075,102.01047,39.17557,147.04637,-65.73328,129.0867,-13.630701,154.51703,-136.2708,259.82285,4.724982,333.26895,138.6061,259.75116,691016,623474,0,SL
2,67.872025,103.41548,25.333164,152.05998,-73.96632,120.11531,-32.963043,149.59792,-139.18465,260.7772,-5.742999,330.93253,126.49533,258.6986,672478,623474,1,SL
3,74.94322,102.009735,33.244118,149.49341,-72.619934,121.74823,-22.376684,152.82706,-126.838005,253.52637,0.8841086,330.15494,125.98359,260.92133,671732,660761,0,SI
4,71.24743,102.90993,35.494015,148.62024,-71.25579,123.33003,-23.322742,152.59262,-126.62173,258.86038,-1.6751066,331.2915,133.91736,252.98888,676116,660761,0,FF
5,67.12512,103.487885,24.778835,152.21155,-73.45562,120.74344,-36.586582,148.17224,-129.74956,262.2052,1.2914386,324.27573,127.170296,239.19833,665923,660761,1,FF
6,60.558548,103.52113,24.045738,152.4065,-72.550545,121.83041,-31.053726,150.28122,-131.80933,272.19333,6.611893,342.14902,134.39302,262.918,667670,608334,1,SI
7,78.53456,100.763466,51.86627,140.09203,-66.13389,128.7005,-5.3557997,155.3489,-123.508026,260.69818,4.542549,331.64694,129.26228,255.60033,676116,608334,0,CH
8,68.74199,103.31328,34.59052,148.97879,-68.15633,126.67942,-19.113478,153.55737,-120.69133,257.78088,9.624021,326.09106,132.318,251.78932,669397,608334,1,SI
9,78.48426,100.783615,43.84901,144.77493,-72.29338,122.13332,-18.45119,153.69095,-132.59662,263.41653,5.5791426,339.13782,128.90738,258.57333,676116,608334,0,SI
10,61.248085,103.56842,8.644132,155.10593,-79.58554,112.37622,-45.866375,143.69421,-144.39801,255.0735,-1.2331239,329.34784,127.4748,250.64738,680869,608334,1,CH
11,73.89262,102.30373,36.07321,148.38472,-66.55725,128.28741,-16.902025,153.98434,-137.84676,250.23611,-8.46631,334.9519,123.992645,261.25235,691016,680983,0,SI
12,60.567883,103.52185,12.628909,154.65683,-78.096504,114.591934,-43.14215,145.13898,-128.14198,255.8501,-0.7938831,327.5811,123.75644,257.8568,649557,667755,1,KC
13,74.91141,102.019104,46.59831,143.28647,-60.74413,133.54211,-3.2268682,155.44519,-121.692444,256.60983,2.6620836,319.6123,129.53896,245.84775,669397,690829,1,FF
14,62.400703,103.6208,11.425051,154.81049,-80.94311,110.231415,-51.01931,140.63757,-148.32393,255.73123,-5.1376977,324.9264,125.708595,253.51024,669127,670046,1,CU
15,75.66945,101.7883,39.956818,146.68848,-58.81343,104.16121,-19.270695,153.52495,-129.31503,259.21948,8.039256,330.866,136.8133,262.19534,668709,670046,0,FF
16,77.3059,101.23312,44.19917,144.59183,-69.810036,124.932594,-14.779545,154.34329,-128.42917,256.40024,-12.123646,326.9103,132.71103,264.91125,676116,670046,0,CU
17,63.34918,103.63895,26.00753,151.87073,-76.120125,117.339485,-33.829704,149.27246,-138.26129,263.698,-9.472055,333.35132,123.87319,256.1755,672478,670046,1,CH
18,61.596684,103.58777,16.46038,154.06311,-78.046326,114.66431,-41.63568,145.8901,-147.84213,257.5842,-8.220064,333.09244,123.272995,250.71219,669127,670046,1,CH
19,66.56869,103.53264,25.666607,151.96707,-76.32139,117.068954,-35.691883,148.54027,-141.27649,267.4533,0.4586528,334.94037,130.18527,256.73212,667670,670046,1,FF
20,55.384407,102.77879,12.662708,154.6523,-79.11471,113.09148,-45.72369,143.7727,-139.35623,247.9123,-14.374602,322.48404,112.84742,248.03862,665923,670046,1,CH
21,63.65033,103.64,24.924292,152.17213,-77.18061,115.890915,-34.80387,148.89508,-126.54713,262.43585,-2.7178428,322.23306,118.48255,248.57523,669397,681806,1,ST
22,65.55593,103.594086,21.821627,152.95981,-76.185585,117.251724,-38.87059,147.18378,-131.99243,272.88855,-1.3804897,341.94006,131.25244,256.36017,667670,681806,1,FC
23,76.871574,101.38818,38.519356,147.34042,-69.89469,124.84075,-19.839304,153.40533,-124.792496,258.72736,0.33464926,328.81628,134.4274,256.1156,676116,681806,0,FC
24,69.91746,103.14435,26.285563,151.79112,-76.590126,116.704575,-35.054935,148.79582,-132.60234,265.99295,8.98428,339.21295,139.0118,252.54434,649557,669721,1,FF
25,77.597275,101.125916,45.477654,143.90733,-56.032936,103.6458,-18.85735,153.60962,-125.84067,255.95325,3.6360662,334.08096,140.61725,256.61444,668709,669721,0,FF
26,71.65709,102.82834,32.82085,149.65039,-71.91486,122.57457,-28.028795,151.27106,-124.98545,267.2514,10.306004,340.856,142.47566,252.86522,680869,669721,1,FF
27,79.22218,100.48013,49.37702,141.65979,-60.488987,117.061966,-16.80869,154.00116,-127.63385,255.07726,4.104176,334.4668,145.41112,255.89853,676116,669721,0,CH
28,76.26769,101.59447,36.58805,148.17163,-72.247505,122.1871,-24.988987,152.15451,-131.3219,262.44177,-5.7014213,335.35028,130.00145,260.33,691016,669721,0,FF
29,63.616722,103.63999,29.901518,150.67151,-72.102844,122.356125,-27.73779,151.36041,-128.20001,261.16208,-5.1498337,325.98016,121.488716,241.68204,669397,669721,1,SL
30,75.44124,101.8595,28.052223,151.26382,-71.93605,122.55002,-26.875237,151.61928,-136.46689,252.89784,-12.851601,333.478,123.39118,257.65695,671732,669721,0,FF
31,65.1633,103.61098,18.619774,153.65741,-75.99852,117.50198,-42.434418,145.496,-137.26923,260.4146,-7.3226824,338.14874,127.43086,250.49628,667670,669721,1,SL
32,79.70908,100.27037,47.07756,143.01486,-59.36325,99.42642,-24.12861,152.38477,-115.44523,251.04497,7.770412,320.28735,139.98466,240.88853,691016,669721,0,SL
33,71.775925,102.80385,37.530712,147.77225,-68.933975,125.869,-18.184952,153.74327,-121.80795,261.27408,14.238452,324.01602,137.30919,246.21275,669397,669721,1,FF
34,63.400513,103.639275,16.188938,154.11046,-76.10029,117.36604,-40.39886,146.48216,-131.0793,257.5712,2.8121555,327.23907,129.459,251.48694,649557,681217,1,SI
35,76.56824,101.49315,39.868355,146.72943,-69.10614,125.686966,-15.758669,154.18385,-135.24834,255.67319,-11.065505,333.36115,129.4332,258.7732,676116,681217,0,FF
