matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,77.907196,101.00906,44.943314,144.19647,-69.57301,125.18845,-16.970797,153.97188,-126.478905,241.06522,0.6723178,319.18747,135.94952,255.79523,645444,623465,0
1,78.46599,100.79091,41.874638,145.77318,-69.607605,125.15124,-19.424046,153.49304,-130.92302,250.40718,-4.820215,328.0297,135.32431,254.78706,606466,660813,0
2,69.40486,103.22239,26.09174,151.84671,-73.0439,121.24198,-29.75065,150.72139,-124.32447,260.72183,4.841979,325.93707,130.99443,234.94846,672695,681911,1
3,73.544,102.3945,35.554207,148.59596,-71.65761,122.87137,-23.141167,152.63841,-142.44911,252.37364,-14.003345,339.0178,116.41097,273.60788,677950,681911,0
4,73.79208,102.33024,34.585243,148.98085,-74.728134,119.15753,-29.16095,150.91371,-129.38098,259.48404,10.861476,329.83258,131.19792,237.33714,672695,657571,1
5,67.19228,103.48195,24.112425,152.389,-77.90885,114.861855,-38.85366,147.19138,-133.74042,267.91742,0.40020552,340.2807,142.81555,258.5537,666971,657571,1
6,72.24184,102.70415,39.8712,146.72812,-69.57477,125.18657,-18.68007,153.64534,-127.01066,263.12952,16.383938,333.73416,138.95578,258.245,502054,458681,1
7,76.74702,101.43162,45.316673,143.9949,-68.001854,126.838135,-10.811116,154.88284,-138.64203,250.66661,-4.1469407,334.4472,130.12944,258.81064,682998,458681,0
8,65.49655,103.59689,30.965273,150.31177,-72.19048,122.25383,-26.225325,151.80844,-139.91832,269.02576,2.2159355,341.37888,129.86377,261.26102,666971,458681,1
9,68.60402,103.33078,36.65476,148.14377,-68.07379,126.76431,-14.121207,154.44461,-119.41452,268.1121,12.743495,337.3353,139.43063,256.07397,672515,458681,1
10,65.07033,103.61442,18.390442,153.70297,-76.342606,117.04031,-38.851505,147.19232,-137.07948,273.7114,6.780739,339.9372,136.98784,257.39374,572233,458681,1
11,78.059296,100.95063,44.64785,144.35446,-66.076645,128.75598,-9.658948,155.00769,-128.13083,252.26466,2.464804,328.5114,135.92834,253.56784,606466,458681,0
