matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,75.33749,101.89139,39.30344,146.98837,-69.3582,125.418724,-16.528479,154.05112,-126.30781,243.23862,-1.394888,322.7701,127.52153,252.12729,645444,623465,0,FC
1,70.40187,103.064316,28.683382,151.06635,-70.50692,124.16926,-24.492281,152.2885,-136.0243,248.02612,-3.8597476,327.8569,126.05813,260.41153,606466,660813,0,FF
2,71.188286,102.92133,41.21622,146.09335,-64.12623,130.59155,-10.211394,154.94962,-119.07966,263.6366,11.194653,326.54565,135.05421,242.47993,672695,681911,1,FF
3,69.5119,103.206665,31.687014,150.05966,-73.20128,121.05223,-24.92051,152.17316,-138.6458,260.22842,-10.759668,338.53088,125.24566,262.32257,677950,681911,0,FF
4,74.22891,102.21298,38.222214,147.47162,-67.68724,127.15912,-16.15783,154.11583,-118.70096,255.53317,12.707628,324.7253,135.54692,243.48206,672695,657571,1,FF
5,70.24587,103.09076,32.32342,149.83194,-71.74483,122.77103,-24.783415,152.21033,-126.98058,269.89224,7.9557586,338.62518,141.4262,258.4144,666971,657571,1,FF
6,62.797596,103.63112,15.607622,154.20914,-78.335495,114.24524,-40.86025,146.26385,-123.84074,260.71048,4.0652156,328.79816,120.60217,255.40741,502054,458681,1,SI
7,78.58881,100.74165,35.600388,148.5773,-75.25263,118.48311,-35.404747,148.65613,-128.45831,257.72885,1.4692056,325.78705,129.67233,249.6268,682998,458681,0,FC
8,56.049088,102.91312,5.506777,155.34027,-81.19495,109.81918,-47.75157,142.62665,-144.12799,255.36934,-8.20688,331.36032,122.13414,255.89087,666971,458681,1,CH
9,61.66985,103.591446,12.601871,154.66046,-79.938126,111.83124,-45.963814,143.64041,-125.45964,258.968,5.2683644,328.61514,125.695244,259.102,672515,458681,1,CH
10,66.00237,103.570175,27.650553,151.387,-68.64771,126.16957,-22.519932,152.7922,-126.252144,268.62808,14.276981,341.90778,140.54942,257.26105,572233,458681,1,FF
