matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,63.30765,103.63861,9.893826,154.9834,-79.94813,111.81567,-48.749508,142.03824,-126.16431,247.45683,1.7481091,328.65524,125.239525,248.75845,665506,656945,1
1,70.230415,103.093346,21.158154,153.11389,-77.07592,116.0365,-36.6328,148.15295,-126.63977,272.93326,6.314722,341.81168,137.48186,256.78336,592206,656945,1
2,73.578865,102.38557,35.49105,148.62143,-71.61955,122.91506,-23.22626,152.617,-121.13481,262.57907,9.813248,330.19852,139.42021,241.9282,607208,608638,1
3,72.686356,102.60362,33.273636,149.48239,-75.20296,118.54753,-28.460964,151.13649,-129.50226,257.44202,4.622369,328.93268,134.36354,245.10052,665506,677053,1
4,69.43033,103.21868,28.201788,151.21747,-73.52431,120.65959,-29.322021,150.8616,-129.7224,278.29935,14.971308,336.2967,139.4468,250.4711,664761,502085,1
5,66.7948,103.515396,25.577202,151.99211,-77.08596,116.02257,-35.019547,148.80986,-127.537155,269.9821,11.085913,333.65262,131.61427,249.84712,607208,502085,1
6,61.941372,103.60391,12.5513315,154.6672,-76.17566,117.26504,-39.84627,146.73964,-126.09889,274.33484,10.555346,333.73215,133.33192,254.81476,679032,502085,1
7,65.92605,103.57461,24.555967,152.27148,-77.43594,115.5334,-38.189526,147.48598,-144.94485,265.30457,-7.397085,338.03503,131.67525,263.41547,592663,666129,1
8,68.56944,103.3351,21.911963,152.93845,-76.2567,117.15613,-35.088615,148.78244,-137.68521,260.25262,1.0415945,339.1857,136.93839,250.51044,664761,666129,1
9,75.070145,101.97212,41.720913,145.8485,-73.16456,121.0966,-20.624062,153.23428,-136.99054,252.73775,2.2916245,334.78076,127.68033,262.4305,547180,595345,0
10,79.68605,100.28047,53.17008,139.22702,-60.972404,133.35168,0.0,155.5,-136.67073,257.7112,-14.496103,339.37592,130.82587,264.25754,656941,623211,0
11,73.12367,102.49948,34.111305,149.16464,-71.343864,123.23,-19.723698,153.42996,-140.25638,253.07031,-15.426594,341.86533,129.26366,268.9477,669016,666277,0
12,72.022194,102.75188,35.98495,148.4209,-69.23538,125.54969,-23.945543,152.43265,-135.57622,253.28674,-5.153184,331.07407,123.42338,259.95114,681082,666277,0
13,70.713974,103.00952,22.293312,152.84721,-74.9941,118.81711,-34.043823,149.19058,-135.5749,260.9369,6.2739177,335.48553,141.07568,249.50864,607208,640462,1
14,70.34921,103.07331,19.824656,153.40846,-76.24481,117.17212,-39.318073,146.98172,-141.26358,258.80267,-13.020924,342.03726,136.52287,261.33575,592663,666200,1
15,64.629974,103.62775,25.69608,151.9588,-75.4922,118.17086,-33.507942,149.39442,-127.37922,255.57144,4.900646,328.6824,136.92844,246.51045,679032,666200,1
