matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,66.84174,103.51165,27.075956,151.55983,-76.82235,116.386734,-35.859673,148.47206,-117.13353,257.95926,8.841703,322.10706,131.0347,251.65854,665506,656945,1,FF
1,74.24759,102.207855,32.4676,149.77963,-73.44794,120.75281,-27.49796,151.43329,-126.71123,268.6724,9.001716,335.0118,138.9758,253.59616,592206,656945,1,FF
2,70.003876,103.130516,33.2909,149.47592,-72.14234,122.31006,-25.247292,152.08371,-123.9479,260.3222,2.8142195,328.83862,133.57431,251.47432,607208,608638,1,SI
3,61.43094,103.57895,12.934737,154.61533,-79.82625,112.00505,-43.54849,144.93062,-135.17339,257.14124,-5.6000514,330.6701,121.074745,250.02458,665506,677053,1,SL
4,66.01379,103.5695,24.387888,152.31628,-75.71264,117.88115,-30.328955,150.52863,-133.26598,259.9206,-1.1716536,336.85886,119.59246,252.86633,664761,502085,1,SL
5,59.88946,103.463776,9.561655,155.01758,-78.945,113.34589,-47.274498,142.90219,-136.98087,264.10568,-2.9688048,327.43317,122.258156,259.15735,607208,502085,1,SL
6,61.524605,103.58402,19.155588,153.5487,-76.444244,116.90282,-39.721863,146.79701,-122.54577,257.6479,1.4419076,323.20413,119.262566,256.05298,679032,502085,1,KC
7,71.48295,102.86357,21.971401,152.92435,-76.697525,116.55792,-37.130188,147.9434,-133.41753,262.90692,12.338706,334.21735,138.14005,258.54987,592663,666129,1,SI
8,69.76295,103.16859,26.356325,151.77072,-72.41029,121.99593,-28.403414,151.15454,-121.25832,264.86588,13.876694,338.74994,129.55055,251.98439,664761,666129,1,FF
9,72.861465,102.562546,35.64087,148.56094,-57.546425,97.83457,-23.457989,152.55826,-126.4848,256.51996,11.000833,322.78027,137.80675,255.13005,547180,595345,0,SL
10,75.924614,101.70689,49.227604,141.75049,-65.78198,129.04,-5.63741,155.33258,-133.30449,254.55182,-4.397618,330.5435,130.95027,255.65028,656941,623211,0,CH
11,74.07291,102.25547,33.36963,149.44644,-69.2507,125.53339,-21.937023,152.9325,-137.9194,260.92163,-16.371592,339.86984,121.93044,263.5714,669016,666277,0,FF
12,76.689255,101.4516,41.05411,146.17123,-68.4479,126.37781,-20.645452,153.22952,-129.55945,253.98083,-7.4317093,332.55786,131.20676,261.90292,681082,666277,0,SL
13,72.57811,102.628586,36.978348,148.00772,-71.27591,123.307205,-23.298761,152.5987,-122.541306,260.43848,3.3657138,329.99124,136.59671,249.79045,607208,640462,1,SI
14,65.15162,103.61142,18.43589,153.69398,-76.374115,116.99775,-43.512024,144.94942,-131.89874,271.93106,0.41590917,338.9299,130.00621,260.6654,592663,666200,1,FF
15,64.431076,103.63217,10.429224,154.9258,-80.63503,110.72939,-46.43431,143.37856,-131.72197,256.91104,-8.822339,327.12894,122.86501,248.52763,679032,666200,1,SL
16,69.22783,103.24777,28.137396,151.23746,-76.421425,116.93373,-37.447258,147.8081,-127.15564,267.39148,6.482737,344.99298,139.93634,258.1857,592206,666200,1,FF
17,75.535805,101.83018,41.94531,145.73843,-70.36569,124.3253,-17.75093,153.82687,-132.37947,253.69885,-7.669945,334.65167,125.64395,262.58084,656941,666200,0,FF
18,66.286964,103.55232,23.365606,152.58176,-74.57367,119.35378,-31.505459,150.12369,-125.15153,259.41644,6.529336,326.362,128.96552,252.56412,656582,663773,1,SI
19,57.36764,103.14515,8.384839,155.12924,-80.11958,111.54755,-50.503777,140.96347,-126.35622,256.67236,-3.31095,323.69995,121.88761,253.55342,693304,623211,1,CH
20,69.3125,103.23574,23.210262,152.62103,-76.11626,117.344666,-34.464005,149.02814,-135.03928,255.27463,1.8663971,325.6539,124.3418,246.75635,656582,677960,1,CH
21,71.95589,102.76602,37.059784,147.97327,-73.5736,120.599304,-22.902487,152.69803,-126.075134,261.09183,4.9832764,326.29028,133.19289,248.91234,641511,677960,1,FF
22,59.074287,103.37857,12.351207,154.69366,-78.82754,113.52094,-44.571545,144.39505,-139.45804,252.52333,-8.091168,327.1674,117.35642,255.1396,693304,677960,1,CH
23,71.26218,102.90706,33.528496,149.38667,-71.958824,122.52361,-23.253065,152.61023,-121.57526,269.12012,6.7440104,332.07645,141.48561,249.24126,678894,677960,1,FF
24,61.660477,103.59099,7.3629327,155.21423,-81.52184,109.27693,-49.67192,141.47963,-148.4075,251.55008,-8.678558,326.0968,125.93866,254.19319,680779,677960,1,ST
25,73.09244,102.507095,35.19957,148.73825,-70.996994,123.622314,-21.005526,153.14862,-135.03197,253.90651,-2.4005136,334.70657,130.33975,257.84677,669261,677960,0,FF
26,69.04052,103.27376,26.99156,151.58487,-76.617676,116.667,-32.939804,149.6065,-133.51048,261.42938,-5.6543293,334.1005,133.45396,254.58156,678894,677960,1,CH
27,73.41707,102.426704,34.605938,148.97276,-71.26328,123.32153,-26.277498,151.79344,-128.47668,259.60974,13.639817,332.60757,136.10251,248.52881,609280,677960,1,FF
28,72.005806,102.75539,33.19177,149.51297,-72.62926,121.737175,-28.207088,151.21582,-128.92595,264.18295,9.072896,327.37775,133.28387,245.08777,656582,677960,1,FF
29,69.23035,103.24741,32.468853,149.77919,-70.37536,124.31465,-22.956823,152.68451,-129.13097,267.20602,7.1862326,324.61603,133.87,245.45847,656582,677053,1,FF
30,68.66645,103.32292,26.000277,151.87277,-73.43489,120.76871,-27.594275,151.4041,-121.8896,268.46118,12.118035,337.35007,144.70793,256.28046,663647,519043,1,FF
31,72.98294,102.533554,27.52749,151.42435,-72.75713,121.58519,-28.663805,151.07254,-136.57425,248.06612,-11.690635,327.83282,123.23745,260.50916,678225,502085,0,FC
32,73.08753,102.508286,43.282837,145.06711,-66.54838,128.29611,-11.988701,154.7405,-121.731026,260.47397,13.847638,333.584,144.54654,254.7106,663647,640462,1,FF
33,72.15805,102.72252,22.918646,152.694,-73.40809,120.80135,-30.990402,150.3031,-127.409966,269.8349,10.242062,331.36133,133.93462,249.84946,693304,640462,1,FF
34,67.36223,103.46643,25.04787,152.13844,-73.21072,121.040825,-29.226812,150.89244,-127.53653,261.08432,5.042509,333.16687,131.75566,259.10657,680779,666277,1,FF
35,72.1417,102.72607,43.945602,144.72461,-62.613914,131.94577,-9.038431,155.06906,-123.705154,258.896,10.647267,334.07144,147.37401,250.53145,663647,666277,1,FF
36,74.105934,102.24654,32.237293,149.86307,-73.07979,121.1988,-30.296062,150.5397,-125.85242,256.19177,-2.3587632,333.50815,130.04402,256.31915,682848,666277,0,FF
37,71.36229,102.8875,38.248936,147.45987,-68.89109,125.9142,-18.313234,153.71817,-126.13432,257.4511,6.374701,325.60785,124.61221,251.43707,669707,608638,1,SI
38,65.99507,103.5706,13.760741,154.4981,-76.89851,116.281876,-41.328617,146.03915,-124.78088,261.2414,-1.1297046,333.2409,129.50381,260.61792,663647,656945,1,SL
39,71.78858,102.80121,30.913572,150.32956,-74.265434,119.74226,-28.611784,151.08899,-122.140785,265.75525,8.798264,326.96338,137.74965,252.27245,668804,656945,1,FF
40,67.91561,103.41083,22.399006,152.82164,-76.219986,117.205505,-34.81936,148.88898,-123.030624,258.83032,8.276171,329.38083,124.76302,255.15392,656582,656945,1,FF
41,75.90459,101.71335,37.70798,147.6958,-70.25233,124.450066,-19.480667,153.4812,-138.8262,253.7574,-5.982002,336.45892,122.50291,258.91614,641943,502085,0,FC
42,65.55169,103.594284,32.549824,149.7497,-70.53944,124.13324,-21.926859,152.9349,-123.31988,257.26456,13.310427,335.01553,141.75473,248.9158,669707,623211,1,FF
43,77.137024,101.294075,46.380104,143.4089,-71.346565,123.22693,-15.394588,154.24437,-121.96879,254.41762,3.3945522,327.6762,139.1921,252.19241,682848,608638,0,SL
44,71.908516,102.77605,35.96366,148.4296,-70.42998,124.254364,-18.33928,153.71304,-132.87962,251.37775,-8.686279,333.04538,129.18095,259.82843,669261,595345,0,FF
45,60.59013,103.52356,12.057142,154.73177,-77.812454,114.99974,-45.115387,144.10384,-129.61172,266.00323,-0.93525356,331.48456,124.427536,257.5922,669707,665795,1,CU
46,70.482834,103.050354,30.97054,150.30994,-73.49616,120.693985,-27.670303,151.38098,-137.26349,254.99791,-11.377705,326.1383,126.205414,260.9548,641943,665795,0,FF
47,64.21648,103.63585,8.186041,155.14665,-80.77773,110.49959,-46.642754,143.26143,-136.8676,261.9849,-2.935227,331.50925,122.15751,256.3233,680779,665795,1,CU
48,70.658615,103.019424,36.221184,148.32384,-69.236885,125.548096,-20.97783,153.1549,-128.06224,260.29028,7.546511,326.43832,139.88438,250.26521,656582,665795,1,FF
49,64.01199,103.63826,16.485214,154.05875,-76.11251,117.34967,-37.174522,147.92456,-134.40187,256.79398,-3.743323,330.89816,121.51861,255.81667,683146,666200,0,FF
50,63.61594,103.639984,11.529293,154.79779,-76.82255,116.38646,-42.907623,145.2581,-131.32623,267.27612,6.219972,331.98245,132.69812,252.66243,682626,666200,1,CH
51,69.66926,103.18298,29.600325,150.77081,-71.90019,122.59157,-29.311789,150.86493,-137.94229,248.19331,-7.702602,327.73883,121.99686,257.7878,621466,666200,0,FF
52,69.25412,103.24406,22.342005,152.83545,-73.0344,121.25342,-30.70834,150.39993,-127.71355,272.64978,11.870512,341.712,142.55234,251.74222,668901,666200,1,FF
53,65.60719,103.5916,17.680645,153.84021,-80.30605,111.2537,-44.873306,144.23402,-141.01634,253.08867,-9.646527,330.98328,128.12366,256.80536,596019,666200,1,SL
54,66.07794,103.56563,22.42226,152.816,-77.30809,115.71286,-39.7628,146.77815,-127.96263,255.84839,-5.3516965,326.9929,121.0173,249.20793,641796,666200,1,FF
55,62.965176,103.63431,14.66539,154.3612,-76.371635,117.0011,-39.128365,147.06772,-134.05115,269.6349,5.938557,344.25223,136.08185,252.07727,682626,666200,1,FF
56,65.22731,103.60849,16.750086,154.01169,-74.10571,119.941925,-35.417892,148.65085,-139.06874,256.98233,-8.088383,324.36053,121.93387,256.28244,607043,666200,0,FF
57,67.725395,103.43083,29.250332,150.88483,-72.289246,122.13818,-26.237595,151.80493,-129.49525,266.59863,8.113691,340.93164,143.05957,254.0983,668901,677053,1,FF
58,65.7694,103.58328,15.449308,154.23537,-76.70793,116.54368,-38.768826,147.22934,-148.68303,255.99538,-13.251333,335.40622,132.75389,258.19028,624413,519043,1,CH
59,63.108852,103.63647,15.602041,154.21007,-76.14594,117.304886,-39.548473,146.8766,-131.98595,260.6036,-0.36618674,327.70435,135.74289,253.10114,677595,519043,1,FF
60,70.17238,103.10299,37.482494,147.79297,-68.30186,126.52921,-19.491346,153.47896,-128.0803,252.68243,-2.2585948,326.12634,121.85625,253.14148,683146,640462,0,SI
