matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,78.49014,100.781265,49.174667,141.78255,-68.93979,125.86288,-11.8709545,154.7554,-126.61776,245.57874,-4.217985,320.63605,118.940346,254.44681,645444,665625,0
1,70.702934,103.01149,25.282742,152.07391,-69.54413,125.21951,-24.91315,152.17517,-126.54894,261.79883,-0.73807764,327.64102,131.819,253.07808,502054,665625,1
2,73.12125,102.50008,38.320507,147.42834,-72.149315,122.30192,-24.043203,152.40715,-124.469925,258.72977,-2.9686193,326.42407,136.69498,253.69608,682998,571948,0
3,69.27515,103.24107,22.274754,152.85168,-76.62536,116.656525,-37.675915,147.70966,-136.28561,259.7896,2.5558546,334.16592,126.50387,256.955,446334,571948,1
4,65.40758,103.60092,28.370266,151.16492,-74.8693,118.97724,-32.26214,149.8541,-139.79688,269.9482,3.6905525,336.29483,133.1922,254.62923,446334,642547,1
5,66.711685,103.52187,25.66347,151.96796,-76.37518,116.99629,-36.06659,148.38744,-136.77422,263.87805,4.44551,328.67062,137.67265,254.2239,666971,642547,1
6,76.957085,101.3581,34.353348,149.07114,-68.151306,126.68459,-24.834288,152.19656,-117.52531,247.1663,-9.193212,321.89853,124.36057,256.87128,645444,642547,0
7,70.338394,103.07515,22.859522,152.70868,-76.958786,116.1987,-39.101227,147.07999,-134.23358,256.64105,-1.4112248,338.68552,133.91675,254.84271,572233,642547,1
8,64.66493,103.62686,22.879297,152.70378,-77.44059,115.52686,-37.042755,147.98048,-135.43893,272.91772,13.2640085,337.65054,140.63522,249.08733,502054,642547,1
9,74.34447,102.18107,31.223228,150.22241,-72.725655,121.622665,-27.340471,151.48076,-138.83221,261.64554,-3.35336,339.61255,133.82462,266.44467,682998,642547,0
10,77.261536,101.24922,45.349457,143.97711,-70.61842,124.04556,-17.684494,153.83948,-128.00667,249.39394,1.1763406,321.29117,139.33269,252.29767,672695,642547,0
11,74.66957,102.089294,39.11396,147.07423,-71.3238,123.252815,-19.725286,153.42961,-135.23857,258.0683,-3.7296054,337.05392,119.51714,266.2038,677950,642547,0
12,65.08113,103.61403,16.942266,153.97705,-74.46045,119.49696,-35.87795,148.4646,-132.34148,262.4356,-4.584864,334.42593,129.73544,258.39117,572233,606303,1
13,61.560143,103.58589,15.687084,154.19586,-77.30849,115.7123,-40.282722,146.53664,-129.1639,262.41763,1.8015424,332.7329,123.74613,252.91208,446334,665625,1
14,77.42723,101.1888,46.440495,143.37509,-64.83313,129.93822,-9.033335,155.06955,-132.92282,258.6887,-8.721952,334.12152,125.09025,257.24893,677950,665625,0
15,72.989845,102.531906,30.495312,150.47241,-71.484604,123.06958,-21.87146,152.94803,-130.03023,264.79352,1.4585239,338.61703,133.25102,259.1021,446334,669203,1
16,67.99595,103.40211,24.853676,152.1913,-70.81807,123.82299,-28.086199,151.25333,-126.30463,263.6628,15.11984,335.73364,138.4091,245.41351,666971,669203,1
17,72.580635,102.628,39.745422,146.78616,-68.74418,126.06858,-17.767996,153.82362,-122.616554,260.68008,12.096727,335.2467,141.7002,252.62585,502054,669203,1
18,77.55491,101.14167,47.37399,142.84503,-66.95663,127.89295,-7.575804,155.19745,-124.228165,242.48195,-4.3040547,319.48825,125.345764,253.65831,672695,669203,0
19,68.25086,103.37335,25.92357,151.89458,-76.20004,117.2323,-32.47946,149.77533,-134.61018,262.81674,2.5571759,337.2462,142.69261,255.25676,572233,669203,1
20,79.078316,100.54065,51.75993,140.16122,-64.0494,130.66177,-8.745784,155.09657,-130.91824,249.5811,3.0580156,330.4229,131.6714,249.88478,606466,669203,0
21,75.97168,101.69167,41.35941,146.02426,-65.771965,129.0496,-14.497626,154.38727,-135.38083,253.67514,-3.4071329,330.24243,128.7074,247.42288,682998,669203,0
22,55.208027,102.741165,11.748009,154.77081,-79.786285,112.06694,-42.842045,145.29126,-140.31136,270.61234,1.1966312,342.84186,135.8616,261.9617,666624,676083,1
23,74.41197,102.162254,36.392506,148.25299,-66.60623,128.23929,-16.793493,154.0039,-131.18083,251.5717,4.8790236,331.83496,138.1932,259.52203,691718,676083,0
24,78.30124,100.85623,50.259544,141.11624,-67.01362,127.83628,-7.7697787,155.18173,-126.11211,258.82306,1.0354677,320.65002,142.61363,247.7449,670156,676083,0
