matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,75.1015,101.96275,42.13154,145.64655,-67.04292,127.80711,-15.63966,154.2038,-128.49414,249.61284,-4.578693,327.9034,122.48625,258.3384,645444,665625,0,SI
1,65.49783,103.59683,23.611782,152.51894,-69.56179,125.20052,-26.000195,151.8728,-124.33817,255.19183,2.970693,326.29755,129.60764,251.24901,502054,665625,1,SI
2,77.32207,101.22725,50.137768,141.19205,-65.536606,129.27466,-6.2637353,155.29327,-122.33147,258.20474,0.97129357,325.66406,124.2845,252.7532,682998,571948,0,SI
3,63.828205,103.63956,22.27215,152.85233,-75.318054,118.39811,-34.42655,149.04272,-129.11792,262.37442,-3.4779823,332.76068,122.037704,254.08669,446334,571948,1,CH
4,58.381264,103.292816,19.379658,153.5023,-78.5714,113.899765,-42.58454,145.4209,-135.29227,260.75177,-6.593892,330.84756,119.42179,251.67706,446334,642547,1,SL
5,75.03002,101.98407,36.45112,148.22865,-71.60245,122.934685,-22.5425,152.78671,-123.87208,266.4565,9.266332,341.1755,139.55849,253.65607,666971,642547,1,FF
6,74.5203,102.131805,42.518288,145.45407,-69.470535,125.2985,-14.223252,154.42923,-118.479996,249.4889,-2.1129537,325.20148,121.48375,256.6862,645444,642547,0,CH
7,57.623768,103.18498,21.026285,153.14392,-76.70188,116.55196,-36.470592,148.22055,-139.9482,257.39075,-7.805009,329.31442,121.761856,253.88063,572233,642547,1,SL
8,62.791103,103.63098,17.199463,153.93007,-76.484375,116.84839,-39.143383,147.06094,-131.54417,267.65747,-2.2258801,330.2386,124.193855,252.4971,502054,642547,1,SL
9,77.11451,101.302155,42.254993,145.58534,-69.712265,125.03837,-18.57043,153.66727,-137.49161,260.14276,-14.427813,336.81766,119.87785,263.36877,682998,642547,0,FF
10,76.78837,101.417244,40.424267,146.47021,-71.10831,123.4969,-22.269493,152.85297,-124.26428,241.09918,-2.1950972,318.17535,138.99664,248.84422,672695,642547,0,FF
11,73.93026,102.29372,37.85182,147.63345,-67.22325,127.627,-16.977818,153.97061,-126.254,250.1946,-8.302364,333.10168,123.39922,259.06375,677950,642547,0,CH
12,76.201,101.61658,40.28978,146.53333,-69.4627,117.5417,-22.273006,152.85211,-124.151535,257.9211,2.512123,333.36374,143.75204,259.19336,682998,642547,0,CU
