matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,65.95607,103.57289,27.740526,151.35959,-72.15141,122.29947,-28.384739,151.1604,-125.92687,261.99417,9.265982,334.74176,139.36772,255.69986,547989,661395,1
1,76.28678,101.588104,43.383575,145.01547,-73.063576,121.21832,-15.843955,154.16946,-141.17853,259.78235,-0.8685859,339.97037,132.93616,257.6604,663656,661395,0
2,67.81024,103.42202,25.598606,151.98613,-75.135445,118.63489,-36.200417,148.3324,-139.15996,262.86118,6.172077,326.13446,135.66093,243.96584,608324,661395,1
3,62.099293,103.61032,25.120502,152.11856,-75.79335,117.774506,-31.692245,150.0578,-124.31899,258.56894,6.0520744,332.30734,135.80959,248.61882,514888,661395,1
4,67.59776,103.44371,22.455671,152.80786,-73.91004,120.18506,-32.725395,149.68547,-131.52885,263.7886,3.645124,328.77548,131.85114,252.8814,455117,661395,1
5,68.37002,103.35935,31.922642,149.97595,-72.48946,121.90259,-25.367788,152.05038,-134.13614,265.53696,2.0202537,331.89816,129.0695,253.12115,665161,643377,1
6,68.272285,103.37086,22.93124,152.69089,-73.38811,120.82567,-33.404198,149.43346,-127.94532,263.79315,14.744455,345.00836,138.88924,258.2082,547989,663978,1
7,65.372215,103.60248,19.090206,153.56216,-76.222,117.202805,-37.798252,147.65671,-141.52919,269.003,8.557428,337.54242,133.40137,254.56543,514888,663978,1
8,66.60271,103.53012,23.668682,152.5043,-73.53147,120.65084,-33.083897,149.5531,-124.57936,271.62613,25.086317,339.3709,143.84525,249.41226,676801,663978,1
9,72.56522,102.63154,36.318855,148.2835,-71.84138,122.65961,-22.543425,152.78647,-125.72895,254.12578,-1.225971,324.4644,126.14424,261.45197,488726,573204,0
10,76.60886,101.47925,34.897446,148.85818,-69.91431,124.819435,-20.6221,153.23473,-136.64447,254.91826,-8.735787,346.30743,132.12663,263.6997,670541,573204,0
11,67.208824,103.48047,23.8389,152.46036,-75.863266,117.68186,-33.400585,149.43481,-131.9621,266.96478,9.374953,330.82138,138.45,244.263,608324,592779,1
12,61.58155,103.58699,15.049769,154.30035,-75.74355,117.84035,-38.590862,147.30867,-138.37073,268.9485,1.0181625,335.39456,129.68146,256.80008,514888,592779,1
13,68.77632,103.30885,32.761204,149.67233,-70.18932,124.51922,-24.426939,152.30591,-125.49164,265.4028,9.9603815,334.54355,137.34659,253.18332,676801,657746,1
14,66.59146,103.53096,30.863413,150.34682,-71.60701,122.92946,-24.474516,152.29324,-131.6614,271.37665,11.520069,340.52518,145.66795,254.73132,547989,657746,1
15,76.791,101.416336,39.897552,146.71591,-59.287968,134.72894,-14.800707,154.33997,-141.016,267.8695,-8.891203,351.1598,140.44418,273.169,670541,657746,0
16,62.177437,103.61325,16.597038,154.03897,-73.79981,120.3213,-36.344933,148.27269,-141.88248,263.1081,-7.592641,333.97134,130.31152,257.2432,608324,657746,1
17,62.670925,103.62825,16.345055,154.08333,-77.61019,115.2874,-39.953896,146.68982,-144.62488,257.30878,-13.180349,333.5576,126.0271,255.38875,514888,657746,1
18,62.748493,103.63006,15.245189,154.26878,-77.81939,114.98984,-42.30199,145.56198,-131.60661,266.1017,6.3635416,334.53802,133.64233,247.01099,643289,641927,1
19,60.121346,103.48494,12.863437,154.62509,-78.23104,114.397156,-44.805084,144.27054,-141.9574,265.8622,-0.4173026,340.48993,127.73897,250.59622,455117,641927,1
20,57.471313,103.16147,26.752377,151.65543,-76.01004,117.48662,-32.597126,149.73244,-133.6637,265.02606,3.0170968,334.5227,137.70607,250.35457,665161,641927,1
21,62.370167,103.61984,19.218447,153.53577,-77.65297,115.226746,-36.46828,148.22151,-131.09004,266.36182,1.816388,341.33975,130.24783,250.21082,673237,628317,1
22,79.72986,100.26126,45.55878,143.86304,-74.327065,119.66492,-15.673702,154.1981,-131.6348,265.34805,-11.29959,343.56293,136.21342,265.41656,670541,543243,0
23,67.3953,103.46333,29.194887,150.90277,-71.52722,123.02086,-25.117899,152.11926,-125.3208,263.8351,17.104286,329.10016,137.45316,240.95695,643289,543243,1
24,64.91351,103.61972,17.758495,153.82544,-73.09558,121.17978,-35.788685,148.50098,-119.60284,269.37732,6.9931474,332.5344,128.75003,249.65587,665161,543243,1
25,65.15239,103.6114,18.653448,153.65068,-74.30467,119.69304,-37.306637,147.86829,-127.41172,258.14047,0.20833342,325.08255,123.13154,250.58508,514888,543243,1
26,65.5001,103.59672,21.723186,152.98299,-73.803185,120.31714,-30.712105,150.39865,-118.51491,262.2108,18.027428,326.7445,136.69414,251.4779,665161,661395,1
27,71.15773,102.92719,30.517475,150.4649,-71.788086,122.721146,-26.242222,151.80359,-126.83157,263.06088,13.967824,333.2436,144.63942,245.73358,676801,661395,1
28,76.505226,101.5146,46.005253,143.6175,-68.27375,126.55827,-15.163436,154.28204,-137.3643,248.8729,-10.12889,329.23557,125.071,264.0287,488726,661395,0
29,68.35206,103.36147,29.878681,150.67908,-69.52879,125.23598,-23.427368,152.56606,-129.92699,267.1282,10.932262,340.21155,141.47412,257.24585,547989,592779,1
30,61.24618,103.5683,11.844815,154.7587,-76.13116,117.32471,-42.136806,145.64392,-136.12054,259.78226,3.9811308,336.46774,131.82446,251.93071,676801,641154,1
31,69.05445,103.27184,27.616066,151.39749,-75.52917,118.12244,-34.18667,149.13562,-132.81572,274.79922,8.974929,337.94083,134.83464,254.961,547989,641154,1
32,76.75756,101.42795,49.257763,141.73221,-65.974686,128.85452,-5.318766,155.35098,-127.26904,265.69775,4.9876547,338.58704,141.45403,258.30667,663656,641154,0
33,70.39535,103.065445,24.37043,152.32092,-75.357834,118.34632,-32.64254,149.71584,-134.58972,255.06232,-1.0412006,328.55756,136.9376,251.85455,665161,641154,1
34,70.84727,102.98534,21.766499,152.97281,-79.20208,112.95981,-43.207752,145.1055,-143.23184,260.5712,-9.11057,328.1451,123.96937,251.12479,514888,641154,1
35,73.73701,102.34465,40.414192,146.47496,-68.288345,126.54318,-17.483326,153.87738,-131.10564,252.23187,-15.377753,332.16843,137.67618,263.34912,488726,641154,0
36,70.668526,103.01765,36.35409,148.2689,-73.4079,120.80159,-23.129751,152.64127,-134.22034,269.7144,4.569303,330.70236,141.8507,257.91837,665161,663978,1
37,56.350155,102.97011,12.886902,154.62189,-75.82707,117.72984,-39.493717,146.90166,-140.23802,268.73502,-5.526428,330.1754,120.490166,256.19165,608324,628317,1
38,78.24184,100.87957,52.004414,140.00183,-66.214714,128.62204,-7.0841813,155.2355,-131.41411,248.00111,-2.7540135,327.3255,135.97946,258.39084,488726,628317,0
39,66.62257,103.52865,14.799015,154.34024,-78.4087,114.13838,-45.312,143.99744,-129.4139,267.5894,6.746435,342.08182,137.1397,257.656,547989,641927,1
40,63.227127,103.63786,24.017426,152.41388,-76.33915,117.04498,-36.18074,148.34052,-140.36456,262.8999,-3.3122375,334.34314,122.205376,255.67328,514888,641927,1
41,63.514755,103.6398,21.852438,152.95255,-76.29841,117.099945,-35.05005,148.79776,-132.82535,273.8709,2.9079556,336.70187,135.94273,250.57047,676801,641927,1
42,77.56017,101.13972,38.266216,147.45227,-71.79407,122.71425,-22.12026,152.88882,-131.58588,253.30373,0.76892024,333.85355,132.827,265.4651,488726,641927,0
43,76.30521,101.581955,38.441174,147.37506,-74.325584,119.66679,-20.71867,153.2132,-139.96205,257.1113,-5.878425,338.76263,144.29642,257.99777,663656,641927,0
44,55.91555,102.88707,5.6039977,155.33456,-79.683754,112.225235,-47.585445,142.72302,-149.68567,256.88104,-9.184081,333.31906,125.058716,259.5544,608324,641927,1
45,67.915245,103.41087,30.095968,150.60678,-72.3135,122.109726,-27.720034,151.36584,-120.88673,257.12198,22.387075,329.3902,137.99048,239.01405,669289,661395,1
46,76.15809,101.63075,39.884754,146.72185,-71.0367,123.57764,-17.09054,153.95006,-121.72942,243.92436,1.0516577,327.46085,138.56863,255.02629,624415,643377,0
47,73.00986,102.527084,38.995674,147.12758,-66.8192,128.02922,-15.535722,154.22108,-125.285164,267.7957,17.446634,340.24664,143.47334,258.24298,666182,643377,1
48,68.14542,103.38544,33.49176,149.40051,-69.42539,125.34686,-22.010513,152.91502,-130.35216,271.37775,4.269699,339.21014,142.48286,263.22137,665489,643377,1
49,64.17565,103.63641,21.842203,152.95496,-76.14835,117.30166,-36.61874,148.15881,-125.21373,263.2604,9.771013,336.99902,132.79488,253.58191,543807,592779,1
50,80.2744,100.017136,53.778248,138.81284,-70.493774,124.18381,-11.163966,154.84175,-130.50217,254.7062,4.5150356,330.75122,137.17401,259.39264,624415,686973,0
51,63.31914,103.6387,14.215285,154.43044,-76.98771,116.15873,-39.788544,146.76628,-131.63194,272.8765,-3.8620462,339.29465,130.95844,251.7029,543807,543243,1
52,79.59354,100.32085,43.656902,144.8746,-73.47616,120.71839,-16.113794,154.12343,-120.765495,253.01158,8.520044,329.52023,137.74455,250.30058,662139,543243,0
