matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,65.87635,103.57744,16.980864,153.97005,-73.40102,120.80997,-34.110718,149.16487,-128.09486,262.3045,-5.4143085,330.72482,131.11668,251.0586,547989,661395,1,CU
1,77.66305,101.101364,42.19477,145.61523,-70.70403,123.950294,-18.855362,153.61002,-131.0509,260.40753,-1.7282155,333.78558,124.02729,261.4441,663656,661395,0,FS
2,67.06585,103.49302,28.718603,151.05519,-74.92547,118.90526,-34.656418,148.953,-130.37546,260.43976,2.4644785,328.31702,126.037735,256.96597,608324,661395,1,FS
3,63.080772,103.63609,18.550623,153.6712,-76.91401,116.26051,-40.352894,146.50375,-127.62565,260.31387,-4.3801446,329.37375,120.7611,258.32266,514888,661395,1,CU
4,69.67379,103.18229,36.247704,148.3129,-65.56943,129.24338,-20.129433,153.34291,-124.67597,267.09943,13.267847,331.19122,142.0676,248.11548,455117,661395,1,FF
5,64.699875,103.62596,15.862387,154.16635,-74.89776,118.94079,-38.994984,147.1279,-129.0062,262.37967,-3.0408823,326.7169,125.7355,256.70493,665161,643377,1,ST
6,69.92111,103.14377,33.335304,149.4593,-69.45991,125.30988,-19.443941,153.48889,-124.79689,264.59454,16.901655,341.22894,145.4938,256.35965,547989,663978,1,FF
7,64.21399,103.63588,21.27504,153.08711,-71.804726,122.701935,-33.74916,149.30313,-130.61127,260.3902,0.4132585,336.222,136.82677,256.7809,514888,663978,1,FF
8,68.96319,103.28421,17.253683,153.92007,-76.06015,117.419716,-35.731438,148.52423,-136.22598,267.2951,0.5582731,327.57645,129.93004,255.97693,676801,663978,1,CH
9,71.59501,102.84099,31.105839,150.26317,-71.13984,123.46127,-23.509426,152.54514,-135.2888,253.20847,-0.3745821,334.89365,126.21639,259.93582,488726,573204,0,FF
10,71.74413,102.81043,34.061916,149.18362,-73.81809,120.298744,-25.079744,152.12973,-140.0931,261.87405,-16.403921,348.8652,127.75811,267.3872,670541,573204,0,FF
11,69.0648,103.270424,35.12602,148.76756,-68.915215,125.88879,-19.98676,153.37373,-121.70928,261.03314,5.232355,333.97675,127.92915,252.70703,608324,592779,1,FC
12,59.170776,103.38954,16.168242,154.11404,-75.79562,117.77149,-38.384953,147.39992,-133.41507,259.38568,1.5714045,331.4744,131.48164,251.90091,514888,592779,1,SI
13,60.80626,103.53949,9.412156,155.0326,-79.86729,111.9414,-45.77517,143.74442,-135.31743,260.7876,-4.294164,331.30084,124.39444,259.1771,676801,657746,1,FS
14,70.818794,102.99053,30.926485,150.32513,-69.93911,124.792465,-28.839918,151.01663,-128.1238,270.55823,10.140934,344.61783,143.78525,259.56372,547989,657746,1,FF
15,78.44313,100.800026,42.821705,145.30154,-70.966286,123.656845,-19.702547,153.43445,-136.04291,269.0299,-13.974083,347.13086,122.171265,273.40527,670541,657746,0,FF
16,66.69019,103.52353,29.040518,150.95247,-71.43479,123.12644,-29.353308,150.85144,-130.22227,263.0538,2.3579555,340.02756,134.87389,255.32008,608324,657746,1,FF
17,52.91368,102.174995,3.4018857,155.43907,-80.65674,110.69452,-47.577785,142.72745,-139.51466,254.52234,-5.942015,326.71423,123.77132,256.25488,514888,657746,1,FS
18,71.03396,102.95068,31.549135,150.10832,-71.197784,123.39576,-27.628181,151.3938,-131.16875,269.5893,16.98781,334.44742,138.22287,251.02943,643289,641927,1,FF
19,66.84966,103.51102,21.27175,153.08786,-75.589294,118.04355,-40.116425,146.61429,-139.11281,270.15475,4.7882743,334.90213,132.30586,252.41129,455117,641927,1,FF
20,65.165634,103.6109,26.248138,151.8019,-73.98942,120.08664,-32.44489,149.7879,-129.78532,272.31693,7.425589,337.1758,133.21509,256.10315,665161,641927,1,FF
21,57.868645,103.22144,14.0794935,154.45088,-79.5379,112.44922,-44.6457,144.35559,-136.83199,264.29126,-2.0296245,331.84506,121.506775,252.96399,673237,628317,1,CU
22,81.14339,99.607086,51.257744,140.48528,-68.124695,120.89458,-11.440478,154.80862,-127.0318,257.05173,4.6796837,332.1443,134.44052,252.30208,670541,543243,0,ST
23,65.48084,103.59762,25.147402,152.11118,-74.71471,119.17464,-33.52954,149.38628,-125.329094,268.2267,0.40025765,325.10983,120.59327,248.18451,643289,543243,1,ST
24,73.444046,102.41991,39.972397,146.68124,-69.77282,124.97289,-16.44668,154.06552,-139.66017,262.54782,-8.235971,340.0989,128.76607,266.3266,670541,543243,0,SI
25,63.33979,103.63887,19.348475,153.50879,-75.32015,118.395386,-36.740498,148.10785,-126.6593,261.85803,-0.72693586,322.1068,121.57846,249.36514,665161,543243,1,ST
26,59.962704,103.47061,19.270603,153.52496,-74.77121,119.102615,-37.32418,147.86078,-128.02579,257.70718,-5.891077,328.48004,123.07141,255.86763,514888,543243,1,ST
27,69.989136,103.13289,30.325369,150.52985,-72.95727,121.346016,-29.499159,150.80392,-124.62147,252.82635,-2.438432,329.67664,134.46451,255.17746,665161,661395,1,FS
28,66.77163,103.51723,21.051245,153.13824,-72.91895,121.39193,-34.136314,149.15503,-122.69719,257.4982,5.404535,330.10498,125.569695,254.04842,676801,661395,1,FS
29,71.40466,102.879135,32.052456,149.92953,-72.315,122.107956,-27.145508,151.53912,-136.91972,251.44403,-11.5351095,332.27258,120.92017,263.3303,488726,661395,0,FF
30,73.36583,102.43959,41.80668,145.80652,-65.121056,129.66827,-11.53982,154.79651,-126.656204,262.63843,20.221798,341.25385,145.3608,254.39114,547989,592779,1,FF
31,65.1448,103.61168,20.06197,153.35751,-78.26089,114.35381,-38.8343,147.20004,-131.15302,261.9325,-0.1870832,329.61792,120.28909,254.38736,676801,641154,1,CH
32,65.40067,103.60123,24.02034,152.41313,-74.19627,119.82886,-33.886093,149.25096,-129.96971,256.88773,0.34893924,332.2181,124.14248,257.5606,547989,641154,1,SI
33,74.44305,102.15355,42.698597,145.36359,-69.845184,124.89449,-21.804874,152.96378,-136.81865,257.58426,-6.95879,339.4512,131.53741,259.13144,663656,641154,0,FF
34,56.3181,102.96416,7.711116,155.18652,-79.97694,111.770744,-49.772915,141.4176,-130.91296,253.97414,-4.0244427,329.5359,125.030594,246.25142,665161,641154,1,CU
35,59.818733,103.45705,7.092993,155.23483,-80.265236,111.31823,-45.310364,143.99832,-137.41254,249.13763,-10.049884,327.07672,120.54624,253.3413,514888,641154,1,CH
36,68.78406,103.30785,26.566515,151.70976,-73.49364,120.69705,-31.07094,150.27527,-124.831894,262.64343,9.949214,336.13055,140.23634,254.60849,665161,641154,1,FF
37,75.91513,101.709946,42.729954,145.34781,-68.81148,125.99795,-13.432731,154.54553,-126.17961,258.93506,-2.703155,322.40427,133.05695,254.24695,488726,641154,0,CH
