matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,66.64777,103.52676,26.487675,151.7327,-75.746826,117.83601,-33.40974,149.43137,-136.3827,265.94467,3.0255704,330.5744,130.10228,255.75322,642215,660593,1
1,64.17472,103.63643,22.479052,152.80219,-74.7848,119.08528,-33.947025,149.22766,-130.58664,267.35208,3.2489934,330.69424,130.67494,246.09158,679032,660593,1
2,74.637436,102.098495,34.543015,148.99734,-73.38589,120.82837,-25.124386,152.1175,-142.52435,258.59662,-14.413743,333.36612,117.39633,271.97104,669016,676130,0
3,77.26736,101.24711,40.46693,146.45013,-72.11231,122.34509,-24.71095,152.22987,-119.59825,243.54726,-5.3538017,316.32916,121.238785,253.53581,596117,676130,0
4,71.311226,102.897514,31.793484,150.02191,-72.3356,122.08377,-27.285034,151.4974,-123.615074,263.17902,12.161045,333.9172,125.95208,254.62364,679032,676130,1
5,72.92982,102.546295,28.707663,151.05865,-75.376335,118.32222,-28.41972,151.14943,-140.01883,247.24698,-18.337702,337.81485,128.97125,263.16385,595909,676130,0
6,63.29503,103.63851,13.838687,154.48665,-77.345764,115.660065,-44.57158,144.39502,-122.39937,266.8977,14.529742,335.86664,133.55078,252.41122,624641,676130,1
7,70.91251,102.97332,25.09563,152.12537,-72.50453,121.884796,-26.591711,151.70242,-138.65607,245.75397,-14.850609,335.9195,126.64563,261.40344,681082,676130,0
8,65.407234,103.60093,25.431248,152.03279,-75.41905,118.26649,-33.27614,149.48145,-128.76447,263.0953,7.929874,339.62955,138.62761,254.16635,592206,676130,1
9,76.62793,101.4727,50.758694,140.80289,-67.71535,127.13057,-8.568975,155.11276,-138.39522,261.08704,-11.677701,351.0497,127.72967,266.88687,656941,676130,0
10,72.07827,102.73981,36.338623,148.2753,-67.52408,127.32439,-19.170755,153.5456,-123.492386,262.47943,3.874052,338.77783,147.44325,252.365,664761,622098,1
11,72.393776,102.670395,40.828224,146.27911,-72.239525,122.19645,-22.457851,152.80734,-136.0761,252.38998,-7.716125,342.02335,134.71582,260.39868,595909,622098,0
12,74.883575,102.02727,35.966286,148.42853,-71.141495,122.613464,-26.142979,151.83206,-128.3961,269.3092,1.698554,342.38046,139.33957,260.01797,656941,622098,0
13,63.742493,103.63986,22.118359,152.88928,-74.99401,118.81722,-31.557219,150.10547,-123.561134,265.7459,-5.351967,328.20377,126.567444,257.43866,665506,657585,1
14,65.30421,103.60536,20.706453,153.21593,-74.79538,119.07176,-35.105747,148.77563,-123.89343,259.35886,10.012679,327.2076,133.16434,250.36174,679032,657585,1
15,77.76915,101.06148,50.098347,141.21652,-66.34343,128.4967,-11.053438,154.85477,-132.86217,263.5257,-2.4905639,338.82724,138.6698,264.21185,656941,657585,0
16,67.117645,103.48854,20.57297,153.24564,-77.199715,115.86429,-38.651134,147.28186,-129.31993,258.8801,5.53643,335.43015,131.42691,257.98502,607208,500779,1
17,77.49413,101.16417,48.225468,142.34927,-51.333908,105.19789,-11.903523,154.7513,-112.31641,243.37167,5.1748104,306.05542,127.915855,242.65413,596117,500779,0
18,79.19965,100.489655,53.05425,139.30511,-55.469925,120.464554,0.0,155.5,-128.8625,259.76544,-0.6267981,336.24448,138.68384,250.09239,656941,500779,0
19,68.5267,103.34038,31.148396,150.24841,-75.20946,118.53911,-30.503828,150.46954,-128.21497,257.9383,6.804608,336.49655,129.93698,251.04834,624641,500779,1
20,68.61649,103.32922,30.102211,150.6047,-72.02657,122.44493,-27.015852,151.57767,-128.33897,263.38196,4.875097,338.37048,131.69238,247.67563,642215,656731,1
21,66.79724,103.51519,26.933214,151.60214,-71.137535,123.4639,-25.917149,151.8964,-125.0037,265.7848,7.199522,340.69235,138.84357,250.45743,592663,656731,1
22,78.39939,100.81741,51.879356,140.0835,-71.06272,123.54832,-13.120714,154.58957,-139.63232,266.70084,-7.917451,348.6029,130.59608,266.9776,547180,656731,0
23,79.33467,100.43236,45.644947,143.81589,-65.645805,129.17044,-9.626198,155.01105,-131.92702,261.03625,-3.8090181,348.41373,141.15605,254.88354,656941,656731,0
24,78.26928,100.868805,41.82717,145.79648,-68.16461,126.67089,-17.308777,153.90988,-140.96558,254.19115,-10.3336315,343.79797,120.6671,265.77634,595909,656731,0
25,76.18284,101.62258,40.135265,146.60553,-69.46812,125.301094,-19.290113,153.52092,-134.02505,255.17291,-5.3831615,339.90207,136.78596,266.9286,669016,656731,0
26,65.96709,103.57225,23.111256,152.6459,-74.78476,119.08533,-36.05228,148.39331,-122.19029,265.64142,1.7644292,326.74066,138.73323,249.33574,624641,656731,1
27,76.01004,101.679214,38.415356,147.38647,-67.29429,127.55579,-15.835702,154.17087,-134.03357,254.40317,-6.0464134,336.28348,126.00508,267.54987,681082,656731,0
28,65.82587,103.58023,22.77867,152.7287,-77.66251,115.2132,-37.60567,147.73997,-130.8886,269.72327,8.662132,335.9336,135.19916,252.5766,663743,656849,1
29,73.79017,102.33075,41.96403,145.72922,-67.463905,127.38514,-15.659752,154.20044,-137.40529,249.43385,-7.06183,330.76553,126.24594,263.66486,665862,656849,0
30,69.873924,103.15124,34.27921,149.09985,-76.20228,117.229294,-30.262758,150.5509,-138.97302,262.7498,-4.8015175,342.38,139.1426,252.0177,650559,656849,1
31,71.14635,102.929375,20.712467,153.21458,-77.49115,115.45564,-39.285965,146.99632,-136.5423,273.335,1.9715437,339.33838,129.90305,252.35031,624585,656849,1
32,72.998924,102.52972,31.038944,150.28632,-76.57654,116.723076,-30.297844,150.53911,-128.98906,255.88718,10.37173,329.6171,139.46513,259.08502,605137,656849,1
33,76.22279,101.609375,41.564514,145.92477,-69.79363,124.95036,-17.87472,153.80324,-130.69249,246.21475,-1.1397479,326.87485,137.14398,255.85112,669364,493603,0
34,75.36302,101.88357,33.516155,149.39133,-72.958534,121.3445,-25.727879,151.94986,-128.82477,250.13922,-13.906951,329.84424,134.01709,261.67438,669364,641360,0
