matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,66.71621,103.52153,22.031755,152.90997,-76.838745,116.36419,-40.390858,146.48593,-130.93481,261.92224,-1.1253115,334.99884,125.348724,252.15204,642215,660593,1,SI
1,66.825516,103.512955,18.436974,153.69376,-75.146996,118.619965,-39.518787,146.8902,-127.38333,254.77885,1.346023,320.451,123.98038,254.19293,679032,660593,1,SI
2,72.11814,102.731186,29.299374,150.86896,-75.02424,118.778336,-29.145348,150.91873,-143.46759,256.3603,-18.006138,338.5508,117.2401,267.77466,669016,676130,0,SI
3,74.00538,102.27364,40.43994,146.46284,-69.65613,113.20103,-22.908129,152.69662,-123.44157,245.46013,-3.3724914,314.94174,124.913795,258.37952,596117,676130,0,SI
4,72.19489,102.71446,42.284706,145.57059,-64.38605,130.35297,-8.542694,155.11513,-124.88253,265.6958,13.982416,334.12436,130.66019,254.4693,679032,676130,1,FF
5,68.1164,103.388725,21.035381,153.14185,-74.376656,119.60257,-36.45847,148.2256,-142.592,258.70074,-17.49968,339.35077,120.59913,264.83783,595909,676130,0,SI
6,76.78951,101.41685,42.40924,145.50858,-71.1606,123.437836,-20.170954,153.3339,-131.17027,263.20706,-0.3037655,335.32263,129.42316,257.48502,669016,676130,0,CU
7,71.75226,102.80875,30.505638,150.46892,-70.25147,124.451004,-22.247004,152.85838,-140.81744,256.5407,-8.51581,339.10565,126.23328,261.92783,595909,676130,0,FF
8,64.86173,103.62134,19.42627,153.49258,-76.237526,117.181915,-40.9947,146.19968,-130.03482,261.86166,3.1947613,334.65814,128.50943,251.68721,624641,676130,1,CU
9,72.82295,102.57164,34.50799,149.01102,-73.58774,120.581985,-28.927507,150.98868,-125.45805,248.74977,-8.231933,326.2521,122.66968,260.6775,681082,676130,0,CH
10,70.08499,103.117355,34.640606,148.9592,-67.2101,127.640175,-18.411,153.6989,-122.10181,268.337,16.922585,341.3739,144.14119,257.02026,592206,676130,1,FF
11,74.11173,102.244965,40.978466,146.20744,-71.8297,122.673096,-21.661419,152.99747,-137.03679,267.6285,-6.4025445,345.716,136.25766,264.6017,656941,676130,0,FF
12,70.819435,102.990425,36.911816,148.03581,-67.00915,127.84074,-12.948058,154.61348,-123.76583,262.80087,20.091522,341.54956,146.57863,254.6612,664761,622098,1,FF
13,70.59626,103.03049,36.674294,148.13559,-70.48839,124.18978,-22.697216,152.74878,-144.13635,254.41086,-13.874869,342.0902,123.21817,266.4282,595909,622098,0,FF
14,77.30803,101.23236,34.082905,149.17557,-76.3821,108.29637,-24.163355,152.37564,-135.57178,265.74344,1.6823586,341.18082,134.63602,264.38873,656941,622098,0,FF
15,67.18247,103.48282,27.537619,151.42128,-72.57741,121.798615,-23.791113,152.47272,-129.09097,257.49954,4.4854045,334.30188,137.74814,246.85057,665506,657585,1,FF
16,66.28124,103.552704,30.27664,150.54623,-65.725105,129.09454,-19.30482,153.51787,-124.84291,262.35477,10.038434,325.4118,128.64963,251.94638,679032,657585,1,SL
17,79.122375,100.522194,43.05777,145.18193,-73.76838,120.36007,-24.785618,152.20972,-126.27121,261.57333,5.0645375,335.89288,136.66406,258.29788,656941,657585,0,SL
18,63.77231,103.63978,12.509544,154.67278,-79.2763,112.84758,-47.158276,142.96877,-126.66364,259.4133,-6.264128,321.43015,125.7934,255.03754,607208,500779,1,CU
19,78.68073,100.70448,50.240616,141.12804,-70.12173,122.735,-12.6058655,154.65994,-118.64212,248.497,2.507282,307.65958,136.87207,238.72652,596117,500779,0,SI
20,73.25091,102.46821,41.326912,146.03998,-63.4724,112.11868,-19.443344,153.48901,-134.84341,263.62418,-4.7813106,342.6887,136.13176,266.201,656941,500779,0,FF
21,62.165142,103.61279,14.256041,154.42426,-77.55257,115.36894,-43.62333,144.89197,-130.46855,255.85754,0.27807587,326.82565,127.79922,257.30975,624641,500779,1,CU
22,65.52838,103.59539,20.10656,153.34787,-74.98096,118.834015,-33.271847,149.48306,-121.3256,256.0389,-3.220282,328.0393,124.118126,250.86847,607208,500779,1,CH
23,70.598366,103.030106,32.534126,149.75543,-68.47592,126.34868,-21.36893,153.06549,-126.423996,261.24167,9.6582575,341.42715,131.69116,252.08244,642215,656731,1,FF
24,71.99527,102.75763,34.676178,148.94525,-70.86942,123.76552,-21.517698,153.031,-124.38636,266.96027,16.150543,345.59595,141.53894,252.3581,592663,656731,1,FF
25,72.864975,102.56171,33.98633,149.21262,-67.32957,127.52037,-19.071053,153.56607,-146.98752,267.22693,-15.571203,345.09384,128.3081,262.7431,547180,656731,0,FF
26,77.40522,101.19686,41.91786,145.75194,-71.33238,121.38475,-21.665285,152.99658,-131.88394,270.1912,-0.7875826,343.4431,135.14919,264.71536,656941,656731,0,FF
27,73.292076,102.45801,30.617176,150.43103,-69.8496,124.8897,-26.223703,151.80891,-140.55878,254.64319,-10.542808,341.48422,125.38763,268.51212,595909,656731,0,FF
28,79.94583,100.1656,47.450436,142.80101,-72.02922,122.44185,-20.753387,153.20543,-124.64751,241.812,-2.8455937,324.11993,132.04753,259.49362,669016,656731,0,FS
29,66.90303,103.50668,22.954607,152.68506,-74.844246,119.00931,-32.53807,149.754,-135.07552,261.34647,-7.3885655,334.4049,123.410355,257.1307,592663,656731,1,SL
30,79.81221,100.22497,52.347984,139.77603,-69.16137,125.62837,-9.042591,155.06866,-130.05289,261.7123,7.493619,337.51163,137.80003,263.69733,547180,656731,0,CH
31,71.85428,102.78749,37.076847,147.96603,-66.16015,128.67502,-17.05175,153.95715,-122.76971,266.8752,15.704886,331.69174,136.61346,256.84244,624641,656731,1,FF
32,78.92803,100.603165,47.148914,142.97412,-68.692635,126.122574,-13.037641,154.6011,-134.07942,260.10214,-1.6990825,326.13797,133.00584,252.16765,681082,656731,0,CU
33,70.642784,103.02225,30.759148,150.38257,-71.20649,123.385895,-22.503403,152.79625,-130.03812,268.54535,8.473709,329.89542,132.49617,251.9803,663743,656849,1,SI
34,72.76906,102.58431,36.621094,148.15784,-67.381966,117.33609,-19.19569,153.54045,-120.554214,256.61777,3.00293,330.1194,131.53735,263.44058,665862,656849,0,SL
35,71.958084,102.765564,35.109924,148.77396,-75.86014,117.68601,-26.837942,151.63026,-128.90796,266.65738,8.7232065,338.4169,140.25552,255.06004,650559,656849,1,FF
36,63.112637,103.63652,19.9439,153.38293,-79.58892,112.37103,-40.07953,146.63147,-136.26231,264.83475,-5.1871877,338.59583,138.0823,258.43033,624585,656849,1,FF
37,70.66042,103.019104,31.366396,150.17245,-70.57758,124.09092,-26.643799,151.68721,-124.41086,258.239,2.4344292,332.09558,133.75647,254.92879,605137,656849,1,SI
38,72.94665,102.54226,33.346466,149.45511,-70.532555,124.140854,-26.747744,151.65677,-129.82788,253.92479,-5.3448644,330.3251,122.67358,264.32712,669364,493603,0,SI
39,72.07293,102.74097,33.138275,149.53288,-71.13855,123.46275,-23.734486,152.48737,-134.14487,244.10986,-1.8016375,329.05368,125.013985,267.71805,669364,641360,0,FF
40,72.17879,102.71797,38.956272,147.14531,-69.67361,125.08009,-20.087946,153.3519,-125.38766,267.8715,12.901931,330.73337,138.28532,256.71295,607732,641360,1,FF
41,74.96515,102.00327,39.90984,146.71024,-66.47231,128.3707,-16.312094,154.08908,-127.50275,254.61766,-4.603927,333.27026,125.069534,257.47897,660821,641743,0,SL
42,67.47812,103.45543,26.894062,151.61371,-72.2787,122.15054,-26.632202,151.69061,-129.23848,266.918,8.903857,332.81656,139.57239,254.22954,650559,641743,1,FF
