matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,65.31893,103.60475,20.551735,153.25034,-75.528,118.12397,-35.619595,148.56955,-125.35811,256.86127,-1.3563962,319.38455,126.897736,251.08466,658668,669711,1,SI
1,58.67593,103.33078,11.192788,154.83835,-79.13346,113.06326,-44.116543,144.6352,-143.80342,258.62512,-6.8086762,334.08243,128.39389,256.05188,521692,666745,1,CH
2,61.917904,103.602905,15.21011,154.27448,-74.42027,119.54764,-37.470066,147.79831,-129.81282,262.93155,-2.6040485,330.27695,129.5618,253.54172,680118,666745,1,ST
3,74.29601,102.1945,44.631264,144.36328,-67.98019,126.860344,-17.284472,153.91438,-133.62811,276.15186,-7.2125497,345.58124,126.86871,268.77908,669004,666745,0,SI
4,59.85221,103.46025,6.4744263,155.27911,-78.61242,113.83936,-48.821857,141.99495,-134.78465,259.71643,-9.176448,339.4034,128.87218,260.7079,677951,666745,1,CH
5,74.99406,101.99472,45.70893,143.78082,-66.86328,112.01904,-22.67153,152.7551,-124.75574,250.68488,1.4960673,317.2016,121.93328,251.84425,668472,650633,0,CH
6,78.2941,100.85904,45.716335,143.77675,-65.95487,125.383125,-12.08019,154.72882,-123.324196,253.55453,6.360629,316.94073,139.89241,256.89685,686681,650633,0,CH
7,76.711845,101.443794,44.644417,144.3563,-65.42139,129.38428,-9.473421,155.02647,-126.276924,252.91406,-0.886894,325.3774,132.38307,257.64343,669004,650633,0,CH
8,67.02326,103.49664,19.685087,153.43814,-74.57702,119.34955,-36.4349,148.23538,-134.462,264.15228,-7.363172,327.7248,120.52721,256.9034,521692,650633,1,ST
9,68.394135,103.356476,32.818027,149.65143,-70.17549,124.53437,-22.7194,152.74332,-130.81142,262.82983,0.78344166,324.19446,123.6953,247.62279,677951,650633,1,ST
10,66.72509,103.52084,27.126007,151.54492,-73.51165,120.67506,-31.78681,150.02429,-129.4205,262.6076,-3.7908006,331.02246,123.53736,254.16917,672580,650633,1,ST
11,60.958138,103.549995,19.82926,153.40749,-74.00773,120.06389,-35.063145,148.79257,-132.9697,264.61566,-5.38423,321.43546,119.2309,244.82619,680118,650633,1,ST
12,65.124825,103.61243,24.390728,152.31554,-74.04733,120.01465,-30.505623,150.46892,-127.4712,256.35614,1.4355395,323.79556,128.67345,250.88043,658668,650633,1,SI
13,75.90908,101.7119,44.535625,144.41412,-63.0363,131.57338,-3.9730232,155.41689,-121.067314,260.33676,23.051994,341.9204,142.59123,253.41039,672580,650633,1,FF
14,70.50888,103.04582,35.0241,148.80804,-66.02422,128.80667,-16.301289,154.09097,-123.93002,257.8795,1.3433845,333.7371,132.82185,251.88235,677951,605280,1,SI
15,75.603035,101.80917,36.718414,148.11711,-68.029915,126.809364,-14.591869,154.37267,-135.85948,247.96785,-9.115135,333.26678,129.04811,263.66547,686681,641656,0,SI
16,67.22604,103.47893,27.01762,151.57715,-76.48219,116.85135,-34.07165,149.17989,-129.06819,253.50618,-6.3325047,332.0671,125.990654,250.61615,658668,641656,1,SL
17,77.05684,101.32274,40.056015,146.64243,-70.52597,124.148155,-17.956814,153.78748,-132.78165,258.2794,-5.6442623,336.6813,134.2485,255.42145,686681,593423,0,SI
18,56.635838,103.02199,12.52242,154.67107,-79.84794,111.97142,-47.40328,142.82819,-137.1299,261.25214,-8.684173,326.50516,119.95191,254.07141,521692,593423,1,FS
19,66.4424,103.54171,24.213926,152.36232,-71.32945,123.24638,-30.556782,150.45157,-125.41552,255.89531,0.28429058,329.08118,127.4491,252.20496,677951,593423,1,FC
20,65.81707,103.5807,25.837337,151.91899,-73.00241,121.29184,-31.00814,150.29697,-133.20522,269.04797,-5.3971605,333.23428,121.95892,258.29865,682515,657376,1,ST
21,70.18742,103.100494,32.012684,149.94377,-70.39309,124.29509,-20.141563,153.34027,-124.83549,258.8369,2.8771217,330.90036,129.97433,256.59875,680118,657376,1,FC
22,78.32022,100.848755,46.042866,143.59665,-69.70148,125.05002,-14.774526,154.34409,-131.10118,247.96655,-1.1915222,326.64,141.17018,249.51343,686681,657376,0,FC
