matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,75.1564,101.94629,40.047997,146.64615,-67.55058,127.2976,-14.484218,154.38934,-130.61375,253.15607,-4.4790683,332.5189,136.8552,247.46967,500871,695243,0
1,64.99347,103.617096,14.40327,154.4018,-79.08945,113.129456,-42.202034,145.61163,-135.0739,268.7255,-4.12399,334.7875,133.7315,253.03261,687263,666205,1
2,66.28226,103.55263,24.626688,152.25253,-75.897316,117.63666,-32.64496,149.71494,-138.18062,265.36264,4.881303,340.37497,141.54567,246.2388,545341,666205,1
3,62.981358,103.63457,18.222158,153.73601,-76.96498,116.190155,-36.78586,148.0888,-142.19429,268.18164,-0.39580533,337.09863,132.73096,252.04195,592273,676664,1
4,64.10191,103.63733,24.82519,152.19902,-76.45449,116.88892,-35.004658,148.81577,-148.37259,269.73767,-3.1666164,334.59735,132.98294,249.6556,687263,676664,1
5,73.14066,102.49534,38.94305,147.15125,-70.87587,123.758286,-16.732183,154.0149,-123.345566,247.3777,4.9162464,330.79483,137.81897,258.61722,621433,676664,0
6,68.31289,103.36612,33.78627,149.289,-72.02758,122.443756,-22.209908,152.86731,-140.78592,255.61356,-8.441277,318.89758,117.63846,248.86905,664058,676664,1
7,69.62998,103.18895,35.807865,148.49316,-72.46486,121.931625,-25.99,151.8757,-127.7629,260.12335,-4.5642786,329.787,124.976875,247.69713,683021,676664,1
8,61.865852,103.600624,20.082546,153.35306,-75.731026,117.85689,-35.358402,148.67473,-134.69597,256.02768,-2.8663712,336.1061,132.69026,259.8593,666176,676664,1
9,64.63613,103.62759,16.118603,154.12259,-77.18281,115.88786,-39.30842,146.98611,-152.33356,263.73764,-17.399801,330.2134,132.77957,249.11218,681351,676664,1
10,67.134834,103.48702,34.44417,149.03586,-74.71842,119.16991,-32.427624,149.79417,-145.51314,263.28217,-2.08322,340.2475,134.80247,258.3194,545341,676664,1
11,77.97153,100.984436,45.087765,144.11874,-71.41147,123.15303,-15.13445,154.28671,-134.18668,255.2665,-1.875093,340.35922,143.20465,258.85376,519058,543507,0
12,67.775,103.4257,17.606895,153.85416,-77.69193,115.17142,-41.707184,145.8552,-126.85456,274.8193,5.222334,339.58383,138.54897,255.24225,687263,543507,1
13,66.20889,103.55742,27.685532,151.37634,-74.054405,120.005844,-29.420038,150.82974,-125.065125,256.25702,5.0108395,316.07156,126.36218,238.86584,664058,666204,1
14,74.470566,102.14582,41.28659,146.05943,-70.229965,124.474625,-17.1262,153.94353,-123.94736,269.609,20.505459,338.11877,141.69846,254.23068,666176,671212,1
15,68.03163,103.398186,36.17375,148.34338,-70.93436,123.692696,-19.277166,153.5236,-120.92021,262.87064,14.287515,317.57712,136.6279,236.81232,664058,671212,1
16,69.232704,103.247086,32.092655,149.9151,-74.00442,120.06799,-29.175552,150.909,-127.962555,268.0528,4.8747506,345.13196,142.99472,258.48956,545341,671212,1
17,76.05885,101.663315,42.036377,145.69357,-71.83665,122.66508,-20.822376,153.18997,-125.740974,270.16833,7.0294027,337.94534,136.22536,258.90945,666160,671212,0
18,68.770905,103.309555,29.113155,150.92911,-74.33514,119.654785,-33.51663,149.39114,-129.47969,275.516,3.2340512,337.5297,133.78336,261.38422,681351,671212,1
19,76.08422,101.65502,42.525703,145.45038,-73.92774,120.16314,-21.36606,153.06615,-136.29886,238.18878,-5.7388477,329.34708,130.93861,265.74628,519058,671212,0
20,71.73998,102.811295,31.979012,149.95581,-71.3096,123.26895,-19.877346,153.39722,-124.98196,271.93283,29.356203,343.58127,146.50758,250.90529,592273,671212,1
21,63.802048,103.63966,15.762024,154.18329,-75.55133,118.093376,-38.40208,147.39235,-122.95501,271.86703,10.723953,335.63788,138.01872,253.43187,687263,671212,1
22,77.44542,101.18211,46.929638,143.09909,-69.02887,125.7688,-15.313947,154.25757,-125.43753,252.7183,2.36698,324.12347,135.13191,258.89108,694384,671212,0
23,75.40094,101.87192,47.16682,142.96387,-68.33442,126.49551,-15.096027,154.29291,-122.064896,250.6825,-5.1200747,326.42972,127.90445,256.35117,694384,660906,0
24,68.15628,103.38422,28.027584,151.27144,-76.02927,117.46096,-33.4899,149.40121,-133.98486,260.19037,-7.2459254,324.65634,119.969444,244.15736,664058,660906,1
25,68.47048,103.34726,28.265745,151.19757,-74.22946,119.78732,-28.626818,151.08424,-127.08359,252.13824,-1.7260816,325.95593,131.22545,243.22426,683021,660906,1
26,78.402885,100.81603,52.577415,139.62405,-67.26457,127.5856,-6.66212,155.26611,-122.99068,267.50864,9.790437,335.53214,145.51112,251.64986,666160,661309,0
27,67.96967,103.404976,25.943502,151.88892,-73.25888,120.98253,-28.778679,151.0361,-132.14766,260.77115,-5.7174067,333.19656,126.39543,247.69344,666176,661309,1
28,66.08497,103.5652,20.591343,153.24155,-75.93115,117.59169,-37.239456,147.89693,-138.27417,257.87167,10.249238,328.13336,126.646774,254.55893,545341,661309,1
29,64.2343,103.63558,17.0095,153.96484,-76.54154,116.770706,-40.133896,146.60616,-133.82948,251.73518,1.0084398,325.2605,132.70003,246.79134,687263,661309,1
30,79.21507,100.48314,50.959366,140.67569,-68.592155,126.22759,-12.041609,154.73375,-127.91349,246.22778,0.79581386,326.94235,131.28127,264.16388,694384,661309,0
31,66.66985,103.525085,27.801859,151.34082,-72.52933,121.8555,-27.752043,151.35606,-125.156525,259.17896,-0.8387295,325.77795,119.20012,242.82028,664058,661309,1
32,67.99774,103.40192,26.392042,151.7604,-75.23481,118.50624,-33.673798,149.33173,-128.64056,261.3599,0.019298706,334.9763,128.7524,247.56155,683021,686610,1
33,66.47734,103.539246,21.54876,153.02379,-77.18303,115.88754,-35.403954,148.65646,-140.42934,262.61777,-1.2777508,346.2344,137.69423,256.92975,545341,686610,1
34,66.68863,103.52365,19.289492,153.52106,-77.32817,115.68473,-36.63832,148.15063,-148.57158,264.86212,-3.7598672,335.74823,121.27082,255.0488,681351,686610,1
35,68.60584,103.33055,26.044348,151.86023,-77.261154,115.77851,-34.676453,148.94514,-136.4098,272.86664,3.1829083,346.331,133.93126,261.58078,592273,686610,1
36,62.766308,103.63045,16.13556,154.11967,-76.20566,117.22476,-39.52321,146.88818,-139.83214,267.35507,0.7427081,335.61273,135.42984,251.19366,687263,686610,1
37,74.284546,102.19765,38.34439,147.41782,-70.10185,124.614975,-22.060095,152.9032,-127.62174,249.10493,-2.296572,320.14383,126.32649,250.92104,694384,686610,0
38,78.29679,100.85799,44.643517,144.35677,-69.050674,125.74573,-15.229836,154.27127,-134.16919,255.95766,-12.234632,339.10736,132.4754,262.44485,666397,543507,0
39,71.480125,102.864136,29.160837,150.91374,-75.642876,117.97308,-34.18802,149.1351,-130.81946,271.9901,1.4178338,336.48938,127.75794,261.6031,571657,543507,1
40,81.193954,99.58244,55.9369,137.28583,-70.9039,123.726875,-9.767832,154.9965,-134.17465,259.4641,-1.3612063,337.80176,148.73933,255.94583,670242,666204,0
41,74.47559,102.14441,29.221096,150.89429,-71.01734,123.59943,-23.623125,152.51602,-126.26251,245.95102,1.7062894,324.85196,130.63939,245.41454,650489,665622,0
42,62.505535,103.6239,14.729288,154.3512,-78.0096,114.71718,-39.72596,146.79512,-136.05748,261.1388,-0.77020925,336.79797,131.92868,253.90837,571657,665622,1
43,75.49196,101.843796,47.56963,142.73218,-69.835266,124.90525,-13.909799,154.47615,-134.08318,251.60902,4.0132604,335.70184,135.16876,254.86923,663616,665622,0
44,60.994778,103.55243,21.207386,153.10263,-74.79499,119.07226,-33.0984,149.54771,-131.48828,269.40335,11.384232,337.87445,135.74043,254.43176,680777,665622,1
45,78.603775,100.73563,42.07031,145.67682,-72.5107,121.87751,-20.857471,153.18207,-129.48433,262.8903,-1.9061484,336.23767,143.83481,256.61783,670242,665622,0
46,74.44088,102.154175,34.870506,148.86882,-70.12698,124.58749,-26.078419,151.85051,-134.93425,263.22092,-1.8883846,339.6419,132.72594,250.27968,666135,665622,0
47,68.39461,103.356415,29.219534,150.89479,-71.89727,122.59495,-22.992422,152.67564,-131.06996,269.60284,15.322896,332.15002,141.6162,253.06088,456781,665622,1
48,76.509254,101.51324,40.898468,146.24564,-71.11021,123.49475,-22.755106,152.73451,-134.51588,256.86,-13.317772,326.4292,130.22942,272.95837,666397,665622,0
49,79.28582,100.453156,41.522324,145.94528,-67.108345,127.74188,-16.478325,154.05995,-119.89427,252.5487,6.453823,327.15802,146.87267,248.27176,650489,666204,0
50,78.43134,100.80472,42.632717,145.39671,-72.495735,121.895195,-17.72435,153.83191,-130.20152,256.15356,-2.3927388,336.1503,138.79982,255.84586,596146,666204,0
51,70.06909,103.11994,28.107733,151.24666,-69.00768,125.7912,-25.98184,151.87802,-125.830376,262.5479,6.258452,335.55423,134.92203,245.03865,543877,668674,1
52,71.33136,102.89357,30.744652,150.38751,-76.3486,117.03221,-31.646416,150.07402,-132.41156,260.94556,18.622236,332.04,140.01874,245.08768,650489,666205,1
53,77.10997,101.303764,41.135838,146.13202,-73.30513,120.92647,-25.20653,152.09494,-131.9001,252.07593,4.9801364,337.12128,144.34912,252.96663,596146,683155,0
54,66.958015,103.50215,31.439085,150.147,-72.90233,121.411835,-28.083033,151.2543,-133.56854,264.90927,3.1215644,339.7735,135.97153,248.89122,456781,683155,1
55,69.45994,103.21434,29.913137,150.66763,-74.769035,119.10539,-30.348774,150.52196,-135.47118,267.4819,6.2948656,337.4766,138.54857,250.32126,543877,683155,1
56,62.31146,103.617935,17.664816,153.8432,-78.00395,114.72531,-39.77749,146.77138,-141.91362,265.2348,-0.9424972,341.3073,129.25795,256.22614,680777,683155,1
57,80.7361,99.80246,51.921547,140.05597,-71.59773,122.94009,-7.5139685,155.20238,-128.36629,259.66357,5.1241503,329.82986,143.2042,257.32233,593871,683155,0
58,65.46596,103.5983,21.135815,153.11899,-75.11834,118.65698,-32.140755,149.89783,-124.66674,267.0731,8.121314,328.14078,129.14102,242.69174,456781,594943,1
59,78.69301,100.69951,49.76554,141.42212,-66.69428,128.15259,-12.351173,154.69366,-130.7489,257.30548,0.48496455,335.8927,130.11395,260.97507,666397,695243,0
60,73.823715,102.32193,36.290543,148.2952,-70.10923,124.60692,-27.271341,151.5015,-124.84081,263.58218,9.930256,342.35544,137.35396,248.8735,572191,695243,1
61,76.140976,101.63638,40.953514,146.21936,-68.679115,126.13673,-17.280018,153.9152,-137.38994,254.41544,-5.156452,341.86597,132.26796,262.1601,670242,695243,0
62,62.350605,103.61922,22.525032,152.79097,-72.04347,122.42526,-30.788097,150.37265,-129.74716,272.59863,8.238662,328.80753,138.96783,248.11111,571657,695243,1
63,63.803352,103.63966,21.31142,153.07874,-74.41922,119.54896,-34.400417,149.05287,-129.74442,259.24854,-7.434924,334.74033,136.6866,253.15495,571657,621112,1
64,80.825264,99.76016,43.64768,144.8794,-69.60052,125.15886,-16.582108,154.04163,-134.17418,259.55466,-0.814843,332.25763,142.7076,251.93689,666135,621112,0
65,69.3815,103.22579,33.00967,149.58066,-71.76104,122.752335,-23.324116,152.59227,-128.91606,270.05313,18.119705,332.38126,131.6209,242.39722,572191,621112,1
66,66.986404,103.49977,22.737724,152.7388,-72.062164,122.40351,-29.783697,150.71048,-121.19776,260.04752,8.693743,331.09473,134.83046,244.25793,543877,621112,1
67,65.60822,103.59154,27.674078,151.37985,-69.84633,124.89326,-24.654951,152.24493,-125.78979,266.04144,9.210878,329.33496,130.29819,241.11229,456781,621112,1
