matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,76.677956,101.45549,34.314663,149.08615,-72.69119,121.663635,-24.644749,152.24768,-130.68053,247.81288,-4.0467243,327.4416,135.11366,258.76834,500871,695243,0,FF
1,68.52932,103.34006,23.834486,152.4615,-75.282074,118.444885,-31.205053,150.22873,-130.22292,263.00452,10.403824,336.96503,146.44908,254.54063,687263,666205,1,FF
2,69.600784,103.19336,26.50409,151.72792,-72.91052,121.40202,-33.230618,149.49847,-123.51897,263.48828,20.695927,337.34055,138.70082,254.42247,545341,666205,1,FF
3,70.59535,103.03064,33.89195,149.24872,-76.99677,116.14619,-34.22859,149.11943,-131.78716,265.95883,-4.307432,339.98462,136.31783,252.6387,592273,676664,1,FF
4,62.104824,103.61052,12.114605,154.7244,-79.46435,112.56167,-46.942894,143.09155,-133.99263,264.81668,-5.5914702,340.21915,128.86978,259.22015,687263,676664,1,FF
5,71.10606,102.93704,38.287586,147.44287,-69.154366,125.63582,-18.135195,153.75296,-129.13144,253.55269,-4.0243745,327.2391,130.76007,255.75955,621433,676664,0,FF
6,65.18747,103.610054,18.35239,153.71045,-77.48051,115.47064,-38.72853,147.24734,-126.891426,259.3066,-0.4893004,319.0287,119.71794,243.6073,664058,676664,1,CH
7,70.880974,102.97914,34.39441,149.0552,-69.68655,125.06614,-16.922667,153.9806,-123.597336,266.88947,11.48397,324.98566,135.49513,243.49059,683021,676664,1,FF
8,66.78329,103.5163,17.460155,153.88171,-77.35435,115.64803,-39.95786,146.68799,-138.78741,263.38214,-0.4656001,329.39093,125.75138,252.59709,666176,676664,1,CH
9,61.591618,96.617294,16.931973,153.97891,-81.50354,109.307526,-44.24863,144.5658,-154.47517,256.8122,-7.6358747,331.4869,124.95213,253.49579,681351,676664,1,ST
10,67.047455,103.4946,26.990442,151.5852,-74.90116,118.93644,-31.509232,150.12238,-134.57132,268.74142,7.692173,338.5135,134.63634,254.12239,545341,676664,1,FF
11,77.936905,100.9977,39.987103,146.67444,-69.894295,124.84118,-17.130558,153.94273,-124.89985,256.8941,3.0801768,342.10507,139.76088,257.1287,519058,543507,0,CH
