matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,68.47341,103.34689,21.399977,153.05832,-75.012955,118.79286,-36.439854,148.23334,-128.23088,257.25583,6.677135,320.23477,132.38344,245.05826,672695,621381,1
1,70.185036,103.10089,28.464138,151.1355,-70.55457,124.11645,-26.900923,151.6117,-125.83676,264.50363,19.874132,335.3924,142.99863,246.6737,656896,554430,1
2,69.95375,103.138565,30.720634,150.39574,-74.44964,119.510605,-28.37029,151.16492,-124.25384,258.0076,3.6477342,326.2133,128.41043,247.59146,672695,621237,1
3,65.51791,103.59589,19.007929,153.579,-73.52236,120.66197,-34.48851,149.0186,-127.43684,266.30722,14.589248,339.5707,135.69247,256.79544,656896,656546,1
4,70.44976,103.05607,33.414093,149.42975,-73.31544,120.91396,-26.790436,151.64424,-132.37006,272.67288,10.462676,337.32455,135.38545,255.23116,666971,656546,1
5,71.10291,102.93763,28.959316,150.97849,-71.40791,123.15709,-28.0466,151.26556,-136.60962,263.48798,7.3273263,337.57236,134.90321,263.81992,502054,656546,1
6,70.33429,103.07585,26.1809,151.8212,-74.893906,118.945724,-33.55925,149.37506,-127.33891,263.6024,14.686848,336.56836,137.45152,254.15483,572233,656546,1
7,64.37095,103.633316,21.570107,153.0188,-74.15224,119.88388,-34.63527,148.96129,-132.4134,264.15433,8.567375,322.91675,138.336,251.53296,656896,624133,1
8,65.70018,103.586914,23.4249,152.56668,-77.07616,116.03618,-36.640705,148.14963,-136.58594,251.82979,-10.473826,327.62564,124.26835,259.53433,666971,624133,1
9,74.75908,102.0635,42.61858,145.40381,-72.09827,122.36146,-18.098953,153.76001,-135.10158,247.91083,-6.932536,326.8543,132.89471,255.22308,682998,624133,0
10,70.075294,103.11894,32.395473,149.80585,-73.50149,120.68747,-26.125128,151.83716,-126.630455,255.16512,6.5808687,322.2623,128.51033,245.01416,672695,642397,1
11,67.748,103.42849,34.96251,148.83246,-68.978195,125.82235,-18.39959,153.70116,-123.802475,264.94778,23.129824,339.3894,142.00641,255.03415,502054,518886,1
12,78.12634,100.92465,46.045532,143.59518,-70.96938,123.65336,-17.325668,153.90675,-132.21196,239.11949,-3.7349703,314.56992,131.57939,245.10062,672695,689147,0
13,77.25716,101.25081,40.59404,146.39018,-69.54409,125.21954,-16.966908,153.9726,-137.62384,260.45193,-14.469646,335.0854,133.10515,260.35028,677950,547179,0
14,67.82788,103.420166,23.354412,152.5846,-75.43602,118.24432,-33.703796,149.32034,-136.76323,265.1989,0.2789465,337.2444,133.41884,253.15247,666971,547179,1
15,78.1821,100.902954,45.337082,143.98383,-66.766014,128.08179,-16.412363,154.07155,-131.78871,257.63916,-15.066822,339.00638,132.28264,270.48062,682998,605400,0
16,79.915665,100.17906,51.91243,140.06192,-68.77601,126.035194,-6.123885,155.30241,-122.92601,246.68564,2.5661635,315.1189,136.74861,245.26547,672695,605400,0
17,75.66071,101.791046,40.74911,146.31671,-68.48387,126.34041,-17.757254,153.82567,-131.52708,255.28719,-15.9086075,339.54364,125.63972,266.49512,677950,605400,0
18,62.35934,103.619484,21.932348,152.93361,-74.8317,119.025345,-32.3856,149.80942,-131.99532,261.57535,-0.48858675,335.6801,139.22559,252.17561,666971,605400,1
19,69.19271,103.252716,29.45479,150.81842,-72.12483,122.33048,-26.975542,151.58963,-134.6213,265.61697,8.90241,339.15466,134.80676,254.54453,672515,605400,1
20,69.62463,103.18976,35.860252,148.47183,-66.6907,128.15613,-15.956826,154.1503,-130.8758,264.31564,-0.5006786,337.01498,138.26627,248.4884,666971,622554,1
21,77.70571,101.08537,46.190693,143.51459,-67.019936,127.83,-11.556538,154.79446,-140.15077,259.6341,-2.0763474,335.28796,143.25162,249.54198,606466,656546,0
22,73.73227,102.34589,34.095142,149.17087,-73.647736,120.50844,-27.008049,151.57999,-134.50793,258.90353,-8.631417,330.40628,130.9542,261.71667,682998,554430,0
23,78.64049,100.72079,52.507217,139.67065,-63.65471,131.02005,-9.1276245,155.06049,-119.09006,243.95773,7.1909227,318.99344,139.95113,246.44434,672695,554430,0
24,65.96753,103.57222,17.022568,153.96246,-76.020905,117.47212,-36.152473,148.35214,-128.83418,271.76144,0.5884867,341.6771,135.15857,253.61732,446334,554430,1
25,64.61598,103.62808,25.211344,152.0936,-72.652275,121.70987,-27.820997,151.33498,-122.41201,265.71698,5.310791,339.41943,136.01048,252.07315,572233,554430,1
26,67.90949,103.41148,22.073713,152.89996,-74.96963,118.84857,-35.319042,148.6905,-132.54807,263.3344,12.206752,332.7808,133.2522,254.42825,666971,554430,1
27,73.58977,102.38277,39.396023,146.94624,-63.431473,131.22092,-12.604458,154.66013,-138.9527,254.97775,-16.648804,330.28867,127.5852,260.24582,677950,554430,0
28,76.462234,101.529175,37.2629,147.88693,-68.66054,126.15615,-22.38749,152.82443,-134.855,252.10718,-10.053178,332.9508,131.70062,261.8522,606466,518886,0
29,69.34937,103.23043,32.53471,149.75522,-69.805,124.93805,-24.547062,152.27386,-126.7098,269.37207,2.4672172,338.20227,142.47519,255.96779,666971,518886,1
30,69.04257,103.27346,33.71271,149.31696,-66.4619,128.38089,-17.881187,153.802,-120.92184,264.76282,10.824839,329.5534,138.01588,243.18066,656896,622554,1
31,75.08196,101.96859,44.008274,144.69186,-65.86443,128.96075,-13.2074,154.57744,-133.58557,246.08063,2.1740484,331.3388,134.04233,261.52277,682998,621381,0
32,65.42001,103.60037,10.884703,154.87439,-78.48943,114.02017,-45.34613,143.97891,-141.06224,278.2637,2.851053,344.50198,132.29578,252.15225,606466,621381,1
33,68.68984,103.319954,20.523535,153.25659,-77.981026,114.75828,-42.44138,145.49252,-141.18866,263.2613,-9.514616,336.01535,127.22803,264.57693,606466,650911,1
34,62.804474,103.63127,11.887913,154.75327,-77.27678,115.75667,-43.295414,145.06067,-135.71448,263.8955,2.7507899,333.01013,136.81812,249.4526,572233,650911,1
35,68.16835,103.38284,26.57431,151.70749,-74.31533,119.67966,-28.963486,150.97716,-124.80391,259.5704,9.218579,329.14273,127.79227,262.3336,672515,650911,1
36,77.04845,101.325714,46.919117,143.10507,-64.71324,130.04996,-7.6967554,155.1877,-126.64803,246.64943,-3.675573,322.74237,126.780785,262.97614,682998,650911,0
37,67.46905,103.456314,22.17928,152.87466,-76.12403,117.33426,-34.75861,148.91289,-118.17249,263.58066,16.02304,335.05438,138.18959,249.96767,672515,621237,1
38,73.00706,102.527756,37.263893,147.8865,-67.49725,127.35149,-17.104551,153.9475,-123.479965,252.31226,0.23989686,320.5398,114.33854,256.4143,682998,621237,0
39,70.04751,103.12346,31.403095,150.1596,-70.10357,124.613106,-26.146393,151.83109,-118.817986,273.41382,24.427044,332.73297,138.70595,246.06078,502054,689147,1
40,62.031464,103.607635,19.43378,153.49101,-75.999466,117.50072,-34.639565,148.9596,-143.55055,263.85306,-4.224651,336.72278,134.87993,254.46288,606466,624133,1
41,67.363884,103.46628,20.204361,153.32663,-74.354774,119.6301,-32.308876,149.8372,-135.67433,270.20193,9.855894,340.0422,136.41718,253.89333,446334,624133,1
42,71.76859,102.80536,30.425776,150.49596,-74.584625,119.339905,-25.199379,152.0969,-129.53343,258.8921,2.5660775,329.17416,130.43983,263.47537,672515,624133,1
43,67.24734,103.477,19.717468,153.43127,-78.177666,114.47456,-39.053516,147.10152,-130.2163,266.72562,-0.49766186,340.20285,124.70648,252.06929,572233,624133,1
44,63.181713,103.637375,22.580091,152.77751,-73.17403,121.085175,-32.49883,149.76828,-131.95807,275.5902,9.145659,336.9518,136.83076,252.50923,572233,689147,1
45,75.431145,101.862625,42.8746,145.27481,-63.315628,131.32465,-8.364271,155.13107,-125.01563,259.37125,0.08276701,333.76746,131.81459,257.5081,606466,605400,0
46,62.841022,103.63202,11.835567,154.75986,-78.47768,114.037415,-45.96661,143.63887,-141.8862,260.37216,1.7736342,337.87598,132.90317,253.93645,446334,605400,1
47,64.75831,103.62436,23.46113,152.55746,-76.10496,117.35979,-33.49731,149.39842,-132.05428,260.3323,4.548393,339.2212,135.3926,249.40096,606466,621237,1
48,70.31989,103.07829,39.23232,147.02066,-65.0659,129.72014,-9.389845,155.03482,-123.217865,263.70963,13.679591,338.2026,142.20448,257.26602,502054,554430,1
49,77.02918,101.332565,42.102707,145.6608,-69.9535,124.77681,-22.915815,152.6947,-135.78056,252.25761,-2.0955288,326.65924,142.39781,253.33406,606466,554430,0
50,73.24029,102.47084,40.344032,146.5079,-64.30889,130.42401,-10.629917,154.90341,-121.28102,261.25827,16.861996,332.35477,144.05402,252.62743,672515,554430,1
51,77.02894,101.33266,42.08122,145.67142,-71.71097,122.81001,-16.177998,154.11235,-132.01285,266.15305,-4.76332,328.47668,131.18024,259.20114,621566,642397,0
52,78.43971,100.80139,48.225727,142.34912,-69.539566,125.22442,-9.557804,155.01797,-125.27625,257.4894,-1.7607611,330.5042,141.46243,250.21405,645277,518886,0
53,66.23233,103.55591,15.903663,154.15935,-78.26683,114.345184,-42.699932,145.36292,-132.30034,272.57135,15.440345,339.8953,135.9651,252.24043,669221,621237,1
54,64.94961,103.61856,17.887129,153.80086,-76.9612,116.19537,-39.924828,146.7033,-135.9395,261.23404,3.3999245,342.40027,136.06361,263.1267,542303,621237,1
55,71.53961,102.85219,30.302038,150.53769,-69.438576,125.33274,-20.125189,153.34384,-126.698875,266.95227,10.754191,336.34625,144.02188,250.62679,663586,622554,1
56,75.7774,101.75409,37.988747,147.57385,-68.663734,126.15281,-18.918394,153.59723,-130.80821,252.12746,0.20558885,330.73422,139.0576,249.00397,645277,622554,0
57,65.40379,103.60109,25.664272,151.96773,-73.62752,120.53323,-33.211094,149.50575,-126.46474,263.26416,7.045248,334.7425,134.48317,257.21625,660670,622554,1
58,65.60352,103.59178,8.280783,155.1384,-79.21994,112.93282,-44.75091,144.2995,-136.06224,262.68234,2.3252926,334.49008,128.36627,252.09581,669221,624133,1
59,78.762505,100.6712,49.9743,141.29337,-62.050358,132.43576,-8.303769,155.1364,-134.09404,256.11435,-5.4222107,334.84933,136.74348,255.97517,621566,624133,0
60,68.13277,103.38688,20.06368,153.35715,-79.168945,113.009796,-42.99257,145.21506,-136.31009,269.34348,3.386384,335.9376,133.85013,244.72272,645277,624133,1
