matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,68.88945,103.29404,27.150345,151.53769,-76.665215,116.602104,-37.537964,147.76913,-128.3932,266.10645,3.0435112,320.0798,126.072685,244.91913,672695,621381,1,FC
1,66.212006,103.55722,27.053562,151.56648,-73.77174,120.35591,-34.974525,148.8277,-126.5463,257.81403,-6.336882,320.37363,114.58111,251.11923,656896,554430,1,ST
2,61.154354,103.5627,10.5067835,154.9172,-78.44463,114.085815,-44.618206,144.37024,-118.89454,251.19032,-0.31455883,322.5938,122.04712,250.5997,672695,621237,1,FC
3,62.613388,103.62682,19.318064,153.51512,-73.34266,120.880905,-36.157124,148.35022,-128.8204,259.6698,0.1209438,329.6264,125.903984,253.75371,656896,656546,1,SL
4,65.498245,103.59682,31.912992,149.97939,-70.29602,124.40204,-22.065744,152.90186,-123.63734,270.13324,14.527329,339.1937,141.34753,251.77087,666971,656546,1,FF
5,67.471504,103.45607,23.758942,152.48105,-73.885124,120.2159,-34.059933,149.18439,-126.72852,261.75235,-5.781017,330.17664,123.93107,253.72249,502054,656546,1,SL
6,63.499043,103.63975,21.628502,153.00519,-75.30542,118.41454,-38.753063,147.23639,-124.115746,262.15305,-4.156357,334.1871,121.46745,253.61319,572233,656546,1,SL
7,66.96037,103.50195,21.694304,152.98978,-74.79526,119.07193,-35.571873,148.58884,-124.61323,257.9715,0.39229044,327.49936,124.69221,246.62112,656896,624133,1,CH
8,62.550873,103.62517,16.38935,154.07558,-79.310036,112.796455,-41.718327,145.84976,-147.44424,254.81364,-0.057778604,330.46686,122.110176,250.21754,666971,624133,1,FC
9,78.84204,100.63862,46.488106,143.34839,-62.131516,114.75104,-16.853064,153.99318,-122.58321,252.12553,3.783418,327.13025,140.0997,257.05945,682998,624133,0,CU
10,62.00483,103.60657,17.394405,153.89398,-78.1823,114.46785,-38.47339,147.36081,-137.06622,263.3225,-8.390882,330.0967,121.012535,258.59235,666971,624133,1,CU
11,77.58126,101.13188,48.236877,142.34256,-63.396385,131.25238,-9.376916,155.0361,-128.55653,249.88298,0.8927653,326.02164,126.575325,254.85469,682998,624133,0,SI
12,68.16401,103.38335,28.381786,151.16132,-68.89259,125.91262,-23.43305,152.5646,-119.306984,257.8976,8.20726,325.89774,131.22498,244.73212,672695,642397,1,SI
13,62.417744,103.62132,16.518137,154.05293,-74.6095,119.308365,-37.692066,147.70268,-124.740005,256.4538,-1.8918104,331.18326,121.14014,249.04327,502054,518886,1,KC
14,79.29627,100.4487,45.705826,143.78252,-68.08695,126.750786,-20.04687,153.36078,-122.28511,247.85027,2.2029595,318.08963,124.5013,251.40709,672695,689147,0,ST
15,77.63858,101.11052,43.76662,144.81775,-67.9256,126.916214,-14.319306,154.41463,-127.797874,257.12402,-0.3633622,329.92065,123.79449,256.39246,677950,547179,0,CU
16,65.87314,103.57761,25.54952,151.99985,-69.16295,125.6267,-24.440264,152.30237,-126.75983,258.7431,12.219497,332.67792,143.2585,255.13832,666971,547179,1,FF
17,70.98093,102.96061,29.650187,150.75446,-69.21839,125.56777,-22.276525,152.85126,-143.82393,258.49573,-14.906737,335.9812,125.434326,268.5809,682998,605400,0,FF
18,76.71301,101.44339,39.7854,146.76773,-69.86604,124.871864,-16.365374,154.07977,-125.385994,246.92871,3.6283007,324.88394,133.23982,251.89276,672695,605400,0,FF
19,75.95939,101.69565,44.79542,144.27573,-66.492805,128.35062,-10.568402,154.91032,-128.18063,257.50912,2.884541,327.43427,125.44389,257.15125,677950,605400,0,CH
20,65.34964,103.60344,17.179752,153.9337,-76.52692,116.7906,-41.372063,146.01814,-139.98372,255.75412,-13.817088,328.77054,122.91732,256.17178,666971,605400,1,KC
21,67.1335,103.48715,31.120712,150.25803,-71.57876,122.961845,-23.210224,152.62103,-123.404976,259.6199,5.492413,332.755,142.21135,252.91428,672515,605400,1,SI
22,58.647335,103.327194,14.138416,154.44203,-76.80153,116.41533,-41.383526,146.0126,-133.49532,259.7131,-5.4955974,336.6954,121.19604,258.9643,672515,605400,1,KC
23,73.20856,102.47867,41.744484,145.83698,-64.76347,130.00317,-15.017554,154.30551,-124.60193,269.33353,13.067346,334.38235,141.61107,249.40984,666971,622554,1,FF
24,76.40965,101.546936,37.934338,147.59756,-70.65153,124.00875,-22.37451,152.82758,-126.14536,265.3783,-0.74692947,329.26108,134.49142,258.3327,606466,656546,0,FS
25,73.26877,102.46379,34.28425,149.09792,-68.332375,126.49763,-19.331354,153.51236,-135.49118,265.8154,-1.3777089,335.57803,120.61405,266.43198,682998,554430,0,FF
26,74.31979,102.18792,35.530434,148.60556,-72.58165,121.79359,-20.414122,153.28073,-121.5819,246.95522,0.89553154,327.1324,130.38246,256.359,672695,554430,0,FF
27,71.90906,102.775955,37.831177,147.64243,-63.133156,131.48735,-16.25378,154.09923,-132.23895,261.46396,13.431162,342.35657,145.86594,257.03433,446334,554430,1,FF
28,63.931744,103.63893,17.24818,153.92108,-76.21159,117.21678,-40.195377,146.57748,-129.46344,263.9398,-2.4713933,326.71295,121.43117,246.97086,572233,554430,1,ST
29,72.92635,102.54712,37.40665,147.8255,-66.15121,128.68372,-16.879465,153.98842,-123.62557,260.92307,14.643818,334.81375,146.17133,255.68823,666971,554430,1,FF
30,72.33356,102.68384,32.540623,149.75305,-73.16603,121.094826,-23.686642,152.4997,-138.90576,258.04147,-15.643528,337.26047,125.37351,265.77426,682998,554430,0,SI
31,69.73082,103.173546,25.201263,152.09637,-72.90616,121.40724,-31.068523,150.2761,-141.57494,254.58702,-11.029516,336.00415,125.39616,260.13733,677950,554430,0,FF
32,79.810104,100.22589,49.252884,141.73517,-70.274925,124.42523,-14.216615,154.43024,-124.74035,256.36172,3.1498144,324.78058,136.07353,247.38712,606466,518886,0,KC
33,73.44651,102.41928,40.62096,146.37746,-62.159187,132.34174,-11.697548,154.77707,-124.66869,265.01843,13.862445,338.1048,136.57811,261.13086,666971,518886,1,FF
34,71.90898,102.77597,40.551884,146.4101,-61.546024,132.86772,-9.218077,155.05171,-125.82215,262.53888,14.422181,333.6707,145.85036,253.98975,656896,622554,1,FF
35,75.98176,101.6884,43.814655,144.7928,-69.110016,125.68286,-13.767256,154.49713,-128.68224,248.97363,2.4717495,323.7782,123.94797,255.01053,682998,621381,0,SI
36,62.82238,103.63164,23.20701,152.62186,-75.82921,117.72702,-33.50954,149.39381,-138.97125,265.23557,1.975774,341.00366,128.85176,259.20926,606466,621381,1,FF
37,64.800354,103.62317,17.182123,153.93326,-79.201355,112.96089,-42.81953,145.30264,-138.99263,259.55328,-5.558418,321.53058,121.81337,252.37166,672695,621381,1,SL
38,64.7525,103.62453,19.353582,153.50774,-77.008224,116.130325,-40.073112,146.63446,-137.14578,250.5527,-6.018258,327.57065,126.57354,257.24454,606466,650911,1,CH
39,64.76687,103.624115,10.514791,154.91632,-79.00833,113.251144,-47.22499,142.93057,-130.7687,263.25775,-0.03897589,326.48975,121.866486,249.07077,572233,650911,1,CH
40,70.14978,103.106735,28.582386,151.09827,-74.06038,119.99841,-29.553572,150.78613,-124.06015,258.74255,2.5488925,339.00906,136.89622,256.85007,672515,650911,1,SI
41,79.00721,100.57033,48.0175,142.47147,-67.08845,127.761734,-8.90685,155.08154,-117.596634,253.31604,6.121402,323.75302,137.20183,249.96364,682998,650911,0,CH
42,68.125175,103.38774,17.515461,153.87134,-76.8432,116.35806,-41.683147,145.86694,-134.20671,264.04916,3.6322005,340.85098,133.07663,256.14777,606466,650911,1,SI
43,73.67545,102.36065,41.35254,146.02759,-67.04356,127.80647,-13.284417,154.56659,-121.24051,265.64487,10.085444,335.1362,140.7828,252.79268,672515,621237,1,SI
44,70.996284,102.95775,31.250008,150.21307,-73.623314,120.53838,-27.262123,151.50427,-130.53032,252.49521,-9.083129,328.15143,124.16868,260.73038,682998,621237,0,FC
45,62.07711,103.60945,20.572096,153.24582,-73.37927,120.83641,-35.871773,148.46713,-130.41766,258.93604,0.974985,339.4899,134.11066,254.92175,502054,689147,1,ST
46,69.44817,103.216064,30.234835,150.56029,-74.5235,119.417305,-30.27564,150.54657,-133.00784,263.6241,1.3508009,332.14478,134.33649,251.87845,606466,624133,1,FF
47,67.16221,103.48462,21.575861,153.01747,-75.54672,118.09942,-32.113426,149.90765,-133.6573,270.90796,4.986691,339.74454,136.04236,252.39722,446334,624133,1,FF
48,68.594086,103.33203,32.45383,149.78465,-71.064156,123.54671,-24.63855,152.24934,-126.28196,260.76605,5.01887,327.01123,131.31271,257.333,672515,624133,1,SI
49,65.837234,103.579605,13.562554,154.5269,-79.56949,112.40083,-45.79109,143.73566,-144.19868,254.3373,-10.643063,331.16336,128.97011,258.88583,606466,624133,1,CU
50,68.14001,103.386055,34.708126,148.93271,-71.67171,122.85516,-25.147112,152.11127,-132.07889,264.83072,9.466231,336.25085,134.99744,248.44962,656896,624133,1,FF
51,69.702934,103.17783,26.611597,151.69662,-73.59287,120.57569,-29.620024,150.76436,-131.7979,261.99435,2.468417,330.96884,133.39534,253.44841,666971,624133,1,SI
52,65.094124,103.613556,21.636856,153.00323,-78.74457,113.64409,-45.03962,144.14468,-142.05894,255.55377,-9.231677,323.92197,126.87216,249.09267,572233,624133,1,CU
53,72.49502,102.64754,40.1159,146.61455,-61.719376,132.71994,-13.156839,154.58453,-121.15902,268.57297,22.795658,337.13678,144.23604,255.00577,572233,689147,1,FF
54,80.38311,99.96724,45.705303,143.7828,-70.37288,124.31738,-15.406472,154.24242,-120.94606,255.70833,1.098145,328.67163,136.99115,256.74216,606466,605400,0,SI
55,72.587814,102.62636,39.443237,146.92471,-68.83946,125.96853,-18.443092,153.69255,-128.10545,257.2802,7.217724,333.59836,138.15591,259.96283,682998,605400,0,SI
56,67.64744,103.43874,25.36215,152.05196,-69.47879,125.28964,-25.771109,151.93768,-131.89435,265.1352,5.339892,340.66357,139.54584,256.19022,446334,605400,1,FF
57,79.386475,100.410225,47.026047,143.04424,-64.624664,130.13226,-11.622296,154.78638,-130.29189,261.52676,0.06074025,326.4701,131.31784,261.65283,677950,605400,0,KC
58,76.82955,101.40288,51.322346,140.44383,-69.12147,125.67072,-12.358121,154.69276,-130.29707,263.4698,5.7510104,327.63116,150.29034,246.5988,606466,605400,0,KC
59,77.79632,101.05121,48.497818,142.1882,-66.59221,128.25307,-9.257631,155.04785,-124.98434,260.02997,7.4539895,332.06244,134.5546,250.52112,682998,605400,0,KC
60,69.88078,103.150154,22.287067,152.84872,-75.30256,118.41826,-34.440403,149.03732,-127.63698,270.59402,3.794503,337.63992,131.1335,262.8987,606466,621237,1,SI
61,75.587296,101.8141,41.570553,145.92184,-65.373024,129.43018,-13.5334015,154.5311,-125.93575,250.00473,-3.2642868,321.22745,125.85017,255.94405,682998,621237,0,SI
62,71.69387,102.8208,41.851826,145.78438,-58.97004,134.98178,-7.8118334,155.17827,-122.727905,260.5403,18.974293,334.97113,143.84698,250.786,502054,554430,1,FF
