matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,76.49223,101.51903,39.69644,146.80872,-71.67567,122.85062,-24.706114,152.23117,-137.18198,243.27551,-13.55073,331.15823,130.88889,261.43723,669364,670280,0
1,70.089066,103.1167,30.717413,150.39684,-69.18941,125.59859,-23.470943,152.55496,-122.59605,265.9619,10.958361,325.49982,132.0935,238.93011,641658,693312,1
2,71.6748,102.82472,38.708603,147.25623,-69.89511,124.8403,-15.10298,154.2918,-122.12574,266.40378,28.731916,331.6748,148.53793,241.18547,493329,693312,1
3,74.6459,102.09608,39.086433,147.08667,-68.098625,126.73879,-15.500117,154.22697,-132.3782,252.57454,4.9423842,331.79257,125.649185,260.65726,669364,674370,0
4,71.83862,102.79077,34.809547,148.89285,-70.33443,124.35976,-19.168182,153.54613,-125.465965,263.7815,2.6379602,335.2841,136.13008,245.63397,542932,674370,1
5,65.72866,103.585434,23.037573,152.66437,-73.76078,120.369415,-30.382494,150.51059,-137.54883,261.03168,1.8624281,326.6677,133.9796,252.23523,663743,674370,1
6,75.463776,101.85253,25.278227,152.07516,-74.186356,119.84126,-29.766205,150.71625,-140.68204,256.2203,-15.564259,332.21466,130.97527,257.42236,621563,674370,0
7,65.417244,103.600494,28.450888,151.13965,-74.68451,119.21307,-31.786179,150.0245,-130.81657,259.68054,-4.1097426,318.3636,124.13219,248.26218,641658,674370,1
8,75.51141,101.83777,36.812637,148.07758,-70.80901,123.833115,-25.64998,151.97174,-138.73639,259.74747,-15.378128,340.30145,132.51086,268.9827,660821,656578,0
9,64.13976,103.63686,21.48802,153.0379,-74.790115,119.078476,-33.434223,149.42218,-134.52219,278.46432,0.096555665,338.90652,137.3732,258.64948,650559,656578,1
10,72.34452,102.681404,30.285501,150.54326,-73.21464,121.03608,-28.784626,151.03421,-128.06625,261.1756,9.606013,337.23676,139.46906,248.08804,542932,656578,1
11,62.16241,103.6127,18.575165,153.66632,-76.768906,116.46013,-39.55459,146.87381,-137.18985,266.59155,8.082167,335.4548,132.10435,260.065,663743,656578,1
12,77.06898,101.318405,48.928204,141.93115,-67.89737,126.945076,-8.563512,155.11325,-129.7065,244.79765,-7.857527,334.8845,138.22292,258.7852,669364,656578,0
13,70.53716,103.04087,28.338037,151.17499,-68.077866,126.760124,-24.251398,152.35243,-120.067535,262.241,9.203302,328.45972,143.65526,247.2857,542932,675989,1
14,74.015236,102.270996,35.92359,148.44598,-67.80617,127.03814,-19.73029,153.42856,-137.98856,262.07126,-13.935863,341.95358,127.3525,258.3269,665862,675989,0
15,69.05781,103.27139,27.839748,151.32922,-75.65133,117.96196,-25.928366,151.89322,-129.26663,263.897,2.8334184,332.5712,133.43889,248.75497,542932,669796,1
16,75.73633,101.767136,38.631443,147.29062,-69.30825,125.472046,-20.508509,153.25992,-132.0646,255.67285,-4.932532,336.18674,128.25145,255.20232,660821,669796,0
17,65.39543,103.60146,23.086088,152.65222,-74.65063,119.25615,-29.369083,150.84631,-131.81526,264.8049,11.314062,336.95438,130.47748,246.54655,650559,682990,1
18,78.46883,100.78978,51.25757,140.48538,-66.072205,128.76025,-7.870839,155.17339,-136.29538,255.86542,4.069301,335.53738,135.00064,250.15137,665862,682990,0
19,58.20763,103.26939,6.6522064,155.26682,-76.53138,116.78453,-42.795376,145.31483,-136.52518,259.99985,-5.583912,339.43753,136.50533,254.89172,624585,682990,1
20,75.49616,101.8425,40.3823,146.48993,-67.089874,127.760315,-17.921888,153.79419,-143.66612,261.38055,-10.727596,332.90707,120.79074,261.25806,660821,682990,0
21,65.24659,103.60773,19.388657,153.50043,-77.219864,115.83618,-39.678448,146.81699,-133.29129,260.55856,-9.761154,342.80557,127.65123,248.98103,669394,682990,1
22,67.72766,103.43059,27.805243,151.3398,-73.79517,120.32703,-28.389519,151.1589,-124.125114,266.61102,9.53527,325.8375,136.94589,245.8974,542932,682990,1
23,70.82167,102.99002,38.04959,147.54727,-68.74514,126.06757,-16.530592,154.05074,-135.52452,267.8568,10.67975,316.5839,140.13028,237.72981,641658,675989,1
24,68.1914,103.38022,29.375782,150.84415,-70.08574,124.63259,-22.021814,152.91234,-127.909805,259.93445,5.231712,320.2012,127.53864,241.94496,641658,681882,1
25,70.88641,102.97814,25.114365,152.12024,-73.63702,120.52158,-30.186783,150.5764,-135.43933,260.6165,7.8927298,328.18558,133.69177,242.9172,542932,621366,1
26,70.549065,103.03878,28.197296,151.21887,-78.08868,114.603226,-37.65829,147.71729,-136.3005,260.3548,-0.14473456,334.73138,131.26036,253.89319,650559,621366,1
27,74.04626,102.26266,40.168015,146.59024,-69.754555,124.99265,-21.103813,153.12628,-128.06326,255.04477,-1.2105962,328.06943,124.51854,265.6966,665862,621366,0
28,69.202675,103.25133,31.917109,149.97792,-70.34907,124.343636,-23.476816,152.55347,-133.27837,279.5382,12.569884,344.25427,140.60313,255.75833,669394,693312,1
29,67.34606,103.46794,25.49731,152.0144,-73.58912,120.58029,-30.871418,150.34406,-127.760635,272.03522,6.5761104,340.829,138.99889,257.32364,669394,676702,1
30,78.21477,100.89018,50.290894,141.09668,-63.16588,131.45825,-2.4732244,155.4678,-139.00879,262.74832,-5.646001,334.14285,132.38069,265.31628,605137,676702,0
31,64.34957,103.6337,27.996992,151.28088,-72.71203,121.63887,-26.639404,151.6885,-135.08961,273.1213,13.655267,332.92334,130.02646,246.625,607732,676702,1
32,68.14574,103.38542,25.463148,152.02393,-74.00455,120.06784,-29.932005,150.66138,-129.64796,263.09442,5.507405,334.9015,131.85234,250.74274,650559,674370,1
33,62.938522,103.63385,16.192745,154.1098,-76.775024,116.45174,-39.784737,146.76804,-138.56186,273.98352,0.83175594,335.2357,134.59024,251.75517,624585,674370,1
34,73.3306,102.44841,40.624264,146.37589,-64.55374,130.19803,-13.018853,154.60371,-123.484566,267.48438,29.10356,335.6303,141.87157,248.46,664761,669387,1
35,75.99131,101.6853,42.220016,145.6027,-68.89733,125.90763,-13.5185585,154.53323,-138.95157,250.3103,-2.8503423,333.26892,136.82501,251.54988,666801,669387,0
36,70.9102,102.973755,33.96054,149.2225,-70.669136,123.98917,-25.459948,152.02481,-130.62895,263.16425,-0.53294224,338.19028,137.64934,253.71288,607208,669387,1
37,66.661674,103.52571,20.237423,153.31943,-77.35254,115.65057,-38.723312,147.24966,-132.81119,262.4951,3.588771,336.0941,128.86751,253.78157,665506,621366,1
38,74.55173,102.1229,40.622944,146.37653,-69.56866,125.193146,-15.12431,154.28836,-131.03813,251.73232,0.6779362,326.0935,124.03655,257.07178,595909,621366,0
39,67.00319,103.49837,22.748022,152.73627,-74.4419,119.52037,-34.25474,149.10933,-126.173874,278.74802,14.984277,340.07184,139.5736,253.34761,592206,664294,1
40,61.941387,103.60391,17.422043,153.88882,-74.778595,119.09319,-37.183975,147.92055,-137.46179,270.8323,10.29546,340.97,136.17815,265.80078,592663,664294,1
41,72.26092,102.69995,33.757885,149.2998,-70.72475,123.92721,-24.355726,152.32483,-124.833435,267.4968,16.483713,337.68964,140.86649,256.8781,664761,664294,1
42,75.943924,101.70065,39.71868,146.79846,-71.962814,122.51898,-25.48935,152.01663,-138.90201,259.1733,-13.843617,334.05704,129.38731,261.57086,595909,682847,0
43,66.06662,103.56633,28.980341,150.97177,-71.789276,122.71977,-27.634443,151.3919,-126.41581,261.96173,8.120021,334.94196,128.63313,255.09767,624641,682847,1
44,67.80872,103.42217,27.174274,151.53055,-73.85788,120.24959,-30.83438,150.35678,-126.84631,266.88007,2.845575,326.77283,133.33183,253.90047,592663,682847,1
45,66.37832,103.54616,27.759008,151.35394,-68.75308,126.05924,-23.873146,152.45148,-131.37064,263.9532,14.090437,330.1358,135.47527,246.68806,664761,682847,1
46,67.26857,103.475075,27.648584,151.3876,-73.14675,121.1181,-29.274218,150.8771,-128.66785,265.86255,11.335388,336.9069,130.24216,255.07442,607208,682847,1
47,72.25962,102.70024,40.37068,146.49539,-68.92015,125.88358,-12.916068,154.61787,-123.68211,258.63654,5.497989,319.54105,124.428246,248.33418,679032,681882,1
48,66.795135,103.51536,24.950489,152.16501,-77.21961,115.83653,-39.80503,146.75868,-130.84077,264.83762,7.8130937,338.0484,137.69116,246.95227,624641,669796,1
49,71.46674,102.866806,27.866768,151.32095,-72.41602,121.98918,-26.951899,151.59662,-136.80232,250.63086,-4.6958756,334.39227,122.400925,259.1388,681082,669796,0
50,76.870865,101.38843,38.504333,147.34708,-68.93116,125.87197,-18.69408,153.64253,-147.39433,259.1334,-12.510296,340.9921,124.20546,264.74255,547180,670912,0
51,75.073944,101.97099,38.326378,147.42577,-72.04716,122.42098,-23.766642,152.47906,-136.3691,254.47014,0.059321173,329.28085,123.21522,265.25177,681082,670912,0
52,76.75055,101.43039,42.03485,145.6943,-68.08365,126.75419,-17.704683,153.83566,-138.641,263.4206,-4.105921,327.17084,132.98036,266.9891,669016,670912,0
53,69.04672,103.2729,19.795198,153.41473,-75.94109,117.57846,-34.054626,149.18643,-137.09596,264.39374,8.1751795,333.59027,121.22972,248.33896,624641,670912,1
