matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,69.04967,103.27251,27.586689,151.4064,-71.21835,123.37247,-26.087502,151.84792,-136.64459,248.79675,-13.45689,329.58783,126.88713,260.52307,669364,670280,0,FF
1,65.79277,103.58203,29.72402,150.73016,-70.24923,124.453476,-24.521923,152.28058,-122.72302,258.53003,6.2021756,320.51172,123.11307,245.34036,641658,693312,1,SL
2,70.475174,103.05168,41.342197,146.0326,-64.06478,130.64774,-12.01089,154.73767,-122.081764,269.41788,18.796251,335.92606,140.02814,252.418,493329,693312,1,FF
3,76.696075,101.44925,40.048435,146.64594,-71.32918,123.246704,-24.216593,152.36162,-134.41473,244.93031,-11.9734335,330.23682,122.13908,270.30844,669364,674370,0,FF
4,68.09256,103.3914,30.898418,150.33478,-69.36034,125.41644,-22.324057,152.83978,-121.477936,257.34634,5.595064,328.9768,133.51114,248.95862,542932,674370,1,SI
5,62.903873,103.633224,20.082748,153.35303,-76.5194,116.80081,-38.68373,147.26733,-131.1804,272.89105,-2.7418308,329.1201,124.9685,255.9345,663743,674370,1,SL
6,74.83932,102.04019,41.327366,146.03976,-68.31313,126.51754,-14.917112,154.32153,-127.25531,260.6932,-5.7275715,332.32037,136.30962,255.50966,621563,674370,0,SL
7,69.59307,103.194534,31.803036,150.01852,-72.013985,122.45955,-26.232231,151.80646,-124.207245,256.74454,3.4026573,327.85168,133.968,248.40723,641658,674370,1,SI
8,77.7092,101.08406,49.718636,141.45096,-66.30264,128.53647,-7.756235,155.18283,-125.759224,261.2992,1.0715681,337.53967,124.261566,266.97736,660821,656578,0,CH
9,65.14736,103.61158,10.724192,154.89276,-77.69219,115.17105,-42.909546,145.25714,-144.13496,265.72498,-2.9355583,333.43555,125.4889,258.67242,650559,656578,1,CH
10,73.909904,102.29913,38.76776,147.22981,-61.31063,133.06726,-8.870263,155.08499,-123.09576,263.1512,16.384842,335.36368,143.07309,251.40704,542932,656578,1,FF
11,63.6656,103.639984,13.953638,154.46967,-78.68495,113.732315,-47.457355,142.79703,-133.62677,259.70084,-6.6337404,328.9727,120.48147,255.29454,663743,656578,1,CH
12,75.29661,101.90386,41.055527,146.17056,-68.264084,126.56825,-16.118954,154.12253,-139.14459,261.00244,-12.023452,341.00226,127.74353,263.9996,660821,656578,0,FF
13,71.77464,102.80409,35.067646,148.79077,-67.747375,127.098,-21.835077,152.95663,-127.20561,273.1086,-2.526768,341.96115,132.99344,260.44458,650559,656578,1,FF
14,77.364235,101.21186,40.23131,146.56068,-72.487305,121.905136,-20.437904,153.27548,-125.12954,254.30174,-10.687388,326.35516,123.53084,266.00308,669364,656578,0,FF
15,74.10616,102.24647,39.10342,147.079,-56.797626,136.65137,-7.8295646,155.17682,-121.73243,259.98816,15.42303,334.6203,141.86147,247.5544,542932,675989,1,FF
16,78.24576,100.87804,46.339622,143.43153,-69.01609,125.78231,-15.296918,154.26035,-125.900215,254.9137,0.17641598,325.674,121.20002,254.0718,665862,675989,0,CH
17,69.09595,103.26615,26.536606,151.71846,-77.16567,115.91173,-37.068108,147.96974,-128.83794,258.4442,8.713934,330.15753,131.08435,254.10939,542932,669796,1,SL
18,72.46501,102.65434,36.859097,148.05801,-75.98656,117.51793,-28.148556,151.23401,-123.141106,253.41866,-5.809753,333.61142,126.13322,253.45128,660821,669796,0,SL
19,60.82028,103.54048,12.172259,154.71696,-75.327576,118.38573,-38.806114,147.21266,-131.5052,261.40515,-0.7979183,330.93475,122.72245,255.5731,650559,682990,1,SL
20,80.62325,99.85559,51.99486,140.00809,-66.83483,128.01375,-3.8704662,155.42111,-125.02093,256.80396,3.2566824,327.8125,134.71043,254.42267,665862,682990,0,CU
21,65.65501,103.58922,21.311098,153.07881,-76.78476,116.43837,-39.70083,146.80669,-132.798,264.00272,9.326319,336.31015,131.67654,259.5106,624585,682990,1,SI
22,73.03305,102.5215,37.82573,147.64479,-67.88539,126.95731,-18.279308,153.72482,-132.0473,253.68054,-1.4939408,327.6056,122.54998,255.69125,660821,682990,0,CH
23,65.28863,103.606,18.76342,153.6286,-73.78456,120.34012,-35.088078,148.78265,-127.419586,264.9627,6.7123117,333.1473,136.51903,257.79526,669394,682990,1,SI
24,71.393166,102.88141,34.218033,149.1235,-66.80539,128.04288,-17.759703,153.8252,-120.04705,257.31497,4.494545,323.1458,128.62933,255.86278,542932,682990,1,SI
25,65.35674,103.603134,17.02693,153.96167,-77.86954,114.91815,-40.36448,146.4983,-131.42268,263.4043,-4.2303586,333.34485,125.16468,256.5547,624585,682990,1,SL
26,64.30073,103.63454,25.686674,151.96144,-73.78045,120.345184,-33.495464,149.39912,-127.397835,259.49628,-1.5520629,318.86707,117.885544,248.09464,641658,675989,1,ST
27,61.738503,103.59477,12.983546,154.6086,-76.88174,116.30501,-41.65153,145.88239,-124.506805,259.9226,1.6648192,325.42914,126.97844,250.36052,641658,681882,1,CU
28,69.81403,103.160645,26.097084,151.84518,-74.35999,119.623535,-30.83577,150.35631,-125.73807,263.52612,3.1288407,326.84427,127.22234,249.95831,542932,621366,1,CH
29,62.500713,103.623764,18.237011,153.7331,-76.850044,116.34864,-33.783703,149.28998,-129.74815,256.65768,-6.589519,331.17468,121.82916,249.72734,650559,621366,1,CH
30,77.13343,101.29538,50.460014,140.99092,-58.943485,110.334305,-11.033435,154.8571,-123.02466,260.80447,4.8684287,334.19003,132.73174,257.8659,665862,621366,0,ST
31,64.43175,103.63216,21.30613,153.07996,-74.33454,119.65553,-32.913174,149.61635,-129.02655,267.85556,2.4763775,335.54562,129.56076,249.52744,669394,693312,1,SL
32,69.72484,103.17448,38.299393,147.43765,-61.40234,132.25336,-12.088287,154.72778,-119.69943,265.4384,20.214228,323.17902,142.1196,236.3587,641658,693312,1,FF
33,69.97876,103.13455,33.493374,149.3999,-68.45629,126.36909,-20.522562,153.2568,-124.095314,265.28796,8.913205,338.99664,136.90746,254.89279,669394,676702,1,FF
34,78.560684,100.752975,51.236233,140.49905,-61.64248,132.78558,-6.928341,155.24701,-131.48778,264.99313,2.200092,333.0852,136.66649,255.18524,605137,676702,0,FC
35,68.42062,103.35329,35.55457,148.59581,-69.21013,125.57656,-15.675472,154.19781,-124.10337,263.00925,4.0192776,329.63782,136.27492,255.838,607732,676702,1,FF
36,60.27541,103.498245,14.955774,154.31537,-74.90907,118.92629,-37.68763,147.7046,-133.44177,260.10532,-12.400056,336.6748,122.6835,257.27225,650559,674370,1,SL
37,69.098045,103.26587,27.194946,151.52437,-73.29087,120.94376,-28.204458,151.21664,-128.44025,252.26642,0.20376924,338.90015,131.2492,262.41348,624585,674370,1,SI
38,68.50491,103.343056,35.188206,148.7428,-69.70174,125.049736,-22.207874,152.8678,-126.29506,262.1548,9.357629,327.69583,128.0996,251.6588,664761,669387,1,ST
39,74.67242,102.088486,37.980408,147.57748,-69.11911,125.673225,-21.152647,153.11514,-138.32794,255.9299,-8.707992,338.2593,128.84128,259.57083,666801,669387,0,FF
40,70.19071,103.09995,33.74319,149.30539,-71.72254,122.79669,-25.667913,151.9667,-123.71515,260.66727,5.452756,329.6577,132.48938,252.04971,607208,669387,1,FC
41,68.87826,103.29552,18.302444,153.72028,-78.64917,113.78516,-41.827255,145.79642,-131.31163,255.08401,-0.9241006,325.22427,127.19578,250.38835,665506,621366,1,SL
42,74.93284,102.0128,40.692924,146.34338,-65.67431,116.80478,-19.782242,153.41751,-118.96442,254.38797,5.631278,328.24924,132.99364,262.1278,595909,621366,0,ST
43,62.248867,103.6158,15.354039,154.251,-76.52824,116.7888,-42.780495,145.32234,-138.11201,262.3194,-5.3534904,325.24136,126.07496,257.64066,592206,664294,1,SL
44,72.65849,102.61008,39.684612,146.81415,-68.90922,125.89512,-17.106066,153.94722,-124.506775,262.1816,10.613727,341.70227,139.54974,264.1217,592663,664294,1,FF
45,68.37611,103.35863,26.057413,151.8565,-71.951164,122.5325,-27.389668,151.46597,-128.40704,261.9195,0.97313786,332.11108,125.52514,254.20197,664761,664294,1,SL
46,72.87887,102.55842,31.70551,150.05312,-71.49159,123.061584,-24.410015,152.31041,-144.02838,269.1897,-14.212609,338.2767,119.6876,268.50412,595909,682847,0,FF
47,64.966255,103.61801,21.845629,152.95415,-74.85236,118.998924,-36.785435,148.08899,-134.76965,260.72137,3.4900267,335.3277,124.56944,253.99966,624641,682847,1,SL
48,68.562614,103.33594,26.44558,151.7449,-72.293945,122.132675,-28.147217,151.2344,-125.4075,259.17953,1.946847,333.41467,129.06407,258.57364,592663,682847,1,SI
49,67.33505,103.468956,26.249325,151.80154,-72.73391,121.61284,-29.857552,150.68607,-124.82203,259.40872,-2.2204638,330.92313,130.34068,253.55638,664761,682847,1,SL
50,62.050694,103.608406,17.210184,153.9281,-74.643524,119.26517,-37.710957,147.69452,-127.46444,266.28882,-1.5369911,323.93454,126.88666,248.23346,607208,682847,1,SL
51,65.8326,103.579865,28.913826,150.99304,-69.08683,125.70744,-19.237423,153.53183,-124.66942,256.2054,2.3152454,326.20584,131.8936,250.26366,624641,682847,1,SI
52,71.926414,102.77227,37.61219,147.73717,-64.03782,130.67233,-12.484934,154.67604,-121.824005,260.16254,11.288386,334.54593,139.37184,253.15396,607208,682847,1,FF
53,75.169815,101.94225,44.334454,144.52057,-65.102165,129.68604,-11.22618,154.83437,-124.92992,256.0777,7.671783,325.0386,132.35776,242.4387,679032,681882,1,SI
54,69.65362,103.18536,24.820032,152.20041,-77.25274,115.79027,-37.065132,147.97101,-141.46686,258.69077,-0.11304368,329.1884,124.708916,257.0981,624641,669796,1,SL
55,66.82064,103.513336,26.12712,151.83661,-72.39627,122.01245,-28.832191,151.01907,-136.7185,247.43227,-12.231461,335.19025,125.83511,261.0374,681082,669796,0,FF
56,79.70327,100.27292,40.22616,146.5631,-65.94379,128.88434,-18.57242,153.66687,-134.65997,268.24637,-1.889528,344.21667,126.59599,265.17075,547180,670912,0,SL
57,75.30219,101.90215,37.399475,147.82857,-70.2955,124.402596,-22.606827,152.77097,-129.51785,256.8369,-9.940624,334.35278,131.9505,262.29575,681082,670912,0,CU
58,73.78184,102.332924,32.34805,149.82303,-71.62552,122.90822,-26.809969,151.63849,-143.50912,250.33128,-14.761363,336.17264,123.10387,259.88608,669016,670912,0,FF
59,66.89933,103.50699,32.266403,149.85257,-68.984856,125.81531,-22.446472,152.81012,-122.29638,263.2254,9.928017,336.01456,132.2084,251.793,624641,670912,1,FF
60,76.07011,101.65964,37.32955,147.85849,-70.425285,124.25954,-22.455202,152.80798,-135.64879,256.07022,-8.906933,329.79913,126.30179,260.52884,681082,670912,0,SL
61,76.55537,101.49754,42.062313,145.68076,-70.24455,124.4586,-20.59992,153.23965,-123.09138,244.19319,0.10298152,321.68692,128.5331,252.58647,596117,670912,0,FF
62,76.83735,101.40016,42.34619,145.54,-67.19506,127.65522,-16.712208,154.01846,-135.66754,252.02402,-7.08139,328.38373,125.35353,261.1294,666801,670912,0,FF
63,74.33681,102.1832,38.30313,147.436,-68.56298,126.258026,-16.194378,154.10953,-127.756676,262.74005,7.246972,324.44226,137.17035,246.97821,679032,670912,1,FF
64,72.298515,102.691635,34.98203,148.82474,-70.28838,124.41044,-19.897533,153.39288,-140.80518,262.9768,-15.822573,339.66385,126.918594,256.9394,547180,670912,0,FF
65,73.05605,102.51593,38.643757,147.28514,-69.293,125.48831,-16.901012,153.98453,-128.58739,253.1828,-4.3265495,327.88577,126.22397,260.74686,681082,669387,0,CH
66,75.943115,101.70091,44.30499,144.5361,-69.93479,124.797165,-16.1218,154.12204,-129.82338,257.59122,-6.3435516,324.48334,123.93952,256.86725,547180,621366,0,SI
67,67.046936,103.494644,31.813,150.01498,-74.07396,119.9815,-30.092325,150.608,-132.45616,261.82056,-2.2298994,327.915,117.44269,246.68134,607208,621366,1,CH
68,75.667305,101.78897,40.53809,146.4166,-73.48456,120.70814,-25.40119,152.04114,-126.76167,251.88742,-3.6968324,328.52902,133.51659,259.08966,681082,664294,0,SL
69,67.813644,103.42166,29.956837,150.65314,-69.94954,124.78113,-23.15774,152.63425,-127.929855,258.25565,6.483527,333.12302,122.52861,255.85846,679032,656605,1,FC
70,79.15539,100.508316,41.43599,145.98718,-72.4125,121.99333,-23.758783,152.48108,-125.98799,257.046,0.10748307,332.04834,137.9097,258.17392,681082,656605,0,FC
71,68.47854,103.34628,28.03277,151.26984,-72.23369,122.20328,-29.776632,150.71283,-126.07646,265.8795,1.043701,336.15057,126.76182,259.91302,607208,656605,1,SI
72,81.07629,99.63966,55.1853,137.82776,-71.355095,113.24446,-24.379864,152.31842,-130.16911,260.17233,6.1979837,335.92346,137.18843,252.88428,656941,656605,0,FC
73,63.426464,103.639435,23.36608,152.58163,-74.050354,120.01089,-33.775146,149.29324,-125.17586,257.5834,-12.127027,323.65744,118.50177,255.86726,592206,656605,1,ST
74,68.063416,103.39467,32.17083,149.88701,-73.4965,120.69356,-27.95426,151.29405,-128.161,264.47705,6.026157,333.93674,130.44302,257.35968,592663,656605,1,SI
75,79.55138,100.33916,53.798565,138.79889,-69.65905,120.319214,-17.93649,153.79138,-125.94886,258.62936,10.117454,324.73416,144.98514,254.39749,458015,656578,0,SL
76,65.867325,103.577934,13.119759,154.58969,-79.562546,112.41148,-49.238804,141.74371,-141.80695,254.99326,-10.603415,334.3931,125.773796,256.7332,663697,669796,1,SL
77,66.19337,103.55841,28.325539,151.17891,-71.45693,123.10118,-20.440208,153.275,-129.87675,269.7383,15.40287,336.15305,138.6304,248.98228,669222,669796,1,FF
78,62.647015,103.62767,17.537668,153.86719,-78.65877,113.77099,-45.221046,144.04674,-136.50552,254.9523,3.3842432,334.0565,129.47144,250.65024,682829,669796,1,SL
79,81.34256,99.50946,53.403736,139.0687,-66.52019,128.32379,-5.9185677,155.31546,-125.43058,254.66206,9.506934,322.92084,140.39679,243.71179,641584,682990,0,CU
80,62.386013,103.62033,21.199253,153.10449,-74.69829,119.19554,-35.203156,148.73683,-124.97927,256.11853,6.1476755,325.78348,128.77264,254.21104,668715,682990,1,SI
81,68.52025,103.34117,26.549582,151.71469,-74.915405,118.91817,-36.409164,148.24606,-128.34811,260.1323,3.639119,327.99176,118.91652,255.30359,663697,682990,1,SL
82,77.15359,101.28815,40.621307,146.37729,-70.4937,124.1839,-24.285872,152.34332,-128.51512,247.28864,-4.0383015,328.26965,131.21013,261.1288,666181,682990,0,FF
83,79.044304,100.55487,48.620342,142.11533,-65.74556,129.07494,-6.6128097,155.26956,-129.37352,260.6099,2.7167058,335.22986,129.5279,253.05077,682829,682990,0,SL
84,60.469303,103.51414,10.508942,154.91696,-77.07215,116.04173,-42.648125,145.38898,-131.30157,267.99808,-6.2335978,332.73233,124.4277,250.77814,687952,682990,1,SL
