matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,73.36171,102.44062,28.262184,151.19867,-73.1361,121.130936,-26.796091,151.64258,-127.251816,266.76376,17.477167,329.2537,138.54536,246.81741,462101,623352,1
1,64.32256,103.63417,18.140139,153.752,-78.4635,114.05818,-41.912766,145.75446,-138.50974,261.34244,1.726638,331.44336,131.3309,245.25497,656024,623352,1
2,70.99527,102.95793,29.164164,150.91267,-73.49508,120.6953,-25.92286,151.89478,-136.73372,266.31265,-3.018149,344.81772,137.61824,256.61844,683734,676680,1
3,69.068855,103.269875,27.461243,151.44438,-77.0123,116.124695,-32.22629,149.86703,-131.80424,263.97772,7.816306,334.7322,139.24821,251.24364,518735,678061,1
4,66.871635,103.50925,22.494287,152.79846,-75.020515,118.78313,-32.354496,149.8207,-125.25478,261.53256,5.317123,332.97287,120.62314,250.00023,656024,658648,1
5,68.04695,103.396484,28.469204,151.13391,-73.1832,121.07409,-29.851099,150.6882,-125.33495,265.45026,5.7144947,335.59625,133.63943,246.14401,672820,658648,1
6,77.93561,100.99821,50.53308,140.94507,-67.13167,127.7186,-7.720372,155.18578,-128.97244,266.19086,-1.2185947,341.22925,137.69955,260.1303,518735,658648,0
7,62.10509,103.610535,18.523283,153.67665,-76.54214,116.769905,-38.88655,147.17662,-123.91432,270.72284,-2.101324,321.05325,115.00582,254.73296,621545,658648,1
8,68.08574,103.392166,26.320984,151.78091,-72.61462,121.75453,-25.80629,151.92776,-126.79486,267.97693,10.476194,336.71646,134.56631,246.16486,462101,658648,1
9,71.929344,102.77166,30.30288,150.53741,-71.57996,122.960464,-29.389545,150.83966,-129.0348,265.82465,2.1461594,327.5681,133.76318,254.66461,683734,472610,1
10,69.31422,103.2355,38.09197,147.52875,-68.06316,126.77523,-15.538888,154.22055,-123.318954,263.4827,2.860338,332.2882,140.2593,249.95767,650391,472610,1
11,70.00625,103.13013,28.26886,151.1966,-77.146355,115.93863,-34.000923,149.20703,-130.77354,258.37366,7.6956835,327.82394,139.33525,254.34521,641313,678061,1
12,75.27697,101.909836,37.55777,147.76062,-77.76664,115.065094,-27.66391,151.38293,-132.80356,256.39426,8.885568,334.63123,140.14745,261.89902,657757,608379,0
13,68.81151,103.30428,25.356754,152.05345,-76.2428,117.174835,-30.587107,150.44125,-134.01448,269.06647,-1.7814136,339.4915,139.5208,252.15686,672820,608379,1
14,59.08457,103.37975,10.324303,154.93733,-78.35061,114.22319,-45.187706,144.06477,-148.149,263.77054,-15.742784,334.32196,125.665764,257.9718,572204,608379,1
15,77.436485,101.185394,49.018257,141.87697,-73.652695,120.50235,-16.033445,154.13722,-134.99997,254.59688,7.5032897,335.19028,141.8616,256.56186,518735,608379,0
16,65.69298,103.58728,24.458586,152.29749,-75.81456,117.74642,-35.46139,148.63336,-129.61867,264.2682,7.881836,335.89615,138.18631,251.22108,641313,608379,1
17,75.41599,101.867294,42.66732,145.37933,-69.66761,125.08657,-14.501037,154.38675,-130.74773,254.57393,-9.152456,336.11914,142.09314,267.25858,660162,608379,0
18,70.320366,103.07822,36.988964,148.00323,-76.18457,117.253075,-29.122274,150.92618,-123.04753,264.66232,17.708296,326.23135,147.12747,248.71407,641313,623352,1
19,72.64094,102.614136,37.59812,147.74323,-69.70819,125.04277,-19.491524,153.47893,-126.91515,261.90207,8.169319,335.11118,142.95932,253.7647,650391,663158,1
20,76.75788,101.42785,47.262135,142.90929,-67.902855,126.93947,-10.083638,154.96332,-129.98572,259.28793,-6.0909233,331.68613,132.69638,259.67395,657757,472610,0
21,76.980774,101.34973,39.167812,147.0499,-66.25225,128.58554,-13.242432,154.57251,-134.54565,253.83842,-4.3875318,337.38416,140.1603,253.30046,660162,605130,0
22,65.66744,103.58858,22.71885,152.74344,-71.4509,123.10806,-29.451843,150.81937,-133.86655,267.08658,6.578141,342.6005,133.11263,254.74619,650391,605130,1
23,74.267494,102.20236,39.517555,146.89075,-68.66643,126.15,-19.815968,153.41032,-129.77339,257.37973,-4.812978,331.94165,142.41284,262.71445,643217,605130,0
24,73.88529,102.305664,33.257824,149.4883,-69.78402,124.96077,-20.675648,153.22281,-137.42291,257.01816,-6.9005375,334.43875,134.18254,264.0045,660162,607259,0
25,64.15122,103.63673,15.208935,154.27467,-77.29838,115.726456,-41.48405,145.96387,-132.62227,262.27045,-2.301966,335.6213,134.93341,255.7344,650391,607259,1
26,65.05502,103.61496,19.877214,153.39723,-78.19548,114.44876,-38.235203,147.46591,-131.81783,264.2787,9.685557,325.39963,139.11742,244.13701,641313,607259,1
27,76.83692,101.400314,45.677837,143.79787,-65.55205,129.25995,-12.374858,154.69057,-136.19952,267.15332,-4.0268097,342.52432,130.27365,258.92255,592626,663158,0
28,61.91001,103.60257,22.213554,152.86642,-75.97774,117.52968,-37.40375,147.82675,-136.33073,261.94336,0.6131159,330.1189,132.39224,251.64546,527038,663158,1
