matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,70.18936,103.100174,30.17024,150.58194,-72.637375,121.727554,-21.24035,153.09506,-126.39721,264.157,0.41580507,333.96518,135.47556,252.50363,462101,623352,1,SI
1,70.079414,103.11827,21.628813,153.0051,-77.75828,115.07701,-33.051884,149.565,-131.93358,263.976,9.008908,324.82367,131.53827,251.79855,656024,623352,1,SI
2,71.60009,102.839966,37.838882,147.63907,-70.000404,124.72572,-19.13913,153.5521,-124.0244,261.69916,10.985556,337.9774,131.90256,257.18903,683734,676680,1,SI
3,71.32816,102.89419,31.997,149.94937,-72.67261,121.685715,-23.75921,152.48099,-128.44073,261.40082,3.895627,331.18967,146.09734,253.08575,518735,678061,1,FF
4,69.42017,103.22016,32.58762,149.7359,-72.10503,122.35359,-24.300669,152.33942,-125.22132,265.01532,10.122605,336.79486,134.60864,255.50386,656024,658648,1,FF
5,64.65482,103.62711,18.082705,153.76315,-72.84855,121.476135,-34.30514,149.08983,-122.045456,258.33707,14.060505,329.82144,132.4164,254.85909,672820,658648,1,SI
6,78.911,100.61021,49.343384,141.68024,-67.64159,127.205444,-13.232794,154.57387,-123.506516,260.8387,-4.6518154,337.33948,136.59804,256.27545,518735,658648,0,CH
7,58.154514,103.262085,12.749588,154.64058,-77.86855,114.919556,-45.933735,143.65704,-128.39436,258.7761,-8.349731,326.72766,121.92179,251.78217,621545,658648,1,CU
8,63.27081,103.63829,17.359327,153.90051,-76.36869,117.005066,-38.31001,147.43298,-127.055504,263.42358,-6.560034,326.70984,124.3609,249.81125,462101,658648,1,CH
9,62.736645,103.62979,23.629248,152.51445,-73.88995,120.20992,-30.94935,150.31725,-118.71113,257.97562,4.9138784,328.269,125.51593,247.1848,621545,658648,1,SI
10,67.79191,103.423935,27.11953,151.54686,-72.60458,121.76642,-29.625893,150.76244,-120.79772,264.4091,0.5235827,332.59924,132.14354,254.3067,462101,658648,1,SI
11,70.53752,103.04082,33.85434,149.26308,-67.872856,126.970116,-17.77151,153.82295,-128.86668,259.6284,7.0447435,329.7873,134.03699,255.88771,683734,472610,1,SI
12,72.33957,102.6825,33.996952,149.20856,-68.636635,126.181145,-22.124115,152.88791,-124.52812,261.9485,6.1815763,332.02466,133.69797,257.79575,650391,472610,1,SI
13,69.25199,103.24437,25.913347,151.89748,-77.30883,115.71182,-35.829258,148.48447,-134.02927,257.6464,-0.18184772,330.62668,132.18806,256.24677,641313,678061,1,CU
14,74.8278,102.04355,33.084423,149.55292,-74.28184,119.721695,-25.398243,152.04196,-128.27579,256.4766,-7.1430755,332.25345,127.89916,265.89963,657757,608379,0,FF
15,70.38653,103.06694,31.224615,150.22192,-70.36764,124.32316,-21.184149,153.10794,-120.8651,266.31174,15.246261,331.96066,129.06114,254.18956,672820,608379,1,FC
16,64.78324,103.62366,12.121714,154.72348,-79.14141,113.051285,-45.738552,143.76454,-140.5547,261.43323,-4.215462,337.41452,130.34187,260.5646,572204,608379,1,FF
17,76.89499,101.379974,48.5598,142.15137,-71.48162,123.07298,-14.361361,154.4082,-122.4753,255.45036,-3.0290337,331.15854,136.22095,263.80103,518735,608379,0,CH
18,61.34019,103.57382,15.951095,154.15128,-77.59401,115.3103,-43.414196,144.99976,-130.12067,258.8298,-5.9149685,329.17023,125.03396,254.12773,641313,608379,1,CU
19,72.65515,102.61085,29.863497,150.6841,-72.27278,122.157486,-23.50536,152.54617,-119.52823,266.59256,12.228764,337.6305,141.7713,253.45209,672820,608379,1,FF
20,78.97588,100.58334,40.812256,146.28671,-68.170204,120.37782,-8.651508,155.10524,-123.66504,250.56973,-3.192925,329.53598,138.33414,250.42035,518735,608379,0,FC
21,72.19289,102.7149,32.605137,149.7295,-69.62182,125.135925,-23.132263,152.64064,-129.93639,259.61914,0.7857132,337.77072,135.31583,261.6966,657757,608379,0,SI
22,77.03795,101.32945,42.337414,145.54437,-71.484955,123.069176,-15.9203615,154.15651,-125.29011,251.93907,2.9190955,333.72968,138.16287,256.04584,660162,608379,0,CH
23,68.64754,103.32532,23.491184,152.5498,-73.626686,120.534256,-30.07754,150.61295,-125.124435,260.31778,2.9337692,334.07526,127.57458,246.2742,641313,608379,1,SI
24,72.570335,102.63037,34.489426,149.01825,-70.92663,123.70137,-22.004564,152.91644,-120.687485,262.6814,12.844208,335.66046,140.54936,251.84409,641313,623352,1,SI
25,65.09426,103.613556,24.29268,152.34152,-73.76462,120.3647,-31.502043,150.1249,-126.44885,256.31146,13.509738,332.28897,130.92072,254.73262,650391,663158,1,SI
26,77.0558,101.32311,46.410156,143.39209,-72.0228,122.44931,-17.577559,153.85968,-122.155136,249.95114,-1.7643075,329.12296,138.88039,250.90607,657757,472610,0,FS
27,76.700935,101.44756,38.233665,147.46658,-67.24555,127.60466,-20.206158,153.32623,-137.10136,251.76408,-7.785007,335.80978,125.963036,260.34805,660162,605130,0,FF
28,65.90181,103.576004,27.498312,151.43318,-74.86027,118.988815,-32.69555,149.69641,-128.50963,261.10837,4.0139165,337.11078,127.67751,255.93808,650391,605130,1,SL
29,73.68191,102.358986,34.225086,149.12079,-68.89752,125.90743,-18.73821,153.63367,-137.81824,249.72238,-12.441327,331.32684,128.37999,261.29498,643217,605130,0,FF
30,73.08807,102.508156,30.441244,150.49072,-74.7593,119.11781,-30.65034,150.41972,-131.01787,260.56552,-18.032871,335.54437,123.78739,269.29257,660162,607259,0,SI
31,62.32995,103.618546,10.327397,154.93698,-80.70557,110.61598,-44.72995,144.31068,-148.52243,257.23035,-10.554195,331.37112,125.63757,251.52689,650391,607259,1,CH
32,66.13115,103.56235,27.75514,151.35512,-77.02325,116.10953,-32.574795,149.7406,-122.03002,260.5049,1.5413524,322.51514,130.18391,249.95622,641313,607259,1,SI
33,69.458374,103.21457,31.499306,150.12585,-66.90163,127.947556,-23.605171,152.52063,-122.739746,263.79422,14.306428,334.72742,135.77014,254.69601,641313,607259,1,FC
34,76.18765,101.621,37.075424,147.96664,-73.01989,121.27084,-26.296896,151.78787,-139.15944,262.88504,-10.448866,340.63293,128.28413,265.93906,592626,663158,0,FF
35,66.518524,103.53629,16.71738,154.01753,-76.0883,117.38208,-38.50476,147.3469,-130.73471,265.3464,-1.6771699,331.08066,128.98395,250.62935,527038,663158,1,SI
36,75.587654,101.81398,43.817303,144.79141,-67.61584,127.231544,-13.243733,154.57233,-129.47948,259.81592,1.6243142,334.1038,128.8361,265.45966,672275,605130,0,SI
37,67.219795,103.47949,28.475979,151.13177,-73.21651,121.03383,-27.735056,151.36125,-128.09679,254.55432,2.4024549,334.11188,127.18292,250.38078,642731,663362,1,SI
38,80.17466,100.06259,51.128242,140.56812,-68.06134,115.85389,-15.951362,154.15125,-127.02021,256.7532,4.224115,327.66022,150.32877,249.40057,592626,663362,0,FC
39,55.793053,101.60944,11.581215,154.79144,-80.147125,111.50429,-42.401855,145.51225,-150.09485,253.18718,-10.358864,323.23148,122.34835,249.49193,527038,663362,1,KN
40,71.26707,102.90611,27.812935,151.33743,-71.77203,122.73966,-28.302277,151.18617,-138.12534,254.26663,-18.672506,336.30023,128.73666,260.81696,624424,663362,0,FF
41,78.35175,100.83629,39.55294,146.87457,-72.3772,122.03488,-24.854614,152.19104,-131.01656,259.31644,4.5864816,335.43832,135.23206,255.458,573262,663362,0,KN
42,70.97241,102.962204,34.077133,149.17778,-72.823616,121.50591,-21.033564,153.14227,-133.12401,256.03815,-0.6054006,337.3376,134.88997,257.89017,664774,663362,0,FF
43,64.18134,103.63634,21.455002,153.04556,-74.338394,119.65068,-31.798481,150.02014,-131.30795,257.9617,-1.2572312,326.06012,129.43504,251.08247,666149,663362,1,SI
