matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,77.47913,101.16971,41.588943,145.91287,-73.099655,121.17488,-24.035395,152.4092,-128.85612,249.14854,-3.2039812,327.89948,134.03976,258.13297,694497,663462,0
1,76.34228,101.569565,43.49495,144.95822,-67.03848,127.81153,-10.923788,154.86986,-136.976,260.95532,-9.029673,332.26282,130.0039,268.36276,665750,663423,0
2,78.2859,100.862274,46.099422,143.56529,-68.148796,126.68718,-9.728323,155.00058,-132.87465,252.47568,7.1693296,332.33722,134.52806,254.37672,641680,663423,0
3,65.14249,103.61176,20.856556,153.18228,-76.53333,116.78187,-35.945457,148.43704,-136.36551,260.63644,-4.0310307,331.45038,133.47812,258.17444,641598,672860,1
4,74.82219,102.0452,41.112793,146.1431,-66.29241,128.54642,-16.593487,154.0396,-141.06514,266.53525,-18.347237,341.27795,126.27781,269.8557,608369,669923,0
5,77.39388,101.201035,45.541935,143.87225,-65.125336,129.66423,-12.571178,154.66457,-132.79926,256.29666,-1.478433,334.42676,139.55444,261.4737,641680,669923,0
6,70.519775,103.043915,36.499905,148.20837,-70.45989,124.2213,-22.339397,152.83607,-132.16283,276.0725,10.1470995,338.98367,142.70235,254.59554,673962,669923,1
7,72.08426,102.73851,32.63453,149.71875,-71.700066,122.822556,-26.018806,151.86751,-134.87953,273.5186,9.882452,345.7809,139.34163,258.2142,666969,669923,1
8,74.59665,102.11014,41.905468,145.75803,-67.39577,127.4538,-17.32567,153.90675,-135.62202,256.68082,6.4379325,342.0351,136.5085,262.9903,694497,669923,0
9,77.87008,101.023224,44.14456,144.6205,-68.47315,126.351555,-12.546283,154.66788,-137.87093,257.69858,-8.223781,338.49057,130.87096,259.15012,665750,669923,0
10,65.06159,103.61473,27.565657,151.41278,-73.08178,121.1964,-27.779863,151.34756,-134.47449,264.84003,6.1033506,334.30917,124.05581,254.21852,543760,669923,1
11,72.67929,102.605255,31.747286,150.03831,-73.8899,120.20999,-23.283346,152.60258,-146.53197,252.61374,-17.549286,333.80048,130.43031,257.5269,663993,623437,0
12,68.95854,103.284836,33.75717,149.30008,-71.41423,123.14989,-22.054447,152.90454,-123.82676,253.83272,6.0072846,331.52365,137.96327,246.3614,665750,642048,1
13,69.44075,103.21715,23.710155,152.49364,-72.046005,122.42232,-31.365618,150.17273,-130.92006,265.65015,5.964354,333.6794,141.0191,255.76653,673962,660825,1
14,65.14895,103.61153,25.30827,152.06686,-74.42513,119.54151,-33.53478,149.38431,-128.28325,258.945,-6.644421,344.17072,122.19273,253.06339,666969,660825,1
15,76.361305,101.56319,47.4336,142.81071,-64.05291,130.65857,-8.776776,155.0937,-127.042465,252.25154,-4.694559,326.4858,130.62727,263.8253,543257,660825,0
16,69.84038,103.156525,21.057323,153.13687,-76.01508,117.47989,-35.25859,148.71469,-133.51068,255.5521,-0.10983931,327.94974,132.03374,244.38774,543760,642100,1
17,76.17728,101.62442,40.52815,146.4213,-72.2985,122.12732,-24.708443,152.23055,-140.57635,257.2675,-24.235846,339.5533,125.399605,266.34442,608369,666374,0
18,77.9432,100.9953,46.06932,143.582,-72.44958,121.949646,-16.66894,154.02618,-128.61722,249.97801,-3.1313274,331.47745,130.0293,269.26028,543257,622491,0
19,59.293224,103.40311,14.110778,154.44618,-75.69451,117.90506,-40.070038,146.6359,-125.95822,265.52478,3.8882473,332.02216,132.27675,256.8029,543760,622491,1
20,61.783897,103.59691,23.055805,152.6598,-74.70556,119.18629,-32.74106,149.67972,-133.27544,266.42685,14.209789,331.41278,137.3872,259.38394,673962,663423,1
