matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,73.5769,102.38607,41.250603,146.0768,-68.74668,126.065956,-17.654179,153.84521,-122.91647,259.618,4.340474,327.66064,132.29764,260.2056,694497,663462,0,FF
1,75.40447,101.870834,37.329937,147.85832,-73.05542,121.228134,-27.516531,151.42767,-134.31952,256.66943,-13.069273,335.9622,124.22915,262.14542,665750,663423,0,SI
2,71.89809,102.778275,34.170994,149.14166,-72.780464,121.55738,-26.03872,151.86185,-136.30638,254.25887,-1.8180621,337.74673,138.15608,265.27722,641680,663423,0,SI
3,60.023132,103.476135,16.803673,154.00208,-73.747116,120.386246,-35.583767,148.58401,-130.40123,262.6935,9.148866,331.89478,135.23357,254.95837,641598,672860,1,FF
4,71.12589,102.93327,34.891403,148.86057,-70.0628,124.65765,-20.817436,153.19107,-144.9741,271.9274,-14.3149605,344.6986,123.63468,269.18985,608369,669923,0,FF
5,72.51688,102.64257,27.767626,151.35129,-79.55724,112.4196,-31.948921,149.96657,-136.14192,256.2715,-17.97606,329.1231,130.20312,261.17395,641680,669923,0,FF
6,64.692535,103.626144,20.912338,153.16971,-71.75574,122.75845,-32.20849,149.87344,-124.6407,274.6584,2.5861092,331.63486,124.04685,249.28874,673962,669923,1,SL
7,68.46751,103.34762,30.10896,150.60245,-71.81436,122.69081,-27.532106,151.42294,-133.47281,260.60214,-9.446134,337.35324,130.53322,256.41382,666969,669923,1,SL
8,76.859024,101.39257,41.336536,146.03531,-69.23437,125.55077,-20.588104,153.24228,-131.50189,255.2462,-7.2033253,334.0213,125.35138,266.84323,694497,669923,0,FF
9,77.60001,101.1249,45.76585,143.74954,-64.61334,130.14279,-11.355695,154.81886,-135.5394,259.49188,-6.4008107,343.04874,133.29047,260.7594,665750,669923,0,SL
10,78.449,100.79768,45.983093,143.62976,-70.41515,124.27074,-15.415859,154.24088,-126.13972,255.85323,3.300107,331.77335,134.8313,255.58545,641680,669923,0,FS
11,71.54703,102.85068,39.492195,146.90234,-66.38266,128.45839,-19.098722,153.5604,-125.41652,266.55508,16.23191,348.17307,141.8216,264.4449,666969,669923,1,FF
12,76.84453,101.39766,44.761738,144.29372,-66.51021,128.33356,-10.967545,154.86478,-128.05333,260.3455,3.8109574,331.29633,132.86772,257.52216,608369,669923,0,FS
13,60.264496,103.497314,17.929667,153.7927,-73.32685,120.900116,-32.14134,149.89761,-127.554825,271.49896,18.833273,338.21204,138.40721,253.17938,543760,669923,1,FF
14,70.79496,102.99487,33.878944,149.2537,-69.652374,125.103004,-23.012838,152.67055,-139.56183,253.93074,-4.433049,330.23804,122.62221,257.08093,663993,623437,0,SI
15,67.3209,103.470276,26.247005,151.80222,-76.52328,116.79554,-32.338024,149.82666,-140.82967,264.92944,2.4071455,330.36856,133.58943,252.10936,665750,642048,1,ST
16,65.40654,103.60096,16.909067,153.98306,-77.07502,116.03775,-38.18918,147.48613,-127.94068,264.51785,-2.1713743,336.76486,132.61685,253.70125,673962,660825,1,FS
17,63.26244,103.638214,16.831676,153.99704,-78.23411,114.39271,-43.50676,144.95212,-136.33707,267.07748,-3.429571,332.75217,126.15791,257.23154,666969,660825,1,SL
18,77.84787,101.03166,45.213657,144.05074,-69.97833,124.74977,-14.387846,154.40414,-124.10249,247.75627,-0.21246125,324.00037,131.46461,253.37619,543257,660825,0,FS
19,70.78143,102.99734,26.304735,151.78561,-80.12239,111.54315,-38.735394,147.24426,-138.3596,265.83612,-2.8453095,332.64902,126.915306,247.1186,543760,642100,1,FF
