matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,78.053825,100.95276,42.581017,145.42265,-69.28812,125.493515,-16.975246,153.97107,-139.45828,259.8719,-3.5540886,336.1301,134.99252,265.1903,444482,548389,0
1,52.45589,102.04463,9.600403,155.01367,-78.48382,114.028404,-43.449554,144.98157,-144.10004,254.88252,-11.250695,334.4054,129.70033,249.55292,571771,548389,1
2,77.59239,101.12775,47.759766,142.62189,-63.718304,130.9626,-11.66862,154.78067,-133.15953,255.80342,10.515287,333.28732,142.91197,258.02902,681546,548389,0
3,70.505104,103.04647,36.90041,148.04062,-70.04852,124.67324,-17.916468,153.79523,-124.595024,275.93222,6.7477946,337.7638,140.40294,254.29381,642708,548389,1
4,57.75303,103.20442,13.925445,154.47385,-75.81702,117.74317,-35.40312,148.65678,-141.2485,261.88995,-6.4648943,337.50003,132.07353,250.78453,669257,548389,1
5,62.768326,103.63049,13.393064,154.5512,-79.495384,112.51427,-43.269398,145.07397,-146.22794,262.03458,-9.394428,340.62003,126.45982,253.13,605141,573124,1
6,69.24122,103.24588,29.420559,150.82956,-71.341995,123.232124,-26.908506,151.60945,-135.48854,267.44547,11.121493,338.7688,137.08253,247.53708,669257,605154,1
7,76.45349,101.53214,42.649933,145.38806,-68.69359,120.16547,-14.96153,154.31445,-125.882645,254.99797,1.7862799,334.90207,141.06378,254.193,571970,690986,0
8,65.56818,103.59349,26.402365,151.75742,-74.60931,119.30861,-30.786053,150.37335,-134.06306,266.55667,2.1243248,333.5278,134.03178,256.82986,571771,690986,1
9,77.16473,101.28415,46.280514,143.46454,-67.11447,124.8715,-14.538893,154.38089,-124.88885,245.25912,3.4215622,329.80023,130.918,256.1068,681546,690986,0
10,74.67479,102.0878,42.34014,145.543,-69.32542,125.453735,-11.241058,154.8326,-119.666534,270.02744,22.873049,330.90503,144.40343,256.01712,642708,690986,1
11,62.212734,103.61452,14.502026,154.3866,-79.22914,112.91892,-43.396927,145.00862,-145.9855,267.76306,-5.8638573,333.2237,131.156,258.17365,605141,690986,1
12,66.08532,103.565186,24.421688,152.30731,-75.4497,118.226456,-31.668457,150.06622,-129.35855,266.4169,-7.5544963,333.13223,133.29347,252.84741,621035,666808,1
13,77.76303,101.06378,44.470394,144.4487,-67.50435,127.34432,-11.393554,154.8143,-131.41467,254.01935,-2.7231886,326.44812,130.39453,253.9215,518792,666808,0
14,65.049416,103.61516,21.857012,152.95145,-75.5081,118.15004,-37.39222,147.83168,-137.51715,255.65114,-7.3468947,335.75873,127.74421,249.83766,502110,643511,1
15,78.63337,100.72368,49.39156,141.65094,-66.848305,128.0004,-10.706712,154.89474,-127.97881,261.0108,5.338792,332.11725,149.78557,254.7867,571970,643511,0
16,68.59377,103.33206,34.43677,149.03874,-70.100334,124.616646,-21.277344,153.08658,-121.514404,254.91098,4.8731894,332.372,127.63133,259.41324,502110,676254,1
17,77.83278,101.0374,41.252872,146.07571,-71.38141,123.18728,-16.584818,154.04114,-133.17957,267.21265,-1.1062405,337.56772,130.25262,255.81476,444482,663941,0
18,64.138176,103.6369,20.96916,153.15686,-76.47025,116.867546,-36.35419,148.26886,-128.69853,280.34662,9.446517,333.19568,131.58025,248.20093,621035,663941,1
19,76.879,101.38558,48.34098,142.28111,-66.32958,128.5102,-9.233652,155.0502,-129.02988,250.02925,-7.8962665,329.11465,123.12007,266.89194,518792,663941,0
20,69.383354,103.225525,26.986958,151.58624,-72.23181,122.205475,-26.293945,151.78871,-130.4633,271.9436,13.209607,334.6122,135.35034,246.8845,502110,663941,1
