matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,66.3441,103.548485,19.328117,153.51303,-69.86685,124.87099,-29.264864,150.88013,-135.77664,258.032,-13.847886,336.4226,124.35273,270.2218,444482,548389,0,SI
1,59.86696,103.46165,25.734968,151.94786,-71.77395,122.73745,-29.389254,150.83975,-133.60086,271.22485,5.081634,341.33154,131.69911,255.082,571771,548389,1,FF
2,71.88632,102.78074,27.788898,151.34479,-70.54783,111.42351,-28.194328,151.21979,-130.88193,260.243,-5.0945253,332.8031,132.38165,266.86328,681546,548389,0,FF
3,72.74541,102.58986,35.80184,148.4956,-65.91902,128.9082,-16.531443,154.05058,-123.02557,272.6093,17.923014,335.13522,140.1639,252.90945,642708,548389,1,FF
4,64.95325,103.61844,24.231853,152.3576,-71.77367,122.73778,-29.814034,150.70047,-127.3939,266.15448,5.86607,329.03775,125.47462,256.09753,669257,548389,1,SL
5,68.90481,103.29201,30.53314,150.4596,-72.93076,121.377785,-30.096416,150.60663,-133.12383,258.95038,-1.3237448,340.68066,135.10924,257.88458,605141,573124,1,SI
6,64.912865,103.619736,27.900076,151.31071,-72.66931,121.689644,-26.741611,151.65857,-134.34589,258.09244,5.7479706,331.86032,128.56226,250.75256,669257,605154,1,SL
7,76.84661,101.39693,35.32833,148.68678,-70.749016,123.90013,-25.192938,152.09866,-125.59748,257.14444,0.32578608,336.49973,137.37808,249.53027,571970,690986,0,FF
8,69.24649,103.24515,28.633284,151.08221,-71.92074,122.567764,-27.549501,151.4177,-132.56946,271.906,7.4518332,341.8695,132.96898,255.63416,571771,690986,1,FF
9,72.86035,102.562805,36.439342,148.23355,-65.82664,116.31165,-21.89014,152.9436,-121.793236,248.05795,0.97346306,323.68097,136.99916,261.12662,681546,690986,0,FF
10,73.04511,102.51857,40.600674,146.38705,-66.50391,128.33975,-13.706489,154.50601,-119.35066,266.04044,15.993104,336.69284,138.9172,253.95052,642708,690986,1,FF
11,62.184902,103.61352,21.877726,152.94655,-77.94011,114.81703,-39.93473,146.6987,-137.33003,264.97986,-9.177191,336.61713,132.21361,254.3488,605141,690986,1,CH
12,66.33113,103.54936,30.777777,150.37619,-73.73975,120.395325,-30.192434,150.57451,-133.37158,259.89355,0.5864011,328.30322,120.38971,253.50354,621035,666808,1,SL
13,79.21311,100.48396,48.11669,142.41327,-65.42472,129.3811,-6.934357,155.24658,-132.28714,250.96635,-0.2589552,333.52136,135.38019,248.59819,518792,666808,0,SL
14,64.85356,103.621574,18.124496,153.75504,-75.3217,118.393364,-40.162743,146.59271,-133.92947,265.4291,-3.838467,337.861,128.0405,253.56061,502110,643511,1,SI
15,77.62639,101.11508,46.80985,143.16702,-65.141396,129.64911,-10.930737,154.86905,-126.43924,264.62778,-7.019201,336.7762,131.2584,262.0743,571970,643511,0,SI
16,69.61584,103.1911,32.94734,149.60373,-66.07608,128.75652,-16.20215,154.10817,-125.43738,260.21722,7.8654523,332.70715,132.49667,255.30533,502110,676254,1,SI
17,78.76657,100.66954,48.79497,142.01105,-64.4248,130.31723,-5.8599586,155.31909,-132.60582,254.58063,-1.3261737,331.62442,136.52562,257.74704,444482,663941,0,CU
18,64.5229,103.63025,28.696377,151.06223,-72.38581,122.02475,-26.392189,151.76035,-132.01237,262.49942,-1.9360559,329.99884,123.094124,248.51665,621035,663941,1,ST
19,79.38843,100.40938,49.64595,141.49554,-60.961983,133.36038,-7.294718,155.21951,-135.84439,252.13881,-4.042353,331.77405,135.96938,256.24496,518792,663941,0,CU
20,66.543915,103.534454,25.492859,152.01566,-73.64591,120.51066,-30.347288,150.52246,-128.21132,268.98862,3.1404748,324.26532,127.32749,255.02478,502110,663941,1,SL
21,74.55881,102.120895,34.49712,149.01526,-70.80532,123.83725,-20.453636,153.27203,-137.99731,265.09964,-4.3960786,338.92297,131.16806,270.01407,571970,663941,0,FF
22,65.48578,103.5974,26.970428,151.59114,-71.699875,122.82277,-27.804575,151.34,-140.23499,259.46902,-13.894686,344.0072,124.46955,269.61996,444482,663941,0,FF
23,77.72469,101.07823,48.797764,142.00937,-71.695,122.828384,-17.452765,153.88309,-131.21536,255.37167,0.9467169,332.35352,138.77267,257.7872,681546,663941,0,CU
24,79.32064,100.43834,47.26591,142.90712,-69.940025,124.79147,-17.576435,153.8599,-131.4834,259.9864,-5.6904063,335.52686,140.16699,252.81271,571970,663941,0,CU
25,76.18107,101.62316,37.579212,147.75137,-73.122574,121.147255,-25.484068,152.0181,-130.08746,260.19528,-6.287836,327.71237,138.2377,261.20407,518692,663941,0,CU
26,64.55471,103.62953,24.900732,152.17853,-75.29935,118.42243,-37.484715,147.79202,-133.8306,262.97824,-6.402498,324.79718,122.06924,251.79543,605141,663941,1,ST
27,68.96057,103.28455,30.621437,150.42957,-72.8053,121.52777,-28.450933,151.13965,-123.47236,260.8468,6.0587196,327.82916,134.38596,252.9695,571771,663546,1,SI
28,74.31029,102.19055,31.248032,150.21378,-74.363686,119.61889,-27.451393,151.44736,-137.11844,260.74786,-13.051282,340.335,126.98465,260.60776,444482,663546,0,SI
29,74.4369,102.15528,37.194103,147.91623,-71.60453,122.9323,-19.0709,153.5661,-134.30588,256.59406,-5.856901,333.38342,127.44009,263.6505,518792,663546,0,SI
30,73.994774,102.276474,37.533634,147.771,-69.158325,125.631615,-21.884348,152.94498,-134.85297,256.91693,-0.19271769,333.4684,122.93738,262.34637,543939,663546,0,SI
