matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,68.79477,103.306465,22.30914,152.84338,-70.32351,124.37178,-28.434078,151.14493,-124.70901,263.86194,-5.842636,341.72092,139.95946,252.87534,682622,664854,1
1,64.471855,103.63134,17.25568,153.91971,-75.48569,118.17938,-36.15274,148.35202,-135.85219,266.22742,5.4973793,342.66214,129.6157,258.95557,687952,664854,1
2,71.812164,102.796295,29.13869,150.92088,-73.147385,121.117325,-29.282822,150.87431,-134.24182,253.177,4.656117,329.39532,130.10233,255.19606,663886,667463,1
3,79.23303,100.47554,48.046494,142.45447,-65.93144,128.89624,-12.036048,154.73447,-135.20073,257.07935,-1.7672495,337.67673,141.1367,257.47937,666181,571945,0
4,67.45493,103.45766,28.337368,151.1752,-72.40344,122.004005,-29.930676,150.66183,-129.20317,268.86578,-1.3420446,327.64072,136.52257,247.49225,663886,571945,1
5,64.78587,103.62358,17.350622,153.90213,-76.885826,116.29938,-40.211403,146.56999,-130.50568,263.82,-0.10952984,325.9708,130.33534,256.19852,656413,571945,1
6,64.45602,103.63167,12.698742,154.64745,-75.07291,118.71562,-41.57605,145.91916,-133.39674,266.27167,-9.007818,342.1865,131.91725,254.74216,687952,571945,1
7,65.59112,103.59238,23.952671,152.43079,-72.49136,121.90035,-28.481363,151.13008,-122.819496,252.95976,-3.4158604,332.5053,133.86765,255.41002,682622,571945,1
8,77.34828,101.2177,42.55825,145.43407,-65.27904,129.5192,-15.112191,154.29031,-131.28793,259.98517,1.5573683,334.61194,134.81874,264.6942,682829,596271,0
9,76.73475,101.43587,45.23525,144.03905,-66.315315,128.52411,-11.731731,154.77283,-114.738525,245.85597,12.92656,319.5344,136.45526,250.93234,670770,596271,0
10,64.58021,103.62895,13.581415,154.52417,-76.43481,116.9156,-41.31876,146.04391,-141.50984,255.45255,4.018144,331.2991,123.817604,250.86465,682622,596271,1
11,73.73916,102.3441,33.75381,149.30136,-71.50664,123.04439,-24.081425,152.39714,-128.82356,255.78482,5.325185,325.9653,120.859055,254.16634,605361,667463,0
12,71.73701,102.811905,31.732697,150.04349,-73.728096,120.40967,-26.978514,151.58875,-130.53722,266.48294,-9.233495,327.1198,131.5882,252.08298,663697,667463,1
13,64.64926,103.62726,20.96636,153.1575,-74.81999,119.04031,-33.812454,149.27905,-123.54239,252.36102,1.5964073,328.5832,136.59822,250.36215,571912,667463,1
14,65.882835,103.57707,24.692533,152.23483,-76.77756,116.44826,-35.522255,148.60886,-123.91866,268.43106,22.926647,332.31326,136.54495,252.95079,682829,669461,1
15,74.30682,102.19151,38.51529,147.34222,-67.35297,127.49686,-16.294825,154.09209,-125.63373,242.38422,2.110661,327.17282,128.80463,254.05586,670770,669461,0
16,64.50166,103.63072,23.540209,152.53726,-70.96074,123.66308,-30.086626,150.6099,-128.41559,261.12228,7.1553535,326.00534,126.66299,249.77708,663886,572403,1
17,78.41555,100.811,50.18499,141.16267,-62.280598,132.23651,-4.1222787,155.41052,-131.56224,254.02805,-5.0390997,325.96365,132.8157,253.58603,666181,669467,0
18,65.89644,103.57631,22.666372,152.75636,-76.8131,116.39944,-37.082363,147.9637,-140.96344,268.47488,10.470357,339.34006,131.50932,256.0376,668715,680723,1
19,66.839066,103.51187,25.52825,152.00578,-73.8458,120.26452,-30.240744,150.5583,-132.59442,264.48956,6.9206343,336.82703,140.57234,251.929,682622,680723,1
20,68.81227,103.30418,26.394768,151.75961,-71.874435,122.62138,-25.834517,151.9198,-128.83684,271.8012,1.214818,329.89243,136.99529,251.85123,663886,680723,1
21,65.37113,103.60252,19.925959,153.3868,-76.799866,116.417625,-36.379448,148.25839,-134.77597,270.5305,3.2980263,338.73138,139.29147,253.52516,663697,680723,1
22,67.79846,103.42325,24.576239,152.26605,-76.5586,116.7475,-36.182686,148.33969,-125.95114,263.2954,15.150746,335.01462,139.58218,242.83954,669222,669461,1
23,64.07301,103.63765,5.7269635,155.32722,-79.85505,111.96039,-47.732674,142.63763,-137.92136,255.9838,-7.2749043,331.44046,122.59285,250.76717,656413,669461,1
24,75.172844,101.941345,43.41993,144.9968,-65.72826,129.09152,-15.686839,154.1959,-134.95763,250.50102,-1.435632,332.06635,125.55275,265.23798,666181,605498,0
25,67.528595,103.45053,22.467026,152.80511,-75.83917,117.71382,-39.50078,146.89844,-132.69762,264.602,20.34417,331.29883,136.83498,243.28337,682622,605498,1
26,66.07746,103.56566,18.978745,153.58495,-78.89058,113.427086,-41.69185,145.8627,-139.6204,262.26514,-10.500649,341.87616,133.46777,256.40955,668715,605498,1
27,77.291,101.23854,52.317505,139.79614,-65.92328,128.9041,-7.2355375,155.22406,-116.6711,250.54706,8.215958,320.18945,136.5148,246.95607,670770,605498,0
28,65.57214,103.59331,26.178564,151.82187,-78.5175,113.97899,-36.266712,148.30505,-139.40727,258.13947,-4.6692867,338.47202,132.2838,250.75868,663697,605498,1
29,74.0755,102.25477,35.684975,148.54308,-68.80571,126.004005,-19.434969,153.49075,-131.59148,256.11826,-8.042062,326.9608,122.274025,268.44916,605361,605498,0
30,75.68294,101.78405,39.461727,146.91628,-71.757034,122.75696,-18.926508,153.59558,-127.92429,245.355,2.6412895,331.2801,130.79448,255.77151,666181,596271,0
31,75.06356,101.97409,43.682064,144.86159,-66.78961,128.05849,-11.745616,154.7711,-124.12047,254.28891,6.272413,329.608,135.01955,257.5036,605361,596271,0
32,64.848694,103.62173,18.38472,153.70409,-78.72209,113.67737,-39.657356,146.82666,-147.07802,255.97714,-13.69323,332.7535,123.4935,241.96939,687952,596271,1
33,79.20417,100.48775,49.868256,141.35887,-68.31087,126.51989,-6.9043164,155.24878,-125.8802,245.6552,-3.1764743,317.76508,142.94017,250.12952,670770,663765,0
34,65.38843,103.60177,26.135637,151.83417,-73.28049,120.95636,-29.982334,150.64465,-134.16919,258.84445,2.8435955,326.06924,125.190315,252.30095,663886,663765,1
35,67.531784,103.450226,23.320541,152.59317,-75.95418,117.56105,-35.03709,148.8029,-129.63158,257.35883,7.539991,335.54987,130.60538,254.92001,663697,663765,1
36,64.20305,103.63603,21.220213,153.0997,-73.22745,121.020584,-34.41505,149.04718,-126.91595,265.13257,12.819648,331.7727,140.53777,248.6615,592192,606930,1
37,79.31238,100.441864,50.581585,140.91458,-67.0903,127.75988,-10.85037,154.87833,-131.04735,256.29794,6.3431726,329.49435,144.52039,250.05688,467793,606930,0
38,73.37707,102.43675,33.653275,149.33951,-70.19215,124.51612,-23.527723,152.54047,-134.18758,245.02419,-9.083266,330.7921,119.13722,263.74905,668930,669467,0
39,74.62345,102.1025,34.94111,148.84093,-69.40365,125.37013,-19.935074,153.38483,-143.74043,258.16437,-7.158223,338.04022,133.06763,262.8596,642133,669467,0
40,77.79099,101.05322,53.782505,138.8099,-64.561935,130.19043,-0.78208727,155.49678,-129.18243,253.89612,9.4390745,328.1576,143.39719,251.03226,467793,641712,0
41,62.45786,103.62253,12.195173,154.714,-75.965744,117.54565,-40.51048,146.42963,-135.81229,263.96002,11.3852215,340.42276,130.27762,250.84052,518626,641712,1
42,65.64305,103.58981,21.250973,153.09264,-75.8124,117.74928,-34.34283,149.07523,-139.70499,259.79178,0.5697844,333.08914,123.51493,254.55786,592192,641712,1
43,77.07946,101.31467,39.864735,146.73111,-69.734985,125.01381,-19.519485,153.47305,-130.47969,252.1115,-4.5290165,334.42197,135.29478,260.6395,669003,641712,0
44,66.113205,103.56347,23.78385,152.47461,-75.42293,118.26142,-31.54333,150.11037,-137.46132,260.78558,2.4463818,337.48434,133.80989,252.20984,642715,641712,1
45,76.10721,101.647484,41.69298,145.86214,-68.78434,126.02644,-16.882524,153.98785,-141.6175,249.58887,-13.162862,333.28705,134.27675,258.85883,592885,641712,0
46,58.8899,103.35695,11.4282,154.8101,-79.66194,112.25882,-46.338974,143.4319,-138.45912,260.35526,-6.945226,330.25427,124.47142,250.85806,655316,596271,1
47,75.45625,101.854866,39.691578,146.81094,-70.0798,124.63908,-16.561571,154.04526,-139.92474,253.6669,-8.377643,332.97253,131.93544,265.08752,642133,669461,0
48,67.05702,103.493774,30.228756,150.56232,-70.82906,123.8107,-24.452612,152.29907,-129.09772,268.1652,17.29775,334.51544,139.60641,247.96243,605119,606930,1
49,72.175964,102.7186,33.283882,149.47855,-75.42867,118.25393,-26.087069,151.84805,-128.54247,271.4951,6.465899,340.14572,142.01912,261.0061,661388,668868,1
50,69.90134,103.14691,30.413513,150.5001,-73.38966,120.82377,-26.648697,151.68579,-139.51791,242.76772,-5.969158,320.20746,121.71895,255.4587,686217,668868,0
51,68.7184,103.31631,27.382448,151.46814,-73.96067,120.12231,-34.97987,148.82559,-138.97537,253.64955,-4.776003,330.55338,121.54364,263.5221,668930,668868,0
52,71.76354,102.806404,31.764088,150.03235,-71.29939,123.28055,-28.006012,151.2781,-138.53256,267.60266,-11.181311,334.5198,131.8733,267.01187,642133,668868,0
53,65.60512,103.59169,15.357652,154.25043,-78.613525,113.83772,-43.976887,144.70828,-129.74684,274.2192,8.884345,339.03955,136.16208,254.57532,605119,668868,1
54,67.298294,103.47235,30.097546,150.60626,-77.96998,114.77414,-32.333916,149.82816,-136.90926,266.82922,6.3290143,335.95074,139.01541,248.51788,605170,668868,1
55,65.38562,103.60189,12.04328,154.73354,-78.63597,113.80464,-42.919872,145.25189,-136.19513,262.248,-3.4313397,335.64902,127.66787,255.46089,621438,668868,1
56,67.24738,103.477005,27.573948,151.41028,-74.53681,119.40045,-31.459631,150.13979,-142.79523,265.3631,-5.4670835,327.9935,127.96469,252.43289,592192,572403,1
57,79.13055,100.51875,51.67589,140.21576,-63.668446,131.00766,-6.1846743,155.29846,-131.05762,251.08011,5.6291575,334.2279,145.55495,246.87068,467793,572403,0
58,78.733055,100.68321,49.97669,141.2919,-68.602234,126.21708,-13.0972395,154.59283,-136.39584,274.07706,-1.1484809,340.29257,139.35936,260.8283,592885,571945,0
59,62.247856,103.61577,15.07532,154.29623,-76.89084,116.292465,-39.146965,147.05933,-131.34851,274.735,-8.853801,339.50348,127.03469,253.52585,621438,571945,1
60,77.098526,101.30786,47.454285,142.7988,-73.170685,121.0892,-17.635176,153.84882,-136.5316,257.08157,-10.133015,336.2087,145.28813,263.5492,642133,571945,0
61,71.10951,102.9364,25.172153,152.10437,-74.002335,120.07059,-34.35933,149.06882,-130.57068,271.51062,10.17059,342.78717,139.90625,258.91333,518626,571945,1
62,71.77741,102.80354,28.300634,151.18668,-76.38319,116.98549,-34.660164,148.95154,-139.18039,264.35364,-3.6709938,335.91592,136.66765,258.15253,642715,571945,1
63,78.5169,100.77055,47.30591,142.88417,-69.052155,125.744156,-16.147062,154.11769,-132.4376,256.05457,-10.892007,329.17062,132.03156,256.465,686217,571945,0
64,71.2637,102.90677,27.977459,151.2869,-70.53147,124.14206,-27.372097,151.47125,-129.14856,268.40863,13.719689,342.80542,142.9707,249.03345,661388,571945,1
65,76.800026,101.41319,39.49174,146.90256,-68.34532,126.48422,-16.553505,154.04669,-128.02472,257.58664,-3.779572,333.30017,131.10313,260.0786,668930,571945,0
66,78.1243,100.92545,49.271614,141.72382,-64.79014,129.97833,-9.552022,155.01855,-126.1036,258.57773,2.9928317,333.88785,136.18741,255.66985,467793,571945,0
67,67.61217,103.44229,26.003317,151.87192,-75.65349,117.959114,-29.68867,150.7418,-135.69853,261.01755,6.0556793,331.67514,136.22066,247.48164,666703,605498,1
68,67.83299,103.419624,29.376913,150.84378,-74.91184,118.92274,-29.510761,150.80014,-139.32474,259.82404,4.302405,336.8198,133.86151,251.04837,676946,605498,1
69,68.25816,103.372505,25.139425,152.11337,-73.81922,120.29735,-35.00489,148.81567,-138.48126,265.3593,10.349231,333.55405,142.88232,249.68837,643265,605498,1
70,64.21159,103.63591,21.8147,152.96146,-75.975716,117.532364,-37.702713,147.69809,-136.7647,258.77988,5.580627,332.43658,122.976,252.36476,673490,605498,1
71,73.9641,102.2847,40.072136,146.63492,-67.89453,126.947975,-14.556607,154.37814,-134.53754,261.06412,-6.19919,342.96152,125.54444,263.82745,665742,605498,0
72,57.037834,103.09138,9.802048,154.99297,-79.58134,112.38266,-45.13527,144.09311,-147.00162,253.83276,-7.53945,327.30087,119.19443,251.31956,673490,596271,1
73,68.45093,103.349625,23.01811,152.66922,-75.666916,117.94144,-35.18996,148.7421,-136.48883,257.12198,-8.479373,330.68796,126.616554,249.01242,593428,596271,1
74,61.135006,103.561485,10.430345,154.92567,-78.30815,114.285065,-44.758377,144.2955,-132.9193,262.87057,-7.4642787,329.6615,122.06256,246.60681,666703,596271,1
75,69.1467,103.25914,33.79004,149.28757,-72.48593,121.90677,-25.83386,151.91998,-138.15631,265.2455,-4.574375,330.08273,133.55327,255.39473,673490,680723,1
76,68.67826,103.32143,21.238531,153.09549,-77.675896,115.1942,-39.049267,147.10342,-131.92752,270.52893,6.8531814,344.407,140.97858,257.0648,665487,680723,1
77,69.50427,103.207794,28.125378,151.24118,-74.90628,118.92987,-32.424007,149.79549,-133.62434,270.16824,-0.32581696,340.2154,131.14905,247.94243,666703,680723,1
78,70.59505,103.03069,19.94207,153.38333,-77.73071,115.11627,-42.69381,145.366,-131.76059,266.13535,12.87777,337.0018,136.56581,252.88564,669134,680723,1
79,68.26001,103.37229,25.437578,152.03104,-77.264404,115.77397,-36.48918,148.21283,-140.69766,272.35434,1.7963139,335.26965,137.34409,255.61768,593428,680723,1
80,67.07068,103.492615,25.801374,151.92914,-75.64612,117.96881,-36.462395,148.22397,-128.36208,266.86328,3.8157468,338.6719,133.3811,259.5959,669134,572403,1
81,70.52128,103.04365,30.205494,150.57013,-73.56034,120.615524,-27.185862,151.52707,-132.24353,264.2742,10.931607,327.27203,129.76639,243.11925,593428,667463,1
82,68.75071,103.312164,32.113987,149.90744,-70.35193,124.340485,-19.765154,153.42114,-126.698326,259.4694,4.8720245,331.37723,133.69382,255.5928,640492,667463,1
83,67.240234,103.477646,26.747047,151.65698,-69.89748,124.83773,-27.075014,151.5601,-127.55623,266.13232,5.781166,338.64264,137.32951,250.09651,669134,606930,1
84,63.97045,103.638626,17.19235,153.93138,-75.531845,118.11893,-36.165752,148.34668,-128.60884,267.7796,-2.8454947,336.0212,132.76913,251.6389,593428,669467,1
85,69.46108,103.21417,31.853819,150.00047,-73.99104,120.08461,-23.87888,152.44998,-123.64378,263.94223,21.17253,332.21414,141.35649,247.82127,676946,663765,1
