matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,64.29306,103.63466,32.14687,149.89563,-66.93587,127.913574,-18.31032,153.71873,-128.70258,257.7049,12.967684,331.8923,146.4537,250.11261,682622,664854,1,FF
1,60.035618,103.477264,18.487982,153.68365,-75.72106,117.87004,-38.522675,147.33896,-133.16064,264.83194,5.8398566,327.52713,128.84042,249.1958,687952,664854,1,SL
2,70.11617,103.11226,36.014122,148.40895,-71.496475,123.056015,-20.360817,153.29245,-126.82732,257.0122,-1.3797374,331.56152,128.69434,252.01741,663886,667463,1,SI
3,77.85956,101.027214,44.843563,144.24995,-65.5939,129.22002,-15.363274,154.24951,-132.37411,264.3447,-1.6151981,337.11475,131.31154,262.63055,666181,571945,0,FF
4,64.71003,103.62569,23.258564,152.60884,-71.929665,122.55742,-26.986076,151.5865,-119.860596,259.08755,9.713389,330.95377,136.76314,248.2835,663886,571945,1,SI
5,68.473625,103.34688,21.73536,152.98013,-74.96182,118.8586,-35.76791,148.5094,-131.59702,266.0645,5.1694727,330.78247,133.45688,251.01465,656413,571945,1,FF
6,66.46668,103.53999,26.242294,151.80356,-72.57618,121.80007,-30.284016,150.54376,-121.7794,263.0944,0.3853666,337.87866,125.395744,258.1556,687952,571945,1,SL
7,62.43013,103.62169,6.7403026,155.26059,-80.60124,110.7836,-50.58074,140.9151,-138.23334,256.50037,-6.799567,327.61313,118.82466,254.17839,656413,571945,1,CU
8,76.33416,101.57228,41.71274,145.85248,-65.424835,129.381,-13.03396,154.60162,-135.93039,261.27716,-5.384257,334.95343,130.55325,271.13174,666181,571945,0,SI
9,65.65858,103.589035,28.629345,151.08344,-66.58296,128.26215,-23.384617,152.57692,-125.32493,266.35754,4.13892,332.9878,129.2863,255.04088,682622,571945,1,SL
10,66.703255,103.52254,28.073257,151.25732,-70.678665,123.97855,-27.99393,151.28183,-126.88396,271.1776,8.415783,341.74176,137.65762,255.33917,687952,571945,1,FF
11,78.83472,100.64163,51.907413,140.0652,-63.794582,130.89355,-7.084059,155.2355,-127.08894,257.29144,2.1372437,329.50656,128.89258,261.60373,682829,596271,0,CH
12,78.77173,100.667435,44.57053,144.39557,-68.73821,126.07484,-15.781603,154.18,-121.656586,245.65408,1.3117342,309.39703,131.95787,253.87666,670770,596271,0,CH
13,63.047714,103.63562,26.044313,151.86023,-73.584,120.58657,-30.553259,150.45276,-141.54015,259.88242,-10.378268,326.61383,117.350815,251.64124,682622,596271,1,ST
14,71.4647,102.8672,39.054775,147.10095,-66.34128,128.49878,-16.373983,154.07828,-122.479706,245.7929,-2.850768,323.03622,120.72626,254.64851,605361,667463,0,SI
15,69.531,103.20382,26.993317,151.58435,-72.5441,121.83803,-29.615967,150.76569,-122.56102,264.53888,6.565598,332.9943,138.65665,255.4161,663697,667463,1,SI
