matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,66.27913,103.55284,22.39531,152.82254,-78.00167,114.72859,-34.803562,148.8952,-126.36698,271.55823,12.232975,343.0017,140.4258,257.26263,666969,641793,1
1,73.55906,102.39064,28.62413,151.0851,-70.31389,124.38237,-24.470951,152.29419,-143.04453,260.2872,-22.484919,343.65866,119.84428,260.17596,663993,542888,0
2,64.44036,103.63199,22.310343,152.84311,-77.32011,115.69603,-38.055695,147.54462,-144.01562,264.37662,0.8545248,336.98032,132.4051,253.5799,673962,621363,1
3,77.335434,101.222374,45.719696,143.7749,-66.29859,128.5404,-13.121956,154.58939,-137.09805,263.47992,-8.646968,341.04538,132.54677,271.73322,608369,621107,0
4,74.56696,102.11858,41.041103,146.17746,-69.2645,125.518684,-16.042236,154.13571,-126.970795,266.6884,-2.3812785,333.69992,127.7322,264.4005,665750,621107,0
5,73.48427,102.40971,40.245674,146.55397,-64.17319,130.54857,-9.34982,155.03879,-128.83485,249.39876,-1.1320143,332.2805,135.54022,257.23126,641680,621107,0
6,64.749794,103.624596,12.303358,154.69992,-78.21507,114.42034,-45.305676,144.00087,-132.7993,263.69144,-3.9752982,342.1354,128.46153,252.80045,673962,621107,1
7,70.60756,103.02848,31.403816,150.15936,-70.456604,124.22493,-25.581984,151.99078,-138.41151,256.5672,-11.562536,339.22192,123.494225,269.06314,663993,621107,0
8,59.774982,103.452835,17.640158,153.84787,-78.47776,114.03729,-43.921738,144.73706,-141.60553,261.97842,-0.57871026,335.27847,123.651794,247.14412,543760,621107,1
9,74.94083,102.010445,36.42668,148.2388,-68.61491,126.20385,-18.638004,153.65378,-132.41644,247.15143,-4.246839,332.45273,129.84445,261.8975,665750,552640,0
10,78.86043,100.63106,48.76308,142.03012,-66.04059,128.79086,-12.357784,154.69281,-132.6365,244.04779,-3.6565454,332.24643,134.65787,258.44122,641680,552640,0
11,77.70476,101.085724,37.50906,147.78156,-67.9161,126.92593,-20.294392,153.30699,-137.3964,253.33974,-18.474865,335.803,123.15133,263.32007,663993,552640,0
12,75.71479,101.77397,44.832863,144.25568,-69.02384,125.77411,-15.414186,154.24115,-131.43504,250.41177,-1.4557675,321.20105,131.70067,255.48392,694497,518617,0
13,64.921814,103.61946,14.505194,154.3861,-76.83138,116.37431,-37.79457,147.6583,-130.5674,272.09796,2.7969544,336.43326,129.44939,255.44133,673962,606965,1
14,77.6918,101.09059,48.472263,142.20337,-68.61908,126.199486,-11.40614,154.81277,-119.73489,254.70918,7.5054717,328.7362,136.60304,255.73953,665750,606965,0
15,80.13829,100.07909,49.450325,141.61514,-62.858433,117.97713,-11.802552,154.76399,-122.810776,261.92725,8.287742,331.4421,147.56535,255.78487,641680,606965,0
16,76.82814,101.40338,43.767242,144.81743,-69.098785,125.69478,-15.601502,154.21014,-145.27832,264.00903,-14.316218,340.73755,127.40536,262.69043,608369,607192,0
17,79.151634,100.509895,49.3635,141.668,-66.14405,128.69064,-9.95549,154.97693,-117.493805,250.2935,-6.1428075,328.54962,134.60437,260.16827,641680,607192,0
