matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,70.08256,103.11775,26.911077,151.60869,-71.79076,122.71806,-33.10837,149.544,-131.58798,277.9603,6.6364374,348.5058,137.01953,266.21313,666969,641793,1,FF
1,70.791084,102.99559,27.757195,151.35449,-71.86882,122.627884,-28.238007,151.2062,-150.90071,256.64206,-16.487612,337.37668,119.36207,261.87262,663993,542888,0,FF
2,61.905285,103.60236,4.1297455,155.41019,-80.42303,111.06813,-49.79103,141.40645,-148.61197,258.5554,-9.138878,332.3602,129.70476,257.13297,673962,621363,1,SL
3,77.28579,101.24043,42.696808,145.3645,-70.35795,124.33385,-21.030823,153.14288,-129.32294,262.58466,7.9157414,337.24527,137.8657,265.69778,608369,621107,0,ST
4,77.677536,101.09595,45.256725,144.02742,-70.16705,124.54362,-11.898802,154.75189,-124.82816,254.61566,3.3474455,331.22455,138.54842,249.95792,665750,621107,0,CU
5,78.79184,100.65921,51.562874,140.28891,-73.11149,119.14532,-10.593841,154.90747,-130.04437,251.98032,5.136336,324.02997,135.26529,255.18973,641680,621107,0,FC
6,64.34764,103.63374,16.628298,154.03342,-78.804985,113.55446,-44.365685,144.50409,-142.76007,262.01852,-10.596056,328.0068,120.932526,258.78616,673962,621107,1,CU
7,76.28014,101.59032,42.178284,145.6234,-66.39085,128.45038,-13.642982,154.51526,-129.28809,256.1928,-2.7725203,330.18347,136.69952,260.66568,641680,621107,0,SI
8,77.05797,101.32233,42.182003,145.62155,-67.389656,127.459946,-16.772228,154.00772,-131.38208,256.8807,-4.8016276,336.70627,123.731445,266.90524,663993,621107,0,FC
9,74.57139,102.117325,41.16567,146.11768,-69.203705,125.58339,-14.070002,154.4523,-122.8091,252.35202,-2.6903334,326.3876,125.401764,260.5148,608369,621107,0,CH
10,61.42087,103.5784,16.756002,154.01062,-76.34025,117.0435,-37.496044,147.78714,-130.09265,257.10312,2.5249367,335.45264,123.74539,256.27435,543760,621107,1,SI
11,66.935555,103.50401,19.214825,153.5365,-72.98246,121.315796,-32.847614,149.64053,-137.96594,253.93835,-11.35668,336.89377,124.067665,256.37326,665750,552640,0,SI
12,75.85596,101.72897,37.540188,147.76817,-69.85031,124.88893,-17.330994,153.90576,-133.95746,262.1118,-4.6883907,336.50168,126.11695,273.6783,641680,552640,0,SI
13,66.511154,103.53682,25.142677,152.11249,-72.65,121.712555,-28.55624,151.1065,-146.67868,256.90002,-15.3024435,337.6675,122.515015,256.18045,663993,552640,0,SI
