matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,75.284424,101.90758,38.41615,147.38614,-73.99863,120.075195,-23.140583,152.63855,-132.56975,261.78146,-7.8913956,336.25034,132.08405,260.45447,682998,622250,0,FF
1,75.59971,101.81021,37.77635,147.6662,-70.73204,123.919075,-21.262812,153.08992,-130.60426,256.28546,-5.1016912,328.11752,127.18917,259.35513,677950,622250,0,CU
2,62.908657,103.633316,17.108362,153.94681,-75.143555,118.624405,-41.80739,145.80618,-125.02448,265.52975,1.9272768,328.31207,129.24318,252.86015,666971,622250,1,CU
3,73.052124,102.51688,33.470734,149.40845,-71.46164,123.0958,-25.182043,152.10165,-132.85413,253.6371,-8.307959,332.2706,123.7577,264.21558,682998,547973,0,FF
4,71.7364,102.81203,32.276962,149.84874,-68.54783,126.27383,-22.33138,152.83801,-140.8521,263.23062,-14.465108,340.37354,122.8865,263.9352,677950,543135,0,FF
5,81.31055,99.52525,55.483967,137.61374,-67.225235,127.62502,-8.833017,155.08847,-128.6327,254.38832,-1.8343318,329.99475,128.46486,255.54056,682998,543135,0,FC
6,73.67434,102.36095,38.110508,147.52063,-70.89001,123.742455,-23.73256,152.48785,-126.5367,263.36014,9.5911,337.03125,131.60948,253.70705,446334,543135,1,FC
7,79.445045,100.38507,51.37195,140.41197,-63.59638,131.07266,-8.144346,155.15024,-129.69164,254.03864,-2.4926393,323.9085,124.16792,260.02457,677950,543135,0,FS
8,56.16686,102.9357,14.3292885,154.41312,-77.878204,114.90575,-42.115757,145.65436,-143.59596,257.46912,-5.7413754,329.81085,122.64162,253.69537,666971,543135,1,CU
9,71.57262,102.845535,34.36377,149.06711,-71.40112,123.16482,-23.455685,152.55884,-135.22598,266.53076,-3.4810941,341.8449,123.3438,257.23,682998,543135,0,FF
10,68.08597,103.39214,33.931507,149.23361,-63.849518,130.84372,-15.372107,154.24805,-129.72832,260.05148,10.217052,329.91525,144.25304,255.14021,666971,543135,1,FF
11,73.18611,102.48419,39.516777,146.89111,-63.74308,130.94019,-11.583799,154.79112,-125.92559,260.34503,4.632691,328.96204,125.00315,258.67252,677950,608717,0,CH
12,74.545944,102.12455,37.895603,147.61443,-73.0439,121.24198,-24.751749,152.21887,-124.211296,254.96266,1.0234239,332.3307,123.600685,261.95737,682998,656271,0,SL
13,62.07104,103.60922,12.730916,154.6431,-76.43946,116.9093,-41.545452,145.93405,-133.2789,267.29315,-2.5445175,338.38068,133.88348,251.03603,606466,656271,1,CH
14,70.34996,103.07319,35.183956,148.74448,-68.81986,125.98914,-16.304602,154.0904,-127.95049,261.27817,0.5068474,335.01184,130.36417,248.42488,672695,674003,1,FF
15,64.71536,103.62554,16.564991,154.04465,-73.772995,120.35437,-34.546417,148.99602,-131.61533,275.11325,-1.0846114,346.5534,135.9224,259.0415,656896,674003,1,FF
16,57.711025,103.19815,24.83342,152.1968,-74.55236,119.38078,-32.189194,149.8804,-129.4426,264.3455,-7.001018,332.73843,121.6093,252.03752,572233,641540,1,SL
17,69.05846,103.27129,28.006138,151.27806,-73.90166,120.195435,-30.45166,150.4872,-133.21378,257.45453,-0.12587206,328.35446,125.46565,252.93144,672515,641540,1,SL
18,66.62442,103.5285,24.2458,152.35391,-74.98751,118.825584,-31.4165,150.1549,-132.21219,259.2963,-11.502917,325.73767,125.642395,249.58893,656896,571760,1,CH
19,70.18093,103.10157,31.873154,149.99359,-74.30266,119.695564,-27.031404,151.57306,-133.1733,266.4866,6.6122255,348.65988,141.46925,254.10936,606466,571760,1,FF
20,67.17027,103.48391,19.076115,153.56503,-76.51239,116.81034,-42.416584,145.50491,-123.640396,257.53378,-6.1630955,323.92163,123.21563,251.992,672695,571760,1,CH
21,71.962585,102.7646,36.466038,148.22244,-72.52912,121.85574,-23.091265,152.65092,-125.19622,268.7015,11.805653,338.1823,140.66399,247.91663,656896,571760,1,FF
22,59.21216,103.394165,5.48719,155.3414,-80.03339,111.68259,-47.61634,142.70514,-151.09906,256.04205,-8.261814,338.58224,125.17945,256.49957,666971,571760,1,SL
23,63.74804,103.63985,16.59393,154.03952,-74.816635,119.04462,-36.291187,148.29492,-127.580505,264.40305,-0.25707918,327.73434,130.80713,256.29184,502054,571760,1,CH
24,69.06919,103.26983,24.433123,152.30426,-74.37205,119.60836,-33.413086,149.43011,-133.37552,270.98013,0.16237628,333.8761,126.50208,256.6986,572233,571760,1,CH
25,67.503815,103.45294,25.30075,152.06894,-71.51012,123.04041,-28.88706,151.00159,-125.55599,260.63318,-0.6141975,332.36423,122.426636,250.61539,672515,600917,1,SL
26,75.09139,101.96579,36.417572,148.24258,-66.429085,128.41302,-16.362034,154.08035,-119.8396,263.86365,19.204762,333.3982,148.48393,250.26471,656896,547973,1,SI
27,64.40734,103.632645,20.359558,153.29272,-74.48058,119.47154,-34.507298,149.01128,-125.49875,262.68192,-0.7261359,334.59586,125.508194,264.83673,502054,622250,1,CU
