matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,69.5259,103.204575,23.672956,152.5032,-71.29493,123.285614,-29.064741,150.94469,-124.83472,267.63156,6.111066,339.2565,137.10951,249.63605,456781,605447,1
1,71.98872,102.759026,29.166264,150.91199,-73.75622,120.375046,-30.562641,150.44957,-139.67828,261.34726,0.09667258,329.34967,127.69498,253.4515,593871,579328,1
2,72.661674,102.60933,36.53946,148.1919,-72.01836,122.45447,-21.798811,152.9652,-130.72136,253.5989,-7.8131204,335.80878,127.48934,260.52222,666397,579328,0
3,71.856255,102.78706,37.94909,147.59114,-73.41141,120.7973,-20.211933,153.32498,-141.14488,263.885,12.467689,337.69473,139.47377,250.7053,572191,579328,1
4,76.878685,101.38569,38.563847,147.32068,-67.84771,126.99578,-22.187849,152.87262,-143.48569,255.44516,-13.101481,334.04733,129.98038,263.1692,666397,621244,0
5,66.92489,103.50489,24.633095,152.25081,-75.61129,118.01463,-33.191822,149.51294,-127.49487,257.76657,-2.5534403,333.07602,131.78827,257.27386,621043,621244,1
6,78.25872,100.87296,47.91147,142.53348,-66.93529,127.91415,-12.641322,154.65518,-127.963844,260.95227,3.4922361,340.26044,132.56454,256.14908,596146,621244,0
7,78.11663,100.92844,46.185593,143.51741,-69.834595,124.905975,-21.045105,153.13965,-127.580826,258.18546,9.4478445,329.6263,139.69328,255.52396,593871,621244,0
8,65.93626,103.574036,27.062723,151.56377,-71.89029,122.603035,-27.3109,151.48964,-121.639824,263.9746,3.297534,326.6458,132.65306,255.3459,668904,663855,1
9,78.25915,100.87279,43.208523,145.1051,-73.94047,120.14736,-25.845224,151.91676,-132.95619,258.1716,-2.7020128,339.38455,138.28261,254.43788,670242,643338,0
10,68.78499,103.30774,29.142094,150.9198,-73.20511,121.04761,-29.436558,150.82436,-131.85822,279.6256,14.383598,339.58377,144.16045,256.3104,680777,643338,1
11,67.73501,103.42983,30.909014,150.33115,-72.58162,121.79363,-25.531189,152.00497,-134.69536,271.2141,10.848173,345.24652,135.25883,263.64774,621043,643338,1
12,73.96702,102.28391,39.872993,146.7273,-66.68319,128.16351,-14.094776,154.44858,-135.70654,262.01413,-10.3231535,341.5132,123.12524,267.9946,666397,657024,0
13,71.59804,102.84038,25.72872,151.94962,-76.14626,117.30446,-37.344494,147.8521,-136.0163,260.62247,3.136333,338.61447,134.33528,256.19742,621043,592332,1
14,73.61224,102.37698,35.981956,148.42212,-67.08896,127.76122,-16.759695,154.00996,-141.8866,255.46346,-12.021272,341.70813,128.96078,274.93948,666135,592332,0
15,77.85914,101.02739,45.02443,144.15286,-66.450325,128.39224,-12.559008,154.6662,-131.11432,258.37292,-5.255749,333.88632,134.03186,260.66162,596146,592332,0
16,67.68839,103.43459,20.704645,153.21634,-76.78106,116.44344,-36.79482,148.08505,-143.59483,257.65353,-7.497768,338.55063,126.73197,256.33853,680777,592332,1
17,73.86044,102.31224,33.510223,149.39355,-72.72258,121.62632,-27.09726,151.5535,-138.42542,254.7324,-12.99424,333.06628,119.15532,259.49377,606132,657024,0
18,72.66428,102.608734,33.68677,149.32681,-70.17912,124.530396,-22.970062,152.68121,-127.63275,274.46466,21.887857,336.9788,137.1452,255.41724,622534,643338,1
19,68.36387,103.36008,30.227102,150.56288,-71.205414,123.387115,-24.306171,152.33795,-128.0473,263.4154,9.45067,336.9379,139.68704,252.75786,678554,643338,1
20,71.03581,102.95033,26.65293,151.68454,-74.333885,119.65635,-32.048912,149.93079,-122.934326,263.74692,10.607748,336.32693,141.51317,249.39378,678545,650893,1
21,69.41204,103.221344,26.862959,151.6229,-76.57343,116.72731,-37.70927,147.69525,-126.01718,272.66565,15.205646,343.82492,134.83105,253.44926,650907,650893,1
22,66.777245,102.4198,22.556496,152.7833,-77.73917,115.10423,-36.776447,148.09277,-147.85452,251.87662,-12.639855,335.86624,125.28024,254.96017,670623,670950,1
23,71.886475,102.780716,32.57875,149.73914,-76.325714,117.06311,-25.958307,151.88472,-132.26547,262.69476,0.9865952,339.02402,136.0311,252.32664,623912,641835,1
24,78.36457,100.831215,46.237312,143.48862,-68.73817,126.07488,-12.57525,154.66402,-126.82848,247.82416,2.4182901,332.32843,124.09693,263.0347,606132,641149,0
25,68.26497,103.37171,27.84659,151.32713,-73.54333,120.636345,-28.16803,151.22797,-122.45081,254.39798,-3.2323153,332.14832,128.06628,252.6358,678554,641149,1
26,81.44399,99.45924,57.978653,135.75607,-68.86866,125.93782,-8.22834,155.14297,-130.47586,262.865,7.3898554,333.06732,140.8971,251.82281,666018,641149,0
27,66.68186,103.52417,14.564933,154.37685,-78.418396,114.12421,-45.690144,143.79112,-130.65936,249.41759,-1.2128851,334.99088,123.351494,247.68114,670623,641149,1
28,62.23057,103.61515,22.28258,152.84981,-75.03397,118.76579,-36.590317,148.17068,-127.51252,252.69456,2.1310172,324.3777,131.07277,250.14606,622534,641149,1
