matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,68.48481,103.345505,27.936493,151.29951,-70.874,123.76039,-31.950449,149.96603,-122.85794,262.3852,4.149409,329.06186,129.34119,250.99023,456781,605447,1,SL
1,61.061787,103.55682,13.217549,154.57602,-79.21505,112.940216,-46.509674,143.33629,-142.69061,257.33383,-3.3452973,325.8646,124.79608,254.87546,593871,579328,1,CU
2,76.205215,101.61519,47.216763,142.9353,-68.339264,126.49049,-11.626058,154.78592,-126.56735,256.48236,-3.2833843,324.2219,124.5105,259.25458,666397,579328,0,SL
3,71.573654,102.845314,28.896782,150.99847,-73.50448,120.68382,-31.499006,150.12596,-129.6836,267.18924,9.770523,336.53763,137.52744,249.43785,572191,579328,1,FF
4,71.89043,102.77988,31.569681,150.10109,-68.33558,126.494316,-20.984598,153.15338,-134.62865,256.6748,-6.865166,335.74234,122.50957,258.75943,666397,621244,0,SI
5,66.73487,103.520096,33.935886,149.23193,-73.76543,120.36369,-23.677008,152.50217,-132.41022,254.90073,3.2784965,331.33295,125.47738,256.19608,621043,621244,1,SI
6,76.99054,101.34627,44.94895,144.19345,-66.48753,128.35579,-7.5366144,155.20058,-119.92071,253.52795,0.96617776,324.29166,129.59026,255.08153,596146,621244,0,CH
7,78.757416,100.67328,49.01664,141.87794,-69.528496,122.30411,-13.517579,154.53337,-120.38397,247.35939,0.46805727,322.25952,130.59811,255.79697,593871,621244,0,CH
8,70.378876,103.06825,27.547451,151.4183,-69.51945,125.246025,-24.627058,152.25243,-125.47956,261.6673,2.396207,327.38715,134.91826,251.91603,668904,663855,1,SI
9,79.83214,100.21614,51.407215,140.38928,-66.00808,120.54344,-8.986432,155.074,-127.5242,256.51706,4.430032,330.9786,144.0239,256.51196,670242,643338,0,SL
10,58.281136,103.2794,13.802741,154.49194,-74.013664,120.05651,-38.728245,147.24747,-132.17088,263.77402,1.3602215,330.18198,128.22693,257.4679,680777,643338,1,SL
11,66.27795,103.55291,31.074041,150.27419,-69.153534,125.636696,-21.416344,153.05453,-125.20519,272.04114,17.78757,338.82925,139.19124,257.31992,621043,643338,1,FF
12,71.10277,102.93766,29.842388,150.69109,-72.41056,121.99562,-24.012217,152.41525,-133.61847,257.18057,-1.1822811,333.78564,130.68564,267.52054,666397,657024,0,FF
13,58.302628,103.2823,10.782981,154.88605,-79.484,112.53167,-44.26895,144.5551,-133.8205,269.7175,-7.657475,328.08826,123.21716,255.72882,621043,592332,1,SL
14,72.098595,102.73543,32.46009,149.78238,-71.47844,123.076614,-28.514986,151.1195,-129.2979,262.71536,-1.3241735,337.0526,134.8059,260.54477,666135,592332,0,ST
15,75.01746,101.98779,34.85816,148.87369,-66.558586,128.2861,-21.65904,152.99803,-135.44835,262.27197,-12.174682,339.97238,125.24423,268.27676,596146,592332,0,FF
16,68.41949,103.353424,24.207924,152.36389,-73.704315,120.43892,-30.174603,150.58047,-131.55171,263.36,4.453651,338.9888,138.11899,251.25345,680777,592332,1,FF
17,75.20832,101.93065,40.603004,146.38596,-68.44087,126.3851,-20.309084,153.30377,-127.894775,254.00452,-1.832802,335.6813,130.80942,264.24442,606132,657024,0,FS
18,72.71057,102.597984,41.574486,145.91992,-69.86291,124.87527,-13.491456,154.53712,-123.35002,268.14386,9.69683,332.92267,142.52197,252.9728,622534,643338,1,FF
19,73.902466,102.30112,36.5038,148.20674,-65.230736,129.56483,-15.861239,154.16653,-125.359886,276.86417,16.759327,332.7146,140.98433,252.23943,678554,643338,1,FF
20,73.20825,102.478745,42.92686,145.24835,-64.988396,129.79291,-11.87752,154.75458,-125.70789,264.9774,9.029729,334.36987,141.09459,251.20381,678545,650893,1,FF
21,71.07708,102.942535,35.43174,148.6453,-67.92354,126.91833,-17.603392,153.85481,-128.10616,264.86954,17.007875,334.0928,144.17719,254.43376,650907,650893,1,FF
22,59.16192,103.388535,8.554208,155.11409,-82.276306,107.993256,-51.829926,140.11569,-152.83643,251.29878,-16.763186,325.75116,118.653915,251.84381,670623,670950,1,CH
23,62.760452,103.630325,8.14819,155.14992,-79.2998,112.81198,-46.143623,143.54076,-134.45511,260.09683,-4.4768596,328.4198,123.59196,256.32114,623912,641835,1,SL
24,70.75582,103.00197,28.092688,151.25131,-72.462296,121.93465,-29.550076,150.78728,-135.36337,254.78714,-12.247113,330.27994,119.65749,264.818,606132,641149,0,FF
25,69.8879,103.149025,26.454973,151.74219,-71.57822,122.96246,-28.487015,151.1283,-125.14047,263.77704,0.7471832,331.48224,135.71785,245.86226,678554,641149,1,FF
26,69.533226,103.20349,28.515722,151.11928,-72.2271,122.211,-25.779945,151.9352,-138.26237,253.60532,-8.08797,333.03476,127.14101,260.77277,666018,641149,0,SI
27,68.68309,103.320816,32.298252,149.84105,-75.53898,118.10957,-30.258005,150.5525,-138.35115,263.37,-1.2490942,335.1915,127.75142,249.61267,670623,641149,1,FF
28,63.70412,103.639946,22.322245,152.84023,-75.63935,117.97772,-36.25412,148.31024,-130.81578,264.0166,-0.77067053,327.72705,127.11194,248.66873,622534,641149,1,SL
29,61.117714,103.560394,16.843605,153.99487,-76.64816,116.62539,-38.298832,147.4379,-129.76004,256.33264,1.3046294,325.10995,130.2694,255.88573,678554,641149,1,SI
30,80.48004,99.92241,53.22214,139.19183,-69.729416,125.01983,-9.363233,155.03745,-123.31912,254.94638,-2.5202398,324.88632,126.34723,259.24625,606132,641149,0,CU
31,68.430626,103.35208,27.131851,151.54318,-74.162445,119.87113,-27.744917,151.35825,-124.268684,262.23642,-2.4321947,330.8576,127.65453,256.89545,623912,641149,1,SI
32,73.842865,102.31688,31.047192,150.28348,-71.880775,122.614044,-25.852764,151.91463,-138.21634,268.40045,-13.8019905,336.48682,130.03964,270.42505,666139,641149,0,FF
33,69.110985,103.26408,28.096552,151.25012,-76.65245,116.61954,-32.5025,149.76694,-131.50912,258.54968,-0.8560252,325.85135,129.14618,258.29175,691406,641149,1,SI
34,71.92997,102.77152,33.011272,149.58005,-70.30613,124.390915,-23.183044,152.62787,-123.00157,257.81055,3.8924208,325.09827,125.751526,259.43204,691406,663855,1,SI
35,63.591892,103.63997,10.342408,154.93535,-76.712616,116.53726,-41.50896,145.95178,-129.13039,260.73663,-3.4877474,334.63535,129.4171,256.71326,542194,605447,1,SL
36,64.58179,103.62891,19.513363,153.47435,-76.41015,116.949,-39.831,146.74669,-124.8606,264.24734,1.779367,336.14923,129.22687,248.31113,622534,605447,1,SL
37,67.91963,103.4104,19.470713,153.48328,-75.10937,118.66858,-30.941448,150.31998,-139.66147,261.27716,-13.713602,334.69983,125.48467,261.98682,666139,605447,0,FF
38,62.837063,103.63194,21.859278,152.95091,-75.97632,117.531555,-36.564663,148.1814,-127.07344,263.81906,-7.398848,327.73972,115.7438,249.26686,678554,554340,1,CU
39,59.75716,103.451096,8.944999,155.07794,-78.89608,113.418884,-46.93068,143.0985,-131.61609,262.40247,2.734108,332.61868,135.41423,244.69037,670623,554340,1,FF
40,65.93458,103.57412,23.59806,152.52246,-73.67297,120.47743,-34.63459,148.96155,-126.62771,256.3308,1.3098993,322.739,124.80909,257.0847,623912,554340,1,SI
41,61.984367,103.60572,22.72475,152.742,-75.26329,118.469284,-31.959414,149.96281,-133.97368,264.04242,2.1693351,326.62146,125.19679,249.59148,542194,657024,1,SL
