matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR
0,70.48518,103.04994,29.33165,150.85847,-69.475716,125.292946,-23.652742,152.50842,-150.43352,260.0975,-18.0478,342.41476,121.54941,269.00662,671739,640448,0
1,71.73494,102.812325,29.495306,150.80519,-70.30283,124.39454,-26.747057,151.65698,-136.95534,253.3537,-6.992692,332.38312,125.101906,260.35498,670032,640448,0
2,76.05894,101.663284,30.798641,150.36903,-71.37601,123.19343,-25.831562,151.92062,-132.93379,263.25143,-12.704117,342.08435,136.05179,264.7818,592696,640451,0
3,77.634384,101.112076,38.922104,147.16066,-70.23426,124.46991,-16.805408,154.00175,-128.58469,251.00528,4.8439884,332.2288,146.66544,258.08606,645277,676265,0
4,60.927975,103.54796,15.651646,154.2018,-77.00883,116.12949,-37.375603,147.83879,-138.70938,258.67624,-1.3803552,338.64853,125.37769,248.9239,607680,676265,1
5,76.33698,101.571335,38.4956,147.35095,-71.52821,123.019714,-18.892982,153.60239,-135.6086,255.18707,-6.9707637,334.64835,147.6252,262.0199,592696,676265,0
6,63.575306,103.639946,19.159443,153.54793,-72.30923,122.114746,-34.47642,149.02332,-129.53873,264.0592,0.090903796,341.42407,135.7098,266.39902,518595,676265,1
7,74.24968,102.207275,38.341827,147.41895,-69.110695,125.68215,-19.801304,153.41345,-128.91348,255.05482,1.4479012,332.5994,133.94139,262.96848,645277,671131,0
8,63.40342,103.6393,19.059536,153.56844,-75.03385,118.765945,-37.586617,147.74818,-125.898994,260.94403,3.6718934,332.61215,131.5072,255.18668,607680,671131,1
9,67.91503,103.41089,29.004751,150.96394,-70.04943,124.67225,-20.9204,153.16788,-128.8304,267.9837,13.291894,332.8236,127.61177,257.43433,606115,671131,1
10,74.11691,102.243546,38.76831,147.22957,-71.54104,123.00504,-21.851595,152.95273,-145.24529,260.19153,-13.612494,346.65536,132.32358,265.1028,671739,671131,0
11,79.014404,100.56733,45.212296,144.05148,-67.10414,127.74607,-10.221159,154.94855,-134.42203,264.03528,4.5131154,343.10437,146.39041,261.52902,592696,671131,0
12,79.41992,100.395874,52.520355,139.66193,-61.745308,132.69777,-3.0962582,155.44952,-135.15607,262.77695,-4.8467994,340.71912,129.6249,273.29874,592696,663432,0
13,59.544617,103.429794,17.122248,153.94424,-73.30253,120.92963,-35.075966,148.78748,-137.72664,266.3071,-3.2286863,345.9355,135.56473,266.9298,542303,676265,1
14,76.99098,101.346115,45.361015,143.97083,-68.64798,126.16929,-17.487068,153.87668,-135.52403,260.94745,-3.314385,347.69318,136.91856,266.3134,621566,676265,0
15,66.25873,103.554184,23.732944,152.48776,-74.15781,119.87694,-35.35538,148.67593,-132.89801,268.93442,-2.9989934,341.73102,131.37965,257.32092,663586,600921,1
16,56.50041,102.997665,18.073938,153.76486,-74.673004,119.22771,-37.62373,147.7322,-134.69112,261.18167,-1.2931811,341.129,132.29129,253.08806,660670,600921,1
17,64.97268,103.6178,13.714918,154.50479,-76.60316,116.6868,-42.073307,145.67532,-130.68925,267.84018,5.0458336,342.17874,132.10193,258.79572,660670,672851,1
18,74.30028,102.19332,42.591454,145.41742,-68.15387,126.68195,-16.618004,154.03525,-145.77116,260.2188,-18.499468,343.04306,123.620995,256.65588,671739,672851,0
19,68.3746,103.35881,24.869549,152.187,-74.88378,118.958694,-34.54489,148.99661,-131.24664,275.24854,9.46319,341.62363,131.05392,260.4367,663586,672851,1
20,74.461876,102.14827,41.53501,145.93912,-70.28738,124.411545,-18.973867,153.58594,-131.06905,251.45361,-12.680372,333.32336,136.08707,256.90308,645277,640448,0
21,66.006454,103.56994,22.815294,152.71964,-74.36573,119.61632,-35.473843,148.62836,-127.85596,262.7926,12.781835,331.09335,133.11098,247.73346,607680,640448,1
22,68.67489,103.32185,36.093113,148.37656,-69.36891,125.40728,-21.959282,152.92722,-128.51016,272.66336,10.256436,346.7723,141.2634,259.54877,542303,640451,1
23,74.72265,102.074036,37.378143,147.8377,-70.13245,124.58152,-21.149488,153.11588,-121.932014,254.79533,12.412425,329.65244,144.35422,250.44318,657088,686747,0
24,76.06186,101.66232,43.22926,145.09451,-64.49943,130.24829,-11.886968,154.75339,-141.33876,253.13484,-1.9304569,339.7606,141.46385,255.57188,592696,607179,0
