matchup_index,x3,y3,x4,y4,x5,y5,x6,y6,x7,y7,x8,y8,x9,y9,batter,pitcher,bat_handR,pitch_type
0,72.17931,102.717865,29.10811,150.93074,-73.27234,120.96623,-24.122162,152.38646,-148.52257,266.6964,-16.377007,345.618,121.41544,267.31647,671739,640448,0,FF
1,75.74533,101.764275,40.49724,146.43587,-66.41327,128.42848,-12.569374,154.66481,-127.93575,253.80185,-5.12911,323.8318,117.7668,259.17474,670032,640448,0,FS
2,76.177505,101.624344,46.45649,143.36612,-70.37018,124.320366,-15.957317,154.15022,-130.02814,254.3601,-5.503666,329.70572,127.01738,262.49146,592696,640451,0,FS
3,75.441,101.85958,35.4841,148.62422,-61.60376,105.22426,-26.77104,151.64993,-123.54277,254.15555,7.4006615,335.14618,140.55061,262.54626,645277,676265,0,FF
4,63.009705,103.635025,17.389694,153.89485,-76.00246,117.496735,-42.13414,145.64526,-133.60846,259.86847,-4.0874896,326.6747,124.8895,253.63089,607680,676265,1,KC
5,79.014206,100.56741,52.466885,139.69739,-69.52846,125.23634,-10.842592,154.87923,-128.05608,260.07352,-0.623593,328.24973,131.7068,260.7032,592696,676265,0,KC
6,65.43483,103.59971,23.617788,152.5174,-73.241196,121.003944,-32.14081,149.89781,-123.0664,255.74924,0.63698316,329.75275,127.68493,254.01907,518595,676265,1,KC
7,74.72794,102.0725,42.16824,145.62837,-70.11134,112.24086,-19.560236,153.4645,-132.236,253.1439,-6.1780868,336.84344,135.96777,268.24545,645277,671131,0,FF
8,66.39463,103.54503,29.992474,150.6413,-69.296616,125.48445,-24.843945,152.19394,-128.05832,264.00815,8.915694,331.91275,135.22429,253.59813,607680,671131,1,FF
9,64.21668,103.63584,30.10612,150.6034,-70.69549,123.95981,-23.572702,152.52896,-126.39345,257.6864,5.2733192,327.22702,135.87167,249.05716,606115,671131,1,SI
10,73.17269,102.48749,40.25054,146.5517,-64.377846,130.36053,-17.852383,153.80751,-132.75528,260.8728,-9.1861925,340.71042,119.38598,265.08237,671739,671131,0,CH
11,65.27549,103.60655,24.410103,152.3104,-74.94037,118.88614,-32.86341,149.6347,-135.02147,263.84293,-6.385728,330.98642,122.763275,254.3198,607680,671131,1,SL
12,81.21598,99.57167,53.3974,139.073,-52.996838,104.75182,-13.197786,154.5788,-129.24168,260.72522,7.079004,330.96143,149.46483,242.7262,592696,671131,0,SL
13,80.06566,100.11188,49.24322,141.74103,-67.23838,123.418625,-10.553006,154.91205,-127.157524,255.70644,5.780538,330.48013,138.67307,249.05719,592696,663432,0,SL
14,67.647964,103.43868,21.721258,152.98344,-73.76206,120.36784,-33.944057,149.2288,-129.76865,266.62198,5.8557806,341.32993,135.39502,258.93927,542303,676265,1,FF
15,78.57548,100.747025,48.30205,142.30411,-71.94258,122.542435,-18.95197,153.5904,-131.26498,268.83044,0.33880994,334.07925,140.41132,265.59415,621566,676265,0,KC
16,61.375027,103.57582,8.3784275,155.12982,-77.73502,115.11013,-44.70707,144.3229,-138.99756,256.4059,-5.4032984,329.81845,126.131424,262.05862,663586,600921,1,CH
17,56.476837,102.99338,17.936392,153.79141,-75.8965,117.63774,-39.047123,147.1044,-134.64641,251.34174,0.37172052,334.02457,125.60733,254.64656,660670,600921,1,SI
18,61.78958,103.59717,9.054493,155.06752,-80.80627,110.45346,-52.40105,139.74097,-136.06909,265.85245,-4.013432,334.40347,124.62122,256.7084,660670,672851,1,CU
